"area_familia","modalidad","canton","provincia","id_fact_oc","num_cap_cer","volumen_capacitados","total_horas","total_ganancias","%_asistencia","carga_horaria","costo","anio","total_cursos","prediction(total_cursos)"
"procesos industriales","online","MISSING","cotopaxi",252.0,113.0,193.0,2260.0,0.0,0.0,20.0,0.0,2021.0,5.0,6.7390215168927625
"electricidad y electrónica","presencial","quito","pichincha",253.0,22.0,3266.0,1320.0,0.0,0.0,60.0,0.0,2021.0,38.0,35.67059127855998
"procesos industriales","presencial","quito","pichincha",254.0,19.0,3266.0,342.0,0.0,0.0,18.0,0.0,2021.0,38.0,36.27847076890282
"procesos industriales","online","quito","pichincha",255.0,19.0,3266.0,342.0,0.0,0.0,18.0,0.0,2021.0,38.0,36.00076385839361
"procesos industriales","presencial","quito","pichincha",256.0,2.0,3266.0,32.0,0.0,0.0,16.0,0.0,2021.0,38.0,36.447407322769095
"procesos industriales","presencial","quito","pichincha",260.0,17.0,3266.0,272.0,0.0,0.0,16.0,0.0,2021.0,38.0,36.30664891087713
"electricidad y electrónica","presencial","quito","pichincha",267.0,6.0,3266.0,120.0,0.0,0.0,20.0,0.0,2021.0,38.0,35.97739576992592
"electricidad y electrónica","presencial","quito","pichincha",269.0,22.0,3266.0,2200.0,0.0,0.0,100.0,0.0,2021.0,38.0,35.533896067821956
"electricidad y electrónica","online","quito","pichincha",270.0,22.0,3266.0,2200.0,0.0,0.0,100.0,0.0,2021.0,38.0,35.25618915731275
"electricidad y electrónica","presencial","quito","pichincha",271.0,3.0,3266.0,60.0,0.0,0.0,20.0,0.0,2021.0,38.0,36.00860594836786
"electricidad y electrónica","presencial","quito","pichincha",273.0,5.0,3266.0,600.0,0.0,0.0,120.0,0.0,2021.0,38.0,35.777670364144115
"electricidad y electrónica","presencial","quito","pichincha",275.0,5.0,3266.0,500.0,0.0,0.0,100.0,0.0,2021.0,38.0,35.82093319929845
"educación y capacitación","presencial","quito","pichincha",276.0,22.0,3266.0,880.0,0.0,0.0,40.0,0.0,2021.0,38.0,35.72526949009307
"educación y capacitación","online","quito","pichincha",278.0,22.0,3266.0,880.0,0.0,0.0,40.0,0.0,2021.0,38.0,35.44798430984588
"procesos industriales","presencial","quito","pichincha",284.0,15.0,3266.0,1500.0,0.0,0.0,100.0,0.0,2021.0,38.0,36.085208418361276
"procesos industriales","online","quito","pichincha",285.0,15.0,3266.0,1500.0,0.0,0.0,100.0,0.0,2021.0,38.0,35.807501507852066
"electricidad y electrónica","presencial","quito","pichincha",288.0,25.0,3266.0,1500.0,0.0,0.0,60.0,0.0,2021.0,38.0,35.645486672277
"procesos industriales","presencial","quito","pichincha",290.0,248.0,3266.0,2480.0,0.0,0.0,10.0,0.0,2021.0,38.0,34.26402268676998
"procesos industriales","online","quito","pichincha",292.0,248.0,3266.0,4464.0,0.0,0.0,18.0,0.0,2021.0,38.0,33.80223084610975
"procesos industriales","online","quito","pichincha",293.0,248.0,3266.0,2480.0,0.0,0.0,10.0,0.0,2021.0,38.0,33.98715923678469
"electricidad y electrónica","online","quito","pichincha",295.0,6.0,3266.0,96.0,0.0,0.0,16.0,0.0,2021.0,38.0,35.71990418168559
"procesos industriales","presencial","quito","pichincha",296.0,14.0,3266.0,140.0,0.0,0.0,10.0,0.0,2021.0,38.0,36.36769993791313
"procesos industriales","presencial","quito","pichincha",301.0,194.0,3266.0,4656.0,0.0,0.0,24.0,0.0,2021.0,38.0,34.49580913152715
"procesos industriales","online","quito","pichincha",302.0,194.0,3266.0,4656.0,0.0,0.0,24.0,0.0,2021.0,38.0,34.21810222101794
"procesos industriales","online","quito","pichincha",303.0,194.0,3266.0,1940.0,0.0,0.0,10.0,0.0,2021.0,38.0,34.47625658622894
"procesos industriales","online","quito","pichincha",306.0,194.0,3266.0,7760.0,0.0,0.0,40.0,0.0,2021.0,38.0,33.92523755926709
"procesos industriales","presencial","quito","pichincha",307.0,194.0,3266.0,3880.0,0.0,0.0,20.0,0.0,2021.0,38.0,34.57197740879883
"procesos industriales","semipresencial","quito","pichincha",308.0,194.0,3266.0,4656.0,0.0,0.0,24.0,0.0,2021.0,38.0,34.220632602589944
"procesos industriales","presencial","quito","pichincha",311.0,143.0,3266.0,5148.0,0.0,0.0,36.0,0.0,2021.0,38.0,34.85133309754838
"procesos industriales","online","quito","pichincha",312.0,143.0,3266.0,5148.0,0.0,0.0,36.0,0.0,2021.0,38.0,34.57362618703917
"procesos industriales","online","quito","pichincha",313.0,143.0,3266.0,5720.0,0.0,0.0,40.0,0.0,2021.0,38.0,34.51799126530227
"procesos industriales","presencial","quito","pichincha",314.0,732.0,3266.0,21960.0,0.0,0.0,30.0,0.0,2021.0,38.0,28.632668410743918
"procesos industriales","presencial","quito","pichincha",315.0,732.0,3266.0,11712.0,0.0,0.0,16.0,0.0,2021.0,38.0,29.539949871810904
"procesos industriales","presencial","quito","pichincha",316.0,732.0,3266.0,8784.0,0.0,0.0,12.0,0.0,2021.0,38.0,29.799474382302833
"procesos industriales","online","quito","pichincha",317.0,732.0,3266.0,29280.0,0.0,0.0,40.0,0.0,2021.0,38.0,27.70804801018369
"procesos industriales","online","quito","pichincha",319.0,732.0,3266.0,8784.0,0.0,0.0,12.0,0.0,2021.0,38.0,29.52261093231766
"procesos industriales","online","quito","pichincha",320.0,732.0,3266.0,11712.0,0.0,0.0,16.0,0.0,2021.0,38.0,29.263929882349657
"procesos industriales","presencial","quito","pichincha",321.0,128.0,3266.0,1280.0,0.0,0.0,10.0,0.0,2021.0,38.0,35.354607540056804
"procesos industriales","online","quito","pichincha",323.0,691.0,3266.0,13820.0,0.0,0.0,20.0,0.0,2021.0,38.0,29.40957681062298
"procesos industriales","online","quito","pichincha",326.0,691.0,3266.0,6910.0,0.0,0.0,10.0,0.0,2021.0,38.0,30.023264099447942
"procesos industriales","presencial","quito","pichincha",327.0,691.0,3266.0,16584.0,0.0,0.0,24.0,0.0,2021.0,38.0,29.444423533226654
"procesos industriales","presencial","quito","pichincha",335.0,15.0,3266.0,240.0,0.0,0.0,16.0,0.0,2021.0,38.0,36.35727139158621
"procesos industriales","presencial","quito","pichincha",337.0,12.0,3266.0,120.0,0.0,0.0,10.0,0.0,2021.0,38.0,36.40294939890816
"mecánica industrial y minería","online","quito","pichincha",339.0,85.0,3266.0,1360.0,0.0,0.0,16.0,0.0,2021.0,38.0,34.988248226396195
"procesos industriales","online","quito","pichincha",341.0,103.0,3266.0,2060.0,0.0,0.0,20.0,0.0,2021.0,38.0,35.203726404552185
"procesos industriales","presencial","quito","pichincha",342.0,103.0,3266.0,2472.0,0.0,0.0,24.0,0.0,2021.0,38.0,35.44000933433222
"procesos industriales","online","quito","pichincha",343.0,103.0,3266.0,2472.0,0.0,0.0,24.0,0.0,2021.0,38.0,35.16230242382301
"procesos industriales","semipresencial","quito","pichincha",344.0,103.0,3266.0,2472.0,0.0,0.0,24.0,0.0,2021.0,38.0,35.162724154085026
"procesos industriales","presencial","quito","pichincha",345.0,3.0,9.0,48.0,0.0,0.0,16.0,0.0,2021.0,4.0,6.450462390292273
"procesos industriales","presencial","quito","pichincha",347.0,3.0,9.0,24.0,0.0,0.0,8.0,0.0,2021.0,4.0,6.466894679593793
"administración y legislación","online","quito","pichincha",349.0,1337.0,1337.0,85568.0,0.0,0.0,64.0,0.0,2021.0,1.0,-0.2916275106477997
"transporte y logística","presencial","latacunga","cotopaxi",350.0,26.0,2045.0,520.0,0.0,0.0,20.0,0.0,2021.0,12.0,24.33141349258267
"construcción e infraestructura","presencial","latacunga","cotopaxi",351.0,13.0,2045.0,520.0,0.0,0.0,40.0,0.0,2021.0,12.0,31.497216324049873
"educación y capacitación","online","quito","pichincha",354.0,204.0,2885.0,4284.0,0.0,0.0,21.0,0.0,2021.0,30.0,30.229121465123285
"educación y capacitación","online","quito","pichincha",358.0,219.0,2885.0,4599.0,0.0,0.0,21.0,0.0,2021.0,30.0,30.08189936069425
"educación y capacitación","online","quito","pichincha",359.0,32.0,2885.0,672.0,0.0,0.0,21.0,0.0,2021.0,30.0,31.93872027523787
"educación y capacitación","online","quito","pichincha",360.0,387.0,2885.0,10836.0,0.0,0.0,28.0,0.0,2021.0,30.0,28.16966277016536
"educación y capacitación","online","quito","pichincha",362.0,160.0,2885.0,4480.0,0.0,0.0,28.0,0.0,2021.0,30.0,30.56094024879542
"educación y capacitación","online","quito","pichincha",363.0,24.0,2885.0,672.0,0.0,0.0,28.0,0.0,2021.0,30.0,31.993516280654035
"educación y capacitación","online","quito","pichincha",364.0,77.0,2885.0,1617.0,0.0,0.0,21.0,0.0,2021.0,30.0,31.49410185011652
"educación y capacitación","online","quito","pichincha",367.0,31.0,692.0,651.0,0.0,0.0,21.0,0.0,2019.0,20.0,12.483602123824653
"administración y legislación","online","quito","pichincha",370.0,11.0,18.0,440.0,0.0,0.0,40.0,0.0,2021.0,3.0,5.698723470745335
"administración y legislación","presencial","quito","pichincha",371.0,40.0,305.0,1600.0,0.0,0.0,40.0,0.0,2021.0,10.0,8.287634873546722
"educación y capacitación","presencial","guayaquil","guayas",374.0,54.0,110.0,4320.0,0.0,0.0,80.0,0.0,2021.0,4.0,7.5623284573404135
"procesos industriales","online","quito","pichincha",382.0,202.0,3031.0,4848.0,0.0,0.0,24.0,0.0,2021.0,17.0,32.003982942425296
"procesos industriales","presencial","quito","pichincha",383.0,355.0,3031.0,8520.0,0.0,0.0,24.0,0.0,2021.0,17.0,30.724103455264867
"procesos industriales","online","quito","pichincha",384.0,355.0,3031.0,8520.0,0.0,0.0,24.0,0.0,2021.0,17.0,30.446396544755657
"procesos industriales","semipresencial","quito","pichincha",385.0,355.0,3031.0,8520.0,0.0,0.0,24.0,0.0,2021.0,17.0,30.446818275017677
"procesos industriales","presencial","quito","pichincha",386.0,23.0,648.0,552.0,0.0,0.0,24.0,0.0,2019.0,13.0,12.887106180024375
"procesos industriales","online","quito","pichincha",388.0,23.0,648.0,552.0,0.0,0.0,24.0,0.0,2019.0,13.0,12.609820999777185
"industrias  manufactureras","desconocida","guayaquil","guayas",396.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,2021.0,2.0,7.282170216503346
"procesos industriales","presencial","quito","pichincha",397.0,57.0,236.0,570.0,0.0,0.0,10.0,0.0,2021.0,6.0,8.091826303873859
"procesos industriales","presencial","quito","pichincha",400.0,2.0,236.0,20.0,0.0,0.0,10.0,0.0,2021.0,6.0,8.586950801610328
"administración y legislación","online","latacunga","cotopaxi",404.0,216.0,3608.0,43200.0,0.0,0.0,200.0,0.0,2021.0,24.0,33.175686556938786
"administración y legislación","online","latacunga","cotopaxi",406.0,24.0,3608.0,960.0,0.0,0.0,40.0,0.0,2021.0,24.0,38.64583801296817
"finanzas comercio y ventas","online","latacunga","cotopaxi",407.0,409.0,3608.0,32720.0,0.0,0.0,80.0,0.0,2021.0,24.0,32.71628690928742
"educación y capacitación","presencial","latacunga","cotopaxi",409.0,86.0,3608.0,12900.0,0.0,0.0,150.0,0.0,2021.0,24.0,37.18028187594234
"administración y legislación","online","guayaquil","guayas",413.0,6.0,5039.0,144.0,0.0,0.0,24.0,0.0,2021.0,20.0,53.61005170025419
"procesos industriales","online","guayaquil","guayas",414.0,85.0,5039.0,850.0,0.0,0.0,10.0,0.0,2021.0,20.0,53.35984855712752
"transporte y logística","presencial","guayaquil","guayas",416.0,33.0,5039.0,1254.0,0.0,0.0,38.0,0.0,2021.0,20.0,53.33520146187004
"transporte y logística","online","guayaquil","guayas",418.0,3.0,5039.0,120.0,0.0,0.0,40.0,0.0,2021.0,20.0,53.395790234634774
"transporte y logística","presencial","guayaquil","guayas",419.0,8.0,5039.0,320.0,0.0,0.0,40.0,0.0,2021.0,20.0,53.61651691996201
"transporte y logística","presencial","guayaquil","guayas",420.0,80.0,5039.0,2080.0,0.0,0.0,26.0,0.0,2021.0,20.0,52.90446283381789
"administración y legislación","online","guayaquil","guayas",425.0,66.0,1389.0,792.0,0.0,0.0,12.0,0.0,2021.0,23.0,19.44460810707085
"administración y legislación","online","guayaquil","guayas",426.0,13.0,1389.0,156.0,0.0,0.0,12.0,0.0,2021.0,23.0,19.93006597614965
"administración y legislación","online","guayaquil","guayas",431.0,126.0,1389.0,1512.0,0.0,0.0,12.0,0.0,2021.0,23.0,18.89804097300123
"administración y legislación","online","guayaquil","guayas",433.0,10.0,1389.0,120.0,0.0,0.0,12.0,0.0,2021.0,23.0,19.960472963765824
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",435.0,19.0,1389.0,228.0,731.499999924,0.0,12.0,38.499999996,2021.0,23.0,23.413780668360573
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",438.0,37.0,1389.0,444.0,6549.0,0.0,12.0,177.0,2021.0,23.0,23.520142524898688
"administración y legislación","online","guayaquil","guayas",440.0,19.0,1389.0,228.0,0.0,0.0,12.0,0.0,2021.0,23.0,19.881060448253606
"administración y legislación","presencial","guayaquil","guayas",441.0,145.0,1389.0,1740.0,0.0,0.0,12.0,0.0,2021.0,23.0,19.006506036439305
"procesos industriales","presencial","guayaquil","guayas",443.0,38.0,1389.0,456.0,0.0,0.0,12.0,0.0,2021.0,23.0,20.41440995827088
"procesos industriales","online","guayaquil","guayas",444.0,38.0,1389.0,456.0,0.0,0.0,12.0,0.0,2021.0,23.0,20.13670304776167
"procesos industriales","online","guayaquil","guayas",446.0,20.0,1389.0,240.0,0.0,0.0,12.0,0.0,2021.0,23.0,20.302275762978184
"procesos industriales","online","guayaquil","guayas",450.0,14.0,1389.0,168.0,0.0,0.0,12.0,0.0,2021.0,23.0,20.358872435590342
"procesos industriales","presencial","guayaquil","guayas",451.0,26.0,1389.0,312.0,0.0,0.0,12.0,0.0,2021.0,23.0,20.527603303495198
"procesos industriales","online","guayaquil","guayas",452.0,26.0,1389.0,312.0,0.0,0.0,12.0,0.0,2021.0,23.0,20.24989639298599
