"area","provincia","id_fact_ci","total_cursos","volumen_capacitados","total_horas","carga_horaria","anio","num_cap","prediction(num_cap)"
"servicios socioculturales y a la comunidad","sin provincia",437.0,1.0,74.0,2960.0,40.0,2021.0,74.0,77.0
"servicios socioculturales y a la comunidad","pichincha",438.0,2.0,53.0,176.0,8.0,2021.0,22.0,12.0
"electricidad y electrónica","guayas",439.0,1.0,4.0,160.0,40.0,2021.0,4.0,4.0
"forestal ecología y medio ambiente","pichincha",441.0,4.0,115.0,288.0,16.0,2021.0,18.0,18.0
"forestal ecología y medio ambiente","pichincha",444.0,4.0,115.0,160.0,16.0,2021.0,10.0,10.0
"procesos industriales","guayas",448.0,4.0,673.0,12360.0,40.0,2021.0,309.0,361.0
"procesos industriales","guayas",449.0,4.0,673.0,840.0,40.0,2021.0,21.0,21.0
"educación y capacitación","el oro",451.0,2.0,208.0,8280.0,40.0,2021.0,207.0,200.33333333333334
"procesos industriales","pichincha",457.0,3.0,35.0,640.0,40.0,2021.0,16.0,16.0
"alimentación gastronomía y turismo","manabi",461.0,3.0,289.0,1720.0,40.0,2021.0,43.0,43.333333333333336
"alimentación gastronomía y turismo","manabi",463.0,3.0,289.0,1152.0,24.0,2021.0,48.0,46.5
"servicios socioculturales y a la comunidad","pichincha",469.0,6.0,184.0,1160.0,40.0,2021.0,29.0,31.0
"servicios socioculturales y a la comunidad","pichincha",470.0,6.0,184.0,1360.0,40.0,2021.0,34.0,34.0
"administración y legislación","pichincha",472.0,1.0,11.0,88.0,8.0,2021.0,11.0,9.5
"procesos industriales","pichincha",473.0,2.0,3.0,40.0,40.0,2021.0,1.0,1.0
"alimentación gastronomía y turismo","tungurahua",477.0,2.0,6.0,200.0,40.0,2021.0,5.0,5.0
"procesos industriales","guayas",479.0,4.0,93.0,120.0,40.0,2021.0,3.0,3.0
"procesos industriales","guayas",480.0,4.0,93.0,256.0,16.0,2021.0,16.0,16.0
"procesos industriales","guayas",481.0,4.0,93.0,1320.0,40.0,2021.0,33.0,34.0
"servicios socioculturales y a la comunidad","chimborazo",482.0,2.0,13.0,40.0,40.0,2021.0,1.0,1.0
"finanzas comercio y ventas","pichincha",484.0,2.0,6.0,72.0,24.0,2021.0,3.0,2.5
"mecánica automotriz","azuay",485.0,2.0,16.0,80.0,40.0,2021.0,2.0,2.0
"mecánica automotriz","azuay",486.0,2.0,16.0,448.0,32.0,2021.0,14.0,14.5
"servicios socioculturales y a la comunidad","azuay",487.0,3.0,72.0,24.0,24.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","azuay",488.0,3.0,72.0,2800.0,40.0,2021.0,70.0,69.5
"educación y capacitación","azuay",489.0,3.0,72.0,32.0,32.0,2021.0,1.0,1.0
"procesos industriales","pichincha",491.0,3.0,126.0,2320.0,40.0,2021.0,58.0,56.333333333333336
"educación y capacitación","pichincha",494.0,1.0,49.0,1960.0,40.0,2021.0,49.0,54.375
"alimentación gastronomía y turismo","pichincha",502.0,3.0,65.0,120.0,40.0,2021.0,3.0,3.0
"alimentación gastronomía y turismo","pichincha",504.0,3.0,65.0,2320.0,40.0,2021.0,58.0,56.333333333333336
"tecnologías de la información y comunicación","loja",505.0,1.0,2.0,48.0,24.0,2021.0,2.0,2.5
"procesos industriales","pichincha",511.0,4.0,231.0,8.0,8.0,2021.0,1.0,1.0
"procesos industriales","el oro",515.0,2.0,67.0,64.0,16.0,2021.0,4.0,4.0
"procesos industriales","el oro",516.0,2.0,67.0,2520.0,40.0,2021.0,63.0,63.666666666666664
"electricidad y electrónica","cañar",518.0,5.0,160.0,1984.0,32.0,2021.0,62.0,54.375
"electricidad y electrónica","cañar",520.0,5.0,160.0,80.0,40.0,2021.0,2.0,2.0
"procesos industriales","cañar",521.0,5.0,160.0,1520.0,40.0,2021.0,38.0,38.0
"administración y legislación","santa elena",523.0,3.0,56.0,832.0,32.0,2021.0,26.0,21.0
"administración y legislación","santa elena",524.0,3.0,56.0,1080.0,40.0,2021.0,27.0,28.0
"procesos industriales","sucumbios",526.0,1.0,28.0,448.0,16.0,2021.0,28.0,28.0
"educación y capacitación","pichincha",528.0,1.0,4.0,160.0,40.0,2021.0,4.0,4.0
"servicios socioculturales y a la comunidad","pichincha",530.0,1.0,99.0,3960.0,40.0,2021.0,99.0,99.0
"tecnologías de la información y comunicación","pichincha",532.0,3.0,171.0,280.0,40.0,2021.0,7.0,7.0
"administración y legislación","pichincha",533.0,3.0,171.0,3624.0,24.0,2021.0,151.0,148.5
"procesos industriales","pichincha",534.0,3.0,171.0,312.0,24.0,2021.0,13.0,13.666666666666666
"procesos industriales","guayas",535.0,1.0,15.0,360.0,24.0,2021.0,15.0,13.666666666666666
"administración y legislación","pichincha",536.0,2.0,74.0,2520.0,40.0,2021.0,63.0,63.666666666666664
"procesos industriales","guayas",545.0,1.0,21.0,504.0,24.0,2021.0,21.0,16.0
"administración y legislación","sin provincia",546.0,2.0,21.0,336.0,24.0,2021.0,14.0,13.666666666666666
"servicios socioculturales y a la comunidad","chimborazo",550.0,2.0,21.0,720.0,40.0,2021.0,18.0,18.0
"servicios socioculturales y a la comunidad","chimborazo",551.0,2.0,21.0,24.0,8.0,2021.0,3.0,4.5
"procesos industriales","santo domingo de los tsachilas",553.0,3.0,299.0,1224.0,8.0,2021.0,153.0,150.25
"procesos industriales","el oro",556.0,1.0,17.0,680.0,40.0,2021.0,17.0,17.0
"tecnologías de la información y comunicación","pichincha",557.0,1.0,42.0,1680.0,40.0,2021.0,42.0,41.5
"transporte y logística","pichincha",562.0,5.0,674.0,10360.0,40.0,2021.0,259.0,270.0
"procesos industriales","pichincha",563.0,5.0,674.0,2768.0,16.0,2021.0,173.0,177.0
"servicios socioculturales y a la comunidad","pichincha",565.0,5.0,674.0,7560.0,40.0,2021.0,189.0,200.33333333333334
"procesos industriales","pichincha",566.0,5.0,674.0,16.0,16.0,2021.0,1.0,1.0
"electricidad y electrónica","pichincha",567.0,2.0,125.0,3680.0,40.0,2021.0,92.0,90.33333333333333
"educación y capacitación","los rios",569.0,1.0,1.0,32.0,32.0,2021.0,1.0,1.0
"transporte y logística","sin provincia",571.0,1.0,5.0,80.0,16.0,2021.0,5.0,5.0
"transporte y logística","pichincha",572.0,1.0,94.0,2256.0,24.0,2021.0,94.0,86.0
"servicios socioculturales y a la comunidad","chimborazo",576.0,1.0,15.0,600.0,40.0,2021.0,15.0,14.8
"administración y legislación","pichincha",578.0,6.0,426.0,560.0,16.0,2021.0,35.0,34.0
"finanzas comercio y ventas","pichincha",579.0,6.0,426.0,3648.0,24.0,2021.0,152.0,148.5
"administración y legislación","pichincha",580.0,6.0,426.0,592.0,8.0,2021.0,74.0,150.25
"finanzas comercio y ventas","pichincha",581.0,6.0,426.0,288.0,24.0,2021.0,12.0,12.0
"educación y capacitación","pichincha",584.0,1.0,4.0,128.0,32.0,2021.0,4.0,4.5
"procesos industriales","pichincha",585.0,1.0,35.0,1400.0,40.0,2021.0,35.0,35.5
"administración y legislación","pichincha",586.0,1.0,2.0,48.0,24.0,2021.0,2.0,3.0
"procesos industriales","guayas",594.0,5.0,50.0,32.0,16.0,2021.0,2.0,2.0
"procesos industriales","guayas",595.0,5.0,50.0,320.0,40.0,2021.0,8.0,8.090909090909092
"tecnologías de la información y comunicación","azuay",599.0,3.0,239.0,4840.0,40.0,2021.0,121.0,109.66666666666667
"alimentación gastronomía y turismo","pichincha",600.0,1.0,307.0,12280.0,40.0,2021.0,307.0,398.3333333333333
"servicios socioculturales y a la comunidad","pichincha",602.0,1.0,50.0,400.0,8.0,2021.0,50.0,61.0
"administración y legislación","pichincha",603.0,1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"procesos industriales","pichincha",609.0,2.0,240.0,9520.0,40.0,2021.0,238.0,225.66666666666666
"finanzas comercio y ventas","pichincha",611.0,2.0,20.0,400.0,40.0,2021.0,10.0,10.0
"servicios socioculturales y a la comunidad","pichincha",612.0,2.0,94.0,64.0,16.0,2021.0,4.0,4.0
"servicios socioculturales y a la comunidad","pichincha",613.0,2.0,94.0,3600.0,40.0,2021.0,90.0,90.33333333333333
"administración y legislación","pichincha",616.0,1.0,7.0,280.0,40.0,2021.0,7.0,7.0
"educación y capacitación","pichincha",618.0,2.0,328.0,12760.0,40.0,2021.0,319.0,398.3333333333333
"educación y capacitación","chimborazo",621.0,2.0,13.0,480.0,40.0,2021.0,12.0,12.0
"educación y capacitación","azuay",624.0,1.0,167.0,6680.0,40.0,2021.0,167.0,150.66666666666666
"administración y legislación","pichincha",625.0,1.0,90.0,1440.0,16.0,2021.0,90.0,82.33333333333333
"educación y capacitación","sin provincia",629.0,3.0,13.0,128.0,16.0,2021.0,8.0,7.166666666666667
"comunicación y artes gráficas","pichincha",630.0,3.0,3.0,32.0,32.0,2021.0,1.0,1.0
"comunicación y artes gráficas","pichincha",631.0,3.0,3.0,40.0,40.0,2021.0,1.0,1.0
"comunicación y artes gráficas","pichincha",632.0,3.0,3.0,40.0,40.0,2021.0,1.0,1.0
"finanzas comercio y ventas","guayas",635.0,2.0,173.0,984.0,8.0,2021.0,123.0,150.25
"construcción e infraestructura","pichincha",636.0,1.0,31.0,992.0,32.0,2021.0,31.0,28.666666666666668
"administración y legislación","guayas",638.0,2.0,55.0,680.0,40.0,2021.0,17.0,17.0
"procesos industriales","pichincha",645.0,4.0,62.0,320.0,8.0,2021.0,40.0,41.0
"tecnologías de la información y comunicación","tungurahua",647.0,2.0,57.0,440.0,8.0,2021.0,55.0,61.0
"tecnologías de la información y comunicación","tungurahua",648.0,2.0,57.0,48.0,24.0,2021.0,2.0,2.5
"alimentación gastronomía y turismo","pichincha",651.0,4.0,35.0,64.0,16.0,2021.0,4.0,4.0
"alimentación gastronomía y turismo","pichincha",652.0,4.0,35.0,168.0,24.0,2021.0,7.0,7.0
"servicios socioculturales y a la comunidad","pichincha",658.0,3.0,858.0,23400.0,40.0,2021.0,585.0,567.3
"procesos industriales","pichincha",660.0,10.0,5192.0,3992.0,8.0,2021.0,499.0,337.0
"procesos industriales","pichincha",667.0,10.0,5192.0,5920.0,40.0,2021.0,148.0,890.0
