"area","provincia","num_cap","total_cursos","volumen_capacitados","carga_horaria","anio","total_horas","prediction(total_horas)"
"forestal ecología y medio ambiente","pichincha",13.0,2.0,21.0,16.0,2021.0,208.0,208.0
"educación y capacitación","pichincha",218.0,2.0,274.0,32.0,2021.0,6976.0,8170.0
"administración y legislación","pichincha",5.0,1.0,5.0,40.0,2021.0,200.0,200.0
"transporte y logística","pichincha",37.0,2.0,49.0,24.0,2021.0,888.0,912.0
"administración y legislación","imbabura",9.0,2.0,55.0,40.0,2021.0,360.0,348.0
"educación y capacitación","azuay",34.0,2.0,112.0,40.0,2021.0,1360.0,1340.0
"tecnologías de la información y comunicación","azuay",78.0,2.0,112.0,40.0,2021.0,3120.0,3053.3333333333335
"procesos industriales","pichincha",40.0,5.0,238.0,8.0,2021.0,320.0,316.0
"procesos industriales","pichincha",9.0,5.0,238.0,16.0,2021.0,144.0,144.0
"procesos industriales","pichincha",11.0,5.0,238.0,40.0,2021.0,440.0,440.0
"procesos industriales","pichincha",138.0,5.0,238.0,40.0,2021.0,5520.0,5093.333333333333
"construcción e infraestructura","cañar",5.0,1.0,5.0,40.0,2021.0,200.0,200.0
"forestal ecología y medio ambiente","loja",45.0,4.0,304.0,24.0,2021.0,1080.0,1096.0
"procesos industriales","sin provincia",41.0,7.0,172.0,8.0,2021.0,328.0,328.0
"procesos industriales","sin provincia",21.0,7.0,172.0,8.0,2021.0,168.0,156.0
"forestal ecología y medio ambiente","guayas",6.0,3.0,228.0,16.0,2021.0,96.0,96.0
"procesos industriales","guayas",219.0,3.0,228.0,8.0,2021.0,1752.0,2240.0
"procesos industriales","el oro",3.0,1.0,3.0,40.0,2021.0,120.0,120.0
"forestal ecología y medio ambiente","pastaza",8.0,1.0,8.0,40.0,2021.0,320.0,320.0
"alimentación gastronomía y turismo","tungurahua",40.0,3.0,110.0,40.0,2021.0,1600.0,1613.3333333333333
"alimentación gastronomía y turismo","tungurahua",46.0,3.0,110.0,40.0,2021.0,1840.0,1840.0
"administración y legislación","santo domingo de los tsachilas",1.0,6.0,62.0,24.0,2021.0,24.0,24.0
"administración y legislación","santo domingo de los tsachilas",1.0,6.0,62.0,40.0,2021.0,40.0,40.0
"administración y legislación","santo domingo de los tsachilas",1.0,6.0,62.0,40.0,2021.0,40.0,40.0
"administración y legislación","santo domingo de los tsachilas",18.0,6.0,62.0,32.0,2021.0,576.0,618.6666666666666
"educación y capacitación","santo domingo de los tsachilas",20.0,6.0,62.0,40.0,2021.0,800.0,773.3333333333334
"procesos industriales","pichincha",343.0,4.0,1046.0,40.0,2021.0,13720.0,13640.0
"procesos industriales","guayas",24.0,2.0,28.0,16.0,2021.0,384.0,384.0
"procesos industriales","guayas",4.0,2.0,28.0,40.0,2021.0,160.0,160.0
"servicios socioculturales y a la comunidad","pichincha",1.0,1.0,1.0,24.0,2021.0,24.0,24.0
"administración y legislación","pichincha",1.0,1.0,1.0,8.0,2021.0,8.0,8.0
"procesos industriales","pichincha",34.0,2.0,39.0,24.0,2021.0,816.0,756.0
"tecnologías de la información y comunicación","guayas",2.0,2.0,7.0,24.0,2021.0,48.0,64.0
"procesos industriales","chimborazo",33.0,2.0,45.0,16.0,2021.0,528.0,544.0
"artes y artesanía","pichincha",1.0,1.0,1.0,40.0,2021.0,40.0,40.0
"tecnologías de la información y comunicación","sucumbios",73.0,1.0,73.0,40.0,2021.0,2920.0,2780.0
"procesos industriales","guayas",10.0,1.0,10.0,8.0,2021.0,80.0,76.0
"forestal ecología y medio ambiente","pastaza",1.0,1.0,1.0,24.0,2021.0,24.0,24.0
"alimentación gastronomía y turismo","guayas",1.0,3.0,4.0,40.0,2021.0,40.0,40.0
"alimentación gastronomía y turismo","guayas",1.0,3.0,4.0,40.0,2021.0,40.0,40.0
"educación y capacitación","cotopaxi",185.0,2.0,312.0,40.0,2021.0,7400.0,7290.0
"procesos industriales","pichincha",3.0,1.0,3.0,16.0,2021.0,48.0,48.0
"procesos industriales","azuay",16.0,4.0,77.0,40.0,2021.0,640.0,640.0
"forestal ecología y medio ambiente","azuay",4.0,4.0,77.0,24.0,2021.0,96.0,96.0
"finanzas comercio y ventas","pichincha",301.0,4.0,872.0,40.0,2021.0,12040.0,9708.0
"administración y legislación","cotopaxi",6.0,3.0,64.0,40.0,2021.0,240.0,240.0
"administración y legislación","cotopaxi",47.0,3.0,64.0,16.0,2021.0,752.0,757.3333333333334
"finanzas comercio y ventas","imbabura",18.0,2.0,44.0,8.0,2021.0,144.0,156.0
"educación y capacitación","pichincha",9.0,2.0,12.0,24.0,2021.0,216.0,232.0
"educación y capacitación","guayas",1.0,2.0,15.0,32.0,2021.0,32.0,32.0
"servicios socioculturales y a la comunidad","pichincha",13.0,1.0,13.0,24.0,2021.0,312.0,300.0
"alimentación gastronomía y turismo","el oro",28.0,1.0,28.0,40.0,2021.0,1120.0,1120.0
"finanzas comercio y ventas","guayas",16.0,1.0,16.0,8.0,2021.0,128.0,106.0
"alimentación gastronomía y turismo","manabi",7.0,2.0,84.0,40.0,2021.0,280.0,280.0
"procesos industriales","santa elena",16.0,1.0,16.0,16.0,2021.0,256.0,256.0
"procesos industriales","pichincha",32.0,2.0,34.0,40.0,2021.0,1280.0,1240.0
"procesos industriales","guayas",180.0,2.0,211.0,8.0,2021.0,1440.0,2240.0
"procesos industriales","guayas",31.0,2.0,211.0,40.0,2021.0,1240.0,1240.0
"administración y legislación","guayas",572.0,2.0,582.0,24.0,2021.0,13728.0,12789.333333333334
"educación y capacitación","guayas",7.0,3.0,96.0,40.0,2021.0,280.0,280.0
"educación y capacitación","guayas",37.0,3.0,96.0,32.0,2021.0,1184.0,1120.0
"educación y capacitación","imbabura",18.0,4.0,556.0,32.0,2021.0,576.0,618.6666666666666
"educación y capacitación","imbabura",8.0,4.0,556.0,40.0,2021.0,320.0,320.0
"educación y capacitación","pichincha",23.0,2.0,85.0,24.0,2021.0,552.0,464.0
"educación y capacitación","guayas",7.0,1.0,7.0,32.0,2021.0,224.0,280.0
"administración y legislación","cañar",7.0,1.0,7.0,32.0,2021.0,224.0,280.0
"comunicación y artes gráficas","pichincha",92.0,1.0,92.0,40.0,2021.0,3680.0,3613.3333333333335
"educación y capacitación","azuay",102.0,1.0,102.0,40.0,2021.0,4080.0,4094.8571428571427
"administración y legislación","pichincha",60.0,2.0,68.0,16.0,2021.0,960.0,944.0
"procesos industriales","cotopaxi",14.0,2.0,15.0,24.0,2021.0,336.0,336.0
"procesos industriales","cotopaxi",1.0,2.0,15.0,16.0,2021.0,16.0,16.0
"administración y legislación","guayas",50.0,5.0,1066.0,16.0,2021.0,800.0,757.3333333333334
"finanzas comercio y ventas","pichincha",17.0,1.0,17.0,24.0,2021.0,408.0,384.0
"procesos industriales","pichincha",8.0,2.0,12.0,40.0,2021.0,320.0,320.0
"procesos industriales","cotopaxi",205.0,2.0,206.0,40.0,2021.0,8200.0,8170.0
"administración y legislación","cotopaxi",1.0,2.0,206.0,40.0,2021.0,40.0,40.0
"procesos industriales","azuay",1.0,3.0,21.0,40.0,2021.0,40.0,40.0
"tecnologías de la información y comunicación","azuay",3.0,3.0,21.0,40.0,2021.0,120.0,120.0
"educación y capacitación","pichincha",66.0,3.0,355.0,40.0,2021.0,2640.0,2600.0
"servicios socioculturales y a la comunidad","pichincha",282.0,3.0,355.0,40.0,2021.0,11280.0,9708.0
"administración y legislación","pichincha",12.0,3.0,36.0,40.0,2021.0,480.0,480.0
"forestal ecología y medio ambiente","manabi",19.0,1.0,19.0,16.0,2021.0,304.0,320.0
"administración y legislación","guayas",161.0,3.0,263.0,32.0,2021.0,5152.0,5194.666666666667
"procesos industriales","guayas",100.0,3.0,263.0,16.0,2021.0,1600.0,1616.0
"educación y capacitación","pichincha",23.0,1.0,23.0,40.0,2021.0,920.0,920.0
"educación y capacitación","tungurahua",8.0,1.0,8.0,40.0,2021.0,320.0,320.0
"educación y capacitación","cotopaxi",16.0,1.0,16.0,40.0,2021.0,640.0,640.0
"administración y legislación","tungurahua",99.0,1.0,99.0,16.0,2021.0,1584.0,1616.0
"procesos industriales","tungurahua",106.0,1.0,106.0,40.0,2021.0,4240.0,4094.8571428571427
"procesos industriales","santo domingo de los tsachilas",40.0,2.0,47.0,40.0,2021.0,1600.0,1613.3333333333333
"tecnologías de la información y comunicación","sin provincia",1.0,1.0,1.0,40.0,2021.0,40.0,40.0
"administración y legislación","pichincha",15.0,4.0,507.0,16.0,2021.0,240.0,224.0
"administración y legislación","pichincha",23.0,2.0,24.0,16.0,2021.0,368.0,368.0
"servicios socioculturales y a la comunidad","pichincha",33.0,3.0,86.0,40.0,2021.0,1320.0,1340.0
"alimentación gastronomía y turismo","loja",3.0,2.0,11.0,40.0,2021.0,120.0,120.0
"procesos industriales","tungurahua",4.0,1.0,4.0,40.0,2021.0,160.0,160.0
"administración y legislación","loja",13.0,1.0,13.0,40.0,2021.0,520.0,533.3333333333334
"transporte y logística","pichincha",124.0,1.0,124.0,40.0,2021.0,4960.0,5300.0
"servicios socioculturales y a la comunidad","pichincha",24.0,1.0,24.0,40.0,2021.0,960.0,960.0
"administración y legislación","pichincha",3.0,1.0,3.0,32.0,2021.0,96.0,96.0
"procesos industriales","pichincha",2.0,1.0,2.0,16.0,2021.0,32.0,32.0
"administración y legislación","pichincha",26.0,2.0,37.0,16.0,2021.0,416.0,426.6666666666667
"procesos industriales","guayas",7.0,2.0,9.0,8.0,2021.0,56.0,56.0
"finanzas comercio y ventas","manabi",6.0,2.0,13.0,24.0,2021.0,144.0,160.0
"finanzas comercio y ventas","manabi",7.0,2.0,13.0,32.0,2021.0,224.0,280.0
"administración y legislación","pichincha",331.0,4.0,883.0,40.0,2021.0,13240.0,13640.0
"administración y legislación","pichincha",471.0,4.0,883.0,16.0,2021.0,7536.0,7368.0
"forestal ecología y medio ambiente","tungurahua",37.0,2.0,49.0,16.0,2021.0,592.0,584.0
"educación y capacitación","guayas",1.0,1.0,1.0,40.0,2021.0,40.0,40.0
"finanzas comercio y ventas","sin provincia",11.0,3.0,42.0,40.0,2021.0,440.0,440.0
"finanzas comercio y ventas","loja",25.0,3.0,124.0,40.0,2021.0,1000.0,1000.0
"procesos industriales","imbabura",5.0,2.0,59.0,32.0,2021.0,160.0,160.0
"procesos industriales","imbabura",54.0,2.0,59.0,16.0,2021.0,864.0,860.0
"procesos industriales","guayas",74.0,3.0,257.0,8.0,2021.0,592.0,572.0
"administración y legislación","pichincha",12.0,1.0,12.0,32.0,2021.0,384.0,480.0
"tecnologías de la información y comunicación","pichincha",6.0,1.0,6.0,16.0,2021.0,96.0,96.0
"educación y capacitación","sin provincia",5.0,2.0,15.0,40.0,2021.0,200.0,200.0
"servicios socioculturales y a la comunidad","los rios",54.0,10.0,258.0,40.0,2021.0,2160.0,2190.0
"procesos industriales","los rios",48.0,10.0,258.0,8.0,2021.0,384.0,572.0
"procesos industriales","los rios",64.0,10.0,258.0,8.0,2021.0,512.0,572.0
"procesos industriales","los rios",8.0,10.0,258.0,40.0,2021.0,320.0,320.0
"procesos industriales","los rios",11.0,10.0,258.0,16.0,2021.0,176.0,176.0
"procesos industriales","guayas",2.0,2.0,6.0,8.0,2021.0,16.0,16.0
"procesos industriales","guayas",4.0,2.0,6.0,16.0,2021.0,64.0,64.0
"educación y capacitación","guayas",8.0,3.0,17.0,24.0,2021.0,192.0,160.0
"forestal ecología y medio ambiente","sin provincia",11.0,2.0,54.0,40.0,2021.0,440.0,440.0
"procesos industriales","azuay",47.0,2.0,94.0,16.0,2021.0,752.0,757.3333333333334
"procesos industriales","guayas",26.0,2.0,110.0,16.0,2021.0,416.0,426.6666666666667
"servicios socioculturales y a la comunidad","guayas",29.0,2.0,270.0,40.0,2021.0,1160.0,1160.0
"transporte y logística","pichincha",7.0,3.0,36.0,16.0,2021.0,112.0,112.0
"finanzas comercio y ventas","cotopaxi",1.0,3.0,58.0,40.0,2021.0,40.0,40.0
"electricidad y electrónica","cotopaxi",6.0,2.0,36.0,24.0,2021.0,144.0,160.0
"electricidad y electrónica","cotopaxi",30.0,2.0,36.0,32.0,2021.0,960.0,917.3333333333334
"procesos industriales","guayas",9.0,1.0,9.0,8.0,2021.0,72.0,76.0
"tecnologías de la información y comunicación","azuay",84.0,2.0,94.0,8.0,2021.0,672.0,456.0
"transporte y logística","azuay",10.0,2.0,94.0,40.0,2021.0,400.0,400.0
"tecnologías de la información y comunicación","imbabura",56.0,2.0,81.0,24.0,2021.0,1344.0,1416.0
"procesos industriales","pichincha",26.0,1.0,26.0,24.0,2021.0,624.0,624.0
"servicios socioculturales y a la comunidad","guayas",1.0,3.0,373.0,16.0,2021.0,16.0,16.0
"servicios socioculturales y a la comunidad","guayas",10.0,3.0,373.0,8.0,2021.0,80.0,76.0
"administración y legislación","pichincha",17.0,1.0,17.0,32.0,2021.0,544.0,618.6666666666666
"procesos industriales","guayas",9.0,3.0,30.0,40.0,2021.0,360.0,348.0
"procesos industriales","santo domingo de los tsachilas",15.0,1.0,15.0,40.0,2021.0,600.0,600.0
"finanzas comercio y ventas","guayas",1.0,5.0,95.0,24.0,2021.0,24.0,24.0
"servicios socioculturales y a la comunidad","pichincha",21.0,1.0,21.0,40.0,2021.0,840.0,840.0
"servicios socioculturales y a la comunidad","guayas",9.0,4.0,234.0,40.0,2021.0,360.0,348.0
"educación y capacitación","guayas",65.0,3.0,174.0,40.0,2021.0,2600.0,2600.0
"finanzas comercio y ventas","guayas",7.0,3.0,16.0,32.0,2021.0,224.0,280.0
"administración y legislación","pichincha",5.0,2.0,10.0,8.0,2021.0,40.0,36.0
"tecnologías de la información y comunicación","guayas",2.0,1.0,2.0,40.0,2021.0,80.0,80.0
"servicios socioculturales y a la comunidad","sin provincia",74.0,1.0,74.0,40.0,2021.0,2960.0,3053.3333333333335
"servicios socioculturales y a la comunidad","pichincha",22.0,2.0,53.0,8.0,2021.0,176.0,156.0
"electricidad y electrónica","guayas",4.0,1.0,4.0,40.0,2021.0,160.0,160.0
"forestal ecología y medio ambiente","pichincha",18.0,4.0,115.0,16.0,2021.0,288.0,288.0
"forestal ecología y medio ambiente","pichincha",10.0,4.0,115.0,16.0,2021.0,160.0,160.0
"procesos industriales","guayas",309.0,4.0,673.0,40.0,2021.0,12360.0,9708.0
"procesos industriales","guayas",21.0,4.0,673.0,40.0,2021.0,840.0,840.0
"educación y capacitación","el oro",207.0,2.0,208.0,40.0,2021.0,8280.0,8170.0
"procesos industriales","pichincha",16.0,3.0,35.0,40.0,2021.0,640.0,640.0
"alimentación gastronomía y turismo","manabi",43.0,3.0,289.0,40.0,2021.0,1720.0,1706.6666666666667
"alimentación gastronomía y turismo","manabi",48.0,3.0,289.0,24.0,2021.0,1152.0,1096.0
"servicios socioculturales y a la comunidad","pichincha",29.0,6.0,184.0,40.0,2021.0,1160.0,1160.0
"servicios socioculturales y a la comunidad","pichincha",34.0,6.0,184.0,40.0,2021.0,1360.0,1340.0
"administración y legislación","pichincha",11.0,1.0,11.0,8.0,2021.0,88.0,96.0
"procesos industriales","pichincha",1.0,2.0,3.0,40.0,2021.0,40.0,40.0
"alimentación gastronomía y turismo","tungurahua",5.0,2.0,6.0,40.0,2021.0,200.0,200.0
"procesos industriales","guayas",3.0,4.0,93.0,40.0,2021.0,120.0,120.0
"procesos industriales","guayas",16.0,4.0,93.0,16.0,2021.0,256.0,256.0
"procesos industriales","guayas",33.0,4.0,93.0,40.0,2021.0,1320.0,1340.0
"servicios socioculturales y a la comunidad","chimborazo",1.0,2.0,13.0,40.0,2021.0,40.0,40.0
"finanzas comercio y ventas","pichincha",3.0,2.0,6.0,24.0,2021.0,72.0,72.0
"mecánica automotriz","azuay",2.0,2.0,16.0,40.0,2021.0,80.0,80.0
"mecánica automotriz","azuay",14.0,2.0,16.0,32.0,2021.0,448.0,448.0
"servicios socioculturales y a la comunidad","azuay",1.0,3.0,72.0,24.0,2021.0,24.0,24.0
"servicios socioculturales y a la comunidad","azuay",70.0,3.0,72.0,40.0,2021.0,2800.0,2780.0
"educación y capacitación","azuay",1.0,3.0,72.0,32.0,2021.0,32.0,32.0
"procesos industriales","pichincha",58.0,3.0,126.0,40.0,2021.0,2320.0,2440.0
"educación y capacitación","pichincha",49.0,1.0,49.0,40.0,2021.0,1960.0,1853.3333333333333
"alimentación gastronomía y turismo","pichincha",3.0,3.0,65.0,40.0,2021.0,120.0,120.0
"alimentación gastronomía y turismo","pichincha",58.0,3.0,65.0,40.0,2021.0,2320.0,2440.0
"tecnologías de la información y comunicación","loja",2.0,1.0,2.0,24.0,2021.0,48.0,64.0
"procesos industriales","pichincha",1.0,4.0,231.0,8.0,2021.0,8.0,8.0
"procesos industriales","el oro",4.0,2.0,67.0,16.0,2021.0,64.0,64.0
"procesos industriales","el oro",63.0,2.0,67.0,40.0,2021.0,2520.0,2546.6666666666665
"electricidad y electrónica","cañar",62.0,5.0,160.0,32.0,2021.0,1984.0,2440.0
"electricidad y electrónica","cañar",2.0,5.0,160.0,40.0,2021.0,80.0,80.0
"procesos industriales","cañar",38.0,5.0,160.0,40.0,2021.0,1520.0,1520.0
"administración y legislación","santa elena",26.0,3.0,56.0,32.0,2021.0,832.0,917.3333333333334
"administración y legislación","santa elena",27.0,3.0,56.0,40.0,2021.0,1080.0,1048.0
"procesos industriales","sucumbios",28.0,1.0,28.0,16.0,2021.0,448.0,448.0
"educación y capacitación","pichincha",4.0,1.0,4.0,40.0,2021.0,160.0,160.0
"servicios socioculturales y a la comunidad","pichincha",99.0,1.0,99.0,40.0,2021.0,3960.0,4094.8571428571427
"tecnologías de la información y comunicación","pichincha",7.0,3.0,171.0,40.0,2021.0,280.0,280.0
"administración y legislación","pichincha",151.0,3.0,171.0,24.0,2021.0,3624.0,3112.0
"procesos industriales","pichincha",13.0,3.0,171.0,24.0,2021.0,312.0,288.0
"procesos industriales","guayas",15.0,1.0,15.0,24.0,2021.0,360.0,336.0
"administración y legislación","pichincha",63.0,2.0,74.0,40.0,2021.0,2520.0,2546.6666666666665
"procesos industriales","guayas",21.0,1.0,21.0,24.0,2021.0,504.0,464.0
"administración y legislación","sin provincia",14.0,2.0,21.0,24.0,2021.0,336.0,336.0
"servicios socioculturales y a la comunidad","chimborazo",18.0,2.0,21.0,40.0,2021.0,720.0,720.0
"servicios socioculturales y a la comunidad","chimborazo",3.0,2.0,21.0,8.0,2021.0,24.0,24.0
"procesos industriales","santo domingo de los tsachilas",153.0,3.0,299.0,8.0,2021.0,1224.0,1269.3333333333333
"procesos industriales","el oro",17.0,1.0,17.0,40.0,2021.0,680.0,680.0
"tecnologías de la información y comunicación","pichincha",42.0,1.0,42.0,40.0,2021.0,1680.0,1706.6666666666667
"transporte y logística","pichincha",259.0,5.0,674.0,40.0,2021.0,10360.0,9708.0
"procesos industriales","pichincha",173.0,5.0,674.0,16.0,2021.0,2768.0,3109.3333333333335
"servicios socioculturales y a la comunidad","pichincha",189.0,5.0,674.0,40.0,2021.0,7560.0,7290.0
"procesos industriales","pichincha",1.0,5.0,674.0,16.0,2021.0,16.0,16.0
"electricidad y electrónica","pichincha",92.0,2.0,125.0,40.0,2021.0,3680.0,3613.3333333333335
"educación y capacitación","los rios",1.0,1.0,1.0,32.0,2021.0,32.0,32.0
"transporte y logística","sin provincia",5.0,1.0,5.0,16.0,2021.0,80.0,80.0
"transporte y logística","pichincha",94.0,1.0,94.0,24.0,2021.0,2256.0,3112.0
"servicios socioculturales y a la comunidad","chimborazo",15.0,1.0,15.0,40.0,2021.0,600.0,600.0
"administración y legislación","pichincha",35.0,6.0,426.0,16.0,2021.0,560.0,544.0
"finanzas comercio y ventas","pichincha",152.0,6.0,426.0,24.0,2021.0,3648.0,3112.0
"administración y legislación","pichincha",74.0,6.0,426.0,8.0,2021.0,592.0,572.0
"finanzas comercio y ventas","pichincha",12.0,6.0,426.0,24.0,2021.0,288.0,288.0
"educación y capacitación","pichincha",4.0,1.0,4.0,32.0,2021.0,128.0,128.0
"procesos industriales","pichincha",35.0,1.0,35.0,40.0,2021.0,1400.0,1420.0
"administración y legislación","pichincha",2.0,1.0,2.0,24.0,2021.0,48.0,64.0
"procesos industriales","guayas",2.0,5.0,50.0,16.0,2021.0,32.0,32.0
"procesos industriales","guayas",8.0,5.0,50.0,40.0,2021.0,320.0,320.0
"tecnologías de la información y comunicación","azuay",121.0,3.0,239.0,40.0,2021.0,4840.0,4740.0
"alimentación gastronomía y turismo","pichincha",307.0,1.0,307.0,40.0,2021.0,12280.0,9708.0
"servicios socioculturales y a la comunidad","pichincha",50.0,1.0,50.0,8.0,2021.0,400.0,512.0
"administración y legislación","pichincha",1.0,1.0,1.0,24.0,2021.0,24.0,24.0
"procesos industriales","pichincha",238.0,2.0,240.0,40.0,2021.0,9520.0,9708.0
"finanzas comercio y ventas","pichincha",10.0,2.0,20.0,40.0,2021.0,400.0,400.0
"servicios socioculturales y a la comunidad","pichincha",4.0,2.0,94.0,16.0,2021.0,64.0,64.0
"servicios socioculturales y a la comunidad","pichincha",90.0,2.0,94.0,40.0,2021.0,3600.0,3613.3333333333335
"administración y legislación","pichincha",7.0,1.0,7.0,40.0,2021.0,280.0,280.0
"educación y capacitación","pichincha",319.0,2.0,328.0,40.0,2021.0,12760.0,9708.0
"educación y capacitación","chimborazo",12.0,2.0,13.0,40.0,2021.0,480.0,480.0
"educación y capacitación","azuay",167.0,1.0,167.0,40.0,2021.0,6680.0,6420.0
"administración y legislación","pichincha",90.0,1.0,90.0,16.0,2021.0,1440.0,1616.0
"educación y capacitación","sin provincia",8.0,3.0,13.0,16.0,2021.0,128.0,112.0
"comunicación y artes gráficas","pichincha",1.0,3.0,3.0,32.0,2021.0,32.0,32.0
"comunicación y artes gráficas","pichincha",1.0,3.0,3.0,40.0,2021.0,40.0,40.0
"comunicación y artes gráficas","pichincha",1.0,3.0,3.0,40.0,2021.0,40.0,40.0
"finanzas comercio y ventas","guayas",123.0,2.0,173.0,8.0,2021.0,984.0,888.0
"construcción e infraestructura","pichincha",31.0,1.0,31.0,32.0,2021.0,992.0,1120.0
"administración y legislación","guayas",17.0,2.0,55.0,40.0,2021.0,680.0,680.0
"procesos industriales","pichincha",40.0,4.0,62.0,8.0,2021.0,320.0,316.0
"tecnologías de la información y comunicación","tungurahua",55.0,2.0,57.0,8.0,2021.0,440.0,456.0
"tecnologías de la información y comunicación","tungurahua",2.0,2.0,57.0,24.0,2021.0,48.0,48.0
"alimentación gastronomía y turismo","pichincha",4.0,4.0,35.0,16.0,2021.0,64.0,64.0
"alimentación gastronomía y turismo","pichincha",7.0,4.0,35.0,24.0,2021.0,168.0,160.0
"servicios socioculturales y a la comunidad","pichincha",585.0,3.0,858.0,40.0,2021.0,23400.0,26656.0
"procesos industriales","pichincha",499.0,10.0,5192.0,8.0,2021.0,3992.0,7740.0
"procesos industriales","pichincha",148.0,10.0,5192.0,40.0,2021.0,5920.0,42760.0
"administración y legislación","guayas",3.0,5.0,39.0,24.0,2021.0,72.0,72.0
"procesos industriales","guayas",4.0,5.0,39.0,16.0,2021.0,64.0,64.0
"procesos industriales","tungurahua",2.0,3.0,110.0,40.0,2021.0,80.0,80.0
"administración y legislación","tungurahua",3.0,3.0,110.0,40.0,2021.0,120.0,120.0
"procesos industriales","loja",2.0,1.0,2.0,16.0,2021.0,32.0,32.0
"finanzas comercio y ventas","pichincha",1.0,1.0,1.0,40.0,2021.0,40.0,40.0
"servicios socioculturales y a la comunidad","manabi",8.0,2.0,58.0,40.0,2021.0,320.0,320.0
"administración y legislación","pichincha",20.0,2.0,44.0,40.0,2021.0,800.0,760.0
"educación y capacitación","pichincha",398.0,2.0,785.0,32.0,2021.0,12736.0,15933.333333333334
"finanzas comercio y ventas","sin provincia",112.0,3.0,255.0,40.0,2021.0,4480.0,4094.8571428571427
"administración y legislación","tungurahua",1.0,1.0,1.0,16.0,2021.0,16.0,16.0
"educación y capacitación","pichincha",1.0,2.0,2.0,40.0,2021.0,40.0,40.0
"procesos industriales","manabi",3.0,4.0,11.0,40.0,2021.0,120.0,120.0
"procesos industriales","manabi",3.0,4.0,11.0,40.0,2021.0,120.0,120.0
"administración y legislación","manabi",70.0,2.0,140.0,32.0,2021.0,2240.0,2240.0
"comunicación y artes gráficas","el oro",15.0,2.0,31.0,40.0,2021.0,600.0,600.0
"comunicación y artes gráficas","el oro",16.0,2.0,31.0,40.0,2021.0,640.0,640.0
"procesos industriales","pichincha",7.0,2.0,11.0,40.0,2021.0,280.0,280.0
"educación y capacitación","azuay",8.0,5.0,61.0,40.0,2021.0,320.0,320.0
"forestal ecología y medio ambiente","azuay",6.0,5.0,61.0,40.0,2021.0,240.0,240.0
"procesos industriales","los rios",11.0,1.0,11.0,8.0,2021.0,88.0,106.0
"educación y capacitación","pichincha",107.0,1.0,107.0,16.0,2022.0,1712.0,1616.0
"administración y legislación","pichincha",3.0,1.0,3.0,40.0,2022.0,120.0,120.0
"procesos industriales","los rios",130.0,2.0,165.0,24.0,2022.0,3120.0,3112.0
"servicios socioculturales y a la comunidad","los rios",35.0,2.0,165.0,40.0,2022.0,1400.0,1420.0
