"area_familia","modalidad","canton","provincia","id_fact_oc","num_cap_cer","total_cursos","total_horas","total_ganancias","%_asistencia","carga_horaria","costo","anio","volumen_capacitados","confidence(range2)","confidence(range1)","prediction(volumen_capacitados)","cost"
"tecnologías de la información y comunicación","presencial","quito","pichincha",171.0,19.0,23.0,760.0,7349.2,0.1583333333333333,40.0,386.8,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"tecnologías de la información y comunicación","presencial","quito","pichincha",172.0,5.0,23.0,200.0,800.0,0.0416666666666666,40.0,160.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"tecnologías de la información y comunicación","presencial","quito","pichincha",173.0,15.0,23.0,600.0,1998.0,0.125,40.0,133.2,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"tecnologías de la información y comunicación","presencial","quito","pichincha",175.0,26.0,23.0,1040.0,6936.8,0.2166666666666666,40.0,266.8,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"tecnologías de la información y comunicación","presencial","quito","pichincha",178.0,3.0,14.0,120.0,1160.4,0.025,40.0,386.8,2019.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"procesos industriales","presencial","quito","pichincha",190.0,13.0,12.0,520.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"procesos industriales","presencial","quito","pichincha",191.0,40.0,12.0,1600.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.48824439237026834,0.5117556076297317,"range1",0.02351121525946337
"procesos industriales","presencial","quito","pichincha",192.0,56.0,12.0,2240.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.48824439237026834,0.5117556076297317,"range1",0.02351121525946337
"procesos industriales","presencial","quito","pichincha",201.0,13.0,12.0,416.0,0.0,0.0,32.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"educación y capacitación","presencial","quito","pichincha",203.0,18.0,12.0,720.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"servicios socioculturales y a la comunidad","presencial","quito","pichincha",206.0,10.0,4.0,1000.0,0.0,0.0,100.0,0.0,2019.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"alimentación gastronomía y turismo","presencial","daule","guayas",211.0,15.0,4.0,1800.0,0.0,0.0,120.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"alimentación gastronomía y turismo","presencial","daule","guayas",214.0,13.0,2.0,4056.0,0.0,0.0,312.0,0.0,2018.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"alimentación gastronomía y turismo","presencial","daule","guayas",215.0,44.0,2.0,13728.0,0.0,0.0,312.0,0.0,2019.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"alimentación gastronomía y turismo","presencial","daule","guayas",216.0,10.0,2.0,3120.0,0.0,0.0,312.0,0.0,2019.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"educación y capacitación","presencial","quito","pichincha",217.0,210.0,1.0,16800.0,0.0,0.0,80.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"tecnologías de la información y comunicación","presencial","quito","pichincha",218.0,2.0,40.0,60.0,580.2,0.0071377587437544,30.0,290.1,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"tecnologías de la información y comunicación","presencial","quito","pichincha",224.0,176.0,40.0,5280.0,16473.6,0.6281227694503926,30.0,93.6,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"tecnologías de la información y comunicación","presencial","quito","pichincha",226.0,21.0,40.0,630.0,1417.5,0.0749464668094218,30.0,67.5,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"tecnologías de la información y comunicación","presencial","quito","pichincha",231.0,32.0,40.0,960.0,10080.0,0.1142041399000713,30.0,315.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"comunicación y artes gráficas","presencial","quito","pichincha",232.0,255.0,40.0,5100.0,0.0,0.9100642398286938,20.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"tecnologías de la información y comunicación","presencial","quito","pichincha",236.0,30.0,40.0,600.0,2400.0,0.1070663811563169,20.0,80.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"tecnologías de la información y comunicación","presencial","quito","pichincha",237.0,7.0,40.0,210.0,1875.3,0.0249821556031406,30.0,267.9,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"educación y capacitación","presencial","ibarra","imbabura",242.0,45.0,8.0,8640.0,0.0,0.0,192.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"educación y capacitación","presencial","ibarra","imbabura",243.0,73.0,8.0,11096.0,0.0,0.0,152.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"finanzas comercio y ventas","presencial","guayaquil","guayas",245.0,29.0,7.0,3480.0,0.0,0.0,120.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"procesos industriales","presencial","guayaquil","guayas",247.0,5.0,7.0,100.0,0.0,0.0,20.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"procesos industriales","presencial","guayaquil","guayas",248.0,5.0,7.0,80.0,0.0,0.0,16.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"procesos industriales","presencial","guayaquil","guayas",250.0,6.0,7.0,120.0,0.0,0.0,20.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"electricidad y electrónica","presencial","quito","pichincha",253.0,22.0,38.0,1320.0,0.0,0.0,60.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","presencial","quito","pichincha",259.0,17.0,38.0,170.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"electricidad y electrónica","online","quito","pichincha",266.0,33.0,38.0,1320.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"electricidad y electrónica","presencial","quito","pichincha",269.0,22.0,38.0,2200.0,0.0,0.0,100.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"electricidad y electrónica","presencial","quito","pichincha",271.0,3.0,38.0,60.0,0.0,0.0,20.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","presencial","quito","pichincha",282.0,169.0,38.0,1690.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","online","quito","pichincha",285.0,15.0,38.0,1500.0,0.0,0.0,100.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"electricidad y electrónica","online","quito","pichincha",287.0,25.0,38.0,1000.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"electricidad y electrónica","presencial","quito","pichincha",288.0,25.0,38.0,1500.0,0.0,0.0,60.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","presencial","quito","pichincha",289.0,28.0,38.0,1680.0,0.0,0.0,60.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","online","quito","pichincha",292.0,248.0,38.0,4464.0,0.0,0.0,18.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","presencial","quito","pichincha",296.0,14.0,38.0,140.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","online","quito","pichincha",297.0,14.0,38.0,140.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","presencial","quito","pichincha",298.0,113.0,38.0,1130.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","online","quito","pichincha",302.0,194.0,38.0,4656.0,0.0,0.0,24.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","online","quito","pichincha",303.0,194.0,38.0,1940.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","presencial","quito","pichincha",304.0,194.0,38.0,7760.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","presencial","quito","pichincha",307.0,194.0,38.0,3880.0,0.0,0.0,20.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","presencial","quito","pichincha",309.0,9.0,38.0,144.0,0.0,0.0,16.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","online","quito","pichincha",310.0,9.0,38.0,90.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","presencial","quito","pichincha",311.0,143.0,38.0,5148.0,0.0,0.0,36.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","presencial","quito","pichincha",316.0,732.0,38.0,8784.0,0.0,0.0,12.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","online","quito","pichincha",317.0,732.0,38.0,29280.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","presencial","quito","pichincha",318.0,732.0,38.0,14640.0,0.0,0.0,20.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","online","quito","pichincha",319.0,732.0,38.0,8784.0,0.0,0.0,12.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","online","quito","pichincha",320.0,732.0,38.0,11712.0,0.0,0.0,16.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","presencial","quito","pichincha",322.0,691.0,38.0,13820.0,0.0,0.0,20.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","online","quito","pichincha",323.0,691.0,38.0,13820.0,0.0,0.0,20.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","semipresencial","quito","pichincha",325.0,691.0,38.0,6910.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","online","quito","pichincha",330.0,9.0,38.0,90.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","presencial","quito","pichincha",334.0,28.0,38.0,280.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","presencial","quito","pichincha",337.0,12.0,38.0,120.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"mecánica industrial y minería","online","quito","pichincha",339.0,85.0,38.0,1360.0,0.0,0.0,16.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","presencial","quito","pichincha",340.0,103.0,38.0,2060.0,0.0,0.0,20.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","presencial","quito","pichincha",342.0,103.0,38.0,2472.0,0.0,0.0,24.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"procesos industriales","presencial","quito","pichincha",345.0,3.0,4.0,48.0,0.0,0.0,16.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"procesos industriales","presencial","quito","pichincha",346.0,2.0,4.0,32.0,0.0,0.0,16.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"procesos industriales","presencial","quito","pichincha",347.0,3.0,4.0,24.0,0.0,0.0,8.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"transporte y logística","presencial","latacunga","cotopaxi",350.0,26.0,12.0,520.0,0.0,0.0,20.0,0.0,2021.0,"range2",0.49128558468862993,0.5087144153113701,"range1",0.017428830622740143
"educación y capacitación","online","quito","pichincha",356.0,392.0,30.0,8232.0,0.0,0.0,21.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"educación y capacitación","online","quito","pichincha",357.0,54.0,30.0,1134.0,0.0,0.0,21.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"educación y capacitación","online","quito","pichincha",358.0,219.0,30.0,4599.0,0.0,0.0,21.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"educación y capacitación","online","quito","pichincha",359.0,32.0,30.0,672.0,0.0,0.0,21.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"educación y capacitación","online","quito","pichincha",362.0,160.0,30.0,4480.0,0.0,0.0,28.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"educación y capacitación","online","quito","pichincha",363.0,24.0,30.0,672.0,0.0,0.0,28.0,0.0,2021.0,"range2",0.818023678170105,0.1819763218298951,"range2",0.6360473563402099
"administración y legislación","online","quito","pichincha",368.0,6.0,3.0,240.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"construcción e infraestructura","online","quito","pichincha",372.0,39.0,10.0,1560.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"educación y capacitación","presencial","guayaquil","guayas",373.0,47.0,4.0,4888.0,0.0,0.0,104.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"educación y capacitación","presencial","guayaquil","guayas",374.0,54.0,4.0,4320.0,0.0,0.0,80.0,0.0,2021.0,"range1",0.32764132041289007,0.6723586795871098,"range1",0.34471735917421975
"procesos industriales","online","quito","pichincha",382.0,202.0,17.0,4848.0,0.0,0.0,24.0,0.0,2021.0,"range2",0.6545995879223669,0.34540041207763306,"range2",0.3091991758447339
