"area_familia","modalidad","canton","provincia","id_fact_oc","num_cap_cer","total_cursos","volumen_capacitados","total_ganancias","%_asistencia","carga_horaria","costo","anio","total_horas","confidence(range2)","confidence(range1)","prediction(total_horas)","cost"
"educación y capacitación","presencial","quito","pichincha",64.0,1.0,7.0,19.0,0.0,0.0,267.0,0.0,2018.0,"range1",0.6508333905678798,0.34916660943212025,"range2",0.30166678113575957
"procesos industriales","presencial","quito","pichincha",65.0,1.0,2.0,2.0,0.0,0.0,22.0,0.0,2021.0,"range1",0.20654751801816063,0.7934524819818395,"range1",0.5869049639636789
"procesos industriales","presencial","quito","pichincha",67.0,4.0,5.0,159.0,0.0,0.0,8.0,0.0,2018.0,"range1",0.161275329308725,0.838724670691275,"range1",0.67744934138255
"procesos industriales","presencial","quito","pichincha",69.0,59.0,5.0,159.0,0.0,0.0,8.0,0.0,2018.0,"range1",0.47863443527332966,0.5213655647266704,"range1",0.04273112945334073
"procesos industriales","online","quito","pichincha",73.0,29.0,12.0,1394.0,0.0,0.0,8.0,0.0,2021.0,"range1",0.3948384762010692,0.6051615237989308,"range1",0.21032304759786163
"procesos industriales","online","quito","pichincha",77.0,35.0,12.0,1394.0,0.0,0.0,8.0,0.0,2021.0,"range1",0.43053689402315554,0.5694631059768445,"range1",0.13892621195368893
"procesos industriales","online","quito","pichincha",79.0,181.0,12.0,1394.0,0.0,0.0,16.0,0.0,2021.0,"range2",0.6513827792964387,0.3486172207035613,"range2",0.3027655585928774
"procesos industriales","online","quito","pichincha",81.0,187.0,12.0,1394.0,0.0,0.0,16.0,0.0,2021.0,"range2",0.6513963565040556,0.34860364349594447,"range2",0.3027927130081111
"procesos industriales","presencial","quito","pichincha",82.0,87.0,12.0,1394.0,0.0,0.0,8.0,0.0,2021.0,"range1",0.5107373987659779,0.48926260123402204,"range2",0.021474797531955858
"procesos industriales","online","quito","pichincha",83.0,87.0,12.0,1394.0,0.0,0.0,8.0,0.0,2021.0,"range1",0.511668489611342,0.4883315103886579,"range2",0.02333697922268413
"procesos industriales","presencial","quito","pichincha",86.0,11.0,12.0,1394.0,0.0,0.0,8.0,0.0,2021.0,"range1",0.2520180108218638,0.7479819891781362,"range1",0.4959639783562724
"procesos industriales","online","quito","pichincha",87.0,11.0,12.0,1394.0,0.0,0.0,8.0,0.0,2021.0,"range1",0.2889973488628386,0.7110026511371613,"range1",0.4220053022743227
"procesos industriales","online","quito","pichincha",89.0,59.0,12.0,1394.0,0.0,0.0,8.0,0.0,2021.0,"range1",0.4962083189503547,0.5037916810496453,"range1",0.007583362099290614
"procesos industriales","presencial","quito","pichincha",90.0,4.0,12.0,1394.0,0.0,0.0,8.0,0.0,2021.0,"range1",0.20593151950317187,0.7940684804968282,"range1",0.5881369609936563
"procesos industriales","online","quito","pichincha",93.0,61.0,12.0,1394.0,0.0,0.0,16.0,0.0,2021.0,"range2",0.49947893439551944,0.5005210656044806,"range1",0.0010421312089611834
"procesos industriales","presencial","quito","pichincha",94.0,49.0,17.0,247.0,0.0,0.0,16.0,0.0,2019.0,"range2",0.4732365797797595,0.5267634202202406,"range1",0.05352684044048106
"procesos industriales","online","quito","pichincha",95.0,49.0,17.0,247.0,0.0,0.0,16.0,0.0,2019.0,"range2",0.49466032712071595,0.505339672879284,"range1",0.010679345758568104
"procesos industriales","presencial","quito","pichincha",96.0,3.0,17.0,247.0,0.0,0.0,8.0,0.0,2019.0,"range1",0.1626720143878266,0.8373279856121734,"range1",0.6746559712243467
"procesos industriales","online","quito","pichincha",97.0,3.0,17.0,247.0,0.0,0.0,8.0,0.0,2019.0,"range1",0.20059505960681767,0.7994049403931824,"range1",0.5988098807863648
"procesos industriales","online","quito","pichincha",101.0,6.0,17.0,247.0,0.0,0.0,8.0,0.0,2019.0,"range1",0.2153510422641093,0.7846489577358907,"range1",0.5692979154717814
"procesos industriales","presencial","quito","pichincha",108.0,43.0,17.0,247.0,0.0,0.0,8.0,0.0,2019.0,"range1",0.41419836870976856,0.5858016312902313,"range1",0.17160326258046277
"procesos industriales","presencial","quito","pichincha",110.0,31.0,17.0,247.0,0.0,0.0,8.0,0.0,2019.0,"range1",0.3311071258477231,0.6688928741522768,"range1",0.3377857483045537
"procesos industriales","online","quito","pichincha",113.0,2.0,17.0,247.0,0.0,0.0,16.0,0.0,2019.0,"range1",0.2220552422129686,0.7779447577870314,"range1",0.5558895155740629
"educación y capacitación","online","ibarra","imbabura",115.0,22.0,9.0,245.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.48518366559309206,0.514816334406908,"range1",0.029632668813815932
"educación y capacitación","presencial","ibarra","imbabura",118.0,16.0,4.0,60.0,0.0,0.0,40.0,0.0,2018.0,"range1",0.4810860962948147,0.5189139037051853,"range1",0.03782780741037062
"educación y capacitación","online","ibarra","imbabura",119.0,16.0,4.0,60.0,0.0,0.0,40.0,0.0,2018.0,"range1",0.49609937212248933,0.5039006278775107,"range1",0.00780125575502133
"alimentación gastronomía y turismo","presencial","ibarra","imbabura",120.0,51.0,2.0,127.0,0.0,0.0,40.0,0.0,2019.0,"range2",0.5280811834302263,0.4719188165697738,"range2",0.05616236686045245
"administración y legislación","presencial","quito","pichincha",123.0,52.0,2.0,54.0,0.0,0.0,40.0,0.0,2019.0,"range2",0.5047822079300487,0.49521779206995137,"range2",0.00956441586009732
"administración y legislación","presencial","quito","pichincha",124.0,2.0,2.0,54.0,0.0,0.0,40.0,0.0,2019.0,"range1",0.3963641297809506,0.6036358702190494,"range1",0.20727174043809882
"administración y legislación","presencial","quito","pichincha",125.0,3.0,1.0,3.0,0.0,0.0,40.0,0.0,2020.0,"range1",0.37864977568541164,0.6213502243145884,"range1",0.24270044862917678
"administración y legislación","presencial","quito","pichincha",126.0,59.0,3.0,75.0,0.0,0.0,40.0,0.0,2022.0,"range2",0.5416279888559788,0.4583720111440212,"range2",0.08325597771195764
"alimentación gastronomía y turismo","presencial","quito","pichincha",130.0,213.0,13.0,1219.0,0.0,0.0,240.0,0.0,2021.0,"range2",0.7989928718054916,0.2010071281945083,"range2",0.5979857436109833
"alimentación gastronomía y turismo","presencial","quito","pichincha",132.0,33.0,13.0,1219.0,0.0,0.0,200.0,0.0,2021.0,"range2",0.6508748509195118,0.34912514908048814,"range2",0.30174970183902367
"educación y capacitación","semipresencial","guayaquil","guayas",135.0,723.0,3.0,1307.0,0.0,0.0,150.0,0.0,2021.0,"range2",0.800806898661634,0.19919310133836612,"range2",0.6016137973232679
"artes y artesanía","presencial","quito","pichincha",140.0,5.0,4.0,63.0,0.0,0.0,40.0,0.0,2018.0,"range1",0.26793306268905964,0.7320669373109404,"range1",0.46413387462188077
"administración y legislación","presencial","santo domingo","santo domingo de los tsachilas",142.0,1.0,15.0,1119.0,0.0,0.0,48.0,0.0,2021.0,"range1",0.35705348803353926,0.6429465119664607,"range1",0.28589302393292143
"educación y capacitación","online","santo domingo","santo domingo de los tsachilas",150.0,11.0,15.0,1119.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.37933478660546055,0.6206652133945395,"range1",0.24133042678907896
"administración y legislación","presencial","santo domingo","santo domingo de los tsachilas",151.0,55.0,15.0,1119.0,0.0,0.0,8.0,0.0,2021.0,"range1",0.4951874815641364,0.5048125184358636,"range1",0.009625036871727222
"tecnologías de la información y comunicación","presencial","quito","pichincha",155.0,142.0,23.0,1218.0,25560.0,1.1833333333333331,40.0,180.0,2021.0,"range2",0.6577785254560795,0.3422214745439205,"range2",0.315557050912159
"tecnologías de la información y comunicación","presencial","quito","pichincha",156.0,226.0,23.0,1218.0,87416.8,1.8833333333333333,40.0,386.8,2021.0,"range2",0.8008068986403273,0.1991931013596727,"range2",0.6016137972806546
"electricidad y electrónica","presencial","quito","pichincha",160.0,15.0,23.0,1218.0,0.0,0.125,40.0,0.0,2021.0,"range1",0.47320303566535055,0.5267969643346494,"range1",0.05359392866929885
"tecnologías de la información y comunicación","presencial","quito","pichincha",165.0,126.0,23.0,1218.0,91324.8,1.05,40.0,724.8000000000001,2021.0,"range2",0.8008068944383334,0.1991931055616666,"range2",0.6016137888766668
"educación y capacitación","presencial","quito","pichincha",166.0,11.0,23.0,1218.0,0.0,0.0916666666666666,40.0,0.0,2021.0,"range1",0.3975260475789544,0.6024739524210457,"range1",0.20494790484209136
"educación y capacitación","presencial","quito","pichincha",169.0,1.0,23.0,1218.0,0.0,0.0083333333333333,120.0,0.0,2021.0,"range1",0.48921658460689876,0.5107834153931012,"range1",0.021566830786202473
"tecnologías de la información y comunicación","presencial","quito","pichincha",174.0,71.0,23.0,1218.0,27462.8,0.5916666666666667,40.0,386.8,2021.0,"range2",0.6514254367519117,0.34857456324808833,"range2",0.30285087350382334
"tecnologías de la información y comunicación","presencial","quito","pichincha",175.0,26.0,23.0,1218.0,6936.8,0.2166666666666666,40.0,266.8,2021.0,"range2",0.5030894387772574,0.4969105612227425,"range2",0.0061788775545149055
"tecnologías de la información y comunicación","presencial","quito","pichincha",178.0,3.0,14.0,127.0,1160.4,0.025,40.0,386.8,2019.0,"range1",0.19057030700082034,0.8094296929991797,"range1",0.6188593859983593
"alimentación gastronomía y turismo","online","guayaquil","guayas",184.0,14.0,3.0,21.0,0.0,0.0,144.0,0.0,2019.0,"range2",0.6181307086650691,0.38186929133493086,"range2",0.23626141733013828
"alimentación gastronomía y turismo","presencial","guayaquil","guayas",185.0,6.0,3.0,21.0,0.0,0.0,288.0,0.0,2019.0,"range2",0.6513737912015544,0.3486262087984457,"range2",0.3027475824031087
"educación y capacitación","presencial","quito","pichincha",193.0,19.0,12.0,282.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.38437530812269677,0.6156246918773033,"range1",0.23124938375460652
"procesos industriales","presencial","quito","pichincha",194.0,48.0,12.0,282.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.4759826607262471,0.5240173392737528,"range1",0.048034678547505705
"procesos industriales","presencial","quito","pichincha",195.0,12.0,12.0,282.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.32102875475873055,0.6789712452412694,"range1",0.35794249048253884
"procesos industriales","presencial","quito","pichincha",196.0,20.0,12.0,282.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.35002593824510114,0.6499740617548989,"range1",0.29994812350979777
"procesos industriales","presencial","quito","pichincha",200.0,13.0,12.0,282.0,0.0,0.0,24.0,0.0,2021.0,"range1",0.2953749015309935,0.7046250984690065,"range1",0.40925019693801296
"procesos industriales","presencial","quito","pichincha",202.0,13.0,12.0,282.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.32547360594263464,0.6745263940573653,"range1",0.3490527881147306
"educación y capacitación","presencial","quito","pichincha",203.0,18.0,12.0,282.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.38058361278491076,0.6194163872150892,"range1",0.23883277443017842
"servicios socioculturales y a la comunidad","presencial","quito","pichincha",206.0,10.0,4.0,55.0,0.0,0.0,100.0,0.0,2019.0,"range2",0.49081725960056244,0.5091827403994376,"range1",0.018365480798875122
"tecnologías de la información y comunicación","presencial","quito","pichincha",207.0,7.0,1.0,7.0,4130.0,0.0,40.0,590.0,2021.0,"range1",0.2621872747093018,0.7378127252906982,"range1",0.4756254505813964
"alimentación gastronomía y turismo","presencial","daule","guayas",209.0,154.0,4.0,235.0,0.0,0.0,312.0,0.0,2021.0,"range2",0.7856167211846792,0.21438327881532082,"range2",0.5712334423693584
"alimentación gastronomía y turismo","presencial","daule","guayas",211.0,15.0,4.0,235.0,0.0,0.0,120.0,0.0,2021.0,"range2",0.517834513977467,0.482165486022533,"range2",0.03566902795493404
"alimentación gastronomía y turismo","presencial","daule","guayas",215.0,44.0,2.0,54.0,0.0,0.0,312.0,0.0,2019.0,"range2",0.6515657585779225,0.3484342414220774,"range2",0.30313151715584513
"comunicación y artes gráficas","presencial","quito","pichincha",220.0,42.0,40.0,2808.0,0.0,0.1498929336188436,30.0,0.0,2021.0,"range2",0.5058305414937263,0.4941694585062737,"range2",0.011661082987452609
"tecnologías de la información y comunicación","presencial","quito","pichincha",221.0,86.0,40.0,2808.0,17208.6,0.3069236259814418,30.0,200.1,2021.0,"range2",0.6513327865628158,0.3486672134371842,"range2",0.3026655731256316
"tecnologías de la información y comunicación","presencial","quito","pichincha",225.0,286.0,40.0,2808.0,90090.0,1.020699500356888,30.0,315.0,2021.0,"range2",0.8008068986609637,0.19919310133903642,"range2",0.6016137973219272
"tecnologías de la información y comunicación","presencial","quito","pichincha",228.0,682.0,40.0,2808.0,65642.49999318,2.4339757316202717,30.0,96.24999999,2021.0,"range2",0.8008068986616385,0.19919310133836168,"range2",0.6016137973232768
"tecnologías de la información y comunicación","presencial","quito","pichincha",229.0,520.0,40.0,2808.0,100568.0,1.85581727337616,20.0,193.4,2021.0,"range2",0.8008068986616385,0.19919310133836163,"range2",0.6016137973232768
"tecnologías de la información y comunicación","presencial","quito","pichincha",235.0,43.0,40.0,2808.0,8604.3,0.1534618129907209,30.0,200.1,2021.0,"range2",0.5565109003393331,0.44348909966066685,"range2",0.1130218006786663
"tecnologías de la información y comunicación","presencial","quito","pichincha",236.0,30.0,40.0,2808.0,2400.0,0.1070663811563169,20.0,80.0,2021.0,"range1",0.49274828930169745,0.5072517106983027,"range1",0.01450342139660521
"educación y capacitación","presencial","ibarra","imbabura",241.0,45.0,8.0,312.0,0.0,0.0,76.0,0.0,2021.0,"range2",0.625035698385208,0.37496430161479205,"range2",0.25007139677041595
"educación y capacitación","presencial","ibarra","imbabura",243.0,73.0,8.0,312.0,0.0,0.0,152.0,0.0,2021.0,"range2",0.6513801406953739,0.34861985930462613,"range2",0.30276028139074773
"educación y capacitación","presencial","ibarra","imbabura",244.0,19.0,8.0,312.0,0.0,0.0,190.0,0.0,2021.0,"range2",0.6503700696172082,0.3496299303827917,"range2",0.3007401392344165
"finanzas comercio y ventas","presencial","guayaquil","guayas",245.0,29.0,7.0,104.0,0.0,0.0,120.0,0.0,2021.0,"range2",0.6313452203598308,0.3686547796401693,"range2",0.26269044071966147
"alimentación gastronomía y turismo","presencial","guayaquil","guayas",246.0,16.0,7.0,104.0,0.0,0.0,120.0,0.0,2021.0,"range2",0.5324787022765887,0.46752129772341133,"range2",0.06495740455317733
"procesos industriales","presencial","guayaquil","guayas",247.0,5.0,7.0,104.0,0.0,0.0,20.0,0.0,2021.0,"range1",0.2661496446135563,0.7338503553864438,"range1",0.46770071077288755
"procesos industriales","presencial","guayaquil","guayas",250.0,6.0,7.0,104.0,0.0,0.0,20.0,0.0,2021.0,"range1",0.2747964272151781,0.7252035727848218,"range1",0.45040714556964373
"procesos industriales","online","salcedo","cotopaxi",252.0,113.0,5.0,193.0,0.0,0.0,20.0,0.0,2021.0,"range2",0.6505595733095106,0.34944042669048936,"range2",0.3011191466190213
"procesos industriales","presencial","quito","pichincha",254.0,19.0,38.0,3266.0,0.0,0.0,18.0,0.0,2021.0,"range1",0.3669014171665927,0.6330985828334074,"range1",0.2661971656668147
"procesos industriales","online","quito","pichincha",255.0,19.0,38.0,3266.0,0.0,0.0,18.0,0.0,2021.0,"range1",0.36916447496472243,0.6308355250352774,"range1",0.26167105007055497
"procesos industriales","presencial","quito","pichincha",258.0,2.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,"range1",0.23142771288784814,0.768572287112152,"range1",0.5371445742243038
"electricidad y electrónica","online","quito","pichincha",266.0,33.0,38.0,3266.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.5030753402683974,0.4969246597316026,"range2",0.006150680536794795
"electricidad y electrónica","presencial","quito","pichincha",267.0,6.0,38.0,3266.0,0.0,0.0,20.0,0.0,2021.0,"range1",0.4226619699449496,0.5773380300550505,"range1",0.15467606011010088
"electricidad y electrónica","presencial","quito","pichincha",271.0,3.0,38.0,3266.0,0.0,0.0,20.0,0.0,2021.0,"range1",0.40023097962789284,0.5997690203721072,"range1",0.19953804074421438
"electricidad y electrónica","online","quito","pichincha",272.0,3.0,38.0,3266.0,0.0,0.0,20.0,0.0,2021.0,"range1",0.4143610023337321,0.5856389976662679,"range1",0.17127799533253585
"electricidad y electrónica","presencial","quito","pichincha",273.0,5.0,38.0,3266.0,0.0,0.0,120.0,0.0,2021.0,"range1",0.5450536356092842,0.45494636439071584,"range2",0.09010727121856837
"educación y capacitación","presencial","quito","pichincha",276.0,22.0,38.0,3266.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.49722472820998775,0.5027752717900121,"range1",0.005550543580024381
"educación y capacitación","presencial","quito","pichincha",277.0,22.0,38.0,3266.0,0.0,0.0,80.0,0.0,2021.0,"range2",0.5107316083770511,0.48926839162294894,"range2",0.021463216754102177
"educación y capacitación","online","quito","pichincha",278.0,22.0,38.0,3266.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.4966949289751332,0.5033050710248669,"range1",0.006610142049733703
"procesos industriales","presencial","quito","pichincha",282.0,169.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.6512368274927635,0.3487631725072366,"range2",0.30247365498552686
"procesos industriales","online","quito","pichincha",283.0,14.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,"range1",0.2915662888153663,0.7084337111846337,"range1",0.41686742236926744
"procesos industriales","presencial","quito","pichincha",284.0,15.0,38.0,3266.0,0.0,0.0,100.0,0.0,2021.0,"range2",0.5036661339907592,0.49633386600924084,"range2",0.00733226798151837
"procesos industriales","online","quito","pichincha",285.0,15.0,38.0,3266.0,0.0,0.0,100.0,0.0,2021.0,"range2",0.5044143035761387,0.49558569642386135,"range2",0.008828607152277346
"electricidad y electrónica","presencial","quito","pichincha",286.0,25.0,38.0,3266.0,0.0,0.0,100.0,0.0,2021.0,"range2",0.574223372392227,0.425776627607773,"range2",0.14844674478445397
"electricidad y electrónica","online","quito","pichincha",287.0,25.0,38.0,3266.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.501014092285781,0.49898590771421897,"range2",0.0020281845715620084
"electricidad y electrónica","presencial","quito","pichincha",288.0,25.0,38.0,3266.0,0.0,0.0,60.0,0.0,2021.0,"range2",0.5047095697264398,0.4952904302735602,"range2",0.009419139452879588
"procesos industriales","presencial","quito","pichincha",290.0,248.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.6520479469120065,0.34795205308799343,"range2",0.3040958938240131
"procesos industriales","online","quito","pichincha",293.0,248.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.6519905500690876,0.3480094499309124,"range2",0.3039811001381752
"electricidad y electrónica","online","quito","pichincha",294.0,7.0,38.0,3266.0,0.0,0.0,16.0,0.0,2021.0,"range1",0.4241236662476125,0.5758763337523874,"range1",0.15175266750477495
"electricidad y electrónica","online","quito","pichincha",295.0,6.0,38.0,3266.0,0.0,0.0,16.0,0.0,2021.0,"range1",0.41627276076164704,0.5837272392383529,"range1",0.16745447847670586
"procesos industriales","presencial","quito","pichincha",298.0,113.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.6153716987424481,0.3846283012575518,"range2",0.2307433974848963
"procesos industriales","online","quito","pichincha",299.0,113.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.6152841076188075,0.3847158923811926,"range2",0.2305682152376149
"procesos industriales","presencial","quito","pichincha",307.0,194.0,38.0,3266.0,0.0,0.0,20.0,0.0,2021.0,"range2",0.6513995038199631,0.34860049618003686,"range2",0.3027990076399263
"procesos industriales","presencial","quito","pichincha",309.0,9.0,38.0,3266.0,0.0,0.0,16.0,0.0,2021.0,"range1",0.30611846039095386,0.6938815396090461,"range1",0.3877630792180922
"procesos industriales","online","quito","pichincha",313.0,143.0,38.0,3266.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.651177243594299,0.348822756405701,"range2",0.302354487188598
"procesos industriales","presencial","quito","pichincha",316.0,732.0,38.0,3266.0,0.0,0.0,12.0,0.0,2021.0,"range2",0.8008068986614084,0.19919310133859167,"range2",0.6016137973228167
"procesos industriales","online","quito","pichincha",317.0,732.0,38.0,3266.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.8008068986615332,0.19919310133846693,"range2",0.6016137973230663
"procesos industriales","online","quito","pichincha",320.0,732.0,38.0,3266.0,0.0,0.0,16.0,0.0,2021.0,"range2",0.8008068986614559,0.19919310133854415,"range2",0.6016137973229118
"procesos industriales","online","quito","pichincha",323.0,691.0,38.0,3266.0,0.0,0.0,20.0,0.0,2021.0,"range2",0.8008068986609258,0.19919310133907417,"range2",0.6016137973218516
"procesos industriales","semipresencial","quito","pichincha",324.0,691.0,38.0,3266.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.8008068986613376,0.19919310133866241,"range2",0.6016137973226752
"procesos industriales","presencial","quito","pichincha",327.0,691.0,38.0,3266.0,0.0,0.0,24.0,0.0,2021.0,"range2",0.8008068986609232,0.19919310133907664,"range2",0.6016137973218466
"procesos industriales","semipresencial","quito","pichincha",328.0,691.0,38.0,3266.0,0.0,0.0,24.0,0.0,2021.0,"range2",0.8008068986612082,0.19919310133879178,"range2",0.6016137973224165
"procesos industriales","online","quito","pichincha",330.0,9.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,"range1",0.24992126382734,0.75007873617266,"range1",0.5001574723453199
"procesos industriales","presencial","quito","pichincha",331.0,8.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,"range1",0.269278069561205,0.730721930438795,"range1",0.46144386087759
"procesos industriales","online","quito","pichincha",332.0,8.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,"range1",0.24299049960065333,0.7570095003993468,"range1",0.5140190007986934
"procesos industriales","presencial","quito","pichincha",337.0,12.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,"range1",0.29791911495342727,0.7020808850465728,"range1",0.4041617700931456
"mecánica industrial y minería","presencial","quito","pichincha",338.0,85.0,38.0,3266.0,0.0,0.0,16.0,0.0,2021.0,"range2",0.6124789859408756,0.3875210140591243,"range2",0.22495797188175126
"procesos industriales","online","quito","pichincha",341.0,103.0,38.0,3266.0,0.0,0.0,20.0,0.0,2021.0,"range2",0.6004240178169711,0.3995759821830289,"range2",0.20084803563394216
"procesos industriales","semipresencial","quito","pichincha",344.0,103.0,38.0,3266.0,0.0,0.0,24.0,0.0,2021.0,"range2",0.6131730887830908,0.38682691121690915,"range2",0.2263461775661817
"procesos industriales","presencial","quito","pichincha",345.0,3.0,4.0,9.0,0.0,0.0,16.0,0.0,2021.0,"range1",0.20281479220332446,0.7971852077966756,"range1",0.5943704155933511
"procesos industriales","presencial","quito","pichincha",346.0,2.0,4.0,9.0,0.0,0.0,16.0,0.0,2021.0,"range1",0.19830495235760784,0.8016950476423922,"range1",0.6033900952847844
"procesos industriales","presencial","quito","pichincha",347.0,3.0,4.0,9.0,0.0,0.0,8.0,0.0,2021.0,"range1",0.17997055368181394,0.820029446318186,"range1",0.6400588926363721
"procesos industriales","presencial","quito","pichincha",348.0,1.0,4.0,9.0,0.0,0.0,16.0,0.0,2021.0,"range1",0.1936986271788653,0.8063013728211347,"range1",0.6126027456422694
"construcción e infraestructura","presencial","latacunga","cotopaxi",351.0,13.0,12.0,2045.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.5021079296199799,0.4978920703800201,"range2",0.004215859239959763
"transporte y logística","presencial","latacunga","cotopaxi",352.0,393.0,12.0,2045.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.8008068203591666,0.19919317964083336,"range2",0.6016136407183332
"procesos industriales","presencial","latacunga","cotopaxi",353.0,18.0,19.0,1605.0,0.0,0.0,16.0,0.0,2019.0,"range1",0.3680738953852536,0.6319261046147464,"range1",0.2638522092294928
"educación y capacitación","online","quito","pichincha",358.0,219.0,30.0,2885.0,0.0,0.0,21.0,0.0,2021.0,"range2",0.6516727442842003,0.3483272557157997,"range2",0.3033454885684006
"educación y capacitación","online","quito","pichincha",361.0,13.0,30.0,2885.0,0.0,0.0,21.0,0.0,2021.0,"range1",0.45703202600378995,0.54296797399621,"range1",0.08593594799242005
"educación y capacitación","online","quito","pichincha",364.0,77.0,30.0,2885.0,0.0,0.0,21.0,0.0,2021.0,"range2",0.5349536189214849,0.4650463810785151,"range2",0.06990723784296976
"administración y legislación","online","quito","pichincha",368.0,6.0,3.0,18.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.4496534004965776,0.5503465995034224,"range1",0.10069319900684476
"construcción e infraestructura","online","quito","pichincha",372.0,39.0,10.0,305.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.5041968651122298,0.4958031348877702,"range2",0.008393730224459606
