"area_familia","modalidad","canton","provincia","id_fact_oc","total_cursos","volumen_capacitados","total_horas","total_ganancias","%_asistencia","carga_horaria","costo","anio","num_cap_cer","prediction(num_cap_cer)"
"procesos industriales","presencial","rumiñahui","pichincha",48.0,3.0,227.0,5240.0,0.0,0.0,40.0,0.0,2018.0,131.0,158.5
"procesos industriales","presencial","quito","pichincha",50.0,4.0,42.0,200.0,0.0,0.0,50.0,0.0,2021.0,4.0,5.0
"procesos industriales","presencial","quito","pichincha",51.0,4.0,42.0,4050.0,0.0,0.0,150.0,0.0,2021.0,27.0,13.25
"mecánica industrial y minería","presencial","quito","pichincha",52.0,4.0,42.0,1050.0,0.0,0.0,150.0,0.0,2021.0,7.0,7.857142857142857
"procesos industriales","presencial","santo domingo","santo domingo de los tsachilas",59.0,2.0,20.0,40.0,0.0,0.0,40.0,0.0,2021.0,1.0,1.0
"educación y capacitación","presencial","quito","pichincha",61.0,9.0,11.0,268.0,0.0,0.0,268.0,0.0,2021.0,1.0,1.0
"educación y capacitación","presencial","quito","pichincha",64.0,7.0,19.0,267.0,0.0,0.0,267.0,0.0,2018.0,1.0,1.0
"procesos industriales","presencial","quito","pichincha",76.0,12.0,1394.0,280.0,0.0,0.0,8.0,0.0,2021.0,35.0,34.0
"procesos industriales","presencial","quito","pichincha",84.0,12.0,1394.0,2136.0,0.0,0.0,8.0,0.0,2021.0,267.0,204.0
"procesos industriales","online","quito","pichincha",85.0,12.0,1394.0,2136.0,0.0,0.0,8.0,0.0,2021.0,267.0,204.0
"procesos industriales","presencial","quito","pichincha",90.0,12.0,1394.0,32.0,0.0,0.0,8.0,0.0,2021.0,4.0,4.0
"procesos industriales","presencial","quito","pichincha",96.0,17.0,247.0,24.0,0.0,0.0,8.0,0.0,2019.0,3.0,3.0
"procesos industriales","online","quito","pichincha",99.0,17.0,247.0,160.0,0.0,0.0,8.0,0.0,2019.0,20.0,16.666666666666668
"procesos industriales","presencial","quito","pichincha",102.0,17.0,247.0,272.0,0.0,0.0,16.0,0.0,2019.0,17.0,17.5
"procesos industriales","presencial","quito","pichincha",104.0,17.0,247.0,384.0,0.0,0.0,16.0,0.0,2019.0,24.0,19.5
"procesos industriales","online","quito","pichincha",107.0,17.0,247.0,232.0,0.0,0.0,8.0,0.0,2019.0,29.0,29.0
"procesos industriales","online","quito","pichincha",109.0,17.0,247.0,344.0,0.0,0.0,8.0,0.0,2019.0,43.0,37.666666666666664
"procesos industriales","presencial","quito","pichincha",110.0,17.0,247.0,248.0,0.0,0.0,8.0,0.0,2019.0,31.0,28.333333333333332
"procesos industriales","online","quito","pichincha",111.0,17.0,247.0,248.0,0.0,0.0,8.0,0.0,2019.0,31.0,29.0
"procesos industriales","online","quito","pichincha",113.0,17.0,247.0,32.0,0.0,0.0,16.0,0.0,2019.0,2.0,1.0
"educación y capacitación","online","ibarra","imbabura",115.0,9.0,245.0,880.0,0.0,0.0,40.0,0.0,2021.0,22.0,22.25
"alimentación gastronomía y turismo","presencial","ibarra","imbabura",116.0,9.0,245.0,4560.0,0.0,0.0,40.0,0.0,2021.0,114.0,97.11111111111113
"alimentación gastronomía y turismo","online","ibarra","imbabura",117.0,9.0,245.0,4560.0,0.0,0.0,40.0,0.0,2021.0,114.0,97.11111111111113
"educación y capacitación","presencial","ibarra","imbabura",118.0,4.0,60.0,640.0,0.0,0.0,40.0,0.0,2018.0,16.0,16.5
"educación y capacitación","online","ibarra","imbabura",119.0,4.0,60.0,640.0,0.0,0.0,40.0,0.0,2018.0,16.0,16.5
"administración y legislación","presencial","quito","pichincha",125.0,1.0,3.0,120.0,0.0,0.0,40.0,0.0,2020.0,3.0,5.0
"administración y legislación","presencial","quito","pichincha",126.0,3.0,75.0,2360.0,0.0,0.0,40.0,0.0,2022.0,59.0,57.5
"administración y legislación","presencial","quito","pichincha",127.0,3.0,75.0,400.0,0.0,0.0,40.0,0.0,2022.0,10.0,10.0
"servicios socioculturales y a la comunidad","presencial","quito","pichincha",129.0,1.0,5.0,200.0,0.0,0.0,40.0,0.0,2021.0,5.0,5.0
"alimentación gastronomía y turismo","presencial","quito","pichincha",130.0,13.0,1219.0,51120.0,0.0,0.0,240.0,0.0,2021.0,213.0,523.0
"alimentación gastronomía y turismo","presencial","quito","pichincha",132.0,13.0,1219.0,6600.0,0.0,0.0,200.0,0.0,2021.0,33.0,34.5
"alimentación gastronomía y turismo","presencial","quito","pichincha",134.0,13.0,1219.0,10560.0,0.0,0.0,240.0,0.0,2021.0,44.0,34.5
"educación y capacitación","semipresencial","guayaquil","guayas",135.0,3.0,1307.0,108450.0,0.0,0.0,150.0,0.0,2021.0,723.0,619.0
"artes y artesanía","presencial","quito","pichincha",138.0,3.0,24.0,160.0,0.0,0.0,40.0,0.0,2021.0,4.0,5.0
"educación y capacitación","online","santo domingo","santo domingo de los tsachilas",144.0,15.0,1119.0,360.0,0.0,0.0,40.0,0.0,2021.0,9.0,9.5
"procesos industriales","online","santo domingo","santo domingo de los tsachilas",148.0,15.0,1119.0,1616.0,0.0,0.0,8.0,0.0,2021.0,202.0,198.5
"procesos industriales","presencial","santo domingo","santo domingo de los tsachilas",149.0,15.0,1119.0,180.0,0.0,0.0,60.0,0.0,2021.0,3.0,1.75
"administración y legislación","presencial","santo domingo","santo domingo de los tsachilas",151.0,15.0,1119.0,440.0,0.0,0.0,8.0,0.0,2021.0,55.0,42.45454545454545
"tecnologías de la información y comunicación","presencial","quito","pichincha",153.0,23.0,1218.0,1120.0,16520.0,0.2333333333333333,40.0,590.0,2021.0,28.0,29.2
"tecnologías de la información y comunicación","presencial","quito","pichincha",158.0,23.0,1218.0,640.0,6188.8,0.1333333333333333,40.0,386.8,2021.0,16.0,16.5
"electricidad y electrónica","presencial","quito","pichincha",160.0,23.0,1218.0,600.0,0.0,0.125,40.0,0.0,2021.0,15.0,16.5
"educación y capacitación","presencial","quito","pichincha",162.0,23.0,1218.0,3800.0,0.0,0.7916666666666667,40.0,0.0,2021.0,95.0,129.5
"tecnologías de la información y comunicación","presencial","quito","pichincha",164.0,23.0,1218.0,4600.0,83352.00000000001,0.9583333333333331,40.0,724.8000000000001,2021.0,115.0,129.5
"tecnologías de la información y comunicación","presencial","quito","pichincha",168.0,23.0,1218.0,40.0,386.8,0.0083333333333333,40.0,386.8,2021.0,1.0,1.0
"educación y capacitación","presencial","quito","pichincha",170.0,23.0,1218.0,480.0,0.0,0.0333333333333333,120.0,0.0,2021.0,4.0,4.5
"tecnologías de la información y comunicación","presencial","quito","pichincha",173.0,23.0,1218.0,600.0,1998.0,0.125,40.0,133.2,2021.0,15.0,16.5
"tecnologías de la información y comunicación","presencial","quito","pichincha",176.0,14.0,127.0,480.0,4641.6,0.1,40.0,386.8,2019.0,12.0,12.0
"educación y capacitación","presencial","quito","pichincha",177.0,14.0,127.0,160.0,0.0,0.0333333333333333,40.0,0.0,2019.0,4.0,3.1666666666666665
"tecnologías de la información y comunicación","presencial","quito","pichincha",178.0,14.0,127.0,120.0,1160.4,0.025,40.0,386.8,2019.0,3.0,3.0
"alimentación gastronomía y turismo","presencial","guayaquil","guayas",181.0,3.0,14.0,1728.0,0.0,0.0,144.0,0.0,2021.0,12.0,9.5
"alimentación gastronomía y turismo","online","guayaquil","guayas",182.0,3.0,14.0,1728.0,0.0,0.0,144.0,0.0,2021.0,12.0,9.5
"alimentación gastronomía y turismo","presencial","guayaquil","guayas",183.0,3.0,21.0,2016.0,0.0,0.0,144.0,0.0,2019.0,14.0,13.25
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",188.0,3.0,69.0,1020.0,15045.0,0.0,20.0,295.0,2021.0,51.0,47.2
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",189.0,3.0,69.0,400.0,7500.0,0.0,40.0,750.0,2021.0,10.0,10.0
"procesos industriales","presencial","quito","pichincha",190.0,12.0,282.0,520.0,0.0,0.0,40.0,0.0,2021.0,13.0,16.5
"procesos industriales","presencial","quito","pichincha",191.0,12.0,282.0,1600.0,0.0,0.0,40.0,0.0,2021.0,40.0,41.0
"procesos industriales","presencial","quito","pichincha",192.0,12.0,282.0,2240.0,0.0,0.0,40.0,0.0,2021.0,56.0,55.5
"procesos industriales","presencial","quito","pichincha",202.0,12.0,282.0,520.0,0.0,0.0,40.0,0.0,2021.0,13.0,16.5
"servicios socioculturales y a la comunidad","presencial","quito","pichincha",206.0,4.0,55.0,1000.0,0.0,0.0,100.0,0.0,2019.0,10.0,7.857142857142857
"alimentación gastronomía y turismo","presencial","daule","guayas",210.0,4.0,235.0,240.0,0.0,0.0,40.0,0.0,2021.0,6.0,6.0
"alimentación gastronomía y turismo","presencial","daule","guayas",212.0,4.0,235.0,18720.0,0.0,0.0,312.0,0.0,2021.0,60.0,158.5
"alimentación gastronomía y turismo","presencial","daule","guayas",215.0,2.0,54.0,13728.0,0.0,0.0,312.0,0.0,2019.0,44.0,29.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",218.0,40.0,2808.0,60.0,580.2,0.0071377587437544,30.0,290.1,2021.0,2.0,3.1666666666666665
"comunicación y artes gráficas","presencial","quito","pichincha",220.0,40.0,2808.0,1260.0,0.0,0.1498929336188436,30.0,0.0,2021.0,42.0,40.333333333333336
"tecnologías de la información y comunicación","presencial","quito","pichincha",223.0,40.0,2808.0,390.0,2683.2000000000003,0.046395431834404,30.0,206.4,2021.0,13.0,10.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",225.0,40.0,2808.0,8580.0,90090.0,1.020699500356888,30.0,315.0,2021.0,286.0,488.85714285714283
"tecnologías de la información y comunicación","presencial","quito","pichincha",226.0,40.0,2808.0,630.0,1417.5,0.0749464668094218,30.0,67.5,2021.0,21.0,16.5
"tecnologías de la información y comunicación","presencial","quito","pichincha",228.0,40.0,2808.0,20460.0,65642.49999318,2.4339757316202717,30.0,96.24999999,2021.0,682.0,709.4285714285714
"tecnologías de la información y comunicación","presencial","quito","pichincha",231.0,40.0,2808.0,960.0,10080.0,0.1142041399000713,30.0,315.0,2021.0,32.0,30.25
"comunicación y artes gráficas","presencial","quito","pichincha",232.0,40.0,2808.0,5100.0,0.0,0.9100642398286938,20.0,0.0,2021.0,255.0,247.25
"tecnologías de la información y comunicación","presencial","quito","pichincha",233.0,40.0,2808.0,30.0,182.7,0.0035688793718772,30.0,182.7,2021.0,1.0,1.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",235.0,40.0,2808.0,1290.0,8604.3,0.1534618129907209,30.0,200.1,2021.0,43.0,40.333333333333336
"educación y capacitación","presencial","ibarra","imbabura",243.0,8.0,312.0,11096.0,0.0,0.0,152.0,0.0,2021.0,73.0,30.5
"educación y capacitación","presencial","ibarra","imbabura",244.0,8.0,312.0,3610.0,0.0,0.0,190.0,0.0,2021.0,19.0,13.25
"procesos industriales","presencial","guayaquil","guayas",248.0,7.0,104.0,80.0,0.0,0.0,16.0,0.0,2021.0,5.0,4.0
"procesos industriales","online","MISSING","cotopaxi",251.0,5.0,193.0,900.0,0.0,0.0,30.0,0.0,2021.0,30.0,30.25
"procesos industriales","online","MISSING","cotopaxi",252.0,5.0,193.0,2260.0,0.0,0.0,20.0,0.0,2021.0,113.0,118.5
"electricidad y electrónica","presencial","quito","pichincha",253.0,38.0,3266.0,1320.0,0.0,0.0,60.0,0.0,2021.0,22.0,28.0
"procesos industriales","presencial","quito","pichincha",254.0,38.0,3266.0,342.0,0.0,0.0,18.0,0.0,2021.0,19.0,17.0
"procesos industriales","online","quito","pichincha",255.0,38.0,3266.0,342.0,0.0,0.0,18.0,0.0,2021.0,19.0,14.0
"procesos industriales","presencial","quito","pichincha",256.0,38.0,3266.0,32.0,0.0,0.0,16.0,0.0,2021.0,2.0,2.0
"procesos industriales","presencial","quito","pichincha",260.0,38.0,3266.0,272.0,0.0,0.0,16.0,0.0,2021.0,17.0,17.5
"electricidad y electrónica","presencial","quito","pichincha",267.0,38.0,3266.0,120.0,0.0,0.0,20.0,0.0,2021.0,6.0,6.0
"electricidad y electrónica","presencial","quito","pichincha",269.0,38.0,3266.0,2200.0,0.0,0.0,100.0,0.0,2021.0,22.0,20.5
"electricidad y electrónica","online","quito","pichincha",270.0,38.0,3266.0,2200.0,0.0,0.0,100.0,0.0,2021.0,22.0,20.5
"electricidad y electrónica","presencial","quito","pichincha",271.0,38.0,3266.0,60.0,0.0,0.0,20.0,0.0,2021.0,3.0,3.1666666666666665
"electricidad y electrónica","presencial","quito","pichincha",273.0,38.0,3266.0,600.0,0.0,0.0,120.0,0.0,2021.0,5.0,6.0
"electricidad y electrónica","presencial","quito","pichincha",275.0,38.0,3266.0,500.0,0.0,0.0,100.0,0.0,2021.0,5.0,4.5
"educación y capacitación","presencial","quito","pichincha",276.0,38.0,3266.0,880.0,0.0,0.0,40.0,0.0,2021.0,22.0,22.25
"educación y capacitación","online","quito","pichincha",278.0,38.0,3266.0,880.0,0.0,0.0,40.0,0.0,2021.0,22.0,22.25
"procesos industriales","presencial","quito","pichincha",284.0,38.0,3266.0,1500.0,0.0,0.0,100.0,0.0,2021.0,15.0,10.666666666666666
"procesos industriales","online","quito","pichincha",285.0,38.0,3266.0,1500.0,0.0,0.0,100.0,0.0,2021.0,15.0,10.666666666666666
"electricidad y electrónica","presencial","quito","pichincha",288.0,38.0,3266.0,1500.0,0.0,0.0,60.0,0.0,2021.0,25.0,28.0
"procesos industriales","presencial","quito","pichincha",290.0,38.0,3266.0,2480.0,0.0,0.0,10.0,0.0,2021.0,248.0,275.3333333333333
"procesos industriales","online","quito","pichincha",292.0,38.0,3266.0,4464.0,0.0,0.0,18.0,0.0,2021.0,248.0,247.25
"procesos industriales","online","quito","pichincha",293.0,38.0,3266.0,2480.0,0.0,0.0,10.0,0.0,2021.0,248.0,275.3333333333333
"electricidad y electrónica","online","quito","pichincha",295.0,38.0,3266.0,96.0,0.0,0.0,16.0,0.0,2021.0,6.0,8.666666666666666
"procesos industriales","presencial","quito","pichincha",296.0,38.0,3266.0,140.0,0.0,0.0,10.0,0.0,2021.0,14.0,17.0
"procesos industriales","presencial","quito","pichincha",301.0,38.0,3266.0,4656.0,0.0,0.0,24.0,0.0,2021.0,194.0,202.0
"procesos industriales","online","quito","pichincha",302.0,38.0,3266.0,4656.0,0.0,0.0,24.0,0.0,2021.0,194.0,202.0
"procesos industriales","online","quito","pichincha",303.0,38.0,3266.0,1940.0,0.0,0.0,10.0,0.0,2021.0,194.0,181.5
"procesos industriales","online","quito","pichincha",306.0,38.0,3266.0,7760.0,0.0,0.0,40.0,0.0,2021.0,194.0,197.5
"procesos industriales","presencial","quito","pichincha",307.0,38.0,3266.0,3880.0,0.0,0.0,20.0,0.0,2021.0,194.0,198.0
"procesos industriales","semipresencial","quito","pichincha",308.0,38.0,3266.0,4656.0,0.0,0.0,24.0,0.0,2021.0,194.0,202.0
"procesos industriales","presencial","quito","pichincha",311.0,38.0,3266.0,5148.0,0.0,0.0,36.0,0.0,2021.0,143.0,202.0
"procesos industriales","online","quito","pichincha",312.0,38.0,3266.0,5148.0,0.0,0.0,36.0,0.0,2021.0,143.0,202.0
"procesos industriales","online","quito","pichincha",313.0,38.0,3266.0,5720.0,0.0,0.0,40.0,0.0,2021.0,143.0,175.2
"procesos industriales","presencial","quito","pichincha",314.0,38.0,3266.0,21960.0,0.0,0.0,30.0,0.0,2021.0,732.0,709.4285714285714
"procesos industriales","presencial","quito","pichincha",315.0,38.0,3266.0,11712.0,0.0,0.0,16.0,0.0,2021.0,732.0,709.4285714285714
"procesos industriales","presencial","quito","pichincha",316.0,38.0,3266.0,8784.0,0.0,0.0,12.0,0.0,2021.0,732.0,488.85714285714283
"procesos industriales","online","quito","pichincha",317.0,38.0,3266.0,29280.0,0.0,0.0,40.0,0.0,2021.0,732.0,472.3333333333333
"procesos industriales","online","quito","pichincha",319.0,38.0,3266.0,8784.0,0.0,0.0,12.0,0.0,2021.0,732.0,488.85714285714283
"procesos industriales","online","quito","pichincha",320.0,38.0,3266.0,11712.0,0.0,0.0,16.0,0.0,2021.0,732.0,709.4285714285714
"procesos industriales","presencial","quito","pichincha",321.0,38.0,3266.0,1280.0,0.0,0.0,10.0,0.0,2021.0,128.0,110.66666666666667
"procesos industriales","online","quito","pichincha",323.0,38.0,3266.0,13820.0,0.0,0.0,20.0,0.0,2021.0,691.0,709.4285714285714
"procesos industriales","online","quito","pichincha",326.0,38.0,3266.0,6910.0,0.0,0.0,10.0,0.0,2021.0,691.0,712.5
"procesos industriales","presencial","quito","pichincha",327.0,38.0,3266.0,16584.0,0.0,0.0,24.0,0.0,2021.0,691.0,709.4285714285714
"procesos industriales","presencial","quito","pichincha",335.0,38.0,3266.0,240.0,0.0,0.0,16.0,0.0,2021.0,15.0,15.5
"procesos industriales","presencial","quito","pichincha",337.0,38.0,3266.0,120.0,0.0,0.0,10.0,0.0,2021.0,12.0,15.0
"mecánica industrial y minería","online","quito","pichincha",339.0,38.0,3266.0,1360.0,0.0,0.0,16.0,0.0,2021.0,85.0,86.33333333333333
"procesos industriales","online","quito","pichincha",341.0,38.0,3266.0,2060.0,0.0,0.0,20.0,0.0,2021.0,103.0,99.0
"procesos industriales","presencial","quito","pichincha",342.0,38.0,3266.0,2472.0,0.0,0.0,24.0,0.0,2021.0,103.0,96.0
"procesos industriales","online","quito","pichincha",343.0,38.0,3266.0,2472.0,0.0,0.0,24.0,0.0,2021.0,103.0,96.0
"procesos industriales","semipresencial","quito","pichincha",344.0,38.0,3266.0,2472.0,0.0,0.0,24.0,0.0,2021.0,103.0,96.0
"procesos industriales","presencial","quito","pichincha",345.0,4.0,9.0,48.0,0.0,0.0,16.0,0.0,2021.0,3.0,3.6666666666666665
"procesos industriales","presencial","quito","pichincha",347.0,4.0,9.0,24.0,0.0,0.0,8.0,0.0,2021.0,3.0,3.0
"administración y legislación","online","quito","pichincha",349.0,1.0,1337.0,85568.0,0.0,0.0,64.0,0.0,2021.0,1337.0,472.3333333333333
"transporte y logística","presencial","latacunga","cotopaxi",350.0,12.0,2045.0,520.0,0.0,0.0,20.0,0.0,2021.0,26.0,22.0
"construcción e infraestructura","presencial","latacunga","cotopaxi",351.0,12.0,2045.0,520.0,0.0,0.0,40.0,0.0,2021.0,13.0,16.5
"educación y capacitación","online","quito","pichincha",354.0,30.0,2885.0,4284.0,0.0,0.0,21.0,0.0,2021.0,204.0,198.0
"educación y capacitación","online","quito","pichincha",358.0,30.0,2885.0,4599.0,0.0,0.0,21.0,0.0,2021.0,219.0,247.25
"educación y capacitación","online","quito","pichincha",359.0,30.0,2885.0,672.0,0.0,0.0,21.0,0.0,2021.0,32.0,33.333333333333336
"educación y capacitación","online","quito","pichincha",360.0,30.0,2885.0,10836.0,0.0,0.0,28.0,0.0,2021.0,387.0,709.4285714285714
"educación y capacitación","online","quito","pichincha",362.0,30.0,2885.0,4480.0,0.0,0.0,28.0,0.0,2021.0,160.0,129.5
"educación y capacitación","online","quito","pichincha",363.0,30.0,2885.0,672.0,0.0,0.0,28.0,0.0,2021.0,24.0,21.5
"educación y capacitación","online","quito","pichincha",364.0,30.0,2885.0,1617.0,0.0,0.0,21.0,0.0,2021.0,77.0,92.0
"educación y capacitación","online","quito","pichincha",367.0,20.0,692.0,651.0,0.0,0.0,21.0,0.0,2019.0,31.0,33.333333333333336
"administración y legislación","online","quito","pichincha",370.0,3.0,18.0,440.0,0.0,0.0,40.0,0.0,2021.0,11.0,11.0
"administración y legislación","presencial","quito","pichincha",371.0,10.0,305.0,1600.0,0.0,0.0,40.0,0.0,2021.0,40.0,41.0
"educación y capacitación","presencial","guayaquil","guayas",374.0,4.0,110.0,4320.0,0.0,0.0,80.0,0.0,2021.0,54.0,58.5
"procesos industriales","online","quito","pichincha",382.0,17.0,3031.0,4848.0,0.0,0.0,24.0,0.0,2021.0,202.0,202.0
"procesos industriales","presencial","quito","pichincha",383.0,17.0,3031.0,8520.0,0.0,0.0,24.0,0.0,2021.0,355.0,488.85714285714283
"procesos industriales","online","quito","pichincha",384.0,17.0,3031.0,8520.0,0.0,0.0,24.0,0.0,2021.0,355.0,488.85714285714283
"procesos industriales","semipresencial","quito","pichincha",385.0,17.0,3031.0,8520.0,0.0,0.0,24.0,0.0,2021.0,355.0,488.85714285714283
"procesos industriales","presencial","quito","pichincha",386.0,13.0,648.0,552.0,0.0,0.0,24.0,0.0,2019.0,23.0,22.0
"procesos industriales","online","quito","pichincha",388.0,13.0,648.0,552.0,0.0,0.0,24.0,0.0,2019.0,23.0,22.0
"industrias  manufactureras","desconocida","guayaquil","guayas",396.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,2021.0,19.0,45.95238095238095
"procesos industriales","presencial","quito","pichincha",397.0,6.0,236.0,570.0,0.0,0.0,10.0,0.0,2021.0,57.0,55.666666666666664
"procesos industriales","presencial","quito","pichincha",400.0,6.0,236.0,20.0,0.0,0.0,10.0,0.0,2021.0,2.0,2.0
"administración y legislación","online","latacunga","cotopaxi",404.0,24.0,3608.0,43200.0,0.0,0.0,200.0,0.0,2021.0,216.0,206.5
"administración y legislación","online","latacunga","cotopaxi",406.0,24.0,3608.0,960.0,0.0,0.0,40.0,0.0,2021.0,24.0,24.0
"finanzas comercio y ventas","online","latacunga","cotopaxi",407.0,24.0,3608.0,32720.0,0.0,0.0,80.0,0.0,2021.0,409.0,472.3333333333333
"educación y capacitación","presencial","latacunga","cotopaxi",409.0,24.0,3608.0,12900.0,0.0,0.0,150.0,0.0,2021.0,86.0,93.16666666666667
"administración y legislación","online","guayaquil","guayas",413.0,20.0,5039.0,144.0,0.0,0.0,24.0,0.0,2021.0,6.0,8.333333333333334
"procesos industriales","online","guayaquil","guayas",414.0,20.0,5039.0,850.0,0.0,0.0,10.0,0.0,2021.0,85.0,83.0
"transporte y logística","presencial","guayaquil","guayas",416.0,20.0,5039.0,1254.0,0.0,0.0,38.0,0.0,2021.0,33.0,33.0
"transporte y logística","online","guayaquil","guayas",418.0,20.0,5039.0,120.0,0.0,0.0,40.0,0.0,2021.0,3.0,7.5
"transporte y logística","presencial","guayaquil","guayas",419.0,20.0,5039.0,320.0,0.0,0.0,40.0,0.0,2021.0,8.0,8.0
"transporte y logística","presencial","guayaquil","guayas",420.0,20.0,5039.0,2080.0,0.0,0.0,26.0,0.0,2021.0,80.0,77.75
"administración y legislación","online","guayaquil","guayas",425.0,23.0,1389.0,792.0,0.0,0.0,12.0,0.0,2021.0,66.0,83.0
"administración y legislación","online","guayaquil","guayas",426.0,23.0,1389.0,156.0,0.0,0.0,12.0,0.0,2021.0,13.0,13.0
"administración y legislación","online","guayaquil","guayas",431.0,23.0,1389.0,1512.0,0.0,0.0,12.0,0.0,2021.0,126.0,147.83333333333334
"administración y legislación","online","guayaquil","guayas",433.0,23.0,1389.0,120.0,0.0,0.0,12.0,0.0,2021.0,10.0,7.5
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",435.0,23.0,1389.0,228.0,731.499999924,0.0,12.0,38.499999996,2021.0,19.0,20.666666666666668
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",438.0,23.0,1389.0,444.0,6549.0,0.0,12.0,177.0,2021.0,37.0,38.0
"administración y legislación","online","guayaquil","guayas",440.0,23.0,1389.0,228.0,0.0,0.0,12.0,0.0,2021.0,19.0,19.333333333333332
"administración y legislación","presencial","guayaquil","guayas",441.0,23.0,1389.0,1740.0,0.0,0.0,12.0,0.0,2021.0,145.0,147.83333333333334
"procesos industriales","presencial","guayaquil","guayas",443.0,23.0,1389.0,456.0,0.0,0.0,12.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","guayaquil","guayas",444.0,23.0,1389.0,456.0,0.0,0.0,12.0,0.0,2021.0,38.0,38.0
"procesos industriales","online","guayaquil","guayas",446.0,23.0,1389.0,240.0,0.0,0.0,12.0,0.0,2021.0,20.0,19.333333333333332
"procesos industriales","online","guayaquil","guayas",450.0,23.0,1389.0,168.0,0.0,0.0,12.0,0.0,2021.0,14.0,14.333333333333334
"procesos industriales","presencial","guayaquil","guayas",451.0,23.0,1389.0,312.0,0.0,0.0,12.0,0.0,2021.0,26.0,35.75
"procesos industriales","online","guayaquil","guayas",452.0,23.0,1389.0,312.0,0.0,0.0,12.0,0.0,2021.0,26.0,19.333333333333332
"procesos industriales","online","guayaquil","guayas",453.0,23.0,1389.0,384.0,0.0,0.0,12.0,0.0,2021.0,32.0,23.0
"educación y capacitación","online","guayaquil","guayas",455.0,23.0,1389.0,96.0,0.0,0.0,12.0,0.0,2021.0,8.0,8.666666666666666
"educación y capacitación","presencial","guayaquil","guayas",456.0,23.0,1389.0,96.0,0.0,0.0,12.0,0.0,2021.0,8.0,7.0
"mecánica automotriz","presencial","cayambe","pichincha",460.0,10.0,178.0,6200.0,0.0,0.0,200.0,0.0,2021.0,31.0,24.8
"alimentación gastronomía y turismo","presencial","quito","pichincha",461.0,8.0,324.0,1080.0,0.0,0.0,120.0,0.0,2021.0,9.0,10.666666666666666
"electricidad y electrónica","presencial","quito","pichincha",464.0,8.0,324.0,2040.0,0.0,0.0,120.0,0.0,2021.0,17.0,18.25
"alimentación gastronomía y turismo","presencial","quito","pichincha",465.0,8.0,324.0,8520.0,0.0,0.0,120.0,0.0,2021.0,71.0,30.5
