"area","provincia","total_cursos","volumen_capacitados","total_horas","carga_horaria","anio","num_cap","prediction(num_cap)"
"administración y legislación","santo domingo de los tsachilas",6.0,62.0,40.0,40.0,2021.0,1.0,1.0
"administración y legislación","santo domingo de los tsachilas",6.0,62.0,40.0,40.0,2021.0,1.0,1.0
"administración y legislación","santo domingo de los tsachilas",6.0,62.0,576.0,32.0,2021.0,18.0,19.0
"educación y capacitación","santo domingo de los tsachilas",6.0,62.0,800.0,40.0,2021.0,20.0,19.333333333333332
"procesos industriales","pichincha",4.0,1046.0,13720.0,40.0,2021.0,343.0,341.0
"procesos industriales","guayas",2.0,28.0,384.0,16.0,2021.0,24.0,24.0
"procesos industriales","guayas",2.0,28.0,160.0,40.0,2021.0,4.0,4.0
"servicios socioculturales y a la comunidad","pichincha",1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"administración y legislación","pichincha",1.0,1.0,8.0,8.0,2021.0,1.0,1.0
"procesos industriales","pichincha",2.0,39.0,816.0,24.0,2021.0,34.0,40.0
"tecnologías de la información y comunicación","guayas",2.0,7.0,48.0,24.0,2021.0,2.0,2.5
"procesos industriales","chimborazo",2.0,45.0,528.0,16.0,2021.0,33.0,29.5
"artes y artesanía","pichincha",1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"tecnologías de la información y comunicación","sucumbios",1.0,73.0,2920.0,40.0,2021.0,73.0,69.5
"procesos industriales","guayas",1.0,10.0,80.0,8.0,2021.0,10.0,9.5
"forestal ecología y medio ambiente","pastaza",1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"alimentación gastronomía y turismo","guayas",3.0,4.0,40.0,40.0,2021.0,1.0,1.0
"alimentación gastronomía y turismo","guayas",3.0,4.0,40.0,40.0,2021.0,1.0,1.0
"educación y capacitación","cotopaxi",2.0,312.0,7400.0,40.0,2021.0,185.0,182.25
"procesos industriales","pichincha",1.0,3.0,48.0,16.0,2021.0,3.0,3.0
"procesos industriales","azuay",4.0,77.0,640.0,40.0,2021.0,16.0,16.0
"forestal ecología y medio ambiente","azuay",4.0,77.0,96.0,24.0,2021.0,4.0,4.0
"finanzas comercio y ventas","pichincha",4.0,872.0,12040.0,40.0,2021.0,301.0,270.0
"administración y legislación","cotopaxi",3.0,64.0,240.0,40.0,2021.0,6.0,6.0
"administración y legislación","cotopaxi",3.0,64.0,752.0,16.0,2021.0,47.0,45.666666666666664
"finanzas comercio y ventas","imbabura",2.0,44.0,144.0,8.0,2021.0,18.0,13.25
"educación y capacitación","pichincha",2.0,12.0,216.0,24.0,2021.0,9.0,9.666666666666666
"educación y capacitación","guayas",2.0,15.0,32.0,32.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","pichincha",1.0,13.0,312.0,24.0,2021.0,13.0,13.666666666666666
"alimentación gastronomía y turismo","el oro",1.0,28.0,1120.0,40.0,2021.0,28.0,28.0
"finanzas comercio y ventas","guayas",1.0,16.0,128.0,8.0,2021.0,16.0,13.25
"alimentación gastronomía y turismo","manabi",2.0,84.0,280.0,40.0,2021.0,7.0,7.0
"procesos industriales","santa elena",1.0,16.0,256.0,16.0,2021.0,16.0,16.0
"procesos industriales","pichincha",2.0,34.0,1280.0,40.0,2021.0,32.0,31.0
"procesos industriales","guayas",2.0,211.0,1440.0,8.0,2021.0,180.0,150.25
"procesos industriales","guayas",2.0,211.0,1240.0,40.0,2021.0,31.0,31.0
"administración y legislación","guayas",2.0,582.0,13728.0,24.0,2021.0,572.0,508.5
"educación y capacitación","guayas",3.0,96.0,280.0,40.0,2021.0,7.0,7.0
"educación y capacitación","guayas",3.0,96.0,1184.0,32.0,2021.0,37.0,38.666666666666664
"educación y capacitación","imbabura",4.0,556.0,576.0,32.0,2021.0,18.0,19.0
"educación y capacitación","imbabura",4.0,556.0,320.0,40.0,2021.0,8.0,8.090909090909092
"educación y capacitación","pichincha",2.0,85.0,552.0,24.0,2021.0,23.0,26.0
"educación y capacitación","guayas",1.0,7.0,224.0,32.0,2021.0,7.0,6.0
"administración y legislación","cañar",1.0,7.0,224.0,32.0,2021.0,7.0,6.0
"comunicación y artes gráficas","pichincha",1.0,92.0,3680.0,40.0,2021.0,92.0,90.33333333333333
"educación y capacitación","azuay",1.0,102.0,4080.0,40.0,2021.0,102.0,99.0
"administración y legislación","pichincha",2.0,68.0,960.0,16.0,2021.0,60.0,61.333333333333336
"procesos industriales","cotopaxi",2.0,15.0,336.0,24.0,2021.0,14.0,13.666666666666666
"procesos industriales","cotopaxi",2.0,15.0,16.0,16.0,2021.0,1.0,1.0
"administración y legislación","guayas",5.0,1066.0,800.0,16.0,2021.0,50.0,50.5
"finanzas comercio y ventas","pichincha",1.0,17.0,408.0,24.0,2021.0,17.0,16.0
"procesos industriales","pichincha",2.0,12.0,320.0,40.0,2021.0,8.0,8.090909090909092
"procesos industriales","cotopaxi",2.0,206.0,8200.0,40.0,2021.0,205.0,200.33333333333334
"administración y legislación","cotopaxi",2.0,206.0,40.0,40.0,2021.0,1.0,1.0
"procesos industriales","azuay",3.0,21.0,40.0,40.0,2021.0,1.0,1.0
"tecnologías de la información y comunicación","azuay",3.0,21.0,120.0,40.0,2021.0,3.0,3.0
"educación y capacitación","pichincha",3.0,355.0,2640.0,40.0,2021.0,66.0,65.0
"servicios socioculturales y a la comunidad","pichincha",3.0,355.0,11280.0,40.0,2021.0,282.0,270.0
"administración y legislación","pichincha",3.0,36.0,480.0,40.0,2021.0,12.0,12.0
"forestal ecología y medio ambiente","manabi",1.0,19.0,304.0,16.0,2021.0,19.0,20.0
"administración y legislación","guayas",3.0,263.0,5152.0,32.0,2021.0,161.0,162.33333333333334
"procesos industriales","guayas",3.0,263.0,1600.0,16.0,2021.0,100.0,79.0
"educación y capacitación","pichincha",1.0,23.0,920.0,40.0,2021.0,23.0,23.0
"educación y capacitación","tungurahua",1.0,8.0,320.0,40.0,2021.0,8.0,8.090909090909092
"educación y capacitación","cotopaxi",1.0,16.0,640.0,40.0,2021.0,16.0,16.0
"administración y legislación","tungurahua",1.0,99.0,1584.0,16.0,2021.0,99.0,82.33333333333333
"procesos industriales","tungurahua",1.0,106.0,4240.0,40.0,2021.0,106.0,109.66666666666667
"procesos industriales","santo domingo de los tsachilas",2.0,47.0,1600.0,40.0,2021.0,40.0,40.0
"tecnologías de la información y comunicación","sin provincia",1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"administración y legislación","pichincha",4.0,507.0,240.0,16.0,2021.0,15.0,14.0
"administración y legislación","pichincha",2.0,24.0,368.0,16.0,2021.0,23.0,24.0
"servicios socioculturales y a la comunidad","pichincha",3.0,86.0,1320.0,40.0,2021.0,33.0,33.5
"alimentación gastronomía y turismo","loja",2.0,11.0,120.0,40.0,2021.0,3.0,3.0
"procesos industriales","tungurahua",1.0,4.0,160.0,40.0,2021.0,4.0,4.0
"administración y legislación","loja",1.0,13.0,520.0,40.0,2021.0,13.0,13.0
"transporte y logística","pichincha",1.0,124.0,4960.0,40.0,2021.0,124.0,132.5
"servicios socioculturales y a la comunidad","pichincha",1.0,24.0,960.0,40.0,2021.0,24.0,24.0
"administración y legislación","pichincha",1.0,3.0,96.0,32.0,2021.0,3.0,3.0
"procesos industriales","pichincha",1.0,2.0,32.0,16.0,2021.0,2.0,2.0
"administración y legislación","pichincha",2.0,37.0,416.0,16.0,2021.0,26.0,26.666666666666668
"procesos industriales","guayas",2.0,9.0,56.0,8.0,2021.0,7.0,7.0
"finanzas comercio y ventas","manabi",2.0,13.0,144.0,24.0,2021.0,6.0,4.5
"finanzas comercio y ventas","manabi",2.0,13.0,224.0,32.0,2021.0,7.0,6.0
"administración y legislación","pichincha",4.0,883.0,13240.0,40.0,2021.0,331.0,361.0
"administración y legislación","pichincha",4.0,883.0,7536.0,16.0,2021.0,471.0,508.5
"forestal ecología y medio ambiente","tungurahua",2.0,49.0,592.0,16.0,2021.0,37.0,34.0
"educación y capacitación","guayas",1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"finanzas comercio y ventas","sin provincia",3.0,42.0,440.0,40.0,2021.0,11.0,11.25
"finanzas comercio y ventas","loja",3.0,124.0,1000.0,40.0,2021.0,25.0,26.0
"procesos industriales","imbabura",2.0,59.0,160.0,32.0,2021.0,5.0,4.5
"procesos industriales","imbabura",2.0,59.0,864.0,16.0,2021.0,54.0,54.333333333333336
"procesos industriales","guayas",3.0,257.0,592.0,8.0,2021.0,74.0,150.25
"administración y legislación","pichincha",1.0,12.0,384.0,32.0,2021.0,12.0,10.0
"tecnologías de la información y comunicación","pichincha",1.0,6.0,96.0,16.0,2021.0,6.0,6.0
"educación y capacitación","sin provincia",2.0,15.0,200.0,40.0,2021.0,5.0,5.0
"servicios socioculturales y a la comunidad","los rios",10.0,258.0,2160.0,40.0,2021.0,54.0,54.375
"procesos industriales","los rios",10.0,258.0,384.0,8.0,2021.0,48.0,56.0
"procesos industriales","los rios",10.0,258.0,512.0,8.0,2021.0,64.0,56.0
"procesos industriales","los rios",10.0,258.0,320.0,40.0,2021.0,8.0,8.090909090909092
"procesos industriales","los rios",10.0,258.0,176.0,16.0,2021.0,11.0,11.0
"procesos industriales","guayas",2.0,6.0,16.0,8.0,2021.0,2.0,2.0
"procesos industriales","guayas",2.0,6.0,64.0,16.0,2021.0,4.0,4.0
"educación y capacitación","guayas",3.0,17.0,192.0,24.0,2021.0,8.0,6.0
"forestal ecología y medio ambiente","sin provincia",2.0,54.0,440.0,40.0,2021.0,11.0,11.0
"procesos industriales","azuay",2.0,94.0,752.0,16.0,2021.0,47.0,45.666666666666664
"procesos industriales","guayas",2.0,110.0,416.0,16.0,2021.0,26.0,26.666666666666668
"servicios socioculturales y a la comunidad","guayas",2.0,270.0,1160.0,40.0,2021.0,29.0,31.0
"transporte y logística","pichincha",3.0,36.0,112.0,16.0,2021.0,7.0,7.0
"finanzas comercio y ventas","cotopaxi",3.0,58.0,40.0,40.0,2021.0,1.0,1.0
"electricidad y electrónica","cotopaxi",2.0,36.0,144.0,24.0,2021.0,6.0,4.5
"electricidad y electrónica","cotopaxi",2.0,36.0,960.0,32.0,2021.0,30.0,28.666666666666668
"procesos industriales","guayas",1.0,9.0,72.0,8.0,2021.0,9.0,9.5
"tecnologías de la información y comunicación","azuay",2.0,94.0,672.0,8.0,2021.0,84.0,82.66666666666667
"transporte y logística","azuay",2.0,94.0,400.0,40.0,2021.0,10.0,10.0
"tecnologías de la información y comunicación","imbabura",2.0,81.0,1344.0,24.0,2021.0,56.0,57.0
"procesos industriales","pichincha",1.0,26.0,624.0,24.0,2021.0,26.0,26.0
"servicios socioculturales y a la comunidad","guayas",3.0,373.0,16.0,16.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","guayas",3.0,373.0,80.0,8.0,2021.0,10.0,8.0
"administración y legislación","pichincha",1.0,17.0,544.0,32.0,2021.0,17.0,19.0
"procesos industriales","guayas",3.0,30.0,360.0,40.0,2021.0,9.0,9.0
"procesos industriales","santo domingo de los tsachilas",1.0,15.0,600.0,40.0,2021.0,15.0,14.8
"finanzas comercio y ventas","guayas",5.0,95.0,24.0,24.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","pichincha",1.0,21.0,840.0,40.0,2021.0,21.0,21.0
"servicios socioculturales y a la comunidad","guayas",4.0,234.0,360.0,40.0,2021.0,9.0,9.0
"educación y capacitación","guayas",3.0,174.0,2600.0,40.0,2021.0,65.0,65.0
"finanzas comercio y ventas","guayas",3.0,16.0,224.0,32.0,2021.0,7.0,6.0
"administración y legislación","pichincha",2.0,10.0,40.0,8.0,2021.0,5.0,4.5
"tecnologías de la información y comunicación","guayas",1.0,2.0,80.0,40.0,2021.0,2.0,2.0
"servicios socioculturales y a la comunidad","sin provincia",1.0,74.0,2960.0,40.0,2021.0,74.0,77.0
"servicios socioculturales y a la comunidad","pichincha",2.0,53.0,176.0,8.0,2021.0,22.0,12.0
"electricidad y electrónica","guayas",1.0,4.0,160.0,40.0,2021.0,4.0,4.0
"forestal ecología y medio ambiente","pichincha",4.0,115.0,288.0,16.0,2021.0,18.0,18.0
"forestal ecología y medio ambiente","pichincha",4.0,115.0,160.0,16.0,2021.0,10.0,10.0
"procesos industriales","guayas",4.0,673.0,12360.0,40.0,2021.0,309.0,361.0
"procesos industriales","guayas",4.0,673.0,840.0,40.0,2021.0,21.0,21.0
"educación y capacitación","el oro",2.0,208.0,8280.0,40.0,2021.0,207.0,200.33333333333334
"procesos industriales","pichincha",3.0,35.0,640.0,40.0,2021.0,16.0,16.0
"alimentación gastronomía y turismo","manabi",3.0,289.0,1720.0,40.0,2021.0,43.0,43.333333333333336
"alimentación gastronomía y turismo","manabi",3.0,289.0,1152.0,24.0,2021.0,48.0,46.5
"servicios socioculturales y a la comunidad","pichincha",6.0,184.0,1160.0,40.0,2021.0,29.0,31.0
"servicios socioculturales y a la comunidad","pichincha",6.0,184.0,1360.0,40.0,2021.0,34.0,33.5
"administración y legislación","pichincha",1.0,11.0,88.0,8.0,2021.0,11.0,9.5
"procesos industriales","pichincha",2.0,3.0,40.0,40.0,2021.0,1.0,1.0
"alimentación gastronomía y turismo","tungurahua",2.0,6.0,200.0,40.0,2021.0,5.0,5.0
"procesos industriales","guayas",4.0,93.0,120.0,40.0,2021.0,3.0,3.0
"procesos industriales","guayas",4.0,93.0,256.0,16.0,2021.0,16.0,16.0
"procesos industriales","guayas",4.0,93.0,1320.0,40.0,2021.0,33.0,33.5
"servicios socioculturales y a la comunidad","chimborazo",2.0,13.0,40.0,40.0,2021.0,1.0,1.0
"finanzas comercio y ventas","pichincha",2.0,6.0,72.0,24.0,2021.0,3.0,2.5
"mecánica automotriz","azuay",2.0,16.0,80.0,40.0,2021.0,2.0,2.0
"mecánica automotriz","azuay",2.0,16.0,448.0,32.0,2021.0,14.0,14.5
"servicios socioculturales y a la comunidad","azuay",3.0,72.0,24.0,24.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","azuay",3.0,72.0,2800.0,40.0,2021.0,70.0,69.5
"educación y capacitación","azuay",3.0,72.0,32.0,32.0,2021.0,1.0,1.0
"procesos industriales","pichincha",3.0,126.0,2320.0,40.0,2021.0,58.0,56.333333333333336
"educación y capacitación","pichincha",1.0,49.0,1960.0,40.0,2021.0,49.0,54.375
"alimentación gastronomía y turismo","pichincha",3.0,65.0,120.0,40.0,2021.0,3.0,3.0
"alimentación gastronomía y turismo","pichincha",3.0,65.0,2320.0,40.0,2021.0,58.0,56.333333333333336
"tecnologías de la información y comunicación","loja",1.0,2.0,48.0,24.0,2021.0,2.0,2.5
"procesos industriales","pichincha",4.0,231.0,8.0,8.0,2021.0,1.0,1.0
"procesos industriales","el oro",2.0,67.0,64.0,16.0,2021.0,4.0,4.0
"procesos industriales","el oro",2.0,67.0,2520.0,40.0,2021.0,63.0,63.666666666666664
"electricidad y electrónica","cañar",5.0,160.0,1984.0,32.0,2021.0,62.0,54.375
"electricidad y electrónica","cañar",5.0,160.0,80.0,40.0,2021.0,2.0,2.0
"procesos industriales","cañar",5.0,160.0,1520.0,40.0,2021.0,38.0,38.0
"administración y legislación","santa elena",3.0,56.0,832.0,32.0,2021.0,26.0,21.0
"administración y legislación","santa elena",3.0,56.0,1080.0,40.0,2021.0,27.0,28.0
"procesos industriales","sucumbios",1.0,28.0,448.0,16.0,2021.0,28.0,28.0
"educación y capacitación","pichincha",1.0,4.0,160.0,40.0,2021.0,4.0,4.0
"servicios socioculturales y a la comunidad","pichincha",1.0,99.0,3960.0,40.0,2021.0,99.0,99.0
"tecnologías de la información y comunicación","pichincha",3.0,171.0,280.0,40.0,2021.0,7.0,7.0
"administración y legislación","pichincha",3.0,171.0,3624.0,24.0,2021.0,151.0,148.5
"procesos industriales","pichincha",3.0,171.0,312.0,24.0,2021.0,13.0,13.666666666666666
"procesos industriales","guayas",1.0,15.0,360.0,24.0,2021.0,15.0,13.666666666666666
"administración y legislación","pichincha",2.0,74.0,2520.0,40.0,2021.0,63.0,63.666666666666664
"procesos industriales","guayas",1.0,21.0,504.0,24.0,2021.0,21.0,19.333333333333332
"administración y legislación","sin provincia",2.0,21.0,336.0,24.0,2021.0,14.0,13.666666666666666
"servicios socioculturales y a la comunidad","chimborazo",2.0,21.0,720.0,40.0,2021.0,18.0,18.0
"servicios socioculturales y a la comunidad","chimborazo",2.0,21.0,24.0,8.0,2021.0,3.0,4.5
"procesos industriales","santo domingo de los tsachilas",3.0,299.0,1224.0,8.0,2021.0,153.0,150.25
"procesos industriales","el oro",1.0,17.0,680.0,40.0,2021.0,17.0,17.0
"tecnologías de la información y comunicación","pichincha",1.0,42.0,1680.0,40.0,2021.0,42.0,41.5
"transporte y logística","pichincha",5.0,674.0,10360.0,40.0,2021.0,259.0,270.0
"procesos industriales","pichincha",5.0,674.0,2768.0,16.0,2021.0,173.0,177.0
"servicios socioculturales y a la comunidad","pichincha",5.0,674.0,7560.0,40.0,2021.0,189.0,182.25
"procesos industriales","pichincha",5.0,674.0,16.0,16.0,2021.0,1.0,1.0
"electricidad y electrónica","pichincha",2.0,125.0,3680.0,40.0,2021.0,92.0,90.33333333333333
"educación y capacitación","los rios",1.0,1.0,32.0,32.0,2021.0,1.0,1.0
"transporte y logística","sin provincia",1.0,5.0,80.0,16.0,2021.0,5.0,5.0
"transporte y logística","pichincha",1.0,94.0,2256.0,24.0,2021.0,94.0,86.0
"servicios socioculturales y a la comunidad","chimborazo",1.0,15.0,600.0,40.0,2021.0,15.0,14.8
"administración y legislación","pichincha",6.0,426.0,560.0,16.0,2021.0,35.0,36.5
"finanzas comercio y ventas","pichincha",6.0,426.0,3648.0,24.0,2021.0,152.0,148.5
"administración y legislación","pichincha",6.0,426.0,592.0,8.0,2021.0,74.0,150.25
"finanzas comercio y ventas","pichincha",6.0,426.0,288.0,24.0,2021.0,12.0,12.0
"educación y capacitación","pichincha",1.0,4.0,128.0,32.0,2021.0,4.0,4.0
"procesos industriales","pichincha",1.0,35.0,1400.0,40.0,2021.0,35.0,35.5
"administración y legislación","pichincha",1.0,2.0,48.0,24.0,2021.0,2.0,3.0
"procesos industriales","guayas",5.0,50.0,32.0,16.0,2021.0,2.0,2.0
"procesos industriales","guayas",5.0,50.0,320.0,40.0,2021.0,8.0,8.090909090909092
"tecnologías de la información y comunicación","azuay",3.0,239.0,4840.0,40.0,2021.0,121.0,109.66666666666667
"alimentación gastronomía y turismo","pichincha",1.0,307.0,12280.0,40.0,2021.0,307.0,361.0
"servicios socioculturales y a la comunidad","pichincha",1.0,50.0,400.0,8.0,2021.0,50.0,61.0
"administración y legislación","pichincha",1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"procesos industriales","pichincha",2.0,240.0,9520.0,40.0,2021.0,238.0,225.66666666666666
"finanzas comercio y ventas","pichincha",2.0,20.0,400.0,40.0,2021.0,10.0,10.0
"servicios socioculturales y a la comunidad","pichincha",2.0,94.0,64.0,16.0,2021.0,4.0,4.0
"servicios socioculturales y a la comunidad","pichincha",2.0,94.0,3600.0,40.0,2021.0,90.0,90.33333333333333
"administración y legislación","pichincha",1.0,7.0,280.0,40.0,2021.0,7.0,7.0
"educación y capacitación","pichincha",2.0,328.0,12760.0,40.0,2021.0,319.0,361.0
"educación y capacitación","chimborazo",2.0,13.0,480.0,40.0,2021.0,12.0,12.0
"educación y capacitación","azuay",1.0,167.0,6680.0,40.0,2021.0,167.0,150.66666666666666
"administración y legislación","pichincha",1.0,90.0,1440.0,16.0,2021.0,90.0,82.33333333333333
"educación y capacitación","sin provincia",3.0,13.0,128.0,16.0,2021.0,8.0,7.0
"comunicación y artes gráficas","pichincha",3.0,3.0,32.0,32.0,2021.0,1.0,1.0
"comunicación y artes gráficas","pichincha",3.0,3.0,40.0,40.0,2021.0,1.0,1.0
"comunicación y artes gráficas","pichincha",3.0,3.0,40.0,40.0,2021.0,1.0,1.0
"finanzas comercio y ventas","guayas",2.0,173.0,984.0,8.0,2021.0,123.0,150.25
"construcción e infraestructura","pichincha",1.0,31.0,992.0,32.0,2021.0,31.0,28.666666666666668
"administración y legislación","guayas",2.0,55.0,680.0,40.0,2021.0,17.0,17.0
"procesos industriales","pichincha",4.0,62.0,320.0,8.0,2021.0,40.0,41.0
"tecnologías de la información y comunicación","tungurahua",2.0,57.0,440.0,8.0,2021.0,55.0,61.0
"tecnologías de la información y comunicación","tungurahua",2.0,57.0,48.0,24.0,2021.0,2.0,2.5
"alimentación gastronomía y turismo","pichincha",4.0,35.0,64.0,16.0,2021.0,4.0,4.0
"alimentación gastronomía y turismo","pichincha",4.0,35.0,168.0,24.0,2021.0,7.0,7.0
"servicios socioculturales y a la comunidad","pichincha",3.0,858.0,23400.0,40.0,2021.0,585.0,567.3
"procesos industriales","pichincha",10.0,5192.0,3992.0,8.0,2021.0,499.0,337.0
"procesos industriales","pichincha",10.0,5192.0,5920.0,40.0,2021.0,148.0,498.5
"administración y legislación","guayas",5.0,39.0,72.0,24.0,2021.0,3.0,3.0
"procesos industriales","guayas",5.0,39.0,64.0,16.0,2021.0,4.0,4.0
"procesos industriales","tungurahua",3.0,110.0,80.0,40.0,2021.0,2.0,2.0
"administración y legislación","tungurahua",3.0,110.0,120.0,40.0,2021.0,3.0,3.0
"procesos industriales","loja",1.0,2.0,32.0,16.0,2021.0,2.0,2.0
"finanzas comercio y ventas","pichincha",1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","manabi",2.0,58.0,320.0,40.0,2021.0,8.0,8.090909090909092
"administración y legislación","pichincha",2.0,44.0,800.0,40.0,2021.0,20.0,19.0
"educación y capacitación","pichincha",2.0,785.0,12736.0,32.0,2021.0,398.0,361.0
"finanzas comercio y ventas","sin provincia",3.0,255.0,4480.0,40.0,2021.0,112.0,109.66666666666667
"administración y legislación","tungurahua",1.0,1.0,16.0,16.0,2021.0,1.0,1.0
"educación y capacitación","pichincha",2.0,2.0,40.0,40.0,2021.0,1.0,1.0
"procesos industriales","manabi",4.0,11.0,120.0,40.0,2021.0,3.0,3.0
"procesos industriales","manabi",4.0,11.0,120.0,40.0,2021.0,3.0,3.0
"administración y legislación","manabi",2.0,140.0,2240.0,32.0,2021.0,70.0,73.33333333333333
"comunicación y artes gráficas","el oro",2.0,31.0,600.0,40.0,2021.0,15.0,14.8
"comunicación y artes gráficas","el oro",2.0,31.0,640.0,40.0,2021.0,16.0,16.0
"procesos industriales","pichincha",2.0,11.0,280.0,40.0,2021.0,7.0,7.0
"educación y capacitación","azuay",5.0,61.0,320.0,40.0,2021.0,8.0,8.090909090909092
"forestal ecología y medio ambiente","azuay",5.0,61.0,240.0,40.0,2021.0,6.0,6.0
"procesos industriales","los rios",1.0,11.0,88.0,8.0,2021.0,11.0,9.5
"educación y capacitación","pichincha",1.0,107.0,1712.0,16.0,2022.0,107.0,111.5
"administración y legislación","pichincha",1.0,3.0,120.0,40.0,2022.0,3.0,3.0
"procesos industriales","los rios",2.0,165.0,3120.0,24.0,2022.0,130.0,148.5
"servicios socioculturales y a la comunidad","los rios",2.0,165.0,1400.0,40.0,2022.0,35.0,35.5
"electricidad y electrónica","pichincha",2.0,22.0,576.0,32.0,2022.0,18.0,19.0
