"area","provincia","id_fact_ci","num_cap","volumen_capacitados","total_horas","carga_horaria","anio","total_cursos","prediction(total_cursos)"
"administración y legislación","pichincha",70.0,5.0,5.0,200.0,40.0,2021.0,1.0,1.0
"transporte y logística","pichincha",72.0,37.0,49.0,888.0,24.0,2021.0,2.0,1.9285714285714286
"administración y legislación","imbabura",73.0,9.0,55.0,360.0,40.0,2021.0,2.0,2.0
"educación y capacitación","azuay",77.0,34.0,112.0,1360.0,40.0,2021.0,2.0,3.25
"tecnologías de la información y comunicación","azuay",78.0,78.0,112.0,3120.0,40.0,2021.0,2.0,3.25
"procesos industriales","pichincha",79.0,40.0,238.0,320.0,8.0,2021.0,5.0,3.75
"procesos industriales","pichincha",81.0,9.0,238.0,144.0,16.0,2021.0,5.0,3.75
"procesos industriales","pichincha",82.0,11.0,238.0,440.0,40.0,2021.0,5.0,3.75
"procesos industriales","pichincha",83.0,138.0,238.0,5520.0,40.0,2021.0,5.0,1.5
"construcción e infraestructura","cañar",86.0,5.0,5.0,200.0,40.0,2021.0,1.0,1.0
"forestal ecología y medio ambiente","loja",89.0,45.0,304.0,1080.0,24.0,2021.0,4.0,3.3333333333333335
"procesos industriales","sin provincia",90.0,41.0,172.0,328.0,8.0,2021.0,7.0,6.666666666666667
"procesos industriales","sin provincia",94.0,21.0,172.0,168.0,8.0,2021.0,7.0,6.666666666666667
"forestal ecología y medio ambiente","guayas",97.0,6.0,228.0,96.0,16.0,2021.0,3.0,3.75
"procesos industriales","guayas",98.0,219.0,228.0,1752.0,8.0,2021.0,3.0,2.857142857142857
"procesos industriales","el oro",99.0,3.0,3.0,120.0,40.0,2021.0,1.0,1.0
"forestal ecología y medio ambiente","pastaza",101.0,8.0,8.0,320.0,40.0,2021.0,1.0,1.0
"alimentación gastronomía y turismo","tungurahua",102.0,40.0,110.0,1600.0,40.0,2021.0,3.0,3.25
"alimentación gastronomía y turismo","tungurahua",104.0,46.0,110.0,1840.0,40.0,2021.0,3.0,3.25
"administración y legislación","santo domingo de los tsachilas",105.0,1.0,62.0,24.0,24.0,2021.0,6.0,4.0
"administración y legislación","santo domingo de los tsachilas",106.0,1.0,62.0,40.0,40.0,2021.0,6.0,4.0
"administración y legislación","santo domingo de los tsachilas",107.0,1.0,62.0,40.0,40.0,2021.0,6.0,4.0
"administración y legislación","santo domingo de los tsachilas",108.0,18.0,62.0,576.0,32.0,2021.0,6.0,4.0
"educación y capacitación","santo domingo de los tsachilas",109.0,20.0,62.0,800.0,40.0,2021.0,6.0,4.0
"procesos industriales","pichincha",111.0,343.0,1046.0,13720.0,40.0,2021.0,4.0,3.9
"procesos industriales","guayas",115.0,24.0,28.0,384.0,16.0,2021.0,2.0,1.0
"procesos industriales","guayas",116.0,4.0,28.0,160.0,40.0,2021.0,2.0,2.1818181818181817
"servicios socioculturales y a la comunidad","pichincha",117.0,1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"administración y legislación","pichincha",118.0,1.0,1.0,8.0,8.0,2021.0,1.0,1.0
"procesos industriales","pichincha",119.0,34.0,39.0,816.0,24.0,2021.0,2.0,2.0
"tecnologías de la información y comunicación","guayas",122.0,2.0,7.0,48.0,24.0,2021.0,2.0,2.5
"procesos industriales","chimborazo",123.0,33.0,45.0,528.0,16.0,2021.0,2.0,2.0
"artes y artesanía","pichincha",129.0,1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"tecnologías de la información y comunicación","sucumbios",130.0,73.0,73.0,2920.0,40.0,2021.0,1.0,1.5
"procesos industriales","guayas",134.0,10.0,10.0,80.0,8.0,2021.0,1.0,1.0
"forestal ecología y medio ambiente","pastaza",136.0,1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"alimentación gastronomía y turismo","guayas",137.0,1.0,4.0,40.0,40.0,2021.0,3.0,2.111111111111111
"alimentación gastronomía y turismo","guayas",138.0,1.0,4.0,40.0,40.0,2021.0,3.0,2.111111111111111
"educación y capacitación","cotopaxi",141.0,185.0,312.0,7400.0,40.0,2021.0,2.0,1.5
"procesos industriales","pichincha",143.0,3.0,3.0,48.0,16.0,2021.0,1.0,1.0
"procesos industriales","azuay",147.0,16.0,77.0,640.0,40.0,2021.0,4.0,2.875
"forestal ecología y medio ambiente","azuay",148.0,4.0,77.0,96.0,24.0,2021.0,4.0,2.875
"finanzas comercio y ventas","pichincha",149.0,301.0,872.0,12040.0,40.0,2021.0,4.0,4.0
"administración y legislación","cotopaxi",154.0,6.0,64.0,240.0,40.0,2021.0,3.0,2.6666666666666665
"administración y legislación","cotopaxi",155.0,47.0,64.0,752.0,16.0,2021.0,3.0,1.9285714285714286
"finanzas comercio y ventas","imbabura",156.0,18.0,44.0,144.0,8.0,2021.0,2.0,2.0
"educación y capacitación","pichincha",160.0,9.0,12.0,216.0,24.0,2021.0,2.0,1.0
"educación y capacitación","guayas",164.0,1.0,15.0,32.0,32.0,2021.0,2.0,2.0
"servicios socioculturales y a la comunidad","pichincha",166.0,13.0,13.0,312.0,24.0,2021.0,1.0,1.0
"alimentación gastronomía y turismo","el oro",171.0,28.0,28.0,1120.0,40.0,2021.0,1.0,1.3011363636363635
"finanzas comercio y ventas","guayas",175.0,16.0,16.0,128.0,8.0,2021.0,1.0,1.5
"alimentación gastronomía y turismo","manabi",177.0,7.0,84.0,280.0,40.0,2021.0,2.0,2.875
"procesos industriales","santa elena",178.0,16.0,16.0,256.0,16.0,2021.0,1.0,1.0
"procesos industriales","pichincha",182.0,32.0,34.0,1280.0,40.0,2021.0,2.0,1.0
"procesos industriales","guayas",185.0,180.0,211.0,1440.0,8.0,2021.0,2.0,2.857142857142857
"procesos industriales","guayas",186.0,31.0,211.0,1240.0,40.0,2021.0,2.0,4.5
"administración y legislación","guayas",191.0,572.0,582.0,13728.0,24.0,2021.0,2.0,4.0
"educación y capacitación","guayas",192.0,7.0,96.0,280.0,40.0,2021.0,3.0,5.0
"educación y capacitación","guayas",193.0,37.0,96.0,1184.0,32.0,2021.0,3.0,2.5
"educación y capacitación","imbabura",196.0,18.0,556.0,576.0,32.0,2021.0,4.0,3.3333333333333335
"educación y capacitación","imbabura",197.0,8.0,556.0,320.0,40.0,2021.0,4.0,2.25
"educación y capacitación","pichincha",202.0,23.0,85.0,552.0,24.0,2021.0,2.0,2.875
"educación y capacitación","guayas",204.0,7.0,7.0,224.0,32.0,2021.0,1.0,1.0
"administración y legislación","cañar",205.0,7.0,7.0,224.0,32.0,2021.0,1.0,1.0
"comunicación y artes gráficas","pichincha",206.0,92.0,92.0,3680.0,40.0,2021.0,1.0,1.3333333333333333
"educación y capacitación","azuay",208.0,102.0,102.0,4080.0,40.0,2021.0,1.0,1.3333333333333333
"administración y legislación","pichincha",211.0,60.0,68.0,960.0,16.0,2021.0,2.0,1.0
"procesos industriales","cotopaxi",213.0,14.0,15.0,336.0,24.0,2021.0,2.0,1.0
"procesos industriales","cotopaxi",214.0,1.0,15.0,16.0,16.0,2021.0,2.0,2.0
"administración y legislación","guayas",219.0,50.0,1066.0,800.0,16.0,2021.0,5.0,5.166666666666667
"finanzas comercio y ventas","pichincha",220.0,17.0,17.0,408.0,24.0,2021.0,1.0,1.5
"procesos industriales","pichincha",224.0,8.0,12.0,320.0,40.0,2021.0,2.0,2.1818181818181817
"procesos industriales","cotopaxi",227.0,205.0,206.0,8200.0,40.0,2021.0,2.0,4.0
"administración y legislación","cotopaxi",228.0,1.0,206.0,40.0,40.0,2021.0,2.0,2.0
"procesos industriales","azuay",236.0,1.0,21.0,40.0,40.0,2021.0,3.0,2.0
"tecnologías de la información y comunicación","azuay",238.0,3.0,21.0,120.0,40.0,2021.0,3.0,2.1818181818181817
"educación y capacitación","pichincha",239.0,66.0,355.0,2640.0,40.0,2021.0,3.0,2.857142857142857
"servicios socioculturales y a la comunidad","pichincha",240.0,282.0,355.0,11280.0,40.0,2021.0,3.0,2.0
"administración y legislación","pichincha",250.0,12.0,36.0,480.0,40.0,2021.0,3.0,2.888888888888889
"forestal ecología y medio ambiente","manabi",253.0,19.0,19.0,304.0,16.0,2021.0,1.0,1.5
"administración y legislación","guayas",261.0,161.0,263.0,5152.0,32.0,2021.0,3.0,1.5
"procesos industriales","guayas",262.0,100.0,263.0,1600.0,16.0,2021.0,3.0,2.857142857142857
"educación y capacitación","pichincha",268.0,23.0,23.0,920.0,40.0,2021.0,1.0,1.0
"educación y capacitación","tungurahua",273.0,8.0,8.0,320.0,40.0,2021.0,1.0,1.0
"educación y capacitación","cotopaxi",274.0,16.0,16.0,640.0,40.0,2021.0,1.0,1.0
"administración y legislación","tungurahua",275.0,99.0,99.0,1584.0,16.0,2021.0,1.0,1.3333333333333333
"procesos industriales","tungurahua",276.0,106.0,106.0,4240.0,40.0,2021.0,1.0,1.3333333333333333
"procesos industriales","santo domingo de los tsachilas",278.0,40.0,47.0,1600.0,40.0,2021.0,2.0,1.0
"tecnologías de la información y comunicación","sin provincia",279.0,1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"administración y legislación","pichincha",280.0,15.0,507.0,240.0,16.0,2021.0,4.0,3.3333333333333335
"administración y legislación","pichincha",283.0,23.0,24.0,368.0,16.0,2021.0,2.0,1.0
"servicios socioculturales y a la comunidad","pichincha",286.0,33.0,86.0,1320.0,40.0,2021.0,3.0,3.3333333333333335
"alimentación gastronomía y turismo","loja",293.0,3.0,11.0,120.0,40.0,2021.0,2.0,2.1818181818181817
"procesos industriales","tungurahua",295.0,4.0,4.0,160.0,40.0,2021.0,1.0,1.0
"administración y legislación","loja",297.0,13.0,13.0,520.0,40.0,2021.0,1.0,1.0
"transporte y logística","pichincha",298.0,124.0,124.0,4960.0,40.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","pichincha",301.0,24.0,24.0,960.0,40.0,2021.0,1.0,1.0
"administración y legislación","pichincha",302.0,3.0,3.0,96.0,32.0,2021.0,1.0,1.0
"procesos industriales","pichincha",303.0,2.0,2.0,32.0,16.0,2021.0,1.0,1.0
"administración y legislación","pichincha",307.0,26.0,37.0,416.0,16.0,2021.0,2.0,2.888888888888889
"procesos industriales","guayas",311.0,7.0,9.0,56.0,8.0,2021.0,2.0,1.0
"finanzas comercio y ventas","manabi",313.0,6.0,13.0,144.0,24.0,2021.0,2.0,2.6666666666666665
"finanzas comercio y ventas","manabi",314.0,7.0,13.0,224.0,32.0,2021.0,2.0,2.6666666666666665
"administración y legislación","pichincha",318.0,331.0,883.0,13240.0,40.0,2021.0,4.0,3.9
"administración y legislación","pichincha",319.0,471.0,883.0,7536.0,16.0,2021.0,4.0,3.9
"forestal ecología y medio ambiente","tungurahua",323.0,37.0,49.0,592.0,16.0,2021.0,2.0,1.9285714285714286
"educación y capacitación","guayas",327.0,1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"finanzas comercio y ventas","sin provincia",330.0,11.0,42.0,440.0,40.0,2021.0,3.0,2.888888888888889
"finanzas comercio y ventas","loja",335.0,25.0,124.0,1000.0,40.0,2021.0,3.0,3.6666666666666665
"procesos industriales","imbabura",337.0,5.0,59.0,160.0,32.0,2021.0,2.0,4.0
"procesos industriales","imbabura",338.0,54.0,59.0,864.0,16.0,2021.0,2.0,1.9285714285714286
"procesos industriales","guayas",341.0,74.0,257.0,592.0,8.0,2021.0,3.0,9.0
"administración y legislación","pichincha",344.0,12.0,12.0,384.0,32.0,2021.0,1.0,1.0
"tecnologías de la información y comunicación","pichincha",345.0,6.0,6.0,96.0,16.0,2021.0,1.0,1.0
"educación y capacitación","sin provincia",346.0,5.0,15.0,200.0,40.0,2021.0,2.0,2.1818181818181817
"servicios socioculturales y a la comunidad","los rios",349.0,54.0,258.0,2160.0,40.0,2021.0,10.0,2.857142857142857
"procesos industriales","los rios",350.0,48.0,258.0,384.0,8.0,2021.0,10.0,10.0
"procesos industriales","los rios",351.0,64.0,258.0,512.0,8.0,2021.0,10.0,10.0
"procesos industriales","los rios",352.0,8.0,258.0,320.0,40.0,2021.0,10.0,10.0
"procesos industriales","los rios",355.0,11.0,258.0,176.0,16.0,2021.0,10.0,10.0
"procesos industriales","guayas",356.0,2.0,6.0,16.0,8.0,2021.0,2.0,2.5
"procesos industriales","guayas",357.0,4.0,6.0,64.0,16.0,2021.0,2.0,2.1818181818181817
"educación y capacitación","guayas",360.0,8.0,17.0,192.0,24.0,2021.0,3.0,2.6666666666666665
"forestal ecología y medio ambiente","sin provincia",362.0,11.0,54.0,440.0,40.0,2021.0,2.0,2.0
"procesos industriales","azuay",364.0,47.0,94.0,752.0,16.0,2021.0,2.0,4.0
"procesos industriales","guayas",367.0,26.0,110.0,416.0,16.0,2021.0,2.0,3.6666666666666665
"servicios socioculturales y a la comunidad","guayas",369.0,29.0,270.0,1160.0,40.0,2021.0,2.0,3.3333333333333335
"transporte y logística","pichincha",370.0,7.0,36.0,112.0,16.0,2021.0,3.0,2.888888888888889
"finanzas comercio y ventas","cotopaxi",376.0,1.0,58.0,40.0,40.0,2021.0,3.0,4.0
"electricidad y electrónica","cotopaxi",381.0,6.0,36.0,144.0,24.0,2021.0,2.0,2.888888888888889
"electricidad y electrónica","cotopaxi",382.0,30.0,36.0,960.0,32.0,2021.0,2.0,2.888888888888889
"procesos industriales","guayas",385.0,9.0,9.0,72.0,8.0,2021.0,1.0,1.0
"tecnologías de la información y comunicación","azuay",386.0,84.0,94.0,672.0,8.0,2021.0,2.0,2.0
"transporte y logística","azuay",387.0,10.0,94.0,400.0,40.0,2021.0,2.0,5.0
"tecnologías de la información y comunicación","imbabura",389.0,56.0,81.0,1344.0,24.0,2021.0,2.0,3.3333333333333335
"procesos industriales","pichincha",391.0,26.0,26.0,624.0,24.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","guayas",398.0,1.0,373.0,16.0,16.0,2021.0,3.0,3.0
"servicios socioculturales y a la comunidad","guayas",399.0,10.0,373.0,80.0,8.0,2021.0,3.0,3.0
"administración y legislación","pichincha",400.0,17.0,17.0,544.0,32.0,2021.0,1.0,1.0
"procesos industriales","guayas",405.0,9.0,30.0,360.0,40.0,2021.0,3.0,2.888888888888889
"procesos industriales","santo domingo de los tsachilas",410.0,15.0,15.0,600.0,40.0,2021.0,1.0,1.0
"finanzas comercio y ventas","guayas",415.0,1.0,95.0,24.0,24.0,2021.0,5.0,5.0
"servicios socioculturales y a la comunidad","pichincha",416.0,21.0,21.0,840.0,40.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","guayas",423.0,9.0,234.0,360.0,40.0,2021.0,4.0,3.75
"educación y capacitación","guayas",425.0,65.0,174.0,2600.0,40.0,2021.0,3.0,2.857142857142857
"finanzas comercio y ventas","guayas",428.0,7.0,16.0,224.0,32.0,2021.0,3.0,2.6666666666666665
"administración y legislación","pichincha",433.0,5.0,10.0,40.0,8.0,2021.0,2.0,2.6666666666666665
"tecnologías de la información y comunicación","guayas",436.0,2.0,2.0,80.0,40.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","sin provincia",437.0,74.0,74.0,2960.0,40.0,2021.0,1.0,1.5
"servicios socioculturales y a la comunidad","pichincha",438.0,22.0,53.0,176.0,8.0,2021.0,2.0,2.0
"electricidad y electrónica","guayas",439.0,4.0,4.0,160.0,40.0,2021.0,1.0,1.0
"forestal ecología y medio ambiente","pichincha",441.0,18.0,115.0,288.0,16.0,2021.0,4.0,3.6666666666666665
"forestal ecología y medio ambiente","pichincha",444.0,10.0,115.0,160.0,16.0,2021.0,4.0,3.6666666666666665
"procesos industriales","guayas",448.0,309.0,673.0,12360.0,40.0,2021.0,4.0,4.0
"procesos industriales","guayas",449.0,21.0,673.0,840.0,40.0,2021.0,4.0,3.3333333333333335
"educación y capacitación","el oro",451.0,207.0,208.0,8280.0,40.0,2021.0,2.0,3.5
"procesos industriales","pichincha",457.0,16.0,35.0,640.0,40.0,2021.0,3.0,2.0
"alimentación gastronomía y turismo","manabi",461.0,43.0,289.0,1720.0,40.0,2021.0,3.0,2.857142857142857
"alimentación gastronomía y turismo","manabi",463.0,48.0,289.0,1152.0,24.0,2021.0,3.0,3.3333333333333335
"servicios socioculturales y a la comunidad","pichincha",469.0,29.0,184.0,1160.0,40.0,2021.0,6.0,6.666666666666667
"servicios socioculturales y a la comunidad","pichincha",470.0,34.0,184.0,1360.0,40.0,2021.0,6.0,2.857142857142857
"administración y legislación","pichincha",472.0,11.0,11.0,88.0,8.0,2021.0,1.0,1.25
"procesos industriales","pichincha",473.0,1.0,3.0,40.0,40.0,2021.0,2.0,2.111111111111111
"alimentación gastronomía y turismo","tungurahua",477.0,5.0,6.0,200.0,40.0,2021.0,2.0,2.1818181818181817
"procesos industriales","guayas",479.0,3.0,93.0,120.0,40.0,2021.0,4.0,5.0
"procesos industriales","guayas",480.0,16.0,93.0,256.0,16.0,2021.0,4.0,5.0
"procesos industriales","guayas",481.0,33.0,93.0,1320.0,40.0,2021.0,4.0,3.25
"servicios socioculturales y a la comunidad","chimborazo",482.0,1.0,13.0,40.0,40.0,2021.0,2.0,2.0
"finanzas comercio y ventas","pichincha",484.0,3.0,6.0,72.0,24.0,2021.0,2.0,2.1818181818181817
"mecánica automotriz","azuay",485.0,2.0,16.0,80.0,40.0,2021.0,2.0,2.0
"mecánica automotriz","azuay",486.0,14.0,16.0,448.0,32.0,2021.0,2.0,1.3011363636363635
"servicios socioculturales y a la comunidad","azuay",487.0,1.0,72.0,24.0,24.0,2021.0,3.0,2.6666666666666665
"servicios socioculturales y a la comunidad","azuay",488.0,70.0,72.0,2800.0,40.0,2021.0,3.0,2.0
"educación y capacitación","azuay",489.0,1.0,72.0,32.0,32.0,2021.0,3.0,2.6666666666666665
"procesos industriales","pichincha",491.0,58.0,126.0,2320.0,40.0,2021.0,3.0,3.25
"educación y capacitación","pichincha",494.0,49.0,49.0,1960.0,40.0,2021.0,1.0,1.9285714285714286
"alimentación gastronomía y turismo","pichincha",502.0,3.0,65.0,120.0,40.0,2021.0,3.0,2.6666666666666665
"alimentación gastronomía y turismo","pichincha",504.0,58.0,65.0,2320.0,40.0,2021.0,3.0,1.0
"tecnologías de la información y comunicación","loja",505.0,2.0,2.0,48.0,24.0,2021.0,1.0,1.0
"procesos industriales","pichincha",511.0,1.0,231.0,8.0,8.0,2021.0,4.0,2.0
"procesos industriales","el oro",515.0,4.0,67.0,64.0,16.0,2021.0,2.0,2.6666666666666665
"procesos industriales","el oro",516.0,63.0,67.0,2520.0,40.0,2021.0,2.0,1.0
"electricidad y electrónica","cañar",518.0,62.0,160.0,1984.0,32.0,2021.0,5.0,2.857142857142857
"electricidad y electrónica","cañar",520.0,2.0,160.0,80.0,40.0,2021.0,5.0,5.0
"procesos industriales","cañar",521.0,38.0,160.0,1520.0,40.0,2021.0,5.0,2.857142857142857
"administración y legislación","santa elena",523.0,26.0,56.0,832.0,32.0,2021.0,3.0,4.0
"administración y legislación","santa elena",524.0,27.0,56.0,1080.0,40.0,2021.0,3.0,4.0
"procesos industriales","sucumbios",526.0,28.0,28.0,448.0,16.0,2021.0,1.0,1.0
"educación y capacitación","pichincha",528.0,4.0,4.0,160.0,40.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","pichincha",530.0,99.0,99.0,3960.0,40.0,2021.0,1.0,1.3333333333333333
"tecnologías de la información y comunicación","pichincha",532.0,7.0,171.0,280.0,40.0,2021.0,3.0,6.666666666666667
"administración y legislación","pichincha",533.0,151.0,171.0,3624.0,24.0,2021.0,3.0,3.0
"procesos industriales","pichincha",534.0,13.0,171.0,312.0,24.0,2021.0,3.0,6.666666666666667
"procesos industriales","guayas",535.0,15.0,15.0,360.0,24.0,2021.0,1.0,1.0
"administración y legislación","pichincha",536.0,63.0,74.0,2520.0,40.0,2021.0,2.0,2.0
"procesos industriales","guayas",545.0,21.0,21.0,504.0,24.0,2021.0,1.0,1.0
"administración y legislación","sin provincia",546.0,14.0,21.0,336.0,24.0,2021.0,2.0,1.0
"servicios socioculturales y a la comunidad","chimborazo",550.0,18.0,21.0,720.0,40.0,2021.0,2.0,1.0
"servicios socioculturales y a la comunidad","chimborazo",551.0,3.0,21.0,24.0,8.0,2021.0,2.0,3.5
"procesos industriales","santo domingo de los tsachilas",553.0,153.0,299.0,1224.0,8.0,2021.0,3.0,3.3333333333333335
"procesos industriales","el oro",556.0,17.0,17.0,680.0,40.0,2021.0,1.0,1.5
"tecnologías de la información y comunicación","pichincha",557.0,42.0,42.0,1680.0,40.0,2021.0,1.0,1.0
"transporte y logística","pichincha",562.0,259.0,674.0,10360.0,40.0,2021.0,5.0,4.0
"procesos industriales","pichincha",563.0,173.0,674.0,2768.0,16.0,2021.0,5.0,4.0
"servicios socioculturales y a la comunidad","pichincha",565.0,189.0,674.0,7560.0,40.0,2021.0,5.0,4.0
"procesos industriales","pichincha",566.0,1.0,674.0,16.0,16.0,2021.0,5.0,3.0
"electricidad y electrónica","pichincha",567.0,92.0,125.0,3680.0,40.0,2021.0,2.0,1.3333333333333333
"educación y capacitación","los rios",569.0,1.0,1.0,32.0,32.0,2021.0,1.0,1.0
"transporte y logística","sin provincia",571.0,5.0,5.0,80.0,16.0,2021.0,1.0,1.0
"transporte y logística","pichincha",572.0,94.0,94.0,2256.0,24.0,2021.0,1.0,1.3333333333333333
"servicios socioculturales y a la comunidad","chimborazo",576.0,15.0,15.0,600.0,40.0,2021.0,1.0,1.0
"administración y legislación","pichincha",578.0,35.0,426.0,560.0,16.0,2021.0,6.0,5.666666666666667
"finanzas comercio y ventas","pichincha",579.0,152.0,426.0,3648.0,24.0,2021.0,6.0,5.5
"administración y legislación","pichincha",580.0,74.0,426.0,592.0,8.0,2021.0,6.0,5.666666666666667
"finanzas comercio y ventas","pichincha",581.0,12.0,426.0,288.0,24.0,2021.0,6.0,3.3333333333333335
"educación y capacitación","pichincha",584.0,4.0,4.0,128.0,32.0,2021.0,1.0,1.0
"procesos industriales","pichincha",585.0,35.0,35.0,1400.0,40.0,2021.0,1.0,1.0
"administración y legislación","pichincha",586.0,2.0,2.0,48.0,24.0,2021.0,1.0,1.0
"procesos industriales","guayas",594.0,2.0,50.0,32.0,16.0,2021.0,5.0,5.0
"procesos industriales","guayas",595.0,8.0,50.0,320.0,40.0,2021.0,5.0,5.0
"tecnologías de la información y comunicación","azuay",599.0,121.0,239.0,4840.0,40.0,2021.0,3.0,1.5
"alimentación gastronomía y turismo","pichincha",600.0,307.0,307.0,12280.0,40.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","pichincha",602.0,50.0,50.0,400.0,8.0,2021.0,1.0,1.9285714285714286
"administración y legislación","pichincha",603.0,1.0,1.0,24.0,24.0,2021.0,1.0,1.0
"procesos industriales","pichincha",609.0,238.0,240.0,9520.0,40.0,2021.0,2.0,1.0
"finanzas comercio y ventas","pichincha",611.0,10.0,20.0,400.0,40.0,2021.0,2.0,1.5
"servicios socioculturales y a la comunidad","pichincha",612.0,4.0,94.0,64.0,16.0,2021.0,2.0,5.0
"servicios socioculturales y a la comunidad","pichincha",613.0,90.0,94.0,3600.0,40.0,2021.0,2.0,1.3333333333333333
"administración y legislación","pichincha",616.0,7.0,7.0,280.0,40.0,2021.0,1.0,1.0
"educación y capacitación","pichincha",618.0,319.0,328.0,12760.0,40.0,2021.0,2.0,2.0
"educación y capacitación","chimborazo",621.0,12.0,13.0,480.0,40.0,2021.0,2.0,1.0
"educación y capacitación","azuay",624.0,167.0,167.0,6680.0,40.0,2021.0,1.0,1.5
"administración y legislación","pichincha",625.0,90.0,90.0,1440.0,16.0,2021.0,1.0,1.3333333333333333
"educación y capacitación","sin provincia",629.0,8.0,13.0,128.0,16.0,2021.0,3.0,2.6666666666666665
"comunicación y artes gráficas","pichincha",630.0,1.0,3.0,32.0,32.0,2021.0,3.0,2.111111111111111
"comunicación y artes gráficas","pichincha",631.0,1.0,3.0,40.0,40.0,2021.0,3.0,2.111111111111111
"comunicación y artes gráficas","pichincha",632.0,1.0,3.0,40.0,40.0,2021.0,3.0,2.111111111111111
"finanzas comercio y ventas","guayas",635.0,123.0,173.0,984.0,8.0,2021.0,2.0,3.0
"construcción e infraestructura","pichincha",636.0,31.0,31.0,992.0,32.0,2021.0,1.0,1.0
"administración y legislación","guayas",638.0,17.0,55.0,680.0,40.0,2021.0,2.0,5.0
"procesos industriales","pichincha",645.0,40.0,62.0,320.0,8.0,2021.0,4.0,1.9285714285714286
"tecnologías de la información y comunicación","tungurahua",647.0,55.0,57.0,440.0,8.0,2021.0,2.0,1.9285714285714286
"tecnologías de la información y comunicación","tungurahua",648.0,2.0,57.0,48.0,24.0,2021.0,2.0,4.444444444444445
"alimentación gastronomía y turismo","pichincha",651.0,4.0,35.0,64.0,16.0,2021.0,4.0,4.166666666666667
