"area_familia","modalidad","canton","provincia","id_fact_oc","total_cursos","volumen_capacitados","total_horas","total_ganancias","%_asistencia","carga_horaria","costo","anio","num_cap_cer","confidence(range2)","confidence(range1)","prediction(num_cap_cer)","cost"
"educación y capacitación","presencial","quito","pichincha",64.0,7.0,19.0,267.0,0.0,0.0,267.0,0.0,2018.0,"range1",0.3106533810840491,0.689346618915951,"range1",0.37869323783190184
"procesos industriales","presencial","quito","pichincha",65.0,2.0,2.0,22.0,0.0,0.0,22.0,0.0,2021.0,"range1",0.3152170626698219,0.684782937330178,"range1",0.3695658746603561
"procesos industriales","presencial","quito","pichincha",67.0,5.0,159.0,32.0,0.0,0.0,8.0,0.0,2018.0,"range1",0.32159000409750566,0.6784099959024942,"range1",0.3568199918049885
"procesos industriales","presencial","quito","pichincha",70.0,12.0,1394.0,5392.0,0.0,0.0,16.0,0.0,2021.0,"range2",0.643068307966497,0.35693169203350283,"range2",0.2861366159329942
"procesos industriales","online","quito","pichincha",75.0,12.0,1394.0,1088.0,0.0,0.0,8.0,0.0,2021.0,"range2",0.4390182230873038,0.5609817769126962,"range1",0.12196355382539242
"procesos industriales","presencial","quito","pichincha",76.0,12.0,1394.0,280.0,0.0,0.0,8.0,0.0,2021.0,"range2",0.342272283832179,0.6577277161678209,"range1",0.3154554323356419
"procesos industriales","online","quito","pichincha",77.0,12.0,1394.0,280.0,0.0,0.0,8.0,0.0,2021.0,"range2",0.35567416447792216,0.6443258355220777,"range1",0.2886516710441555
"procesos industriales","presencial","quito","pichincha",78.0,12.0,1394.0,2896.0,0.0,0.0,16.0,0.0,2021.0,"range2",0.5883708078003109,0.4116291921996891,"range2",0.17674161560062185
"procesos industriales","presencial","quito","pichincha",82.0,12.0,1394.0,696.0,0.0,0.0,8.0,0.0,2021.0,"range2",0.3681478677454544,0.6318521322545456,"range1",0.26370426450909124
"procesos industriales","presencial","quito","pichincha",84.0,12.0,1394.0,2136.0,0.0,0.0,8.0,0.0,2021.0,"range2",0.541578053496218,0.458421946503782,"range2",0.08315610699243603
"procesos industriales","online","quito","pichincha",87.0,12.0,1394.0,88.0,0.0,0.0,8.0,0.0,2021.0,"range1",0.3439752498790189,0.6560247501209812,"range1",0.31204950024196226
"procesos industriales","presencial","quito","pichincha",88.0,12.0,1394.0,472.0,0.0,0.0,8.0,0.0,2021.0,"range2",0.35215066758769914,0.6478493324123008,"range1",0.29569866482460166
"procesos industriales","presencial","quito","pichincha",90.0,12.0,1394.0,32.0,0.0,0.0,8.0,0.0,2021.0,"range1",0.3318392704494855,0.6681607295505144,"range1",0.3363214591010289
"procesos industriales","presencial","quito","pichincha",92.0,12.0,1394.0,976.0,0.0,0.0,16.0,0.0,2021.0,"range2",0.3666135840636772,0.6333864159363228,"range1",0.2667728318726456
"procesos industriales","presencial","quito","pichincha",96.0,17.0,247.0,24.0,0.0,0.0,8.0,0.0,2019.0,"range1",0.31869290231729447,0.6813070976827055,"range1",0.362614195365411
"procesos industriales","online","quito","pichincha",97.0,17.0,247.0,24.0,0.0,0.0,8.0,0.0,2019.0,"range1",0.3222925403272219,0.6777074596727782,"range1",0.35541491934555636
"procesos industriales","online","quito","pichincha",101.0,17.0,247.0,48.0,0.0,0.0,8.0,0.0,2019.0,"range1",0.32268973325630285,0.6773102667436972,"range1",0.35462053348739436
"procesos industriales","presencial","quito","pichincha",108.0,17.0,247.0,344.0,0.0,0.0,8.0,0.0,2019.0,"range2",0.3239182971067198,0.6760817028932803,"range1",0.35216340578656047
"procesos industriales","online","quito","pichincha",111.0,17.0,247.0,248.0,0.0,0.0,8.0,0.0,2019.0,"range2",0.32704419014368985,0.6729558098563101,"range1",0.34591161971262024
"educación y capacitación","presencial","ibarra","imbabura",114.0,9.0,245.0,880.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.31202324881422144,0.6879767511857785,"range1",0.37595350237155706
"alimentación gastronomía y turismo","presencial","ibarra","imbabura",116.0,9.0,245.0,4560.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.5259749007844093,0.4740250992155906,"range2",0.05194980156881873
"educación y capacitación","presencial","ibarra","imbabura",118.0,4.0,60.0,640.0,0.0,0.0,40.0,0.0,2018.0,"range1",0.3115815584813298,0.6884184415186702,"range1",0.37683688303734036
"educación y capacitación","online","ibarra","imbabura",119.0,4.0,60.0,640.0,0.0,0.0,40.0,0.0,2018.0,"range1",0.31198952134455005,0.6880104786554501,"range1",0.3760209573109
"administración y legislación","presencial","quito","pichincha",125.0,1.0,3.0,120.0,0.0,0.0,40.0,0.0,2020.0,"range1",0.3127867455315253,0.6872132544684749,"range1",0.3744265089369496
"administración y legislación","presencial","quito","pichincha",126.0,3.0,75.0,2360.0,0.0,0.0,40.0,0.0,2022.0,"range2",0.38061904323435775,0.6193809567656422,"range1",0.23876191353128445
"administración y legislación","presencial","quito","pichincha",127.0,3.0,75.0,400.0,0.0,0.0,40.0,0.0,2022.0,"range1",0.31399827347251835,0.6860017265274817,"range1",0.37200345305496335
"servicios socioculturales y a la comunidad","presencial","quito","pichincha",129.0,1.0,5.0,200.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.3111274847743017,0.6888725152256981,"range1",0.37774503045139646
"alimentación gastronomía y turismo","presencial","quito","pichincha",131.0,13.0,1219.0,3120.0,0.0,0.0,240.0,0.0,2021.0,"range1",0.3106548704870413,0.6893451295129586,"range1",0.37869025902591724
"alimentación gastronomía y turismo","presencial","quito","pichincha",132.0,13.0,1219.0,6600.0,0.0,0.0,200.0,0.0,2021.0,"range2",0.31268303174467355,0.6873169682553265,"range1",0.37463393651065297
"alimentación gastronomía y turismo","presencial","quito","pichincha",133.0,13.0,1219.0,7680.0,0.0,0.0,240.0,0.0,2021.0,"range2",0.31175822908734724,0.6882417709126528,"range1",0.3764835418253056
"alimentación gastronomía y turismo","presencial","quito","pichincha",134.0,13.0,1219.0,10560.0,0.0,0.0,240.0,0.0,2021.0,"range2",0.40429157012156014,0.59570842987844,"range1",0.19141685975687983
"educación y capacitación","semipresencial","guayaquil","guayas",135.0,3.0,1307.0,108450.0,0.0,0.0,150.0,0.0,2021.0,"range2",0.9773200389477603,0.022679961052239683,"range2",0.9546400778955206
"educación y capacitación","semipresencial","guayaquil","guayas",137.0,3.0,1307.0,5550.0,0.0,0.0,150.0,0.0,2021.0,"range2",0.32487900262785613,0.6751209973721438,"range1",0.3502419947442877
"educación y capacitación","online","santo domingo","santo domingo de los tsachilas",144.0,15.0,1119.0,360.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.31196638429699136,0.6880336157030086,"range1",0.3760672314060172
"procesos industriales","presencial","santo domingo","santo domingo de los tsachilas",149.0,15.0,1119.0,180.0,0.0,0.0,60.0,0.0,2021.0,"range1",0.31154400980729613,0.688455990192704,"range1",0.37691198038540785
"tecnologías de la información y comunicación","presencial","quito","pichincha",153.0,23.0,1218.0,1120.0,16520.0,0.2333333333333333,40.0,590.0,2021.0,"range2",0.33118588224402573,0.6688141177559744,"range1",0.3376282355119487
"tecnologías de la información y comunicación","presencial","quito","pichincha",155.0,23.0,1218.0,5680.0,25560.0,1.1833333333333331,40.0,180.0,2021.0,"range2",0.6439867060082248,0.35601329399177506,"range2",0.28797341201644977
"tecnologías de la información y comunicación","presencial","quito","pichincha",159.0,23.0,1218.0,280.0,2707.6,0.0583333333333333,40.0,386.8,2021.0,"range1",0.3106535536610146,0.6893464463389855,"range1",0.37869289267797085
"electricidad y electrónica","presencial","quito","pichincha",160.0,23.0,1218.0,600.0,0.0,0.125,40.0,0.0,2021.0,"range1",0.31181864350220617,0.6881813564977938,"range1",0.3763627129955876
"educación y capacitación","online","quito","pichincha",163.0,23.0,1218.0,7600.0,0.0,0.7916666666666667,80.0,0.0,2021.0,"range2",0.6395210936123547,0.3604789063876454,"range2",0.27904218722470925
"tecnologías de la información y comunicación","presencial","quito","pichincha",164.0,23.0,1218.0,4600.0,83352.00000000001,0.9583333333333331,40.0,724.8000000000001,2021.0,"range2",0.9773200389303963,0.02267996106960361,"range2",0.9546400778607927
"tecnologías de la información y comunicación","presencial","quito","pichincha",165.0,23.0,1218.0,5040.0,91324.8,1.05,40.0,724.8000000000001,2021.0,"range2",0.9773200389469247,0.022679961053075275,"range2",0.9546400778938494
"educación y capacitación","presencial","quito","pichincha",169.0,23.0,1218.0,120.0,0.0,0.0083333333333333,120.0,0.0,2021.0,"range1",0.31066044414387384,0.6893395558561263,"range1",0.37867911171225244
"educación y capacitación","presencial","quito","pichincha",170.0,23.0,1218.0,480.0,0.0,0.0333333333333333,120.0,0.0,2021.0,"range1",0.3106650402240079,0.6893349597759921,"range1",0.3786699195519842
"tecnologías de la información y comunicación","presencial","quito","pichincha",173.0,23.0,1218.0,600.0,1998.0,0.125,40.0,133.2,2021.0,"range1",0.31083328880518796,0.689166711194812,"range1",0.37833342238962403
"tecnologías de la información y comunicación","presencial","quito","pichincha",180.0,14.0,127.0,120.0,399.6,0.025,40.0,133.2,2019.0,"range1",0.31066089469606906,0.6893391053039309,"range1",0.3786782106078619
"alimentación gastronomía y turismo","presencial","guayaquil","guayas",181.0,3.0,14.0,1728.0,0.0,0.0,144.0,0.0,2021.0,"range1",0.31066788384737937,0.6893321161526206,"range1",0.3786642323052412
"administración y legislación","online","guayaquil","guayas",187.0,2.0,26.0,208.0,0.0,0.0,16.0,0.0,2021.0,"range1",0.3241038432641273,0.6758961567358727,"range1",0.3517923134717454
"educación y capacitación","presencial","quito","pichincha",193.0,12.0,282.0,760.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.3116208521837793,0.6883791478162208,"range1",0.3767582956324415
"procesos industriales","presencial","quito","pichincha",194.0,12.0,282.0,1920.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.33714446254812214,0.6628555374518778,"range1",0.3257110749037556
"procesos industriales","presencial","quito","pichincha",196.0,12.0,282.0,800.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.3150399874661581,0.6849600125338419,"range1",0.3699200250676838
"procesos industriales","presencial","quito","pichincha",200.0,12.0,282.0,312.0,0.0,0.0,24.0,0.0,2021.0,"range1",0.3157447739706511,0.684255226029349,"range1",0.36851045205869787
"tecnologías de la información y comunicación","presencial","quito","pichincha",208.0,1.0,7.0,280.0,4130.0,0.0,40.0,590.0,2019.0,"range1",0.3106533590157057,0.6893466409842942,"range1",0.37869328196858854
"alimentación gastronomía y turismo","presencial","daule","guayas",214.0,2.0,49.0,4056.0,0.0,0.0,312.0,0.0,2018.0,"range1",0.3106534984455706,0.6893465015544294,"range1",0.37869300310885884
"alimentación gastronomía y turismo","presencial","daule","guayas",215.0,2.0,54.0,13728.0,0.0,0.0,312.0,0.0,2019.0,"range2",0.42101355860923734,0.5789864413907627,"range1",0.15797288278152538
"educación y capacitación","presencial","quito","pichincha",217.0,1.0,210.0,16800.0,0.0,0.0,80.0,0.0,2021.0,"range2",0.6439866943665625,0.3560133056334374,"range2",0.2879733887331251
"tecnologías de la información y comunicación","presencial","quito","pichincha",218.0,40.0,2808.0,60.0,580.2,0.0071377587437544,30.0,290.1,2021.0,"range1",0.31065383063524904,0.6893461693647508,"range1",0.37869233872950175
"administración y legislación","presencial","quito","pichincha",219.0,40.0,2808.0,1620.0,0.0,0.5781584582441114,10.0,0.0,2021.0,"range2",0.4977216700112588,0.5022783299887413,"range1",0.004556659977482558
"comunicación y artes gráficas","presencial","quito","pichincha",220.0,40.0,2808.0,1260.0,0.0,0.1498929336188436,30.0,0.0,2021.0,"range2",0.32199070087237813,0.678009299127622,"range1",0.35601859825524385
"tecnologías de la información y comunicación","presencial","quito","pichincha",223.0,40.0,2808.0,390.0,2683.2000000000003,0.046395431834404,30.0,206.4,2021.0,"range1",0.31074219238153705,0.6892578076184629,"range1",0.37851561523692584
"tecnologías de la información y comunicación","presencial","quito","pichincha",226.0,40.0,2808.0,630.0,1417.5,0.0749464668094218,30.0,67.5,2021.0,"range1",0.31328459053077523,0.6867154094692248,"range1",0.3734308189384496
"tecnologías de la información y comunicación","presencial","quito","pichincha",231.0,40.0,2808.0,960.0,10080.0,0.1142041399000713,30.0,315.0,2021.0,"range2",0.40088373253696824,0.5991162674630318,"range1",0.19823253492606357
"comunicación y artes gráficas","presencial","quito","pichincha",232.0,40.0,2808.0,5100.0,0.0,0.9100642398286938,20.0,0.0,2021.0,"range2",0.6370527420415366,0.3629472579584634,"range2",0.2741054840830732
"tecnologías de la información y comunicación","presencial","quito","pichincha",233.0,40.0,2808.0,30.0,182.7,0.0035688793718772,30.0,182.7,2021.0,"range1",0.3106586916562036,0.6893413083437964,"range1",0.3786826166875928
"tecnologías de la información y comunicación","presencial","quito","pichincha",235.0,40.0,2808.0,1290.0,8604.3,0.1534618129907209,30.0,200.1,2021.0,"range2",0.5877646496098088,0.4122353503901914,"range2",0.1755292992196174
"tecnologías de la información y comunicación","presencial","quito","pichincha",236.0,40.0,2808.0,600.0,2400.0,0.1070663811563169,20.0,80.0,2021.0,"range2",0.32179264992514295,0.678207350074857,"range1",0.35641470014971405
"tecnologías de la información y comunicación","presencial","quito","pichincha",237.0,40.0,2808.0,210.0,1875.3,0.0249821556031406,30.0,267.9,2021.0,"range1",0.31065730259491847,0.6893426974050815,"range1",0.378685394810163
"educación y capacitación","presencial","ibarra","imbabura",242.0,8.0,312.0,8640.0,0.0,0.0,192.0,0.0,2021.0,"range2",0.35381294152116943,0.6461870584788306,"range1",0.2923741169576612
"educación y capacitación","presencial","ibarra","imbabura",243.0,8.0,312.0,11096.0,0.0,0.0,152.0,0.0,2021.0,"range2",0.6409557782478241,0.3590442217521759,"range2",0.28191155649564825
"procesos industriales","presencial","guayaquil","guayas",247.0,7.0,104.0,100.0,0.0,0.0,20.0,0.0,2021.0,"range1",0.3149729990472483,0.6850270009527516,"range1",0.3700540019055033
"procesos industriales","presencial","guayaquil","guayas",248.0,7.0,104.0,80.0,0.0,0.0,16.0,0.0,2021.0,"range1",0.31594597675567604,0.684054023244324,"range1",0.3681080464886479
"procesos industriales","presencial","guayaquil","guayas",250.0,7.0,104.0,120.0,0.0,0.0,20.0,0.0,2021.0,"range1",0.3150981922349257,0.6849018077650744,"range1",0.3698036155301487
"procesos industriales","online","MISSING","cotopaxi",251.0,5.0,193.0,900.0,0.0,0.0,30.0,0.0,2021.0,"range2",0.3248608619423719,0.6751391380576282,"range1",0.35027827611525625
"procesos industriales","online","MISSING","cotopaxi",252.0,5.0,193.0,2260.0,0.0,0.0,20.0,0.0,2021.0,"range2",0.4632187204985149,0.5367812795014851,"range1",0.07356255900297021
"electricidad y electrónica","presencial","quito","pichincha",253.0,38.0,3266.0,1320.0,0.0,0.0,60.0,0.0,2021.0,"range1",0.3135499870639033,0.6864500129360965,"range1",0.37290002587219323
"procesos industriales","presencial","quito","pichincha",256.0,38.0,3266.0,32.0,0.0,0.0,16.0,0.0,2021.0,"range1",0.3311024276485914,0.6688975723514087,"range1",0.3377951447028173
"procesos industriales","online","quito","pichincha",257.0,38.0,3266.0,20.0,0.0,0.0,10.0,0.0,2021.0,"range1",0.3509046130841198,0.6490953869158801,"range1",0.2981907738317603
"procesos industriales","presencial","quito","pichincha",258.0,38.0,3266.0,20.0,0.0,0.0,10.0,0.0,2021.0,"range1",0.3387708589220808,0.6612291410779192,"range1",0.3224582821558384
"procesos industriales","online","quito","pichincha",261.0,38.0,3266.0,170.0,0.0,0.0,10.0,0.0,2021.0,"range1",0.36063505732823664,0.6393649426717632,"range1",0.2787298853435266
"transporte y logística","online","quito","pichincha",264.0,38.0,3266.0,2490.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.5340817787106008,0.46591822128939914,"range2",0.06816355742120167
"electricidad y electrónica","presencial","quito","pichincha",268.0,38.0,3266.0,2640.0,0.0,0.0,120.0,0.0,2021.0,"range1",0.3113600522503761,0.6886399477496239,"range1",0.3772798954992478
"electricidad y electrónica","presencial","quito","pichincha",269.0,38.0,3266.0,2200.0,0.0,0.0,100.0,0.0,2021.0,"range1",0.3117714654603139,0.688228534539686,"range1",0.3764570690793721
"electricidad y electrónica","online","quito","pichincha",270.0,38.0,3266.0,2200.0,0.0,0.0,100.0,0.0,2021.0,"range1",0.31226457871271157,0.6877354212872885,"range1",0.3754708425745769
"electricidad y electrónica","presencial","quito","pichincha",275.0,38.0,3266.0,500.0,0.0,0.0,100.0,0.0,2021.0,"range1",0.31073258718874297,0.6892674128112569,"range1",0.37853482562251395
"educación y capacitación","presencial","quito","pichincha",276.0,38.0,3266.0,880.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.31514461518639997,0.6848553848136,"range1",0.3697107696272
"educación y capacitación","presencial","quito","pichincha",277.0,38.0,3266.0,1760.0,0.0,0.0,80.0,0.0,2021.0,"range1",0.31241295866383323,0.6875870413361668,"range1",0.37517408267233354
"educación y capacitación","online","quito","pichincha",278.0,38.0,3266.0,880.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.31714939859958,0.68285060140042,"range1",0.36570120280083995
"educación y capacitación","online","quito","pichincha",279.0,38.0,3266.0,1760.0,0.0,0.0,80.0,0.0,2021.0,"range1",0.31319136016923016,0.6868086398307699,"range1",0.37361727966153974
"electricidad y electrónica","presencial","quito","pichincha",280.0,38.0,3266.0,1680.0,0.0,0.0,60.0,0.0,2021.0,"range2",0.31567141167822876,0.6843285883217712,"range1",0.3686571766435425
"electricidad y electrónica","online","quito","pichincha",281.0,38.0,3266.0,1680.0,0.0,0.0,60.0,0.0,2021.0,"range2",0.31792158330110015,0.6820784166988999,"range1",0.36415683339779975
"procesos industriales","presencial","quito","pichincha",284.0,38.0,3266.0,1500.0,0.0,0.0,100.0,0.0,2021.0,"range1",0.31216122438123706,0.687838775618763,"range1",0.375677551237526
"procesos industriales","online","quito","pichincha",285.0,38.0,3266.0,1500.0,0.0,0.0,100.0,0.0,2021.0,"range1",0.31282956867639294,0.6871704313236071,"range1",0.37434086264721417
"electricidad y electrónica","online","quito","pichincha",287.0,38.0,3266.0,1000.0,0.0,0.0,40.0,0.0,2021.0,"range1",0.31845714209688003,0.6815428579031201,"range1",0.36308571580624005
"procesos industriales","online","quito","pichincha",297.0,38.0,3266.0,140.0,0.0,0.0,10.0,0.0,2021.0,"range1",0.3564934285455171,0.6435065714544829,"range1",0.2870131429089658
"procesos industriales","online","quito","pichincha",299.0,38.0,3266.0,1130.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.46580797292123677,0.5341920270787632,"range1",0.06838405415752646
"procesos industriales","online","quito","pichincha",302.0,38.0,3266.0,4656.0,0.0,0.0,24.0,0.0,2021.0,"range2",0.6419114874128702,0.3580885125871298,"range2",0.28382297482574037
"procesos industriales","online","quito","pichincha",305.0,38.0,3266.0,3880.0,0.0,0.0,20.0,0.0,2021.0,"range2",0.6379100930684022,0.36208990693159776,"range2",0.2758201861368044
"procesos industriales","presencial","quito","pichincha",307.0,38.0,3266.0,3880.0,0.0,0.0,20.0,0.0,2021.0,"range2",0.6333804092387529,0.3666195907612469,"range2",0.26676081847750605
"procesos industriales","semipresencial","quito","pichincha",308.0,38.0,3266.0,4656.0,0.0,0.0,24.0,0.0,2021.0,"range2",0.641894266927319,0.35810573307268095,"range2",0.28378853385463804
"procesos industriales","presencial","quito","pichincha",311.0,38.0,3266.0,5148.0,0.0,0.0,36.0,0.0,2021.0,"range2",0.6406277183833285,0.3593722816166715,"range2",0.28125543676665704
"procesos industriales","online","quito","pichincha",312.0,38.0,3266.0,5148.0,0.0,0.0,36.0,0.0,2021.0,"range2",0.6420699235403721,0.3579300764596279,"range2",0.2841398470807442
"procesos industriales","presencial","quito","pichincha",314.0,38.0,3266.0,21960.0,0.0,0.0,30.0,0.0,2021.0,"range2",0.6439867060766883,0.35601329392331166,"range2",0.28797341215337663
"procesos industriales","presencial","quito","pichincha",316.0,38.0,3266.0,8784.0,0.0,0.0,12.0,0.0,2021.0,"range2",0.6439844459338296,0.35601555406617047,"range2",0.28796889186765917
"procesos industriales","online","quito","pichincha",317.0,38.0,3266.0,29280.0,0.0,0.0,40.0,0.0,2021.0,"range2",0.6439869656097432,0.3560130343902568,"range2",0.28797393121948645
"procesos industriales","presencial","quito","pichincha",321.0,38.0,3266.0,1280.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.446585894231466,0.553414105768534,"range1",0.10682821153706801
"procesos industriales","semipresencial","quito","pichincha",325.0,38.0,3266.0,6910.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.6439645596201341,0.3560354403798658,"range2",0.2879291192402683
"procesos industriales","online","quito","pichincha",326.0,38.0,3266.0,6910.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.6439645310997273,0.3560354689002727,"range2",0.2879290621994546
"procesos industriales","presencial","quito","pichincha",327.0,38.0,3266.0,16584.0,0.0,0.0,24.0,0.0,2021.0,"range2",0.6439867053099508,0.35601329469004916,"range2",0.28797341061990167
"procesos industriales","semipresencial","quito","pichincha",328.0,38.0,3266.0,16584.0,0.0,0.0,24.0,0.0,2021.0,"range2",0.6439867054031239,0.35601329459687614,"range2",0.2879734108062477
"procesos industriales","presencial","quito","pichincha",331.0,38.0,3266.0,80.0,0.0,0.0,10.0,0.0,2021.0,"range1",0.3388061661179236,0.6611938338820763,"range1",0.32238766776415273
"procesos industriales","online","quito","pichincha",333.0,38.0,3266.0,280.0,0.0,0.0,10.0,0.0,2021.0,"range2",0.36449884736771443,0.6355011526322857,"range1",0.27100230526457125
"procesos industriales","online","quito","pichincha",336.0,38.0,3266.0,240.0,0.0,0.0,16.0,0.0,2021.0,"range1",0.3472820711823359,0.6527179288176641,"range1",0.3054358576353282
"mecánica industrial y minería","online","quito","pichincha",339.0,38.0,3266.0,1360.0,0.0,0.0,16.0,0.0,2021.0,"range2",0.36134785412426423,0.6386521458757358,"range1",0.2773042917514716
"procesos industriales","presencial","quito","pichincha",342.0,38.0,3266.0,2472.0,0.0,0.0,24.0,0.0,2021.0,"range2",0.5352689970439561,0.46473100295604386,"range2",0.07053799408791228
"procesos industriales","presencial","quito","pichincha",345.0,4.0,9.0,48.0,0.0,0.0,16.0,0.0,2021.0,"range1",0.31512670732224807,0.6848732926777519,"range1",0.3697465853555038
"procesos industriales","presencial","quito","pichincha",348.0,4.0,9.0,16.0,0.0,0.0,16.0,0.0,2021.0,"range1",0.3148831047437166,0.6851168952562833,"range1",0.37023379051256666
"educación y capacitación","online","quito","pichincha",354.0,30.0,2885.0,4284.0,0.0,0.0,21.0,0.0,2021.0,"range2",0.6271720223559725,0.37282797764402753,"range2",0.25434404471194494
"educación y capacitación","online","quito","pichincha",355.0,30.0,2885.0,4347.0,0.0,0.0,21.0,0.0,2021.0,"range2",0.6288111723611138,0.37118882763888617,"range2",0.25762234472222767
"educación y capacitación","online","quito","pichincha",357.0,30.0,2885.0,1134.0,0.0,0.0,21.0,0.0,2021.0,"range2",0.33591357116332515,0.6640864288366749,"range1",0.32817285767334975
"educación y capacitación","online","quito","pichincha",359.0,30.0,2885.0,672.0,0.0,0.0,21.0,0.0,2021.0,"range2",0.3227124942980204,0.6772875057019796,"range1",0.3545750114039592
"educación y capacitación","online","quito","pichincha",361.0,30.0,2885.0,273.0,0.0,0.0,21.0,0.0,2021.0,"range1",0.31694528845729253,0.6830547115427076,"range1",0.36610942308541505
