"area","id_fact_ci","num_cap","total_cursos","volumen_capacitados","total_horas","carga_horaria","anio","total_ganancias","prediction(total_ganancias)"
"forestal ecología y medio ambiente",97.0,6.0,3.0,228.0,96.0,16.0,2021.0,0.0,0.0
"procesos industriales",98.0,219.0,3.0,228.0,1752.0,8.0,2021.0,0.0,0.0
"procesos industriales",99.0,3.0,1.0,3.0,120.0,40.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente",101.0,8.0,1.0,8.0,320.0,40.0,2021.0,0.0,0.0
"alimentación gastronomía y turismo",102.0,40.0,3.0,110.0,1600.0,40.0,2021.0,0.0,0.0
"alimentación gastronomía y turismo",104.0,46.0,3.0,110.0,1840.0,40.0,2021.0,0.0,0.0
"administración y legislación",105.0,1.0,6.0,62.0,24.0,24.0,2021.0,0.0,0.0
"administración y legislación",106.0,1.0,6.0,62.0,40.0,40.0,2021.0,0.0,0.0
"administración y legislación",107.0,1.0,6.0,62.0,40.0,40.0,2021.0,0.0,0.0
"administración y legislación",108.0,18.0,6.0,62.0,576.0,32.0,2021.0,0.0,0.0
"educación y capacitación",109.0,20.0,6.0,62.0,800.0,40.0,2021.0,0.0,0.0
"procesos industriales",111.0,343.0,4.0,1046.0,13720.0,40.0,2021.0,0.0,0.0
"procesos industriales",115.0,24.0,2.0,28.0,384.0,16.0,2021.0,0.0,0.0
"procesos industriales",116.0,4.0,2.0,28.0,160.0,40.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",117.0,1.0,1.0,1.0,24.0,24.0,2021.0,0.0,0.0
"administración y legislación",118.0,1.0,1.0,1.0,8.0,8.0,2021.0,0.0,0.0
"procesos industriales",119.0,34.0,2.0,39.0,816.0,24.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación",122.0,2.0,2.0,7.0,48.0,24.0,2021.0,464.16,1047.4541176470589
"procesos industriales",123.0,33.0,2.0,45.0,528.0,16.0,2021.0,0.0,0.0
"artes y artesanía",129.0,1.0,1.0,1.0,40.0,40.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación",130.0,73.0,1.0,73.0,2920.0,40.0,2021.0,46223.600000000006,17457.8
"procesos industriales",134.0,10.0,1.0,10.0,80.0,8.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente",136.0,1.0,1.0,1.0,24.0,24.0,2021.0,0.0,0.0
"alimentación gastronomía y turismo",137.0,1.0,3.0,4.0,40.0,40.0,2021.0,0.0,0.0
"alimentación gastronomía y turismo",138.0,1.0,3.0,4.0,40.0,40.0,2021.0,0.0,0.0
"educación y capacitación",141.0,185.0,2.0,312.0,7400.0,40.0,2021.0,0.0,0.0
"procesos industriales",143.0,3.0,1.0,3.0,48.0,16.0,2021.0,0.0,0.0
"procesos industriales",147.0,16.0,4.0,77.0,640.0,40.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente",148.0,4.0,4.0,77.0,96.0,24.0,2021.0,0.0,0.0
"finanzas comercio y ventas",149.0,301.0,4.0,872.0,12040.0,40.0,2021.0,0.0,0.0
"administración y legislación",154.0,6.0,3.0,64.0,240.0,40.0,2021.0,0.0,0.0
"administración y legislación",155.0,47.0,3.0,64.0,752.0,16.0,2021.0,0.0,0.0
"finanzas comercio y ventas",156.0,18.0,2.0,44.0,144.0,8.0,2021.0,0.0,0.0
"educación y capacitación",160.0,9.0,2.0,12.0,216.0,24.0,2021.0,0.0,0.0
"educación y capacitación",164.0,1.0,2.0,15.0,32.0,32.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",166.0,13.0,1.0,13.0,312.0,24.0,2021.0,0.0,0.0
"alimentación gastronomía y turismo",171.0,28.0,1.0,28.0,1120.0,40.0,2021.0,0.0,0.0
"finanzas comercio y ventas",175.0,16.0,1.0,16.0,128.0,8.0,2021.0,0.0,0.0
"alimentación gastronomía y turismo",177.0,7.0,2.0,84.0,280.0,40.0,2021.0,0.0,0.0
"procesos industriales",178.0,16.0,1.0,16.0,256.0,16.0,2021.0,0.0,0.0
"procesos industriales",182.0,32.0,2.0,34.0,1280.0,40.0,2021.0,0.0,0.0
"procesos industriales",185.0,180.0,2.0,211.0,1440.0,8.0,2021.0,0.0,0.0
"procesos industriales",186.0,31.0,2.0,211.0,1240.0,40.0,2021.0,0.0,0.0
"administración y legislación",191.0,572.0,2.0,582.0,13728.0,24.0,2021.0,0.0,0.0
"educación y capacitación",192.0,7.0,3.0,96.0,280.0,40.0,2021.0,0.0,0.0
"educación y capacitación",193.0,37.0,3.0,96.0,1184.0,32.0,2021.0,0.0,0.0
"educación y capacitación",196.0,18.0,4.0,556.0,576.0,32.0,2021.0,0.0,0.0
"educación y capacitación",197.0,8.0,4.0,556.0,320.0,40.0,2021.0,0.0,0.0
"educación y capacitación",202.0,23.0,2.0,85.0,552.0,24.0,2021.0,0.0,0.0
"educación y capacitación",204.0,7.0,1.0,7.0,224.0,32.0,2021.0,0.0,0.0
"administración y legislación",205.0,7.0,1.0,7.0,224.0,32.0,2021.0,0.0,0.0
"comunicación y artes gráficas",206.0,92.0,1.0,92.0,3680.0,40.0,2021.0,0.0,0.0
"educación y capacitación",208.0,102.0,1.0,102.0,4080.0,40.0,2021.0,0.0,0.0
"administración y legislación",211.0,60.0,2.0,68.0,960.0,16.0,2021.0,0.0,0.0
"procesos industriales",213.0,14.0,2.0,15.0,336.0,24.0,2021.0,0.0,0.0
"procesos industriales",214.0,1.0,2.0,15.0,16.0,16.0,2021.0,0.0,0.0
"administración y legislación",219.0,50.0,5.0,1066.0,800.0,16.0,2021.0,0.0,0.0
"finanzas comercio y ventas",220.0,17.0,1.0,17.0,408.0,24.0,2021.0,0.0,0.0
"procesos industriales",224.0,8.0,2.0,12.0,320.0,40.0,2021.0,0.0,0.0
"procesos industriales",227.0,205.0,2.0,206.0,8200.0,40.0,2021.0,0.0,0.0
"administración y legislación",228.0,1.0,2.0,206.0,40.0,40.0,2021.0,0.0,0.0
"procesos industriales",236.0,1.0,3.0,21.0,40.0,40.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación",238.0,3.0,3.0,21.0,120.0,40.0,2021.0,1160.4,1047.4541176470589
"educación y capacitación",239.0,66.0,3.0,355.0,2640.0,40.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",240.0,282.0,3.0,355.0,11280.0,40.0,2021.0,0.0,0.0
"administración y legislación",250.0,12.0,3.0,36.0,480.0,40.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente",253.0,19.0,1.0,19.0,304.0,16.0,2021.0,0.0,0.0
"administración y legislación",261.0,161.0,3.0,263.0,5152.0,32.0,2021.0,0.0,0.0
"procesos industriales",262.0,100.0,3.0,263.0,1600.0,16.0,2021.0,0.0,0.0
"educación y capacitación",268.0,23.0,1.0,23.0,920.0,40.0,2021.0,0.0,0.0
"educación y capacitación",273.0,8.0,1.0,8.0,320.0,40.0,2021.0,0.0,0.0
"educación y capacitación",274.0,16.0,1.0,16.0,640.0,40.0,2021.0,0.0,0.0
"administración y legislación",275.0,99.0,1.0,99.0,1584.0,16.0,2021.0,0.0,0.0
"procesos industriales",276.0,106.0,1.0,106.0,4240.0,40.0,2021.0,0.0,0.0
"procesos industriales",278.0,40.0,2.0,47.0,1600.0,40.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación",279.0,1.0,1.0,1.0,40.0,40.0,2021.0,160.0,1047.4541176470589
"administración y legislación",280.0,15.0,4.0,507.0,240.0,16.0,2021.0,0.0,0.0
"administración y legislación",283.0,23.0,2.0,24.0,368.0,16.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",286.0,33.0,3.0,86.0,1320.0,40.0,2021.0,0.0,0.0
"alimentación gastronomía y turismo",293.0,3.0,2.0,11.0,120.0,40.0,2021.0,0.0,0.0
"procesos industriales",295.0,4.0,1.0,4.0,160.0,40.0,2021.0,0.0,0.0
"administración y legislación",297.0,13.0,1.0,13.0,520.0,40.0,2021.0,0.0,0.0
"transporte y logística",298.0,124.0,1.0,124.0,4960.0,40.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",301.0,24.0,1.0,24.0,960.0,40.0,2021.0,0.0,0.0
"administración y legislación",302.0,3.0,1.0,3.0,96.0,32.0,2021.0,0.0,0.0
"procesos industriales",303.0,2.0,1.0,2.0,32.0,16.0,2021.0,0.0,0.0
"administración y legislación",307.0,26.0,2.0,37.0,416.0,16.0,2021.0,0.0,0.0
"procesos industriales",311.0,7.0,2.0,9.0,56.0,8.0,2021.0,0.0,0.0
"finanzas comercio y ventas",313.0,6.0,2.0,13.0,144.0,24.0,2021.0,0.0,0.0
"finanzas comercio y ventas",314.0,7.0,2.0,13.0,224.0,32.0,2021.0,0.0,0.0
"administración y legislación",318.0,331.0,4.0,883.0,13240.0,40.0,2021.0,0.0,0.0
"administración y legislación",319.0,471.0,4.0,883.0,7536.0,16.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente",323.0,37.0,2.0,49.0,592.0,16.0,2021.0,0.0,0.0
"educación y capacitación",327.0,1.0,1.0,1.0,40.0,40.0,2021.0,0.0,0.0
"finanzas comercio y ventas",330.0,11.0,3.0,42.0,440.0,40.0,2021.0,0.0,0.0
"finanzas comercio y ventas",335.0,25.0,3.0,124.0,1000.0,40.0,2021.0,0.0,0.0
"procesos industriales",337.0,5.0,2.0,59.0,160.0,32.0,2021.0,0.0,0.0
"procesos industriales",338.0,54.0,2.0,59.0,864.0,16.0,2021.0,0.0,0.0
"procesos industriales",341.0,74.0,3.0,257.0,592.0,8.0,2021.0,0.0,0.0
"administración y legislación",344.0,12.0,1.0,12.0,384.0,32.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación",345.0,6.0,1.0,6.0,96.0,16.0,2021.0,1519.68,1047.4541176470589
"educación y capacitación",346.0,5.0,2.0,15.0,200.0,40.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",349.0,54.0,10.0,258.0,2160.0,40.0,2021.0,0.0,0.0
"procesos industriales",350.0,48.0,10.0,258.0,384.0,8.0,2021.0,0.0,0.0
"procesos industriales",351.0,64.0,10.0,258.0,512.0,8.0,2021.0,0.0,0.0
"procesos industriales",352.0,8.0,10.0,258.0,320.0,40.0,2021.0,0.0,0.0
"procesos industriales",355.0,11.0,10.0,258.0,176.0,16.0,2021.0,0.0,0.0
"procesos industriales",356.0,2.0,2.0,6.0,16.0,8.0,2021.0,0.0,0.0
"procesos industriales",357.0,4.0,2.0,6.0,64.0,16.0,2021.0,0.0,0.0
"educación y capacitación",360.0,8.0,3.0,17.0,192.0,24.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente",362.0,11.0,2.0,54.0,440.0,40.0,2021.0,0.0,0.0
"procesos industriales",364.0,47.0,2.0,94.0,752.0,16.0,2021.0,0.0,0.0
"procesos industriales",367.0,26.0,2.0,110.0,416.0,16.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",369.0,29.0,2.0,270.0,1160.0,40.0,2021.0,0.0,0.0
"transporte y logística",370.0,7.0,3.0,36.0,112.0,16.0,2021.0,0.0,0.0
"finanzas comercio y ventas",376.0,1.0,3.0,58.0,40.0,40.0,2021.0,0.0,0.0
"electricidad y electrónica",381.0,6.0,2.0,36.0,144.0,24.0,2021.0,0.0,0.0
"electricidad y electrónica",382.0,30.0,2.0,36.0,960.0,32.0,2021.0,0.0,0.0
"procesos industriales",385.0,9.0,1.0,9.0,72.0,8.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación",386.0,84.0,2.0,94.0,672.0,8.0,2021.0,6498.24,17457.8
"transporte y logística",387.0,10.0,2.0,94.0,400.0,40.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación",389.0,56.0,2.0,81.0,1344.0,24.0,2021.0,12996.48,17457.8
"procesos industriales",391.0,26.0,1.0,26.0,624.0,24.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",398.0,1.0,3.0,373.0,16.0,16.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",399.0,10.0,3.0,373.0,80.0,8.0,2021.0,0.0,0.0
"administración y legislación",400.0,17.0,1.0,17.0,544.0,32.0,2021.0,0.0,0.0
"procesos industriales",405.0,9.0,3.0,30.0,360.0,40.0,2021.0,0.0,0.0
"procesos industriales",410.0,15.0,1.0,15.0,600.0,40.0,2021.0,0.0,0.0
"finanzas comercio y ventas",415.0,1.0,5.0,95.0,24.0,24.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",416.0,21.0,1.0,21.0,840.0,40.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",423.0,9.0,4.0,234.0,360.0,40.0,2021.0,0.0,0.0
"educación y capacitación",425.0,65.0,3.0,174.0,2600.0,40.0,2021.0,0.0,0.0
"finanzas comercio y ventas",428.0,7.0,3.0,16.0,224.0,32.0,2021.0,0.0,0.0
"administración y legislación",433.0,5.0,2.0,10.0,40.0,8.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación",436.0,2.0,1.0,2.0,80.0,40.0,2021.0,1266.4,1047.4541176470589
"servicios socioculturales y a la comunidad",437.0,74.0,1.0,74.0,2960.0,40.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",438.0,22.0,2.0,53.0,176.0,8.0,2021.0,0.0,0.0
"electricidad y electrónica",439.0,4.0,1.0,4.0,160.0,40.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente",441.0,18.0,4.0,115.0,288.0,16.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente",444.0,10.0,4.0,115.0,160.0,16.0,2021.0,0.0,0.0
"procesos industriales",448.0,309.0,4.0,673.0,12360.0,40.0,2021.0,0.0,0.0
"procesos industriales",449.0,21.0,4.0,673.0,840.0,40.0,2021.0,0.0,0.0
"educación y capacitación",451.0,207.0,2.0,208.0,8280.0,40.0,2021.0,0.0,0.0
"procesos industriales",457.0,16.0,3.0,35.0,640.0,40.0,2021.0,0.0,0.0
"alimentación gastronomía y turismo",461.0,43.0,3.0,289.0,1720.0,40.0,2021.0,0.0,0.0
"alimentación gastronomía y turismo",463.0,48.0,3.0,289.0,1152.0,24.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",469.0,29.0,6.0,184.0,1160.0,40.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",470.0,34.0,6.0,184.0,1360.0,40.0,2021.0,0.0,0.0
"administración y legislación",472.0,11.0,1.0,11.0,88.0,8.0,2021.0,0.0,0.0
"procesos industriales",473.0,1.0,2.0,3.0,40.0,40.0,2021.0,0.0,0.0
"alimentación gastronomía y turismo",477.0,5.0,2.0,6.0,200.0,40.0,2021.0,0.0,0.0
"procesos industriales",479.0,3.0,4.0,93.0,120.0,40.0,2021.0,0.0,0.0
"procesos industriales",480.0,16.0,4.0,93.0,256.0,16.0,2021.0,0.0,0.0
"procesos industriales",481.0,33.0,4.0,93.0,1320.0,40.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",482.0,1.0,2.0,13.0,40.0,40.0,2021.0,0.0,0.0
"finanzas comercio y ventas",484.0,3.0,2.0,6.0,72.0,24.0,2021.0,0.0,0.0
"mecánica automotriz",485.0,2.0,2.0,16.0,80.0,40.0,2021.0,0.0,0.0
"mecánica automotriz",486.0,14.0,2.0,16.0,448.0,32.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",487.0,1.0,3.0,72.0,24.0,24.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",488.0,70.0,3.0,72.0,2800.0,40.0,2021.0,0.0,0.0
"educación y capacitación",489.0,1.0,3.0,72.0,32.0,32.0,2021.0,0.0,0.0
"procesos industriales",491.0,58.0,3.0,126.0,2320.0,40.0,2021.0,0.0,0.0
"educación y capacitación",494.0,49.0,1.0,49.0,1960.0,40.0,2021.0,0.0,0.0
"alimentación gastronomía y turismo",502.0,3.0,3.0,65.0,120.0,40.0,2021.0,0.0,0.0
"alimentación gastronomía y turismo",504.0,58.0,3.0,65.0,2320.0,40.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación",505.0,2.0,1.0,2.0,48.0,24.0,2021.0,464.16,1047.4541176470589
"procesos industriales",511.0,1.0,4.0,231.0,8.0,8.0,2021.0,0.0,0.0
"procesos industriales",515.0,4.0,2.0,67.0,64.0,16.0,2021.0,0.0,0.0
"procesos industriales",516.0,63.0,2.0,67.0,2520.0,40.0,2021.0,0.0,0.0
"electricidad y electrónica",518.0,62.0,5.0,160.0,1984.0,32.0,2021.0,0.0,0.0
"electricidad y electrónica",520.0,2.0,5.0,160.0,80.0,40.0,2021.0,0.0,0.0
"procesos industriales",521.0,38.0,5.0,160.0,1520.0,40.0,2021.0,0.0,0.0
"administración y legislación",523.0,26.0,3.0,56.0,832.0,32.0,2021.0,0.0,0.0
"administración y legislación",524.0,27.0,3.0,56.0,1080.0,40.0,2021.0,0.0,0.0
"procesos industriales",526.0,28.0,1.0,28.0,448.0,16.0,2021.0,0.0,0.0
"educación y capacitación",528.0,4.0,1.0,4.0,160.0,40.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",530.0,99.0,1.0,99.0,3960.0,40.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación",532.0,7.0,3.0,171.0,280.0,40.0,2021.0,873.6,1047.4541176470589
"administración y legislación",533.0,151.0,3.0,171.0,3624.0,24.0,2021.0,0.0,0.0
"procesos industriales",534.0,13.0,3.0,171.0,312.0,24.0,2021.0,0.0,0.0
"procesos industriales",535.0,15.0,1.0,15.0,360.0,24.0,2021.0,0.0,0.0
"administración y legislación",536.0,63.0,2.0,74.0,2520.0,40.0,2021.0,0.0,0.0
"procesos industriales",545.0,21.0,1.0,21.0,504.0,24.0,2021.0,0.0,0.0
"administración y legislación",546.0,14.0,2.0,21.0,336.0,24.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",550.0,18.0,2.0,21.0,720.0,40.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",551.0,3.0,2.0,21.0,24.0,8.0,2021.0,0.0,0.0
"procesos industriales",553.0,153.0,3.0,299.0,1224.0,8.0,2021.0,0.0,0.0
"procesos industriales",556.0,17.0,1.0,17.0,680.0,40.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación",557.0,42.0,1.0,42.0,1680.0,40.0,2021.0,30441.6,13663.4
"transporte y logística",562.0,259.0,5.0,674.0,10360.0,40.0,2021.0,0.0,0.0
"procesos industriales",563.0,173.0,5.0,674.0,2768.0,16.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",565.0,189.0,5.0,674.0,7560.0,40.0,2021.0,0.0,0.0
"procesos industriales",566.0,1.0,5.0,674.0,16.0,16.0,2021.0,0.0,0.0
"electricidad y electrónica",567.0,92.0,2.0,125.0,3680.0,40.0,2021.0,0.0,0.0
"educación y capacitación",569.0,1.0,1.0,1.0,32.0,32.0,2021.0,0.0,0.0
"transporte y logística",571.0,5.0,1.0,5.0,80.0,16.0,2021.0,0.0,0.0
"transporte y logística",572.0,94.0,1.0,94.0,2256.0,24.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",576.0,15.0,1.0,15.0,600.0,40.0,2021.0,0.0,0.0
"administración y legislación",578.0,35.0,6.0,426.0,560.0,16.0,2021.0,0.0,0.0
"finanzas comercio y ventas",579.0,152.0,6.0,426.0,3648.0,24.0,2021.0,0.0,0.0
"administración y legislación",580.0,74.0,6.0,426.0,592.0,8.0,2021.0,0.0,0.0
"finanzas comercio y ventas",581.0,12.0,6.0,426.0,288.0,24.0,2021.0,0.0,0.0
"educación y capacitación",584.0,4.0,1.0,4.0,128.0,32.0,2021.0,0.0,0.0
"procesos industriales",585.0,35.0,1.0,35.0,1400.0,40.0,2021.0,0.0,0.0
"administración y legislación",586.0,2.0,1.0,2.0,48.0,24.0,2021.0,0.0,0.0
"procesos industriales",594.0,2.0,5.0,50.0,32.0,16.0,2021.0,0.0,0.0
"procesos industriales",595.0,8.0,5.0,50.0,320.0,40.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación",599.0,121.0,3.0,239.0,4840.0,40.0,2021.0,19360.0,43136.4
"alimentación gastronomía y turismo",600.0,307.0,1.0,307.0,12280.0,40.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",602.0,50.0,1.0,50.0,400.0,8.0,2021.0,0.0,0.0
"administración y legislación",603.0,1.0,1.0,1.0,24.0,24.0,2021.0,0.0,0.0
"procesos industriales",609.0,238.0,2.0,240.0,9520.0,40.0,2021.0,0.0,0.0
"finanzas comercio y ventas",611.0,10.0,2.0,20.0,400.0,40.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",612.0,4.0,2.0,94.0,64.0,16.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",613.0,90.0,2.0,94.0,3600.0,40.0,2021.0,0.0,0.0
"administración y legislación",616.0,7.0,1.0,7.0,280.0,40.0,2021.0,0.0,0.0
"educación y capacitación",618.0,319.0,2.0,328.0,12760.0,40.0,2021.0,0.0,0.0
"educación y capacitación",621.0,12.0,2.0,13.0,480.0,40.0,2021.0,0.0,0.0
"educación y capacitación",624.0,167.0,1.0,167.0,6680.0,40.0,2021.0,0.0,0.0
"administración y legislación",625.0,90.0,1.0,90.0,1440.0,16.0,2021.0,0.0,0.0
"educación y capacitación",629.0,8.0,3.0,13.0,128.0,16.0,2021.0,0.0,0.0
"comunicación y artes gráficas",630.0,1.0,3.0,3.0,32.0,32.0,2021.0,0.0,0.0
"comunicación y artes gráficas",631.0,1.0,3.0,3.0,40.0,40.0,2021.0,0.0,0.0
"comunicación y artes gráficas",632.0,1.0,3.0,3.0,40.0,40.0,2021.0,0.0,0.0
"finanzas comercio y ventas",635.0,123.0,2.0,173.0,984.0,8.0,2021.0,0.0,0.0
"construcción e infraestructura",636.0,31.0,1.0,31.0,992.0,32.0,2021.0,0.0,0.0
"administración y legislación",638.0,17.0,2.0,55.0,680.0,40.0,2021.0,0.0,0.0
"procesos industriales",645.0,40.0,4.0,62.0,320.0,8.0,2021.0,0.0,0.0
"tecnologías de la información y comunicación",647.0,55.0,2.0,57.0,440.0,8.0,2021.0,4254.8,13663.4
"tecnologías de la información y comunicación",648.0,2.0,2.0,57.0,48.0,24.0,2021.0,464.16,1047.4541176470589
"alimentación gastronomía y turismo",651.0,4.0,4.0,35.0,64.0,16.0,2021.0,0.0,0.0
"alimentación gastronomía y turismo",652.0,7.0,4.0,35.0,168.0,24.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",658.0,585.0,3.0,858.0,23400.0,40.0,2021.0,0.0,0.0
"procesos industriales",660.0,499.0,10.0,5192.0,3992.0,8.0,2021.0,0.0,0.0
"procesos industriales",667.0,148.0,10.0,5192.0,5920.0,40.0,2021.0,0.0,0.0
"administración y legislación",674.0,3.0,5.0,39.0,72.0,24.0,2021.0,0.0,0.0
"procesos industriales",677.0,4.0,5.0,39.0,64.0,16.0,2021.0,0.0,0.0
"procesos industriales",682.0,2.0,3.0,110.0,80.0,40.0,2021.0,0.0,0.0
"administración y legislación",684.0,3.0,3.0,110.0,120.0,40.0,2021.0,0.0,0.0
"procesos industriales",685.0,2.0,1.0,2.0,32.0,16.0,2021.0,0.0,0.0
"finanzas comercio y ventas",687.0,1.0,1.0,1.0,40.0,40.0,2021.0,0.0,0.0
"servicios socioculturales y a la comunidad",690.0,8.0,2.0,58.0,320.0,40.0,2021.0,0.0,0.0
"administración y legislación",694.0,20.0,2.0,44.0,800.0,40.0,2021.0,0.0,0.0
"educación y capacitación",695.0,398.0,2.0,785.0,12736.0,32.0,2021.0,0.0,0.0
