id_fact_oec_rs,id_razon_social,id_fecha,volumen_cer,volumen_horas,volumen_ganancias,volumen_porcentaje_asistencia,total_perfiles,fecha,dia,mes,anio,razon_social,estado,tipo_razon_social,fecha_resolucion,canton,provincia
19,102,1902,1.0,6.0,250.0,0.0,1,27-11-2020,27,11,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
20,102,1918,6.0,36.0,1500.0,0.0,1,28-02-2020,28,2,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
21,102,1960,1.0,6.0,250.0,0.0,1,28-09-2020,28,9,2020,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
22,102,2037,2.0,12.0,500.0,0.0,1,29-11-2019,29,11,2019,arana duarte carlos alberto,desconocido,organismo evaluador de la conformidad,sin fecha resolución,guayaquil,guayas
1653,1192,26,1.0,6.0,250.0,0.0,1,01-04-2021,1,4,2021,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1679,1192,824,2.0,12.0,500.0,0.0,1,12-07-2022,12,7,2022,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1705,1192,1746,1.0,6.0,250.0,0.0,1,25-09-2019,25,9,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1714,1192,2027,2.0,12.0,500.0,0.0,1,29-09-2021,29,9,2021,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1715,1192,2083,5.0,30.0,1250.0,0.0,1,30-08-2021,30,8,2021,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1669,1192,564,1.0,6.0,250.0,0.0,1,08-12-2016,8,12,2016,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1671,1192,633,2.0,12.0,500.0,0.0,1,09-12-2016,9,12,2016,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1694,1192,1312,24.0,144.0,6000.0,0.0,1,19-08-2019,19,8,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1660,1192,358,1.0,6.0,250.0,0.0,1,05-12-2018,5,12,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1663,1192,433,2.0,12.0,500.0,0.0,1,07-01-2019,7,1,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1678,1192,815,7.0,42.0,1750.0,0.0,1,12-06-2019,12,6,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1680,1192,926,1.0,6.0,250.0,0.0,1,14-01-2019,14,1,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1685,1192,1031,13.0,78.0,3250.0,0.0,1,15-08-2019,15,8,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1687,1192,1126,8.0,48.0,2000.0,0.0,2,16-12-2019,16,12,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1689,1192,1195,6.0,36.0,1500.0,0.0,1,17-12-2019,17,12,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1695,1192,1320,13.0,78.0,3250.0,0.0,3,19-09-2019,19,9,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1654,1192,86,1.0,6.0,250.0,0.0,1,02-03-2017,2,3,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1657,1192,229,2.0,12.0,500.0,0.0,1,04-03-2017,4,3,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1683,1192,968,4.0,24.0,1000.0,0.0,1,14-09-2018,14,9,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1682,1192,963,10.0,60.0,2500.0,0.0,1,14-08-2019,14,8,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1675,1192,728,2.0,12.0,500.0,0.0,1,11-04-2017,11,4,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1712,1192,1922,1.0,6.0,250.0,0.0,1,28-03-2018,28,3,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1655,1192,156,3.0,18.0,750.0,0.0,1,03-03-2017,3,3,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1666,1192,527,1.0,6.0,250.0,0.0,1,08-06-2017,8,6,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1672,1192,653,2.0,12.0,500.0,0.0,1,10-03-2017,10,3,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1692,1192,1233,1.0,6.0,250.0,0.0,1,18-07-2018,18,7,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1713,1192,1938,1.0,6.0,250.0,0.0,1,28-06-2018,28,6,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1684,1192,983,4.0,24.0,1000.0,0.0,2,14-12-2016,14,12,2016,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1656,1192,199,3.0,18.0,750.0,0.0,1,03-10-2018,3,10,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1688,1192,1194,2.0,12.0,500.0,0.0,2,17-12-2018,17,12,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1696,1192,1360,1.0,6.0,250.0,0.0,1,20-04-2018,20,4,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1698,1192,1429,1.0,6.0,250.0,0.0,1,21-03-2019,21,3,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1702,1192,1631,2.0,12.0,500.0,0.0,2,24-01-2019,24,1,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1703,1192,1659,1.0,6.0,250.0,0.0,1,24-06-2019,24,6,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1704,1192,1675,4.0,24.0,1000.0,0.0,1,24-09-2018,24,9,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1707,1192,1786,5.0,30.0,1250.0,0.0,1,26-04-2018,26,4,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1706,1192,1768,1.0,6.0,250.0,0.0,1,26-01-2018,26,1,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1709,1192,1852,1.0,6.0,250.0,0.0,1,27-03-2018,27,3,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1681,1192,937,2.0,12.0,500.0,0.0,1,14-03-2018,14,3,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1708,1192,1845,2.0,12.0,500.0,0.0,1,27-02-2018,27,2,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1665,1192,507,1.0,6.0,250.0,0.0,1,08-02-2018,8,2,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1686,1192,1053,2.0,12.0,500.0,0.0,1,15-12-2016,15,12,2016,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1674,1192,725,5.0,30.0,1250.0,0.0,1,11-03-2020,11,3,2020,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1667,1192,533,18.0,108.0,4500.0,0.0,1,08-07-2019,8,7,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1652,1192,13,2.0,12.0,500.0,0.0,2,01-02-2018,1,2,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1658,1192,237,20.0,120.0,5000.0,0.0,1,04-04-2019,4,4,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1659,1192,323,6.0,36.0,1500.0,0.0,1,05-06-2019,5,6,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1661,1192,377,6.0,36.0,1500.0,0.0,2,06-03-2019,6,3,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1662,1192,405,1.0,6.0,250.0,0.0,1,06-08-2018,6,8,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1664,1192,457,2.0,12.0,500.0,0.0,1,07-05-2022,7,5,2022,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1668,1192,549,1.0,6.0,250.0,0.0,1,08-09-2021,8,9,2021,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1670,1192,599,1.0,6.0,250.0,0.0,1,09-06-2017,9,6,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1673,1192,694,1.0,6.0,250.0,0.0,1,10-10-2018,10,10,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1676,1192,745,1.0,6.0,250.0,0.0,1,11-07-2017,11,7,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1677,1192,813,1.0,6.0,250.0,0.0,1,12-06-2017,12,6,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1690,1192,1201,4.0,24.0,1000.0,0.0,2,18-01-2019,18,1,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1691,1192,1217,1.0,6.0,250.0,0.0,1,18-04-2018,18,4,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1693,1192,1298,2.0,12.0,500.0,0.0,1,19-06-2019,19,6,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1697,1192,1428,1.0,6.0,250.0,0.0,1,21-03-2018,21,3,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1699,1192,1444,1.0,6.0,250.0,0.0,1,21-06-2018,21,6,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1700,1192,1611,1.0,6.0,250.0,0.0,1,23-09-2021,23,9,2021,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1701,1192,1624,2.0,12.0,500.0,0.0,2,23-12-2016,23,12,2016,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1710,1192,1853,1.0,6.0,250.0,0.0,1,27-03-2019,27,3,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1711,1192,1907,1.0,6.0,250.0,0.0,1,27-12-2019,27,12,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
3308,1494,26,1.0,6.0,250.0,0.0,1,01-04-2021,1,4,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3365,1494,935,7.0,42.0,1750.0,0.0,1,14-02-2022,14,2,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3400,1494,1454,3.0,18.0,750.0,0.0,2,21-07-2022,21,7,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3411,1494,1622,1.0,6.0,250.0,0.0,1,23-11-2020,23,11,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3445,1494,2037,1.0,6.0,250.0,0.0,1,29-11-2019,29,11,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3427,1494,1793,3.0,18.0,750.0,0.0,2,26-05-2021,26,5,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3316,1494,160,2.0,12.0,500.0,0.0,2,03-03-2021,3,3,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3373,1494,1057,2.0,12.0,500.0,0.0,1,15-12-2020,15,12,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3380,1494,1140,2.0,12.0,500.0,0.0,1,17-02-2021,17,2,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3381,1494,1141,3.0,18.0,750.0,0.0,1,17-02-2022,17,2,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3392,1494,1306,3.0,18.0,750.0,0.0,1,19-07-2021,19,7,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3401,1494,1484,18.0,108.0,4500.0,0.0,1,21-12-2020,21,12,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3407,1494,1576,1.0,6.0,250.0,0.0,1,23-03-2021,23,3,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3408,1494,1580,9.0,54.0,2250.0,0.0,1,23-04-2021,23,4,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3417,1494,1673,1.0,6.0,250.0,0.0,1,24-08-2021,24,8,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3423,1494,1746,1.0,6.0,250.0,0.0,1,25-09-2019,25,9,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3424,1494,1758,3.0,18.0,750.0,0.0,1,25-11-2019,25,11,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3428,1494,1812,1.0,6.0,250.0,0.0,1,26-08-2020,26,8,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3443,1494,1995,1.0,6.0,250.0,0.0,1,29-04-2021,29,4,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3333,1494,392,1.0,6.0,250.0,0.0,1,06-05-2022,6,5,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3310,1494,37,8.0,48.0,2000.0,0.0,1,01-07-2019,1,7,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3348,1494,649,4.0,24.0,1000.0,0.0,1,10-02-2020,10,2,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3378,1494,1127,14.0,84.0,3500.0,0.0,2,16-12-2020,16,12,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3385,1494,1210,1.0,6.0,250.0,0.0,1,18-02-2021,18,2,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3353,1494,706,5.0,30.0,1250.0,0.0,2,10-12-2018,10,12,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3322,1494,287,31.0,186.0,7750.0,0.0,1,04-12-2018,4,12,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3328,1494,358,2.0,12.0,500.0,0.0,1,05-12-2018,5,12,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3371,1494,1024,8.0,48.0,2000.0,0.0,1,15-07-2019,15,7,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3377,1494,1108,3.0,18.0,750.0,0.0,1,16-09-2019,16,9,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3391,1494,1304,1.0,6.0,250.0,0.0,1,19-07-2019,19,7,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3395,1494,1331,1.0,6.0,250.0,0.0,1,19-11-2019,19,11,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3397,1494,1349,1.0,6.0,250.0,0.0,1,20-02-2019,20,2,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3435,1494,1900,5.0,30.0,1250.0,0.0,1,27-11-2018,27,11,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3444,1494,2030,6.0,36.0,1500.0,0.0,2,29-10-2018,29,10,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3432,1494,1869,6.0,36.0,1500.0,0.0,1,27-06-2019,27,6,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3358,1494,756,2.0,12.0,500.0,0.0,1,11-08-2020,11,8,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3393,1494,1319,1.0,6.0,250.0,0.0,1,19-09-2018,19,9,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3442,1494,1994,3.0,18.0,750.0,0.0,3,29-04-2019,29,4,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3412,1494,1647,4.0,24.0,1000.0,0.0,1,24-03-2022,24,3,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3431,1494,1861,1.0,6.0,250.0,0.0,1,27-04-2022,27,4,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3319,1494,205,1.0,6.0,250.0,0.0,1,03-11-2018,3,11,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3313,1494,83,13.0,78.0,3250.0,0.0,2,02-02-2021,2,2,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3384,1494,1208,16.0,96.0,4000.0,0.0,1,18-02-2019,18,2,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3414,1494,1659,1.0,6.0,250.0,0.0,1,24-06-2019,24,6,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3422,1494,1745,1.0,6.0,250.0,0.0,1,25-09-2018,25,9,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3410,1494,1614,4.0,24.0,1000.0,0.0,1,23-10-2018,23,10,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3446,1494,2132,1.0,6.0,250.0,0.0,1,31-08-2018,31,8,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3434,1494,1895,4.0,24.0,1000.0,0.0,1,27-10-2020,27,10,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3418,1494,1695,2.0,12.0,500.0,0.0,1,24-12-2020,24,12,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3334,1494,424,4.0,24.0,1000.0,0.0,1,06-11-2020,6,11,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3370,1494,1015,2.0,12.0,500.0,0.0,1,15-05-2022,15,5,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3398,1494,1407,1.0,6.0,250.0,0.0,1,20-11-2021,20,11,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3366,1494,944,1.0,6.0,250.0,0.0,1,14-04-2021,14,4,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3369,1494,1009,3.0,18.0,750.0,0.0,2,15-04-2021,15,4,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
