#,Universidad,Ciudad,Pagina Web,Servicios,Tipos de Oferta ,Areas de Formación,Nombre  de los Programas,Modalidad,horarios,Tiempo de duración,Duración programa, Precio ,formas de pago,certificación,plataforma educacion virtual,Red de educación
1,udla universidad de las americas ,Quito,https://www.udla.edu.ec/educacion-continua2/,"37 carreras de pregrado en modalidades presencial,  y semipresencial 22 diplomados en modalidad 100% online.",Maestrias,Administracion y negocios,gerencia de instituciones de salud,100% online,22 de marzo de 2021,1736 H,1 año  2 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,ciberseguridad,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,cloud computing,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,desarrollo de videojuegos,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,design thinking,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,marketing digital,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,Salud,administracion para auxiliares de odontologia,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,alimentacion y nutricion para salud y el bienestar,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,armonizacion orofacial y estetica dental,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,estimulacion temprana y oportuna,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,nutricion deportiva,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,nutricion pediatrica,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,odontologia para bebe,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,,seguridad y salud ocupacional,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,,Educacion,calidad educactiva,100% online,22 de marzo de 2021,168 H,3-5 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
2,uide universidad internacional del ecuador,Quito Guayaquil Loja,https://www.uide.edu.ec/educacion-continua/," más de 4 mil cursos temáticos y ,de especialización en 25 áreas",Certificaciones por Competencias Laborales,Certificaciones,Formación de formadores,presencial,Por Demanda,4H,4, $69.00 ,"Transferencia ,Tarjeta de crédito ,Depósito (presentando el original)","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ", Moodle-Blackboard UIDE 24/7,
,,,,,,,Prevención de Riesgos Laborales: Construcción y Obras Públicas (Guayaquil),presencial,20 de febrero de 2021,4 H,4, $55.00 ,"Transferencia ,Tarjeta de crédito ,Depósito (presentando el original)","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ", Moodle-Blackboard UIDE 24/7,
,,,,,,,Prevención de Riesgos Laborales: Energía Eléctrica (Guayaquil),presencial,20 de febrero de 2021,4 H,4, $55.00 ,"Transferencia ,Tarjeta de crédito ,Depósito (presentando el original)","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ", Moodle-Blackboard UIDE 24/7,
,,,,,Cursos de Capacitación con Aval UIDE-SETEC,Bioseguridad,Prevención de Riesgos Laborales: Construcción y Obras Públicas (Guayaquil),presencial,20 de febrero de 2021,4 H,4, $55.00 ,"Transferencia ,Tarjeta de crédito ,Depósito (presentando el original)","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ", Moodle-Blackboard UIDE 24/7,
,,,,,,,Medidas eficaces de Bioseguridad para centros educativos y otros centros de aglomeración,online,30 de nov a 3 de dic 2020,14H,4 dias, $55.00 ,"Transferencia ,Tarjeta de crédito ,Depósito (presentando el original)","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ", Moodle-Blackboard UIDE 24/7,
,,,,,Cursos Abiertos Online  Coaching Asistido ,Seguridad,Webinar: Responsable del Sistema de Gestión de Seguridad y Salud Laboral,online,4 de febrero de 2021,1 H,1, $-   ,"Transferencia ,Tarjeta de crédito ,Depósito (presentando el original)","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ", Moodle-Blackboard UIDE 24/7,
,,,,,,,Curso de preparación para la Certificación Physical Security Professional (PSP),online,6 de abril a 27 de julio 2021,80 H,4 meses, $490.00 ,"Transferencia ,Tarjeta de crédito ,Depósito (presentando el original)","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ", Moodle-Blackboard UIDE 24/7,
,,,,,,,Responsable del Sistema de Gestión de Seguridad y Salud Laboral,online,17 de feb a 27 de feb 2021,40 H,10 dias, $105.00 ,"Transferencia ,Tarjeta de crédito ,Depósito (presentando el original)","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ", Moodle-Blackboard UIDE 24/7,
,,,,,,,Administración y gestión de la seguridad bancaria en un ecosistema delincuencial mixto,online,22 de feb a 5 de mar 2021,15 H,10 dias, $170.00 ,"Transferencia ,Tarjeta de crédito ,Depósito (presentando el original)","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ", Moodle-Blackboard UIDE 24/7,
,,,,,,,GERENCIA DE SEGURIDAD CPP,online,27 de Abril ,384 H,5 - 8 meses, $990.00 ,"Transferencia ,Tarjeta de crédito ,Depósito (presentando el original)","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ", Moodle-Blackboard UIDE 24/7,
3,universidad de los hemisferios,"Quito , Guaranda ,Ambato, Manta, Santa Elena , Santo Domingo ; Por toviejo , Babahoyo, Machala",https://educacioncontinua.uhemisferios.edu.ec/nuestros-cursos/,mas de 150 cursos tematicos y practicos en 6 areas,"Certificados , Cursos y Programas",Administracion,Certificación Online de Teleoperador de Call Center,online,Inscripciones Permanentes,2 H diarias,50, $100.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",moodle.uhemisferios.edu.ec   ,
,,,,,,,Certificación De Diseño De Plan De Negocios y Proyecto De Inversión,online,Inscripciones Permanentes,2 H diarias,45, $90.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",moodle.uhemisferios.edu.ec   ,
,,,,,,,Certificación en Diseño Gráfico (Ilustrador y Photoshop),online,12 de Enero al 25 de febrero 2021,Martes y jueves 18h30 a 21h30,51, $175.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",moodle.uhemisferios.edu.ec   ,
,,,,,,,Certificación en Coach de Liderazgo con Inteligencia Emocional,online,27 de febrero al 25 de julio 2021,Martes 19h30 a 21h00 y último sábado del mes 17h00 a 21h00,200, $390.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",moodle.uhemisferios.edu.ec   ,
,,,,,,,Curso de Auxiliar en Gestión del Talento Humano,online,26 de febrero al 3 de abril 2021,Jueves y viernes 18h30 a 20h30,60, $35.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",moodle.uhemisferios.edu.ec   ,
,,,,,,,Certificación en Inteligencia de Negocios Digitales,online,Inscripciones permanentes cada mes,Lunes a viernes 18h30 a 21h30,80, $548.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",moodle.uhemisferios.edu.ec   ,
,,,,,,,Programa de Especialización para Administrador de Restaurantes,online,Del 19 al 29 enero del 2021,Lunes a viernes de 15h00 a 18h00 y sábado de 9h00 a 12h00,8 dias, $260.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",moodle.uhemisferios.edu.ec   ,
,,,,,,,Fundamentos de Movilidad Urbana Sostenible y su Aplicación en la Planificación de Ciudades,online,Del 2 al 19 diciembre de 2020,Sábado de 16:00 a 19:00 y Miércoles de 18:00 a 20:00,40, $60.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",moodle.uhemisferios.edu.ec   ,
,,,,,,,Certificación en Auditorías y Estándares Internacionales de RSE (Responsabilidad Social Empresarial) Estrategias ante la crisis del Covid-19,presencial,25 y 26 de Marzo de 2021,Jueves y viernes de 08h30 a 17h30,16, $392.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Presencial,
,,,,,,Salud,Certificación en Auxiliares de Enfermería y Cuidados Paliativos ,presencial,15 de marzo al 22 de octubre 2021,Lunes a viernes de 8h30 a 11h30,600, $585.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Presencial,
,,,,,,,Certificación en Auxiliar en Servicios Farmacéuticos ,presencial,8 de marzo al 18 agosto 2021,Lunes a viernes de 9h00 a 12h00,550, $240.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Presencial,
,,,,,,,Certificación en Auxiliar en Servicios Farmacéuticos ,presencial,27 febrero al 31 julio 2021,Sábado y Domingo de 8h00 a 17h00,55O , $220.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Presencial,
,,,,,,,Certificación como Auxiliar de Enfermería con Mención en Cuidado del Adulto Mayor,presencial,Del 25 julio 2020 al 27 febrero 2021, 09h00 – 13h00 ,500, $580.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Presencial,
,,,,,,,Certificación Internacional en Primeros Auxilios RCP – DEA,presencial,Inscripción permanente,2 H diarias,40, $140.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Presencial,
,,,,,,,Curso de Seguridad & Salud Ocupacional,presencial,Inscripción permanente,"Lunes, miércoles y viernes 19h00",40, $75.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Presencial,
,,,,,,,Certificación en Auxiliar Instrumentación Quirúrgica,presencial,Inscripción permanente,Semanales 10h30 - 12h30 / 18h00 - 20h30 / Sábados 8h00 – 13h00,700," $1,010.00 ","PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Presencial,
,,,,,,Comunicación,Curso Online de Photoshop para Edición de Imágenes,online,Oferta permanente,Martes y jueves / Miércoles y viernes de 18h00 – 20h00 (Vía Zoom),40, $120.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",zoom,
,,,,,,,Certificación de Introducción a las Artes Visuales,online,Inscripción Permanente,2 H diarias,80, $180.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",zoom,
,,,,,,,Programa en Marketing Digital con mención en Community Manager (Online),online,Martes 20 de abril al lunes 17 de mayo 2021,Martes a Viernes de 18h30 a 21h30 y Sábados de 16h00 a 19h00,67, $199.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",zoom,
,,,,,,,Curso Online de Iniciación a la Radio,online,2 al 24 de Julio de 2020,"Martes, jueves y viernes 19h00 a 20h00 (vía zoom)",40, $59.99 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",zoom,
,,,,,,Educacion,Curso Básico Profesional de Lengua de Señas Ecuatoriana II,online,20 de febrero al 20 de marzo 2021,"Lunes, miércoles y viernes - 15h00 a 18h00",60, $35.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",zoom,
,,,,,,,Curso Superior en Asistente en Psicología Infantil,online,19 de febrero al 5 de abril 2021,"Martes, jueves y viernes - 18h30 a 20h30",80, $35.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",zoom,
,,,,,,,Certificación Online En Gamificación Como Estrategia De Enseñanza,online,Inscripción Permanente,2 H diarias,128, $360.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",zoom,
,,,,,,,Certificación de Innovación Educativa,online,27 enero al 24 febrero del 2021,19h00 a 21h00,40, $70.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",zoom,
,,,,,,,Certificación en Auxiliar de Parvulario Mención Asistente Materno Infantil ,presencial,Del 15 marzo al 30 septiembre de 2021,Lunes a viernes de 8h30 a 11h30,600, $275.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Presencial,
,,,,,,,Certificación en Auxiliar de Parvulario Mención Asistente Materno Infantil ,presencial,Del 15 marzo al 30 septiembre de 2021,,600, $275.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Presencial,
,,,,,,Gastronomia,Certificación de Pastelería Moderna,presencial,27 de febrero al 20 de marzo 2021,Sábados de 9h00 a 13h00,16, $130.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Presencial,
,,,,,,,Certificación Internacional de Gastronomía Mexicana,presencial,"Julio 2021, Febrero 2022 y Agosto 2022",8h30 a 13h30 / 15h00 a 20h00,40, $200.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Presencial,
,,,,,,,Programa de Especialización para Administrador de Restaurantes,online,Del 19 al 29 enero del 2021,Lunes a viernes de 15h00 a 18h00 y sábado de 9h00 a 12h00,16, $260.00 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",moodle.uhemisferios.edu.ec   ,
,,,,,,Mecanica Automotriz,Certificación en Diagnóstico Electrónico Automotriz,presencial y online,Por Definir,4 horas Diarias – Clases presenciales (20 horas) Trabajo Autónomo / Aula virtual,20, $166.67 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",moodle.uhemisferios.edu.ec   ,
,,,,,,,Certificación en Sistemas de Transmisión y Frenado,presencial y online,Por Definir,4 horas Diarias – Clases presenciales (20 horas) Trabajo Autónomo / Aula virtual,20, $166.67 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",moodle.uhemisferios.edu.ec   ,
,,,,,,,Certificación en Mantenimiento Automotriz II,presencial y online,Por Definir,4 horas Diarias – Clases presenciales (20 horas) Trabajo Autónomo / Aula virtual,20, $166.67 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",moodle.uhemisferios.edu.ec   ,
,,,,,,,Certificación en Mantenimiento Automotriz I,presencial y online,Por Definir,4 horas Diarias – Clases presenciales (20 horas) Trabajo Autónomo / Aula virtual,20, $166.67 ,"PlacetoPay ,Transferencia bancaria o depósito
 Otras tarjetas de crédito
 Pagos directo al aliado","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",moodle.uhemisferios.edu.ec   ,
4,utpl Universidad Pariticular de Loja,"Quito  , Guayaquil , Cuenca y Loja",https://educacioncontinua.utpl.edu.ec/,"23 carreras en su Modalidad Presencial, 17 en su Modalidad Abierta y a Distancia y 5 postgrados vigentes",Cursos Online,Idiomas,Academia de Inglés Pearson,online y autoinstruccional,18 de octubre de 2020,18h00 a 19h00 (LUNES a VIERNES),160, $150.00 ,"efectivo pago en linea , tarjeta de credito , credito directo,instituciones financieras","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Canvas UTPL,Red de Educación Continua de Latinoamérica y Europa  Red Global de Aprendizaje del Banco Mundial RECLA
,,,,,,,Academia de Inglés Berlitz,online y autoinstruccional,18 de octubre de 2020,5 a 6 horas semanales,12 semanas, $120.00 ,"efectivo pago en linea , tarjeta de credito , credito directo,instituciones financieras","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Cyberteachers Platinum,
,,,,,,,Academia de Inglés Cambridge,online y autoinstruccional,18 de octubre de 2020,5 horas semanales ,180, $150.00 ,"efectivo pago en linea , tarjeta de credito , credito directo,instituciones financieras","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Touchstone,
,,,,,,Desarrollo Personal,Nivel B2,online y autoinstruccional,2 de abril de 2021,5 horas semanales ,200, $275.00 ,"efectivo pago en linea , tarjeta de credito , credito directo,instituciones financieras","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",smart,
,,,,,,,Conocimiento del alumno: valores y hábitos,online y autoinstruccional,25 de marzo de 2021,disponible 24 h,40, $60.00 ,"efectivo pago en linea , tarjeta de credito , credito directo,instituciones financieras","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Canvas UTPL,
,,,,,,,Manejo de Habilidades Blandas,online y autoinstruccional,30 de marzo de 2021,disponible 24 h,12, $30.00 ,"efectivo pago en linea , tarjeta de credito , credito directo,instituciones financieras","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Canvas UTPL,
,,,,,,,Manejo del tiempo y la productividad,online y autoinstruccional,30 de marzo de 2021,disponible 24 h,8, $20.00 ,"efectivo pago en linea , tarjeta de credito , credito directo,instituciones financieras","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Canvas UTPL,
,,,,,,Formacion Docente,Arte y Pedagogía AplicArte,online y autoinstruccional,"5 de abril de 2021 a 
20 de mayo de 2021",18:30 - 19:30 ,6 semanas, $45.00 ,"efectivo pago en linea , tarjeta de credito , credito directo,instituciones financieras","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Canvas UTPL,
,,,,,,,Técnicas y Metodología de Estudio para Docentes,online y autoinstruccional,30 de marzo de 2021,disponible 24 h,50, $50.00 ,"efectivo pago en linea , tarjeta de credito , credito directo,instituciones financieras","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Canvas UTPL,
,,,,,,,Manejo de TICs Aplicadas a la Educación,online y autoinstruccional,30 de marzo de 2021,disponible 24 h,50, $50.00 ,"efectivo pago en linea , tarjeta de credito , credito directo,instituciones financieras","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Canvas UTPL,
,,,,,,Negocios y Administracion,Derecho Laboral,online y autoinstruccional,30 de marzo de 2021,disponible 24 h,12, $30.00 ,"efectivo pago en linea , tarjeta de credito , credito directo,instituciones financieras","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Canvas UTPL,
,,,,,,,Fundamentos de Marketing,online y autoinstruccional,30 de marzo de 2021,disponible 24 h,12, $30.00 ,"efectivo pago en linea , tarjeta de credito , credito directo,instituciones financieras","Sistema nacional de Informacion, CES , Secretaria Tecnica del Sistema Nacional de  Cualificaciones Profesionales,SENECYT ",Canvas UTPL,
