id_curso_perfil,tipo,area_familia,especialidad_sector,curso_perfil,modalidad,carga_horaria
27,curso,administración y legislación,administración contable y de costos,"contabilidad superior, tributos y normas internacionales de contabilidad (niifs)",presencial,81.0
28,curso,administración y legislación,administración contable y de costos,normas internacionales de información financiera (niifs),presencial,97.0
29,curso,administración y legislación,administración contable y de costos,contabilidad de costos,presencial,48.0
30,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,40.0
31,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,plan de emergencias y autoprotección,presencial,40.0
32,curso,forestal ecología y medio ambiente,gestión e impacto ambiental,manejo de suia sistema único de información ambiental,presencial,40.0
33,curso,alimentación gastronomía y turismo,cocina nacional e internacional,gastronomía,presencial,480.0
34,curso,alimentación gastronomía y turismo,panadería y pastelería,pastelería y panadería,presencial,240.0
35,curso,alimentación gastronomía y turismo,cocina nacional e internacional,gastronomía,presencial,180.0
36,curso,alimentación gastronomía y turismo,panadería y pastelería,pastelería y panadería,presencial,180.0
37,curso,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,higiene en la cocina,presencial,40.0
38,curso,alimentación gastronomía y turismo,cocina nacional e internacional,alta cocina profesional,presencial,600.0
39,curso,alimentación gastronomía y turismo,cocina nacional e internacional,cocina básica,presencial,40.0
40,curso,alimentación gastronomía y turismo,repostería y confitería,postres y dulces,presencial,40.0
41,curso,administración y legislación,administración contable y de costos,normas contables y tributarias aplicables al sector comercial,presencial,500.0
42,curso,artes y artesanía,peluquería y belleza barbería y estilismo,belleza profesional,presencial,120.0
43,curso,artes y artesanía,peluquería y belleza barbería y estilismo,colorimetría profesional,presencial,50.0
44,curso,artes y artesanía,peluquería y belleza barbería y estilismo,"barber shop, técnicas y estilos",presencial,40.0
45,curso,servicios socioculturales y a la comunidad,salud y medicina,procedimientos y técnicas básicas en primeros auxilios,presencial,40.0
46,curso,servicios socioculturales y a la comunidad,salud y medicina,procedimientos y técnicas básicas en primeros auxilios,online,40.0
47,curso,artes y artesanía,peluquería y belleza barbería y estilismo,alta peluquería,presencial,359.0
48,curso,artes y artesanía,peluquería y belleza barbería y estilismo,maquillaje profesional,presencial,359.0
49,curso,alimentación gastronomía y turismo,cocina nacional e internacional,cocina nacional,presencial,359.0
50,curso,alimentación gastronomía y turismo,panadería y pastelería,panadería y pastelería,presencial,300.0
51,curso,artes y artesanía,peluquería y belleza barbería y estilismo,barbería,presencial,200.0
52,curso,artes y artesanía,cosmetología,cosmetología,presencial,359.0
53,curso,alimentación gastronomía y turismo,cocina nacional e internacional,cocina internacional,presencial,359.0
54,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,gestión docente,presencial,40.0
55,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de formadores,presencial,40.0
56,curso,educación y capacitación,metodología y técnica de aprendizaje,aprendizaje basado en proyectos,presencial,40.0
57,curso,educación y capacitación,diseño educativo y curricular,adaptaciones curriculares,presencial,40.0
58,curso,educación y capacitación,metodología y técnica de aprendizaje,aprendizaje experiencial,presencial,40.0
59,curso,educación y capacitación,idiomas,nivel básico a1,presencial,120.0
60,curso,educación y capacitación,idiomas,nivel básico a2,presencial,120.0
61,curso,educación y capacitación,idiomas,nivel intermedio b1,presencial,120.0
62,curso,educación y capacitación,idiomas,nivel intermedio b2,presencial,120.0
63,curso,educación y capacitación,idiomas,nivel avanzado c1,presencial,120.0
64,curso,administración y legislación,administración general,buen gobierno cooperativo como base para el desarrollo de las organizaciones,presencial,20.0
65,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención del manejo de vehículos livianos / prevención del manejo de vehículos pesados,presencial,12.0
66,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención del manejo de vehículos livianos / prevención del manejo de vehículos pesados,online,12.0
67,curso,administración y legislación,administración general,planificación estratégica,presencial,16.0
68,curso,administración y legislación,administración general,planificación y estratégias de comunicación,presencial,8.0
69,curso,administración y legislación,gestión del talento humano,negociación y manejo de conflictos,presencial,16.0
70,curso,administración y legislación,gestión del talento humano,fortalecimiento organizacional y solución creativa de conflictos,presencial,16.0
71,curso,administración y legislación,gestión del talento humano,"programa de habilidades para mandos medios (jefaturas, supervisores, coordinadores, líderes de áreas)",presencial,32.0
72,curso,administración y legislación,gestión del talento humano,liderazgo integral,presencial,8.0
73,curso,administración y legislación,gestión del talento humano,planeación de tareas y administración del tiempo,presencial,8.0
74,curso,administración y legislación,gestión del talento humano,toma de decisiones con orientación a resultados,presencial,8.0
75,curso,administración y legislación,gestión del talento humano,pensamiento analítico,presencial,8.0
76,curso,administración y legislación,gestión del talento humano,liderazgo y manejo de conflictos,presencial,16.0
77,curso,administración y legislación,gestión del talento humano,liderazgo y manejo de relaciones interpersonales,presencial,8.0
78,curso,administración y legislación,gestión del talento humano,inteligencia emocional,presencial,8.0
79,curso,administración y legislación,gestión del talento humano,programación neurolingüística y comunicación,presencial,8.0
80,curso,administración y legislación,gestión del talento humano,motivación y trabajo en equipo,presencial,8.0
81,curso,administración y legislación,gestión del talento humano,coaching y desarrollo de liderazgo,presencial,8.0
82,curso,administración y legislación,administración contable y de costos,cierre del año fiscal,presencial,8.0
83,curso,administración y legislación,evaluación de proyectos,programa integral de manejo de proyectos,presencial,24.0
84,curso,administración y legislación,gestión de la calidad,"administración, seguimiento y evaluación de procesos",presencial,24.0
85,curso,administración y legislación,evaluación de proyectos,elaboración de proyectos,presencial,16.0
86,curso,administración y legislación,atención y servicios de oficina,"etiqueta, protocolo e imagen en la organización",presencial,8.0
87,curso,administración y legislación,atención y servicios de oficina,actualización en técnicas de ortografía,presencial,8.0
88,curso,administración y legislación,atención y servicios de oficina,gestión integral de secretarias ejecutivas,presencial,16.0
89,curso,administración y legislación,atención y servicios de oficina,actualización en técnicas de redacción y elaboración de informes,presencial,16.0
90,curso,administración y legislación,atención y servicios de oficina,actualización en técnicas de redacción y ortografía,presencial,16.0
91,curso,administración y legislación,atención y servicios de oficina,el arte de hablar y exponer en público,presencial,8.0
92,curso,administración y legislación,atención y servicios de oficina,excelencia y calidad en el servicio y atención al cliente,presencial,8.0
93,curso,administración y legislación,legislación,"legislación laboral, código de trabajo y régimen disciplinario",presencial,16.0
94,curso,administración y legislación,legislación,aplicación código integral penal,presencial,32.0
95,curso,administración y legislación,legislación,ley orgánica de economía popular y solidaria y su reglamento,presencial,16.0
96,curso,administración y legislación,legislación,el código orgánico monetario financiero,presencial,16.0
97,curso,administración y legislación,gestión de la calidad,gestión por procesos,presencial,12.0
98,curso,administración y legislación,gestión de la calidad,introducción a norma iso 9001-2015,presencial,16.0
99,curso,tecnologías de la información y comunicación,programas de escritorio,excel básico,presencial,16.0
100,curso,tecnologías de la información y comunicación,programas de escritorio,excel intermedio,presencial,16.0
101,curso,tecnologías de la información y comunicación,programas de escritorio,excel avanzado,presencial,8.0
102,curso,tecnologías de la información y comunicación,control de calidad,ethical hacking,presencial,24.0
103,curso,tecnologías de la información y comunicación,control de calidad,auditoria informática,presencial,16.0
104,curso,tecnologías de la información y comunicación,control de calidad,seguridad de la información y seguridad informática,presencial,16.0
105,curso,finanzas comercio y ventas,marketing y ventas,habilidades de negociación eficaz,presencial,8.0
106,curso,finanzas comercio y ventas,marketing y ventas,pnl aplicado a ventas,presencial,16.0
107,curso,finanzas comercio y ventas,marketing y ventas,la negociación profesional enfocada a compras y ventas,presencial,16.0
108,curso,finanzas comercio y ventas,marketing y ventas,integración organizacional aplicado a ventas,presencial,8.0
109,curso,finanzas comercio y ventas,marketing y ventas,programa de habilidades de negociación eficaz,presencial,24.0
110,curso,finanzas comercio y ventas,marketing y ventas,empowerment y negociación,presencial,16.0
111,curso,finanzas comercio y ventas,marketing y ventas,manejo de objeciones y cierre de ventas telefónicas,presencial,8.0
112,curso,finanzas comercio y ventas,marketing y ventas,ventas consultivas (ventas con pnl),presencial,16.0
113,curso,finanzas comercio y ventas,marketing y ventas,neuroventas,presencial,16.0
114,curso,finanzas comercio y ventas,marketing y ventas,venta de productos financieros,presencial,16.0
115,curso,finanzas comercio y ventas,marketing y ventas,negociación efectiva para microcréditos,presencial,8.0
116,curso,finanzas comercio y ventas,marketing y ventas,programa de fortalecimiento como gestores comerciales para servicios financieros,presencial,40.0
117,curso,finanzas comercio y ventas,crédito y cobranzas,análisis de crédito y cobranza,presencial,16.0
118,curso,finanzas comercio y ventas,crédito y cobranzas,gestión efectiva de cobranza,presencial,16.0
119,curso,finanzas comercio y ventas,crédito y cobranzas,"manejo de equipos de trabajo, evaluación y seguimiento de gestores de cobranza",presencial,16.0
120,curso,finanzas comercio y ventas,riesgo financiero,formación integral para cajeros bancarios,presencial,40.0
121,curso,finanzas comercio y ventas,riesgo financiero,gestión efectiva de cajeros para instituciones financieras,presencial,16.0
122,curso,finanzas comercio y ventas,detección de circulante y documentos falsos,grafología y grafo análisis,presencial,8.0
123,curso,finanzas comercio y ventas,detección de circulante y documentos falsos,grafología y seguridad en documentos,presencial,8.0
124,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de formadores,presencial,16.0
125,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,programa de formación de formadores,presencial,40.0
126,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,acoso laboral / mobbing laboral,presencial,8.0
127,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,estrés laboral,presencial,8.0
128,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,fundamentos de la seguridad y salud en el trabajo,presencial,8.0
129,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,gestión de riesgos laborales,presencial,16.0
130,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,inspecciones de seguridad y salud en el trabajo,presencial,8.0
131,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manipulación de cargas,presencial,8.0
132,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,metodología de evaluación de riesgos ergonómicos,presencial,8.0
133,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,metodología de evaluación de riesgo psicosociales,presencial,8.0
134,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,permisos de trabajo para actividades de alto riesgo,presencial,8.0
135,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de la violencia psicológica y discriminación,presencial,8.0
136,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,programa de prevención integral al uso y consumo de drogas en los espacios laborales públicos y privados,presencial,8.0
137,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,seguridad física para los guardias,presencial,16.0
138,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,señalización de seguridad en el trabajo,presencial,12.0
139,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,plan de emergencia y autoprotección,presencial,12.0
140,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas contra incendios,presencial,12.0
141,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,"reporte, investigación y análisis de accidentes e incidentes de trabajo",presencial,12.0
142,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el transporte y almacenamiento de productos químicos peligrosos,presencial,18.0
143,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manejo seguro de montacargas,presencial,18.0
144,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos ergonómicos,presencial,12.0
145,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,12.0
146,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,reglamento de seguridad y salud - organismos paritarios,presencial,12.0
147,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos psicosociales,presencial,18.0
148,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de primeros auxilios,presencial,12.0
149,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de trabajos en alturas,presencial,18.0
150,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,levantamiento mecánico de cargas,presencial,30.0
151,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de comunicación,presencial,12.0
152,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,equipos de protección personal,presencial,12.0
153,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,trabajo en espacios confinados,presencial,18.0
154,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de evacuación y rescate,presencial,12.0
155,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,legislación y normativa de seguridad y salud ocupacional,presencial,12.0
156,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,indicadores del sistema de gestión de la seguridad y salud en el trabajo,presencial,18.0
157,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos eléctricos,presencial,24.0
158,curso,finanzas comercio y ventas,riesgo financiero,formación integral para cajeros bancarios,online,40.0
159,curso,administración y legislación,gestión del talento humano,liderazgo y manejo de conflictos,online,16.0
160,curso,administración y legislación,gestión del talento humano,motivación y trabajo en equipo,online,8.0
161,curso,tecnologías de la información y comunicación,control de calidad,programa de seguridades de la información e informática con ethical hacking,presencial,40.0
162,curso,administración y legislación,legislación,"código orgánico general de procesos ""cogep""",presencial,24.0
163,curso,administración y legislación,atención y servicios de oficina,gestión integral de documentación y archivo,presencial,8.0
164,curso,finanzas comercio y ventas,marketing y ventas,gestión comercial eficaz,presencial,24.0
165,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,presencial,30.0
166,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos mecánico,presencial,18.0
167,curso,administración y legislación,gestión del talento humano,planeación de tareas y administración del tiempo,online,8.0
168,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,metodología de evaluación de riesgos ergonómicos,online,8.0
169,curso,administración y legislación,atención y servicios de oficina,actualización en técnicas de redacción y ortografía,online,16.0
170,curso,administración y legislación,legislación,asistencia en investigación criminalística,presencial,120.0
171,curso,servicios socioculturales y a la comunidad,salud y medicina,terapia y estimulación del lenguaje,presencial,160.0
172,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas contra incendios,presencial,10.0
173,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de primeros auxilios,presencial,10.0
174,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,equipos de protección personal,presencial,10.0
175,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,inspecciones de seguridad y salud en el trabajo,presencial,10.0
176,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,legislación y normativa de seguridad y salud ocupacional,presencial,10.0
177,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manejo seguro de montacargas,presencial,10.0
178,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,programa de prevención integral al uso y consumo de drogas en los espacios laborales públicos y privados,presencial,10.0
179,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de evacuación y rescate,presencial,10.0
180,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manipulación de cargas,presencial,10.0
181,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos psicosociales,presencial,10.0
182,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,plan de emergencias y autoprotección,presencial,10.0
183,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención riesgos eléctricos,presencial,40.0
184,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos en el manejo de productos químicos,presencial,10.0
185,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en riesgos de la construcción,presencial,40.0
186,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos ergonómicos,presencial,10.0
187,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,10.0
188,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el manejo de desechos hospitalarios,presencial,12.0
189,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,reglamento de seguridad y salud - organismos paritarios,presencial,10.0
190,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el manejo de vehículos livianos / prevención en el manejo de vehículos pesados,presencial,20.0
191,curso,administración y legislación,administración contable y de costos,caja bancaria comercial,presencial,72.0
192,curso,educación y capacitación,metodología y técnica de aprendizaje,necesidades educativas asociadas a la inclusión efectiva,presencial,72.0
193,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de instructores en danza folklorica nacional y latinoamericana,presencial,144.0
194,curso,servicios socioculturales y a la comunidad,salud y medicina,servicio de limpieza afines mención limpieza hospitalaria,presencial,72.0
195,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,72.0
196,curso,artes y artesanía,peluquería y belleza barbería y estilismo,maquillaje profesional,presencial,72.0
197,curso,artes y artesanía,peluquería y belleza barbería y estilismo,manicure y pedicure,presencial,40.0
198,curso,artes y artesanía,peluquería y belleza barbería y estilismo,manicura y pedicura,presencial,92.0
199,curso,procesos industriales,textil,corte y confección,presencial,216.0
200,curso,procesos industriales,textil,diseño de modas,presencial,216.0
201,curso,artes y artesanía,cosmetología,masajes profesionales,presencial,92.0
202,curso,artes y artesanía,peluquería y belleza barbería y estilismo,asesoría de imagen,presencial,92.0
203,curso,artes y artesanía,peluquería y belleza barbería y estilismo,maquillaje social y correctivo,presencial,92.0
204,curso,educación y capacitación,idiomas,nivel básico a1 - ingles,presencial,96.0
205,curso,educación y capacitación,idiomas,nivel básico a2 - ingles,presencial,96.0
206,curso,educación y capacitación,idiomas,nivel intermedio b1 - ingles,presencial,100.0
207,curso,educación y capacitación,idiomas,nivel intermedio b2 - ingles,presencial,100.0
208,curso,educación y capacitación,idiomas,nivel avanzado c1 - ingles,presencial,120.0
209,curso,educación y capacitación,idiomas,nivel básico a1 - francés,presencial,96.0
210,curso,educación y capacitación,idiomas,nivel básico a2 - francés,presencial,96.0
211,curso,educación y capacitación,idiomas,nivel intermedio b1 - francés,presencial,100.0
212,curso,educación y capacitación,idiomas,nivel intermedio b2 - francés,presencial,100.0
213,curso,educación y capacitación,idiomas,nivel avanzado c1 - francés,presencial,120.0
214,curso,educación y capacitación,idiomas,nivel básico a1 - ingles,online,96.0
215,curso,educación y capacitación,idiomas,nivel básico a2 - ingles,online,96.0
216,curso,educación y capacitación,idiomas,nivel intermedio b1 - ingles,online,100.0
217,curso,educación y capacitación,idiomas,nivel intermedio b2 - ingles,online,100.0
218,curso,educación y capacitación,idiomas,nivel avanzado c1 - ingles,online,120.0
219,curso,educación y capacitación,idiomas,nivel básico a1 - francés,online,96.0
220,curso,educación y capacitación,idiomas,nivel básico a2 - francés,online,96.0
221,curso,educación y capacitación,idiomas,nivel intermedio b1 - francés,online,100.0
222,curso,educación y capacitación,idiomas,nivel intermedio b2 - francés,online,100.0
223,curso,educación y capacitación,idiomas,nivel avanzado c1 - francesa,online,120.0
224,curso,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,obtención de notificación sanitaria y manejo de ecuapass,semipresencial,40.0
225,curso,administración y legislación,gestión de la calidad,auditoría interna bpm (buenas prácticas de manufactura) - haccp (análisis de peligros y puntos críticos de control) - iso 22000 (sistema de certificación en inocuidad alimentaria),semipresencial,40.0
226,curso,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,"innovación y desarrollo de nuevos productos, aditivos alimentarios, etiquetado de alimentos y análisis sensorial",semipresencial,30.0
227,curso,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,"innovación y desarrollo de nuevos productos, aditivos alimentarios y etiquetado de alimentos",online,20.0
228,curso,administración y legislación,gestión de la calidad,auditoría interna bpm (buenas prácticas de manufactura) - haccp (análisis de peligros y puntos críticos de control) - fssc 22000 (sistema de certificación en inocuidad alimentaria),online,20.0
229,curso,administración y legislación,gestión de la calidad,auditoría interna bpm (buenas prácticas de manufactura) - haccp (análisis de peligros y puntos críticos de control),online,20.0
230,curso,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,obtención de notificación sanitaria y manejo de ecuapass,online,20.0
231,curso,administración y legislación,administración contable y de costos,formación tributaria,online,60.0
232,curso,administración y legislación,gestión del talento humano,formación laboral,online,60.0
233,curso,administración y legislación,administración contable y de costos,formación financiera,online,60.0
234,curso,alimentación gastronomía y turismo,cocina nacional e internacional,cocina y gastronomia,presencial,160.0
235,curso,alimentación gastronomía y turismo,panadería y pastelería,panaderia y pasteleria,presencial,80.0
236,curso,procesos industriales,textil,diseño corte y confección,presencial,160.0
237,curso,artes y artesanía,peluquería y belleza barbería y estilismo,belleza y peluqueria,presencial,400.0
238,curso,artes y artesanía,peluquería y belleza barbería y estilismo,peluqueria y barberia,presencial,100.0
239,curso,administración y legislación,administración general,contratación y compras públicas,presencial,120.0
240,curso,administración y legislación,administración general,contratación pública para proveedores,presencial,16.0
241,curso,administración y legislación,administración general,fases de la contratación pública,presencial,20.0
242,curso,administración y legislación,administración general,administración de contratos públicos,presencial,16.0
243,curso,administración y legislación,gestión del talento humano,administración del talento humano,presencial,20.0
244,curso,administración y legislación,gestión del talento humano,evaluación de desempeño del talento humano,presencial,20.0
245,curso,administración y legislación,gestión del talento humano,planificación del talento humano,presencial,20.0
246,curso,administración y legislación,gestión del talento humano,integración y trabajo en equipo (team building outdoor),presencial,16.0
247,curso,administración y legislación,gestión del talento humano,manejo del estrés laboral,presencial,8.0
248,curso,administración y legislación,gestión del talento humano,motivación laboral y relaciones humanas,presencial,8.0
249,curso,administración y legislación,gestión del talento humano,ética en la función pública,presencial,8.0
250,curso,administración y legislación,gestión del talento humano,negociación y resolución de conflictos,presencial,8.0
251,curso,administración y legislación,gestión del talento humano,manejo de conflictos y herramientas de comunicación para pacientes y familiares,presencial,8.0
252,curso,administración y legislación,gestión del talento humano,desarrollo de habilidades gerenciales,presencial,16.0
253,curso,administración y legislación,administración contable y de costos,manejo y control de bienes públicos,presencial,16.0
254,curso,administración y legislación,administración contable y de costos,contabilidad gubernamental,presencial,24.0
255,curso,administración y legislación,atención y servicios de oficina,técnicas de archivo y gestión documental,presencial,20.0
256,curso,administración y legislación,atención y servicios de oficina,"imagen, etiqueta y protocolo empresarial",presencial,16.0
257,curso,administración y legislación,atención y servicios de oficina,excelencia en atención al cliente,presencial,8.0
258,curso,administración y legislación,atención y servicios de oficina,oratoria efectiva,presencial,20.0
259,curso,administración y legislación,legislación,proceso de importación para el sector público,presencial,16.0
260,curso,administración y legislación,legislación,normas internacionales de información financiera (niif) y normas internacionales de contabilidad (nic) para el sector público,presencial,32.0
261,curso,administración y legislación,legislación,análisis del código orgánico administrativo (coa),presencial,24.0
262,curso,administración y legislación,legislación,código orgánico de entidades de seguridad ciudadana y orden público (coescop),presencial,32.0
263,curso,finanzas comercio y ventas,marketing y ventas,técnicas efectivas en ventas,presencial,8.0
264,curso,finanzas comercio y ventas,marketing y ventas,ventas telefónicas,presencial,8.0
265,curso,finanzas comercio y ventas,crédito y cobranzas,cobranzas y negociaciones exitosas,presencial,8.0
266,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de formadores,presencial,40.0
267,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos ergonómicos,presencial,16.0
268,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,16.0
269,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,fundamentos de la seguridad y la salud en el trabajo,presencial,16.0
270,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,presencial,16.0
271,curso,administración y legislación,administración general,gestión pública,presencial,20.0
272,curso,administración y legislación,gestión del talento humano,dirección y liderazgo,presencial,16.0
273,curso,alimentación gastronomía y turismo,panadería y pastelería,pastelería,semipresencial,256.0
274,curso,alimentación gastronomía y turismo,cocina nacional e internacional,gastronomía,presencial,336.0
275,curso,alimentación gastronomía y turismo,panadería y pastelería,pastelería,presencial,384.0
276,curso,alimentación gastronomía y turismo,panadería y pastelería,panadería,presencial,256.0
277,curso,alimentación gastronomía y turismo,cocina nacional e internacional,gastronomía técnica,presencial,200.0
278,curso,alimentación gastronomía y turismo,catering y servicio de bar y comedores,técnicas de servicio,presencial,160.0
279,curso,alimentación gastronomía y turismo,catering y servicio de bar y comedores,atención a clientes en establecimientos multifuncionales,presencial,190.0
280,curso,alimentación gastronomía y turismo,cocina nacional e internacional,técnicas culinarias del camarón,presencial,20.0
281,curso,alimentación gastronomía y turismo,panadería y pastelería,panadería y pastelería técnica,presencial,240.0
282,curso,administración y legislación,administración contable y de costos,aspectos generales del cajero comercial y bancario,presencial,40.0
283,curso,administración y legislación,atención y servicios de oficina,técnicas de atención y servicio al cliente,presencial,40.0
284,curso,administración y legislación,administración contable y de costos,tributación fiscal,presencial,40.0
285,curso,comunicación y artes gráficas,fotografía,fotografía de producto,presencial,40.0
286,curso,tecnologías de la información y comunicación,programas de escritorio,excel intermedio,presencial,40.0
