,Areas de Formación,Nombre  de los Programas,Modalidad,Tiempo de duración,Duración programa,Precio
34,seguridad,gerencia de seguridad cpp,online,384 h,5 - 8 meses, $990.00 
35,administracion,certificación online de teleoperador de call center,online,2 h diarias,50, $100.00 
36,administracion,certificación de diseño de plan de negocios y proyecto de inversión,online,2 h diarias,45, $90.00 
37,administracion,certificación en diseño gráfico (ilustrador y photoshop),online,martes y jueves 18h30 a 21h30,51, $175.00 
38,administracion,certificación en coach de liderazgo con inteligencia emocional,online,martes 19h30 a 21h00 y último sábado del mes 17h00 a 21h00,200, $390.00 
39,administracion,curso de auxiliar en gestión del talento humano,online,jueves y viernes 18h30 a 20h30,60, $35.00 
40,administracion,certificación en inteligencia de negocios digitales,online,lunes a viernes 18h30 a 21h30,80, $548.00 
41,administracion,programa de especialización para administrador de restaurantes,online,lunes a viernes de 15h00 a 18h00 y sábado de 9h00 a 12h00,8 dias, $260.00 
42,administracion,fundamentos de movilidad urbana sostenible y su aplicación en la planificación de ciudades,online,sábado de 16:00 a 19:00 y miércoles de 18:00 a 20:00,40, $60.00 
43,administracion,certificación en auditorías y estándares internacionales de rse (responsabilidad social empresarial) estrategias ante la crisis del covid-19,presencial,jueves y viernes de 08h30 a 17h30,16, $392.00 
44,salud,certificación en auxiliares de enfermería y cuidados paliativos ,presencial,lunes a viernes de 8h30 a 11h30,600, $585.00 
45,salud,certificación en auxiliar en servicios farmacéuticos ,presencial,lunes a viernes de 9h00 a 12h00,550, $240.00 
46,salud,certificación en auxiliar en servicios farmacéuticos ,presencial,sábado y domingo de 8h00 a 17h00,55o , $220.00 
47,salud,certificación como auxiliar de enfermería con mención en cuidado del adulto mayor,presencial, 09h00 – 13h00 ,500, $580.00 
48,salud,certificación internacional en primeros auxilios rcp – dea,presencial,2 h diarias,40, $140.00 
49,salud,curso de seguridad & salud ocupacional,presencial,"lunes, miércoles y viernes 19h00",40, $75.00 
50,salud,certificación en auxiliar instrumentación quirúrgica,presencial,semanales 10h30 - 12h30 / 18h00 - 20h30 / sábados 8h00 – 13h00,700," $1,010.00 "
51,comunicación,curso online de photoshop para edición de imágenes,online,martes y jueves / miércoles y viernes de 18h00 – 20h00 (vía zoom),40, $120.00 
52,comunicación,certificación de introducción a las artes visuales,online,2 h diarias,80, $180.00 
53,comunicación,programa en marketing digital con mención en community manager (online),online,martes a viernes de 18h30 a 21h30 y sábados de 16h00 a 19h00,67, $199.00 
54,comunicación,curso online de iniciación a la radio,online,"martes, jueves y viernes 19h00 a 20h00 (vía zoom)",40, $59.99 
55,educacion,curso básico profesional de lengua de señas ecuatoriana ii,online,"lunes, miércoles y viernes - 15h00 a 18h00",60, $35.00 
56,educacion,curso superior en asistente en psicología infantil,online,"martes, jueves y viernes - 18h30 a 20h30",80, $35.00 
57,educacion,certificación online en gamificación como estrategia de enseñanza,online,2 h diarias,128, $360.00 
58,educacion,certificación de innovación educativa,online,19h00 a 21h00,40, $70.00 
59,educacion,certificación en auxiliar de parvulario mención asistente materno infantil ,presencial,lunes a viernes de 8h30 a 11h30,600, $275.00 
60,educacion,certificación en auxiliar de parvulario mención asistente materno infantil ,presencial,lunes a viernes de 8h30 a 11h30,600, $275.00 
61,gastronomia,certificación de pastelería moderna,presencial,sábados de 9h00 a 13h00,16, $130.00 
62,gastronomia,certificación internacional de gastronomía mexicana,presencial,8h30 a 13h30 / 15h00 a 20h00,40, $200.00 
63,gastronomia,programa de especialización para administrador de restaurantes,online,lunes a viernes de 15h00 a 18h00 y sábado de 9h00 a 12h00,16, $260.00 
64,mecanica automotriz,certificación en diagnóstico electrónico automotriz,presencial y online,4 horas diarias – clases presenciales (20 horas) trabajo autónomo / aula virtual,20, $166.67 
65,mecanica automotriz,certificación en sistemas de transmisión y frenado,presencial y online,4 horas diarias – clases presenciales (20 horas) trabajo autónomo / aula virtual,20, $166.67 
66,mecanica automotriz,certificación en mantenimiento automotriz ii,presencial y online,4 horas diarias – clases presenciales (20 horas) trabajo autónomo / aula virtual,20, $166.67 
67,mecanica automotriz,certificación en mantenimiento automotriz i,presencial y online,4 horas diarias – clases presenciales (20 horas) trabajo autónomo / aula virtual,20, $166.67 
68,idiomas,academia de inglés pearson,online y autoinstruccional,18h00 a 19h00 (lunes a viernes),160, $150.00 
69,idiomas,academia de inglés berlitz,online y autoinstruccional,5 a 6 horas semanales,12 semanas, $120.00 
70,idiomas,academia de inglés cambridge,online y autoinstruccional,5 horas semanales ,180, $150.00 
71,desarrollo personal,nivel b2,online y autoinstruccional,5 horas semanales ,200, $275.00 
72,desarrollo personal,conocimiento del alumno: valores y hábitos,online y autoinstruccional,disponible 24 h,40, $60.00 
73,desarrollo personal,manejo de habilidades blandas,online y autoinstruccional,disponible 24 h,12, $30.00 
74,desarrollo personal,manejo del tiempo y la productividad,online y autoinstruccional,disponible 24 h,8, $20.00 
75,formacion docente,arte y pedagogía aplicarte,online y autoinstruccional,18:30 - 19:30 ,6 semanas, $45.00 
76,formacion docente,técnicas y metodología de estudio para docentes,online y autoinstruccional,disponible 24 h,50, $50.00 
77,formacion docente,manejo de tics aplicadas a la educación,online y autoinstruccional,disponible 24 h,50, $50.00 
78,negocios y administracion,derecho laboral,online y autoinstruccional,disponible 24 h,12, $30.00 
79,negocios y administracion,fundamentos de marketing,online y autoinstruccional,disponible 24 h,12, $30.00 
80,negocios y administracion,introducción al coaching,online y autoinstruccional,disponible 24 h,12, $30.00 
81,negocios y administracion,excelencia en el servicio y fidelización al cliente,online y autoinstruccional,disponible 24 h,12, $30.00 
82,negocios y administracion,construye tu modelo de negocio,online y autoinstruccional,disponible 24 h,8, $20.00 
83,negocios y administracion,técnicas básicas de ventas,online y autoinstruccional,disponible 24 h,40, $45.00 
84,tecnicos,escuela de capacitación de conductores profesionales - licencia tipo g,semipresencial,21/12/2020 a 07 mayo/21,6 meses," $1,800.00 "
85,tecnologia,programming essentials in python,online,2 a 6 horas al dia,70, $280.00 
86,tecnologia,ccna cybersecurity operations,online,2 a 6 horas al dia,70 h, $280.00 
87,tecnologia,ccna1 v7: introducción a redes,online,2 a 6 horas al dia,70 h, $280.00 
88,tecnologia,"ccna3 v7: redes empresariales, seguridad y automatización",online,1 a 4 horas al dia,30, $100.00 
89,tecnologia,fundamentos de ciberseguridad,online,1 a 6 horas al dia,70, $280.00 
90,tecnologia,iot fudamentals: connecting things,online,1 a 6 horas al dia,50, $125.00 
91,administracion,diplomado en compras y contrataciones del estado,online,120 h,120 h, llamar 
92,administracion,diplomado creación de aplicaciones 4.0 para la educación disruptiva​,online,120 h,120 h, llamar 
93,administracion,diplomado en innovación y transformación digital del negocio y las tecnologías de información y comunicación​,online,120 h,120 h, llamar 
94,administracion,diplomado en gestión integrada en seguridad y salud en el trabajo,online,120 h,120 h, llamar 
95,administracion,diplomado en marketing y comunicación política en tiempos de distanciamiento,online,120 h,120 h, llamar 
96,administracion,diplomado en gestión hotelera,online,120 h,120 h, llamar 
97,administracion,diplomado en gerencia comercial,online,144 h,144 h, llamar 
98,administracion,diplomado de administración de gobiernos seccionales,online,120 h,120 h, llamar 
99,educacion,diplomado en inclusión educativa: atención a la diversidad en el aula,online,120 h,120 h, llamar 
100,educacion,"diplomado en diseño de recursos educativos digitales interactivos para educación básica, inicial y elemental",online,120 h,120 h, llamar 
101,educacion,diplomado en fortalecimiento profesional para psicólogos y afines: abordaje de problemáticas en la niñez y en la adolescencia en el contexto educativo,online,120 h,120 h, llamar 
102,educacion,didáctica para la enseñanza en educación general básica,online,120 h,120, $520.00 
103,educacion,diplomado de ambientes virtuales para el proceso de enseñanza aprendizaje en la educación básica​,online,120 h,120 h, llamar 
104,tics,diplomado en experto en diseño de publicaciones interactivas con adobe indesign para dispositivos móviles,online,120 h,120 h, llamar 
105,tics,diplomado en infopedagogía: aplicaciones de las tics para la enseñanza,online,120 h,120 h, llamar 
106,tics,diplomado de customer experience en entornos digitales y tradicionales,online,120 h,120 h, llamar 
107,salud,programa auxiliar de enfermería,online,600 h,600 h, llamar 
108,salud,diplomado en urgencias médicas hospitalarias,online,120 h,120 h, llamar 
109,salud,programa auxiliar de odontología,online,120 h,120 h, llamar 
110,salud,diplomado de nutrición enteral y parenteral,online,120 h,120 h, llamar 
111,salud,diplomado en especialidades odontológicas,online,120 h,120 h, llamar 
112,salud,diplomado en salud y medicina del trabajo,online,140 h,140 h, llamar 
113,administracion,de artesano a empresario modalidad mooc,online,40 h,40, $40.00 
114,administracion,curso legislacion electoral ecuatoriana y actores politicos,online,40 h,40 h, llamar 
115,administracion,curso administración de proyectos con uso de la herramienta ms project,online,40 h,40 h, llamar 
116,salud,certificado de atención pre hospitalaria,online,90 h,90 h, llamar 
117,salud,el caso social como método de intervención profesional del trabajador social en tiempos de covid-19,online,50 h,50, $40.00 
118,tics,curso de excel para la correcta toma de decisiones administrativas – financieras en la empresa,online,40 h,40 h, llamar 
119,salud,curso superior de nutrición hospitalaria​,online,20 h,20, $80.00 
120,salud,"curso enfermedades digestivas frecuentes en la niñez: cuidados, diagnóstico y tratamiento​",online,20 h,20, $80.00 
121,salud,"curso enfermedades digestivas frecuentes en la niñez: cuidados, diagnóstico y tratamiento​",online,20 h,20, $80.00 
122,derecho,curso teoría de la justicia de j.rawls,online,8 h,8 h, llamar 
123,derecho,curso derecho penal ambiental,online,16 h,16 h, llamar 
124,derecho,curso sobre código orgánico general de procesos,online,35 h,35 h, llamar 
125,trabajo social,seminario-taller: fundamentos y práctica del trabajo social clínico,online,68 h,68 h, llamar 
126,financiero,seminario ley de prevencion de lavado de activos y el control del patrimonio,online,11 h,11 h, llamar 
127,marketing,estrategia digital: cómo integrar tus activos digitales con visión estratégica,online,18:00 a 20:00,30, $290.00 
128,tecnologia,social media data analytics,online,martes y jueves de 18h00 a 20h00,30, $290.00 
129,tecnologia,"growth hacking: estrategias, técnicas y acciones para generar tráfico a tu sitio web y redes sociales (seo, sem, analytics).",online,18:00 a 20:00,30, $290.00 
130,tecnologia,facebook e instagram para emprendedores,online,martes y jueves de 18h00 a 19h30,30, $290.00 
131,politica,curso universitario de simulación de campaña electoral,online,1 h al dia,30, $390.00 
132,tics,biomecánica del cuerpo humano y neurorrehabilitación a través de la robótica,online,martes y jueves de 18h00 a 20h00,30, $290.00 
133,tics,"narrativa digital: storytelling, copywriting y contenido para medios digitales",online,lunes y miércoles de 18h00 a 20h00.,30, $290.00 
134,tics,el abc de ilustrador y photoshop,online,disponible 24 h,24, $290.00 
135,tics,qlik sense - business analyst,online,viernes 25 de enero: 15h00 a 19h00,24, $380.00 
136,arte,historia del arte: las obras maestras del renacimiento,online,disponible 24 h,32, $290.00 
137,administracion,experto en tributación y niifs,online,"martes, miércoles y jueves de 19:00 a 21:00",72, $120.00 
138,administracion,administración de recursos públicos y sus responsabilidades,online,"lunes, miércoles y viernes de 19:00 a 21:00",48, $80.00 
139,administracion,gestión integral de proyectos basada en el pmi,online,"lunes, miércoles y viernes de 19:00 a 21:00",48, $80.00 
140,administracion,redacción administrativa para asistentes ejecutivas,online,"lunes, miércoles y viernes de 19:00 a 21:00",48, $80.00 
141,administracion,la lectura y escritura como herramientas didácticas en los entornos virtuales de aprendizaje,online,"lunes, miércoles y viernes de 19:00 a 21:00",48, $80.00 
142,administracion, excel aplicado a las finanzas empresariales,online,lunes a viernes de 18h00 a 21h00,21, $-   
143,administracion,selecciòn de personal,online,lunes a viernes de 18h00 a 21h00,32, $-   
144,administracion,auditoria gubernamental,online,lunes a viernes de 18h00 a 21h00,32, $-   
145,administracion,comunicación científica: estilo y pautas de redacción,online,lunes a viernes de 17h00 a 20h00,20, $-   
146,administracion,seminario integral de compras públicas,online,lunes a viernes de 18h00 a 21h00,60, $-   
147,educacion,cursos de ingles para el adulto mayor,presencial,70 h,70, $120.00 
148,tics,desarrollador frontend,presencial,sabado 08:00 a 12:00,4 sabados, llamar 
149,salud,auxiliar de enfermeria,presencial,dias sabados,7 meses," $1,280.00 "
150,salud,instrumentacion quirurgica,presencial,dias domingo,6 meses, $790.00 
151,salud,auxiliar de fisioterapia,presencial,dias sabados,7 meses, $910.00 
152,salud,auxiliar geriatrico,presencial,domingo de 08:00 a 14:00,4 meses, $660.00 
153,administracion,marketing de contenido y escritura creativa,on line,18h30 – 20h30,20, $99.00 
154,administracion,storytelling avanzado,on line,18h30 – 20h30,20, $99.00 
155,administracion,diseño estrategico y gestion de marcas,on line,18h30 – 20h30,20, $99.00 
156,administracion,gestion de innovacion y herramientas digitales,on line,18h30 – 20h30,20, $99.00 
157,ingenieria civil,diseño de instalaciones para edificios autosustentables,on line,17:30 - 21:30,40, $180.00 
158,ingenieria civil,sostenbilidad y economia circular analisis de ciclos de vida de productos y construcciones sostenibles,on line,17:30 - 21:30,40, $180.00 
159,ingenieria civil,diseño de edificios sostenibles,on line,17:30 - 21:30,40, $180.00 
160,ingenieria civil,formulacion y evaluacion de proyectos sostenibles,on line,17:30 - 21:30,40, $180.00 
161,ingenieria civil,marco legal de las construcciones sustentables y certificados verdes,on line,17:30 - 21:30,40, $180.00 
162,idiomas,curso cursos de inglés básico para programas de maestría. modulo 1,on line,18:00 a 22:00,72, $150.00 
163,idiomas,curso cursos de inglés básico para programas de maestría. modulo 2,on line,18:00 a 22:00,72, $150.00 
164,idiomas,curso cursos de inglés básico para programas de maestría. modulo 3,on line,18:00 a 22:00,72, $150.00 
165,docencia,formación docente de educación superior en línea,on line,18:00 a 21:00 / 19:00: 22:00 / 09:00 a 12:00,4 semanas, $120.00 
166,docencia,formación tributaria para microempresarios y emprendedores,on line,18:00 a 21:00 / 21:00 a 22:00,60, $50.00 
167,docencia,emprendimiento online y manejo de redes sociales,on line,18:00 a 20:00 / 20:00 a 22:00,40, $60.00 
168,docencia,introducción a la estadística y búsqueda e indexación de información bibliográfica,on line,de lunes a viernes 18:00 a 22:00,90, $200.00 
169,idiomas,ingles,presencial,80 h,16 semanas, $230.00 
170,idiomas,frances,presencial,80 h,16 semans, $230.00 
171,idiomas,conversation club- inglés,presencial,20 h,16 semanas, $70.00 
172,educativos,didáctica y metodología para llegar a los estudiantes,presencial,16 h,3 dias, llamar 
173,educativos,diseño instruccional para cursos virtuales,virtual,48 h,48, $140.00 
174,educativos,diseño y montaje de aulas virtuales en moodle,virtual,64 h,64, $180.00 
175,educativos,elaboración de documentos técnicos con latex,presencial,30 h,30 h, llamar 
176,educativos,evaluación y seguimiento de cursos virtuales,virtual,48 h,48, $140.00 
177,educativos,gestión del aprendizaje en moodle y videoclases,virtual,20 h,20 h, llamar 
178,educativos,herramientas para el diseño de recursos didácticos - herramientas de autor,virtual,48 h,48, $140.00 
179,educativos,herramientas tecnológicas para docentes de educación superior,presencial,24 h,24 h, llamar 
180,educativos,herramientas tic como apoyo para la educación en línea,en vivo,20 h,20 h, llamar 
181,educativos,programación neurolingüística (pnl) para docentes,presencial,20 h,20h, llamar 
182,educativos,fundamentos andragógicos para la facilitación de procesos formativos (taller con telepresencia),virtual,32 h,13 dias, $60.00 
183,educativos,la teoría de las inteligencias múltiples en el acompañamiento del proceso educativo ,virtual,48 h,1  mes, llamar 
184,educativos,prevención del abuso sexual infantil,virtual,48 h,1 mes, llamar 
185,educativos,recursos didácticos digitales para el aula,virtual,32 h, 3 dias martes 27 de abril  - sabado 28 de abril - domingo 29 de abril, $60.00 
186,educativos,storytelling - narrativas digitales para el aprendizaje virtual (taller con telepresencia),virtual,32 h,13 dias, $60.00 
187,educativos,supervisión de tutores virtuales ,virtual,20 h,13 dias, llamar 
188,educativos,educación inicial para niños de 1 a 2 años,virtual,120 h,10 semanas, $70.00 
189,educativos,educación inicial para niños de 2 a 3 años,virtual,120 h,10 semanas, $70.00 
190,educativos,educación inicial para niños de 3 a 4 años,virtual,120 h,10 semanas, $70.00 
191,educativos,educación inicial para niños de 4 a 5 años,virtual,120 h,10 semanas, $70.00 
192,educativos,educación inicial para niños recién nacidos a 1 año,virtual,120 h,10 semanas, $70.00 
193,educativos,matemática para cuarto año de educación general básica,virtual,120 h,10 semanas, $70.00 
194,educativos,matemática para primer año de educación general básica,virtual,120 h,10 semanas, $70.00 
195,educativos,matemática para segundo año de educación general básica,virtual,120 h,10 semanas, $70.00 
196,educativos,matemática para tercero año de educación general básica,virtual,120 h,10 semanas, $70.00 
197,autoestudio,creando ambientes de enseñanza aprendizaje con google classroom,virtual,48 h,48 h, llamar 
198,autoestudio,diseño y desarrollo de recursos y actividades virtuales,virtual,24 h,24 h, llamar 
199,autoestudio,flipped classroom: una experiencia pedagógica innovadora,virtual,64 h,64 h, llamar 
200,autoestudio,la teoría de las inteligencias múltiples en el acompañamiento del proceso educativo ,virtual,48 h,48 h, llamar 
201,autoestudio,presentaciones interactivas con prezi ,virtual,48 h,48 h, llamar 
202,tecnicos,introducción a la producción más limpia (p+l) - aplicaciones prácticas,presencial,40 h,40 h, llamar 
203,tecnicos,mantenimiento predictivo,presencial,40 h,40 h, llamar 
204,tecnicos,electrónica básica y avanzada,presencial,40 h,40 h, llamar 
205,tecnicos,electricidad básica,presencial,20 h,20 h, llamar 
206,tecnicos,análisis de vibraciones,presencial,32 h,32 h, llamar 
207,tecnicos,plan de manejo ambiental (pma) y registro ambiental - aplicación práctica,presencial,33 h,33 h, llamar 
208,tecnicos,"planificación, programación y evaluación de la gestión de mantenimiento",presencial,20 h,20 h, llamar 
209,empresariales,gerencia de proyectos,en vivo,24 h,10 dias, $89.00 
210,empresariales,reclutamiento y selección basado en competencias,en vivo,16 h,5 dias, $69.00 
211,empresariales,excel 1: fundamentos y herramientas,en vivo,24 h,10 dias, $79.00 
212,empresariales,sql aplicado al análisis de datos,en vivo,16 h,5 dias, $90.00 
213,empresariales,estadística para la toma de decisiones,en vivo,12 h,5 dias, $80.00 
214,empresariales,diseño de manuales de procesos & procedimientos administrativos operativos,en vivo,12 h,5 dias, $80.00 
215,empresariales,sistema de gestión de seguridad y salud ocupacional,en vivo,16 h,5 dias, $50.00 
216,empresariales,determinación del presupuesto referencial en contratación pública,en vivo,10 h,5 dias, $60.00 
217,empresariales,introducción al marketing digital y redes sociales,en vivo,16 h,5 dias, $60.00 
218,empresariales,contratación pública para proveedores del estado con módulo facilitador mfc,en vivo,16 h,5 dias, $60.00 
219,empresariales,neurocobranzas y cierre efectivo de cobros,en vivo,16 h,5 dias, $60.00 
220,empresariales,proceso de notificación sanitaria obligatoria (nso) para productos diversos regulados por arcsa,en vivo,12 h,5 dias, $50.00 
221,empresariales,contratación pública para entidades contratantes con módulo facilitador mfc,en vivo,16 h,5 dias, $60.00 
222,empresariales,preparación de auditorías internas basadas en la iso 19011:2018,en vivo,16 h,5 dias, $99.00 
223,empresariales,excel 3: gestión de datos con tablas dinámicas,en vivo,24 h,15 dias, $79.00 
224,empresariales,cobranzas y recuperación de cartera,en vivo,16 h,5 dias, $60.00 
225,empresariales,excel 2: funciones y análisis de datos,en vivo,24 h,10 dias, $79.00 
226,empresariales,administración de contratos del sector público,en vivo,12 h,5 dias, $50.00 
227,empresariales,gestión e implementación de normas iso alternas,virtual,64 h,1 mes, $180.00 
228,empresariales,estadística aplicada a la prospección de mercados,en vivo,16 h,5 dias, $50.00 
229,empresariales,administración de no conformidades y herramientas de mejora continua,en vivo,16 h,5 dias, $50.00 
230,empresariales,ofimática básica - curso mooc,virtual,48h,1 mes, llamar 
231,empresariales,liderazgo con inteligencia emocional y gestión de equipos de alto desempeño,en vivo,20 h,20 h, llamar 
232,empresariales,mis primeros pasos en estadística - curso mooc,en vivo,48 h,48 h, llamar 
233,empresariales,estrategia para la continuidad y reactivación del negocio,en vivo,16 h,16 h, llamar 
234,empresariales,gestión y seguimiento del teletrabajo por resultados,en vivo,8 h,8 h, llamar 
235,empresariales,prevención de riesgos en el trabajo frente al covid 19,en vivo,10 h,10 h, llamar 
236,empresariales,estrategias para buscar trabajo - curso mooc,virtual,48 h,48 h, llamar 
237,empresariales,potencia tu negocio en internet,en vivo,16 h,16 h, llamar 
238,empresariales,liderazgo e inteligencia emocional aplicada,en vivo,12 h,12 h, llamar 
239,empresariales,"resiliencia frente a la crisis, superando entornos adversos",en vivo,10 h,10 h, llamar 
240,empresariales,acompañamiento emocional en tiempos de crisis,en vivo,10 h,10 h, llamar 
241,empresariales,higiene y desinfección de plantas de producción alimentaria,en vivo,20 h,20 h, llamar 
242,empresariales,marketing de contenidos - curso mooc,virtual,48 h,48 h, llamar 
243,empresariales,introducción a la plataforma de facebook: páginas y ads,en vivo,16 h,16 h, llamar 
244,empresariales,creación del plan estratégico de mercadeo digital,en vivo,16 h,16 h, llamar 
245,empresariales,formación de gestores lean,virtual,64 h,1 mes, $180.00 
246,empresariales,diseño e implementación de un sistema de gestión de la calidad basado en la iso 9001:2015,en vivo,24 h,24 h, llamar 
247,empresariales,"auditor interno de sistemas integrados iso 9001, iso 14001 e iso 45001",presencial,32 h,32 h, llamar 
248,empresariales,lenguaje no verbal en el ámbito laboral,presencial,16 h,16 h, llamar 
249,empresariales,prevención de riesgos ergonómicos fundamentada en la gimnasia laboral - curso mooc,virtual,24 h,24 h, llamar 
250,empresariales,consejos para una mejor redacción y ortografía - curso mooc,virtual,48 h,1 mes, llamar 
251,empresariales,gestión de proyectos 2 con ms project,presencial,32 h,32 h, llamar 
252,empresariales,diseño y formulación de proyectos,en vivo,32 h,32 h, llamar 
253,empresariales,gestión de proyectos basado en la <i>guía pmbok®</i> – módulo 02,en vivo,18 h,18 h, llamar 
254,empresariales,técnicas de ventas para vendedores de empresas de consumo masivo,presencial,16 h,16 h, llamar 
255,empresariales,redacción avanzada,presencial,32 h,32 h, llamar 
256,empresariales,pnl,presencial,16 h,16 h, llamar 
257,empresariales,manejo de finanzas personales,presencial,8 h,8 h, llamar 
258,empresariales,asertividad laboral y manejo de situaciones difíciles,presencial,16 h,16 h, llamar 
259,empresariales,administración efectiva del tiempo - curso mooc,virtual,24 h,24 h, llamar 
260,empresariales,word intermedio 2013,presencial,32 h ,32 h, llamar 
261,empresariales,word basico 2013,presencial,32 h,32 h, llamar 
262,empresariales,word avanzado,presencial,32 h,32 h, llamar 
263,empresariales,"
trabajo en alturas",presencial,18 h,18 h, llamar 
264,empresariales,taller de relaciones humanas y trabajo en equipo,presencial,8 h ,8 h, llamar 
265,empresariales,redacción periodística en plataformas digitales y tradicionales,presencial,24 h,24 h, llamar 
266,empresariales,prevención integral al uso y consumo de drogas,presencial,50 h,50 h, llamar 
267,empresariales,prevención de lavado de activos,presencial,16 h,16 h, llamar 
268,empresariales,power point,presencial,32 h,32 h, llamar 
269,empresariales,normas de control interno,presencial,24 h,24 h, llamar 
270,empresariales,normas internacionales de información financiera (niif),presencial,32 h,32 h, llamar 
271,empresariales,ms. access intermedio,presencial,20 h,20 h, llamar 
272,empresariales,minería de datos,presencial,40 h,40 h, llamar 
273,empresariales,gestión documental,presencial,16 h,16 h, llamar 
274,empresariales,finanzas para no financieros,presencial,24 h,24 h, llamar 
275,empresariales,econometría con stata,presencial,40 h,40 h, llamar 
276,empresariales,control de gestión pública,presencial,16 h,16 h, llamar 
277,empresariales,brigadas de incendios,presencial,16 h,16 h, llamar 
278,empresariales,"brigadas de evacuación y rescate
",presencial,16 h,16 h, llamar 
279,empresariales,bizagi,presencial,16 h,16 h, llamar 
280,empresariales,auditoría gubernamental,presencial,16 h,16 h, llamar 
281,empresariales,auditoría a los procesos de contratación pública,presencial,16 h,16 h, llamar 
282,empresariales,análisis financiero,presencial,24 h,24 h, llamar 
283,empresariales,programación aplicada a estadística con r,presencial,40 h,40 h, llamar 
284,empresariales,administración y control de bienes y existencias del sector público,presencial,24 h,24 h, llamar 
285,empresariales,"plan de emergencia y autoprotección
",presencial,12 h,12 h, llamar 
286,empresariales,"brigadas de primeros auxilios
",presencial,12 h,12 h, llamar 
287,empresariales,brigadas de emergencia,presencial,29 h,29 h, llamar 
288,empresariales,administración eficiente de bodegas,presencial,24 h,24 h, llamar 
289,empresariales,administración del tiempo,presencial,16 h,16 h, llamar 
290,empresariales,implementación de un sistema de gestión integrado,virtual,48 h,1 mes, $140.00 
291,empresariales,community manager y social media ii,virtual,48 h,48, $140.00 
292,empresariales,normativa sanitaria para servicios de alimentación colectiva,presencial,20 h,20 h, llamar 
293,empresariales,estadística básica para gestionar datos,en vivo,40 h,40 h, llamar 
294,empresariales,diseño del plan de seguridad y salud en el trabajo,virtual,64 h,64 h, llamar 
295,empresariales,gestión del cambio,presencial,8 h,8 h, llamar 
296,empresariales,"administración por procesos, introducción a lean six sigma y bpmn",en vivo,48 h,48 h, llamar 
297,empresariales,planificación e implementación de la estrategia,presencial,16 h,16 h, llamar 
298,empresariales,optimización del clima organizacional,presencial,28 h,28 h, llamar 
299,empresariales,marketing para emprendedores (taller con telepresencia),presencial,32 h,32, $60.00 
300,empresariales,econometría,presencial,32 h,32 h, llamar 
