,Perfil,Competenecia Laboral,Familia,Sector,Descargar Perfil
14,OPERACIONES DE TRANSFORMACIÓN DE POLÍMEROS TERMOESTABLES Y SUS COMPUESTOS,"REALIZAR LAS OPERACIONES DE FABRICACIÓN DE MOLDES DE RESINA Y DE RECEPCIÓN, PREPARACIÓN Y MANIPULACIÓN DE TERMOESTABLES Y MATERIALES COMPUESTOS DE MATRIZ POLIMÉRICA, PARA OBTENER MEZCLAS SIGUIENDO LAS FÓRMULAS Y ESPECIFICACIONES MARCADAS, Y REALIZAR LA TRANSFORMACIÓN DE DICHAS MEZCLAS RESPONSABILIZÁNDOSE DE LA PUESTA A PUNTO DE INSTALACIONES, MÁQUINAS Y UTILLAJE DE FABRICACIÓN, DEL MANTENIMIENTO DE PRIMER NIVEL, DE LA CALIDAD DE LOSMATERIALES Y PRODUCTOS, MANTENIENDO EN TODO MOMENTO LAS CONDICIONES DE SEGURIDAD Y PREVENCIÓN DE RIESGOS LABORALES Y MEDIOAMBIENTALES.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS,
15,CERÁMICA ARTÍSTICA,"DESARROLLAR COMPOSICIONES DE PASTAS, ESMALTES Y PIGMENTOS CERÁMICOS, ASESORANDO AL CLIENTE Y/O USUARIO EN SU EMPLEO Y RESOLUCIÓN DE CONTINGENCIAS, DE ACUERDO A ESPECIFICACIONES TÉCNICAS DE PRODUCTO Y PROCESOS.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS,
16,ANÁLISIS QUÍMICO DE PRODUCTOS FARMACÉUTICOS,"REALIZAR LOS ESTUDIOS Y ANÁLISIS FÍSICOS, QUÍMICOS Y MICROBIOLÓGICOS DE LOS PRODUCTOS FARMACÉUTICOS ELABORADOS CONFORME A BUENAS PRÁCTICAS DE MANUFACTURA, CONTROL DE CALIDAD, GUÍAS ICH, SEGURIDAD Y POLÍTICAS INTERNAS DE LA ORGANIZACIÓN.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS","FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACÉUTICO",
17,SUPERVISIÓN EN LA ELABORACIÓN DE PRODUCTOS FARMACÉUTICOS,"DIRIGIR, PLANIFICAR Y CONTROLAR EL PROCESO DE PRODUCCIÓN DE PRODUCTOS FARMACÉUTICOS BAJO LOS LINEAMIENTOS ESTABLECIDOS POR EL SISTEMA DE CALIDAD VIGENTE DE ACUERDO A LAS NORMAS Y PARÁMETROS ESTABLECIDOS EN TEMAS DE SEGURIDAD, SALUD Y MEDIO.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS","FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACÉUTICO",
18,FABRICACIÓN DE PRODUCTOS DE PLÁSTICO,"REALIZAR LA PLANIFICACIÓN, EJECUCIÓN Y CONTROL DE LOS PROCEDIMIENTOS DE FABRICACIÓN DE PRODUCTOS DE PLÁSTICO TOMANDO EN CUENTA LAS PROPIEDADES DE LOS POLÍMEROS, LA MAQUINARIA Y HERRAMIENTA NECESARIA PARA EL PROCESO DE FABRICACIÓN DE PIEZAS DE PLÁSTICO EN CONDICIONES DE SEGURIDAD Y CUIDADO DEL MEDIO AMBIENTE.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO,
19,VIDRIERÍA,"PRODUCIR VITRALES POR MEDIO DE LA TÉCNICA DEL EMPLOMADO, DE ACUERDO A NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS,
20,GESTIÓN EN CERÁMICA,"ORGANIZAR Y GESTIONAR LA FABRICACIÓN DE PASTAS Y DE PRODUCTOS CERÁMICOS CONFORMADOS, ASÍ COMO LA GESTIÓN DE LA CALIDAD Y DE LA PROTECCIÓN MEDIOAMBIENTAL, SIGUIENDO LAS INSTRUCCIONES TÉCNICAS DADAS POR LOS RESPONSABLES DE LA PLANIFICACIÓN Y CALIDAD DE LA PRODUCCIÓN, ASEGURANDO SU EJECUCIÓN CON LA CALIDAD REQUERIDA, DENTRO DEL TIEMPO PREVISTO Y EN LAS CONDICIONES DE SEGURIDAD Y AMBIENTALES ESTABLECIDAS.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS,
21,SOLDADURA EN PROCESO GTAW SOLDADURA POR ARCO CON TUNGSTENO Y GAS,"REALIZAR TRABAJOS DE UNIÓN DE ELEMENTOS COMO LÁMINAS Y TUBOS DE ACERO AL CARBONO Y ACERO INOXIDABLE EN ESTRUCTURAS METÁLICAS LIGERAS, UTILIZANDO EL PROCESO DE SOLDADURA POR ARCO CON TUNGSTENO Y GAS (GTAW); CUMPLIENDO CON LAS EXPECTATIVAS DE CALIDAD DEL SECTOR PRODUCTIVO Y APLICANDO LAS MEDIDAS DE SEGURIDAD, HIGIENE Y PROTECCION AMBIENTAL.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
22,"OPERACIONES DE INSTALACIÓN DE CABLEADO ESTRUCTURADO, REDES DE DATOS, TELEFONÍA O VIDEO","INSTALAR EL SISTEMA DE CABLEADO ESTRUCTURADO PARA REDES DE DATOS, TELEFONÍA O VIDEO SEGÚN REQUERIMIENTOS ESTABLECIDOS CUMPLIENDO NORMATIVA NACIONAL E INTERNACIONAL VIGENTE.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),TELECOMUNICACIONES,
23,OPERACIONES EN CUBIERTA Y PARQUE DE PESCA DE BARCOS PESQUEROS,"EJECUTAR LAS OPERACIONES DE MANTENIMIENTO, MANIOBRAS, MONTAJE Y REPARACIÓN DE ARTES Y APAREJOS, ASÍ COMO DE CLASIFICACIÓN Y CONSERVACIÓN DE LAS ESPECIES CAPTURADAS Y SU ESTIBA EN LAS BODEGAS, DE ACUERDO A LAS INSTRUCCIONES DEL SUPERIOR Y NORMAS HIGIÉNICO-SANITARIAS Y DE SEGURIDAD ESTABLECIDAS.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
24,PINTURA Y CERÁMICA,"REALIZAR OBRAS ARTÍSTICAS EN CERÁMICA Y PINTURA, CON CREATIVIDAD, CRITERIO ESTÉTICO Y SOPORTE CONCEPTUAL, UTILIZANDO Y MANTENIENDO LAS INSTALACIONES Y EQUIPOS DEL TALLER EN ÓPTIMAS CONDICIONES, APLICANDO NORMAS DE SEGURIDAD PARA LA SALUD Y PROTECCIÓN DEL MEDIO AMBIENTE, ASÍ COMO ORGANIZANDO Y ADMINISTRANDO TALLERES DE ARTE Y DIFUNDIENDO LA OBRA CON FINES CULTURALES, COMERCIALES Y CON RESPONSABILIDAD SOCIAL.",ACTIVIDADES COMUNITARIAS,FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS,
25,OPERACIÓN DE MÁQUINA PARA LA FABRICACIÓN DE PRODUCTOS DE CAUCHO,"OPERAR Y CONTROLAR LOS EQUIPOS, MAQUINARIA Y MATERIALES UTILIZADOS EN LOS PROCESOS DE MEZCLADO, PREPARACIÓN DE PARTES, ENSAMBLE, VULCANIZADO Y ACABADO FINAL PARA LA OBTENCIÓN DE PRODUCTOS DE CAUCHO EN BASE A ESPECIFICACIONES TÉCNICAS, NORMAS DE CALIDAD, SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTALES.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO,
26,OPERACIONES GEODÉSICAS,"OBTENER INFORMACIÓN GEODÉSICA MEDIANTE LA OPERACIÓN DE EQUIPOS Y SOFTWARE ESPECIALIZADO, DE ACUERDO A TÉCNICAS Y PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ARQUITECTURA E INGENIERÍA; ENSAYOS Y ANÁLISIS TÉCNICOS,
27,PROMOCIÓN DEL PATRIMONIO CULTURAL,"CONTRIBUIR A LA PRESERVACIÓN, CONSERVACIÓN Y VALORACIÓN DEL PATRIMONIO CULTURAL DE ACUERDO A LA NORMATIVA VIGENTE.",ACTIVIDADES COMUNITARIAS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",
28,SEGURIDAD INFORMÁTICA CON ORIENTACIÓN AL USO DE TECNOLOGÍAS LIBRES,"ESTABLECER LA SEGURIDAD DE LOS ACCESOS Y USOS DE LA INFORMACIÓN REGISTRADA EN EQUIPOS INFORMÁTICOS, ASÍ COMO DEL PROPIO SISTEMA, PROTEGIÉNDOLO DE LAS POSIBLES INCIDENCIAS, IDENTIFICANDO VULNERABILIDADES Y APLICANDO SISTEMAS DE CIFRADO A LAS COMUNICACIONES QUE SE REALICEN HACIA EL EXTERIOR Y EN EL INTERIOR DE LA ORGANIZACIÓN.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),ACTIVIDADES DE SERVICIOS DE INFORMACIÓN,
29,SUPERVISIÓN DE SERVICIOS BANCARIOS,"REALIZAR ACTIVIDADES DE SUPERVISIÓN A LAS OPERACIONES DE SERVICIOS BANCARIOS, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA LEGAL VIGENTE.",SERVICIOS FINANCIEROS,"ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES",
30,SUPERVISIÓN EN LIMPIEZA DE UNIDADES DE SALUD,REALIZAR LA SUPERVISIÓN Y CONTROL DE LAS OPERACIONES DE LIMPIEZA DE UNIDADES DE SALUD Y MANEJO INTEGRAL DE DESECHOS SANITARIOS DE ACUERDO A PROTOCOLOS ESTABLECIDOS,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE DESECHOS,
31,SUPERVISIÓN DEL MANEJO DE CADENA DE FRIO EN POST-PRODUCCIÓN,"SUPERVISAR Y CONTROLAR LOS PROCESOS DE MANEJO DE PRODUCTOS BAJO CADENAS DE FRÍO, PARA GARANTIZAR LA CALIDAD E INOCUIDAD DE LOS ALIMENTOS, APLICANDO LAS BUENAS PRÁCTICAS DE MANUFACTURA, NORMAS DE CALIDAD, SEGURIDAD Y SALUD EN EL TRABAJO, Y MEDIO AMBIENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
32,ASISTENCIA DE CONTROL DE CALIDAD EN LA TRANSFORMACIÓN DE ALIMENTOS,EJECUTAR LAS ACTIVIDADES DE APOYO Y ASISTENCIA OPERATIVA NECESARIA PARA LA REALIZACIÓN DE LOS ENSAYOS Y ANÁLISIS QUÍMICOS Y MICROBIOLÓGICOS EN LABORATORIOS DEL SECTOR AGROALIMENTARIO.,TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
33,ELABORACIÓN DE PRODUCTOS PARA ALIMENTACIÓN ANIMAL,"REALIZAR LAS OPERACIONES DE RECEPCIÓN DE MATERIAS PRIMAS, LOS TRATAMIENTOS PREVIOS PREPARATORIOS DE LAS MISMAS, LA ELABORACIÓN Y ENVASADO DE PRODUCTOS HÚMEDOS, PRODUCTOS SECOS Y PREMEZCLAS VITAMINICOMINERALES Y MEDICAMENTOSAS CON DESTINO A LA ALIMENTACIÓN ANIMAL, EN LAS CONDICIONES ESTABLECIDAS EN EL MANUAL DE CALIDAD, APLICANDO LAS BUENAS PRÁCTICAS DE FABRICACIÓN Y DE MANIPULACIÓN, DEL SISTEMA DE ANÁLISIS DE PELIGROS Y PUNTOS CRÍTICOS DE CONTROL Y EL SISTEMA DE TRAZABILIDAD, CUMPLIENDO LA NORMATIVA TÉCNICO-SANITARIA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
34,OPERACIONES ESPECIALIZADAS EN ELABORACIÓN DE CERVEZA,"REALIZAR OPERACIONES PARA LA ELABORACIÓN DE MOSTOS, MALTAS Y CERVEZAS DE ACUERDO A NORMAS DE CALIDAD, HIGIENE Y SEGURIDAD EN EL TRABAJO E INOCUIDAD ALIMENTARIA.",PRODUCCIÓN INDUSTRIAL DE BEBIDAS Y TABACOS,ELABORACIÓN DE BEBIDAS,
35,ELABORACIÓN DE REFRESCOS Y AGUAS DE BEBIDA ENVASADAS,"REALIZAR LAS OPERACIONES DE RECEPCIÓN, ALMACENAMIENTO DE MATERIAS PRIMAS, ELABORACIÓN Y EMBOTELLADO DE REFRESCOS Y DE AGUAS DE BEBIDAS ENVASADAS, ASÍ COMO LA APLICACIÓN DE LOS TRATAMIENTOS POSTERIORES DE CONSERVACIÓN, EN LAS CONDICIONES ESTABLECIDAS EN LOS MANUALES DE PROCEDIMIENTO Y CALIDAD.",PRODUCCIÓN INDUSTRIAL DE BEBIDAS Y TABACOS,ELABORACIÓN DE BEBIDAS,
36,HILATURA MANUAL,"PRODUCIR HILOS TINTURADOS CON COLORES NATURALES, MANTENIENDO NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL. GESTIONAR UN TALLER O MICROEMPRESA Y COMERCIALIZAR LOS PRODUCTOS.",ARTESANÍAS,FABRICACIÓN DE PRODUCTOS TEXTILES,
37,TEJEDURÍA DE ALFOMBRAS,"PRODUCIR ALFOMBRAS DESARROLLANDO LAS TÉCNICAS ANCESTRALES, CONSIDERANDO LAS NORMAS DE SEGURIDAD Y SALUD OCUPACIONAL; LA PROTECCIÓN AMBIENTAL Y AUTENTICIDAD CULTURAL.",ARTESANÍAS,FABRICACIÓN DE PRODUCTOS TEXTILES,
38,"ELABORACIÓN DE PROCESOS TÉCNICOS PARA LA PRODUCCIÓN DE HILATURAS, TEJEDURÍAS Y PIELES","EJECUTAR LOS TRABAJOS TÉCNICOS COMPLEMENTARIOS DE PRODUCCIÓN DE HILATURAS, TEJEDURÍAS Y PIELES MEDIANTE LA APLICACIÓN DE CONOCIMIENTOS, LA OPERACIÓN DE MAQUINARIA Y EL CUMPLIMIENTO DE NORMAS DE SALUD Y SEGURIDAD OCUPACIONAL","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES,
39,"SUPERVISIÓN DE PRODUCCIÓN Y DISEÑO DE CONFECCIONADOS A PARTIR DE HILATURAS, TEJEDURÍAS Y PIELES","PRODUCIR ARTÍCULOS CONFECCIONADOS DE HILATURAS, TEJEDURÍAS Y PIELES CURTIDAS ASEGURANDO LA CALIDAD EN LOS PRODUCTOS SIGUIENDO NORMAS ESTABLECIDAS EN LAS GUÍAS DE CONTROL.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES,
40,"VERIFICACIÓN Y ASESORÍA DE CALIDAD EN LA PRODUCCIÓN DE CONFECCIONADOS DE HILATURAS, TEJEDURÍAS Y PIELES",CONTROLAR LA CALIDAD EN LAS ETAPAS PRODUCTIVAS AL IGUAL QUE ASESORAR EN LA COMPRA DE INSUMOS Y PRODUCTOS INTERMEDIOS EXTERNOS A LA EMPRESA CUIDANDO LA CALIDAD Y SIGUIENDO LOS LINEAMIENTOS EMITIDOS POR EL DEPARTAMENTO DE CALIDAD Y PRODUCCIÓN.,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES,
41,GESTIÓN TEXTIL,"COLABORAR EN EL DESARROLLO DE TEXTILES TÉCNICOS MEDIANTE LA APLICACIÓN DE LA INNOVACIÓN TECNOLÓGICA, LOGRANDO PRODUCTOS QUE CUMPLAN PRESTACIONES APTAS PARA SU COMERCIALIZACIÓN, VERIFICANDO LAS CARACTERÍSTICAS TÉCNICAS Y EL CUMPLIMIENTO DE LAS NORMATIVAS MEDIANTE ANÁLISIS Y ENSAYOS TÉCNICOS Y ADAPTANDO LOS PROCESOS DE FABRICACIÓN PARA ASEGURAR LA CALIDAD PREVISTA, ASÍ COMO LA PRESERVACIÓN DE LOS RIESGOS PERSONALES Y AMBIENTALES.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRENDAS DE VESTIR,
42,OPERACIONES ESPECIALIZADAS EN PROCESOS DE TINTURA Y ENGRASE DE PIELES,"REALIZAR LAS TINTURAS Y ENGRASES DE LAS PIELES, CON AUTONOMÍA Y RESPONSABILIDAD, APLICANDO LAS TÉCNICAS Y PROCEDIMIENTOS NECESARIOS PARA CONSEGUIR LA PRODUCCIÓN CON LA CALIDAD REQUERIDA EN LOS PLAZOS PREVISTOS, CON SOSTENIBILIDAD MEDIOAMBIENTAL, Y EN LAS CONDICIONES DE SEGURIDAD ESTABLECIDAS EN EL PLAN DE PREVENCIÓN DE RIESGOS LABORALES.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRENDAS DE VESTIR,
43,EVALUACIÓN DE LA CALIDAD Y EXCELENCIA EN LA GESTIÓN PÚBLICA,"DETERMINAR EL NIVEL DE MADUREZ DE LA GESTIÓN PÚBLICA, IDENTIFICANDO PUNTOS FUERTES Y ÁREAS DE MEJORA ACORDE A LOS CRITERIOS DEL MODELO ECUATORIANO DE CALIDAD Y EXCELENCIA Y SU NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,
44,OPERACIONES DE CORTE DE PIELES Y CUEROS,"REALIZAR EL CORTE DE PIELES Y CUEROS, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS POR LA EMPRESA Y CUMPLIENDO CON LAS NORMATIVAS DE SEGURIDAD, SALUD EN EL TRABAJO Y MEDIO AMBIENTE.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,
45,OPERACIONES DE TALABARTERÍA,"ELABORAR Y REPARAR DIFERENTES ARTÍCULOS DE CUERO (GUARNICIONES Y MATERIALES PARA CABALLERÍA), APLICANDO LAS TÉCNICAS Y PROCEDIMIENTOS ESPECÍFICOS, DE FORMA AUTÓNOMA O BAJO LA SUPERVISIÓN DE UN RESPONSABLE DE SER EL CASO-, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS, TOMANDO EN CUENTA MANUALES Y NORMATIVAS APLICABLES","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,
