,Perfil,Competenecia Laboral,Familia,Sector,Descargar Perfil
16,OPERACIONES AUXILIARES EN ESTABILIDAD Y SOSTENIMIENTO SUBTERRÁNEO,"REALIZAR EL SOSTENIMIENTO O ENTIBADO CON BASE EN PROCEDIMIENTOS TÉCNICOS PARA DAR ESTABILIDAD A LAS ACTIVIDADES MINERAS SUBTERRÁNEAS, CUANDO EL MACIZO ROCOSO NO ES AUTO SOPORTABLE Y CUMPLIENDO CON LA NORMATIVA VIGENTE.","MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS,
17,ASISTENCIA A LAS ACTIVIDADES DE MANTENIMIENTO DE AERONAVES,"ASISTIR EN EL MANTENIMIENTO Y SERVICIOS EN LA AERONAVE, DE ACUERDO A ESPECIFICACIONES TÉCNICAS Y NORMATIVA LEGAL VIGENTE BAJO SUPERVISIÓN DEL JEFE DE MANTENIMIENTO.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
18,ACTIVIDADES DE APOYO PARA LA PROMOCIÓN EN RECREACIÓN Y DEPORTES,"PARTICIPAR EN LAPROMOCIÓN DE ACTIVIDADES FÍSICAS,RECREATIVAS Y DEPORTIVAS FORMATIVAS-RECREATIVAS,ASÍ COMO EN PROCESOS DE ORGANIZACIÓN DE ENCUENTROS RECREATIVOS Y DEPORTIVOS DESTINADOS A INDIVIDUOS, GRUPOS Y ENTIDADES PÚBLICAS Y PRIVADAS, PARA EL MEJORAMIENTO DE LA CALIDAD DE VIDA Y EL BIENESTAR DE LA POBLACIÓN.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DEPORTIVAS, DE ESPARCIMIENTO Y RECREATIVAS",
19,COSMIATRÍA,REALIZAR PROCEDIMIENTOS COSMIÁTRICOS FACIALES Y CORPORALES CON BASE EN LA DERIVACIÓN MÉDICA O AL DIAGNÓSTICO MÉDICO REALIZADO.,ACTIVIDADES COMUNITARIAS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,
20,FACILITACIÓN DE PROCESOS DE EDUCACIÓN AMBIENTAL,FACILITAR LOS PROCESOS DE EDUCACIÓN AMBIENTAL CONSIDERANDO EL CONTEXTO SOCIO-AMBIENTAL DE LA ZONA DE INTERVENCIÓN.,ACTIVIDADES DE ENSEÑANZA,ENSEÑANZA,
21,MANTENIMIENTO DE MECÁNICA DE AVIACIÓN,"REPARAR ESTRUCTURAS, SISTEMAS ELÉCTRICOS, MOTORES DE AERONAVES DE ACUERDO A LOS MANUALES DE LOS FABRICANTES CUMPLIENDO LAS NORMAS DE SEGURIDAD Y SALUD OCUPACIONAL.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
22,OPERACIONES AUXILIARES DE TRANSPORTE DE MATERIALES PELIGROSOS PARA ACTIVIDADES MINERAS,EJECUTAR ACTIVIDADES AUXILIARES DE TRANSPORTE DE MATERIALES PELIGROSOS UTILIZADOS EN LA INDUSTRIA MINERA.,"MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS,
23,OPERACIONES DE MOLIENDA,"REALIZAR LA RECEPCIÓN, LIMPIEZA, SECADO Y ALMACENAMIENTO DE MATERIA PRIMA PARA LA APLICACIÓN DE OPERACIONES DE MOLIENDA, MEDIANTE LA MANIPULACIÓN DE HERRAMIENTAS, MAQUINARIA Y EQUIPOS, DE ACUERDO A LA NORMATIVA DE CALIDAD, SEGURIDAD, SALUD Y MEDIO AMBIENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
24,SISTEMAS DE RASTREO VEHICULAR,"DETERMINAR LA POSICIÓN DE UN VEHÍCULO, ASÍ COMO SU VELOCIDAD, DIRECCIÓN ENTRE OTROS, MEDIANTE TECNOLOGÍAS DE COMUNICACIONES COMO LA SATELITAL, CELULAR O RADIO, UTILIZANDO UN MÓDEM DE TRANSMISIÓN UBICADO EN EL VEHÍCULO.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),TELECOMUNICACIONES,
25,ASESORÍA DE IMAGEN,"BRINDAR EL ASESORAMIENTO Y AYUDA A UNA PERSONA (O GRUPO DE PERSONAS) A POTENCIALIZAR SU IMAGEN, SEGÚN PROCEDIMIENTOS ESTABLECIDOS, DE ACUERDO AL ESTUDIO DE LAS CARACTERÍSTICAS PROPIAS DE CADA INDIVIDUO.",ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,
26,ASISTENCIA EN BIOLOGÍA ACUÍCOLA,"EJECUTAR  ACTIVIDADES DE APOYO EN  LA  PRODUCCIÓN Y PROCESAMIENTO DE ESPECIES ACUÍCOLAS  CUMPLIENDO LAS NORMA DE CALIDAD, SEGURIDAD  Y SALUD OCUPACIONAL Y MEDIO AMBIENTE VIGENTE. ","PESCA, ACUACULTURA Y MARICULTURA",PESCA Y ACUICULTURA,
27,ASISTENCIA EN PERFORACIÓN EN EXPLORACIÓN MINERA,"ASISTIR EN EL PROCESO DE PERFORACIÓN CON TALADROS DE PERFORACIÓN EN LABORES DE EXPLORACIÓN MINERA, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
28,"CONDUCCIÓN DE VEHÍCULOS DE 4 RUEDAS O MAS, CON CAPACIDAD DE 26 ASIENTOS EN ADELANTE, DISEÑADOS PARA EL TRANSPORTE DE PASAJEROS","REALIZAR LA CONDUCCIÓN DE VEHÍCULOS DE 4 RUEDAS O MÁS DISEÑADOS PARA EL TRANSPORTE DE PASAJEROS, CON UNA CAPACIDAD DE MÁS DE 26 ASIENTOS TOMANDO EN CONSIDERACIÓN LA NORMATIVA DE TRÁNSITO VIGENTE Y ESPECIFICACIONES TÉCNICAS DEL FABRICANTE.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
29,CONDUCCIÓN DE VEHÍCULOS LIVIANOS DE SEGURIDAD Y EMERGENCIA,CONDUCIR VEHÍCULOS LIVIANOS DE SEGURIDAD Y EMERGENCIA; TOMANDO EN CONSIDERACIÓN LA NORMATIVA DE TRÁNSITO VIGENTE Y ESPECIFICACIONES TÉCNICAS ESTABLECIDAS.,"TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
30,OPERACIONES AUXILIARES DE MANTENIMIENTO DE EQUIPOS ELÉCTRICOS Y ELECTRÓNICOS DEL BUQUE,"REALIZAR OPERACIONES AUXILIARES EN EL MANTENIMIENTO ELÉCTRICO Y ELECTRÓNICO DE EQUIPOS Y REDES DE FUERZA DE LOS BUQUES, UTILIZANDO LA INFORMACIÓN CORRESPONDIENTE COMO LOS PROCEDIMIENTOS Y LAS TÉCNICAS REQUERIDAS DE ACUERDO A LAS NORMAS DE PREVENCIÓN DE RIESGOS LABORALES.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
31,IMPRESIONES EN ARTES GRÁFICAS DE DOCUMENTOS DE SEGURIDAD,"IMPRIMIR DOCUMENTOS DE SEGURIDAD CON ARTES GRÁFICAS, SEGÚN ORDEN DE PRODUCCIÓN, ESTÁNDARES DE CALIDAD Y NORMATIVA LEGAL VIGENTE.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES,
32,OPERACIONES AUXILIARES DE REFINACIÓN DE MINERALES METÁLICOS,ASISTIR EN LA OPERACIÓN PARA LA REFINACIÓN DE MINERALES METÁLICOS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA VIGENTE,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
33,OPERACIONES DE BÁSCULA,REALIZAR OPERACIONES DE PESADO CON BÁSCULA DE CARGA PESADA DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA VIGENTE.,"TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
34,OPERACIONES DE CARGA AL GRANEL,"REALIZAR TRANSFERENCIA DE CARGA A GRANEL SÓLIDO CON EQUIPO DE CARGA/DESCARGA SEGÚN PROCEDIMIENTOS DE OPERACIÓN DE EQUIPOS, SEGURIDAD Y SALUD OCUPACIONAL.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
35,OPERACIONES DE POST IMPRESIÓN EN ARTES GRÁFICAS DE DOCUMENTOS DE SEGURIDAD,"REALIZAR LAS OPERACIONES DE POST IMPRESIÓN EN ARTES GRÁFICAS DE DOCUMENTOS DE SEGURIDAD, SEGÚN LA ORDEN DE PRODUCCIÓN, ESTÁNDARES DE CALIDAD Y NORMATIVA LEGAL VIGENTE.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES,
36,OPERACIONES DE VENTILACIÓN EN MINERÍA SUBTERRÁNEA,"EJECUTAR LOS PROCESOS DE VENTILACIÓN PRIMARIA Y SECUNDARIA EN MINERÍA SUBTERRÁNEA, A TRAVÉS DE LA PLANIFICACIÓN DE ACTIVIDADES INHERENTES, CUMPLIENDO PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA VIGENTE.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
37,PRODUCCIÓN AGROECOLÓGICA,"PRODUCIR ALIMENTOS AGROECOLÓGICOS   EN  SISTEMAS  AUTÓNOMOS  TOMANDO EN CONSIDERACIÓN LA CONSERVACIÓN  DEL MEDIO AMBIENTE, LA FAMILIA, AGROFORESTERIA, MANEJO ECOLÓGICO DEL SUELO, CULTIVOS, CRIANZAS, HUMEDAD, SISTEMAS PARTICIPATIVOS DE GARANTÍA Y COMERCIALIZACIÓN,    Y DIMENSIONES DEL ENFOQUE AGROECOLÓGICO ESTABLECIDAS.",AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",
38,ASISTENCIA DE AUDITORÍA,"REALIZAR LA REVISIÓN, EVALUACIÓN Y CONTROL DE LOS PROCESOS FINANCIEROS, CONTABLES, OPERATIVOS O TÉCNICOS DE LA ORGANIZACIÓN Y/O INSTITUCIÓN DE ACUERDO A LA NORMATIVA VIGENTE.",SERVICIOS FINANCIEROS,ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,
39,SUPERVISIÓN A LA GESTIÓN DE LA CALIDAD DEL AGUA PARA CONSUMO HUMANO,"SUPERVISAR LOS SISTEMAS DE ABASTECIMIENTO DE AGUA PARA CONSUMO HUMANO, DE ACUERDO NORMATIVA LEGAL VIGENTE.","ELECTRICIDAD, GAS Y AGUA","CAPTACIÓN, TRATAMIENTO Y DISTRIBUCIÓN DE AGUA",
40,SUPERVISIÓN DE PRODUCCIÓN EN MINERÍA SUBTERRÁNEA,EJECUTAR ACTIVIDADES AUXILIARES DE TRANSPORTE DE MATERIALES PELIGROSOS UTILIZADOS EN LA INDUSTRIA MINERA DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
41,SUPERVISIÓN PORTUARIA,"SUPERVISAR OPERACIONES PORTUARIAS EN LOS RECINTOS PORTUARIOS Y NAVES, SEGÚN PROCEDIMIENTOS DE TRANSFERENCIA DE CARGA, SEGURIDAD Y SALUD OCUPACIONAL Y NORMATIVA LEGAL VIGENTE.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
42,VIGILANCIA DE LA CALIDAD DEL AGUA PARA CONSUMO HUMANO,"VIGILAR LA CALIDAD DEL AGUA PARA CONSUMO HUMANO, DE ACUERDO A LA NORMATIVA LEGAL VIGENTE.","ELECTRICIDAD, GAS Y AGUA","CAPTACIÓN, TRATAMIENTO Y DISTRIBUCIÓN DE AGUA",
43,ORGANIZACIÓN Y GESTIÓN DE LA SECRETARIA,ADMINISTRAR LA INFORMACIÓN FÍSICA Y DIGITAL DE OFICINA DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA Y OTRAS ACTIVIDADES DE APOYO A LAS EMPRESAS,
44,SUPERVISIÓN DE ALMACENAMIENTO,"ORGANIZAR Y CONTROLAR LA RECEPCIÓN, ALMACENAMIENTO Y DESPACHO DE MERCADERÍAS ADMINISTRANDO DE MANERA EFICIENTE LOS EQUIPOS Y MAQUINARIAS DISPONIBLES EN BASE A LOS REQUISITOS, NORMAS Y PROCEDIMIENTOS ESTABLECIDOS PARA EL EFECTO","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
45,ASISTENCIA DE CONTABILIDAD,"ASISTIR EN EL REGISTRO Y CÁLCULO DE LA INFORMACIÓN FINANCIERA CONTABLE EN EMPRESAS E INSTITUCIONES PÚBLICAS, PRIVADAS, CON SUJECIÓN A LAS LEYES, NORMAS, PRINCIPIOS Y PROCEDIMIENTOS CONTABLES, LABORALES, TRIBUTARIOS Y MERCANTILES, DE ACUERDO AL AVANCE TECNOLÓGICO, CON EFICACIA, EFICIENCIA, ECONOMÍA Y ÉTICA PROFESIONAL.",SERVICIOS FINANCIEROS,ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,
46,TÉCNICAS PARA LABORATORIO CLÍNICO,"GESTIONAR EL TRABAJO EN EL LABORATORIO CLÍNICO, APLICANDO METODOLOGÍAS Y TÉCNICAS PRE-ANALÍTICAS, ANALÍTICAS Y POST ANALÍTICAS PARA LOS ANÁLISIS CLÍNICOS DE MUESTRAS BIOLÓGICAS HUMANAS, CUMPLIENDO PARÁMETROS DE CALIDAD Y BIOSEGURIDAD.",ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,
47,DESTALLADO DE CALZADO,"DESTALLAR PIEZAS DE CALZADO CORTADAS, REBAJANDO AL CALIBRE DESEADO, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,
48,IMPRESIÓN 3D,"REALIZAR EL PROCESO GRÁFICO DE LA IMPRESIÓN 3 D POR MEDIO DE LAS TECNOLOGÍAS DIGITALES, PREPARANDO Y AJUSTANDO LOS ELEMENTOS DEL PROCESO, LAS MATERIAS PRIMAS NECESARIAS Y LOS EQUIPOS QUE INTERVIENEN EN EL MISMO, EN CONDICIONES DE SEGURIDAD, CALIDAD Y PRODUCTIVIDAD ESTABLECIDAS.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES,
49,OPERACIONES AUXILIARES DE ELABORACIÓN EN LA INDUSTRIA ALIMENTARIA,"REALIZAR LAS OPERACIONES DE APOYO EN LOS PROCESOS PRODUCTIVOS DE: RECEPCIÓN Y PREPARACIÓN DE MATERIAS PRIMAS Y PRODUCTOS AUXILIARES, ELABORACIÓN Y CONSERVACIÓN DE PRODUCTOS ALIMENTARIOS, ENVASADO Y EMPAQUETADO, ASÍ COMO MANEJO DE CARRETILLAS Y DISPOSITIVOS DE TRANSPORTE INTERNO, CUMPLIENDO LA NORMATIVA APLICABLE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
50,SUPERVISIÓN DE RECEPCIÓN Y ALMACENAJE PARA LA TRANSFORMACIÓN DE ALIMENTOS,"SUPERVISAR LA RECEPCIÓN Y EL ALMACENAMIENTO DE LAS MATERIAS PRIMAS, INSUMOS Y PRODUCTOS TERMINADOS DE ACUERDO A NORMAS VIGENTES.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
51,ACTIVIDADES TERAPÉUTICAS FLORALES,REALIZAR ACTIVIDADES TERAPÉUTICAS ALTERNATIVAS FLORALES DE ACUERDO A REQUERIMIENTOS DEL USUARIO SIGUIENDO PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,
52,TRADUCCIÓN E INTERPRETACIÓN DE IDIOMAS,"REALIZAR LA TRADUCCIÓN DE UN MENSAJE ESCRITO O VERBAL DE UN IDIOMA ORIGEN A UN IDIOMA DESTINO DE ACUERDO A PROCESOS, NORMAS Y/O TÉCNICAS.",ACTIVIDADES TIPO SERVICIOS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",
53,TÉCNICAS EN DJ Y PRODUCCIÓN MUSICAL,REALIZAR SESIONES MUSICALES UTILIZANDO TÉCNICAS DE ANIMACIÓN MUSICAL Y VISUAL EN VIVO Y EN DIRECTO APLICANDO LA NORMATIVA DE PREVENCIÓN DE RIESGOS LABORALES Y AMBIENTALES,ACTIVIDADES COMUNITARIAS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",
54,DIRECCIÓN DE OBRAS AUDIOVISUALES Y CINEMATOGRÁFICAS,"DIRIGIR LA PRE-PRODUCCIÓN, PRODUCCIÓN Y POST-PRODUCCIÓN DE OBRAS AUDIOVISUALES Y CINEMATOGRÁFICAS CON BASE A LOS REQUERIMIENTOS DE PRODUCCIÓN.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",
55,GESTIÓN BIBLIOTECARIA,"ATENDER AL USUARIO DE UNA BIBLIOTECA REALIZANDO TAREAS DE INFORMACIÓN Y FORMACIÓN, PRÉSTAMO Y MANTENIMIENTO Y CONSERVACIÓN DE LOS FONDOS DE LA COLECCIÓN Y DESARROLLANDO ACTIVIDADES DE EXTENSIÓN CULTURAL Y BIBLIOTECARIA, TENIENDO EN CUENTA CRITERIOS DE CALIDAD.",ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES",
56,MEDIACIÓN CULTURAL,"MEDIAR EL DIÁLOGO Y PROPICIAR LA REFLEXIÓN CRÍTICA CON LA COMUNIDAD EN TORNO A CUALQUIER MANIFESTACIÓN O PRÁCTICA CULTURAL MATERIAL E INMATERIAL MEDIANTE EL DISEÑO, IMPLEMENTACIÓN Y EVALUACIÓN DE PROCESOS EDUCATIVOS Y/O PARTICIPATIVOS DE ACUERDO A LOS PRINCIPIOS DE LOS DERECHOS CULTURALES.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES",
