"Marca temporal","En que área te especializas","1.  Visibilidad del estado del sistema [Escala]","2. Coincidencia entre el sistema y el mundo real [Escala]","3. Control y libertad del usuario [Escala]","4. Coherencia y estándares [Escala]","5. Prevención de errores [Escala]","6. Reconocimiento en lugar de recuerdo [Escala]","7. Flexibilidad y eficiencia de uso [Escala]","8. Diseño estético y minimalista [Escala]","9. Ayudar a los usuarios a reconocer, diagnosticar y recuperarse de errores [Escala]","10. Ayuda y documentación [Escala]","1. Creo que usaría esta  aplicación frecuentemente","2. Encuentro esta aplicación innecesariamente complejo","3. Creo que la aplicación fue fácil de usar","4. Creo que necesitaría ayuda de una persona con conocimientos técnicos para usar esta   aplicación ","5. Encontré todas las funciones de la  aplicación bien integradas.","6. Esta  aplicación contiene muchas inconsistencias en su contenido y funcionalidad ","7. Imagino que la mayoría de la gente aprendería a usar esta aplicación en forma muy rápida","8. Encuentro que la aplicación es muy difícil de usar","9. Sentí confianza usando la aplicación ","10. Necesito aprender muchas cosas antes de usar esta  aplicación","","","","","","","","",""
"2023/02/20 11:27:01 a. m. GMT-5","Ciencia o Ingeniería de Datos","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","5","1","5","5","5","5","5","5","5","2","","","","","","","","",""
"2023/02/20 11:31:50 a. m. GMT-5","Estadística","1. bueno","1. bueno","0. muy bueno","1. bueno","1. bueno","0. muy bueno","1. bueno","0. muy bueno","0. muy bueno","1. bueno","4","2","4","2","4","2","5","1","4","3","","","","","","","","",""
"2023/02/20 11:33:56 a. m. GMT-5","Educación","1. bueno","0. muy bueno","1. bueno","1. bueno","1. bueno","1. bueno","1. bueno","1. bueno","1. bueno","1. bueno","4","3","4","5","4","4","4","4","4","4","","","","","","","","",""
"2023/02/20 11:34:54 a. m. GMT-5","Educación","2. regular","3. malo","1. bueno","3. malo","4. muy malo","2. regular","2. regular","N/A","2. regular","N/A","3","4","4","4","3","3","3","2","4","3","","","","","","","","",""
"2023/02/20 11:36:27 a. m. GMT-5","Desarrollo de Software","1. bueno","0. muy bueno","2. regular","0. muy bueno","1. bueno","2. regular","2. regular","1. bueno","2. regular","2. regular","4","3","3","3","3","1","3","2","3","4","","","","","","","","",""
"2023/02/20 11:39:18 a. m. GMT-5","Estudiante ","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","4","1","4","3","4","1","5","1","4","4","","","","","","","","",""
"2023/02/20 11:43:42 a. m. GMT-5","Desarrollo Web","1. bueno","1. bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","1. bueno","0. muy bueno","0. muy bueno","0. muy bueno","4","2","5","1","4","1","3","1","5","1","","","","","","","","",""
"2023/02/20 12:19:24 p. m. GMT-5","Marketing","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","1. bueno","0. muy bueno","1. bueno","0. muy bueno","0. muy bueno","5","1","5","5","5","1","3","1","5","1","","","","","","","","",""
"2023/02/20 12:32:35 p. m. GMT-5","Estadística","2. regular","1. bueno","2. regular","1. bueno","2. regular","1. bueno","2. regular","2. regular","2. regular","1. bueno","3","3","3","3","2","3","3","4","3","4","","","","","","","","",""
"2023/02/20 1:01:20 p. m. GMT-5","Marketing","0. muy bueno","1. bueno","1. bueno","1. bueno","0. muy bueno","1. bueno","0. muy bueno","1. bueno","1. bueno","0. muy bueno","5","2","4","2","5","1","4","4","5","2","","","","","","","","",""
"2023/02/20 1:12:47 p. m. GMT-5","Desarrollo de Software","1. bueno","1. bueno","0. muy bueno","0. muy bueno","0. muy bueno","1. bueno","1. bueno","1. bueno","1. bueno","0. muy bueno","3","2","4","4","4","1","4","2","5","2","","","","","","","","",""
"2023/02/20 1:13:01 p. m. GMT-5","Ciencia o Ingeniería de Datos","1. bueno","1. bueno","1. bueno","1. bueno","1. bueno","1. bueno","1. bueno","1. bueno","1. bueno","1. bueno","5","2","5","4","5","4","5","1","5","4","","","","","","","","",""
"2023/02/20 1:52:30 p. m. GMT-5","Desarrollo de Software","0. muy bueno","0. muy bueno","1. bueno","1. bueno","1. bueno","1. bueno","1. bueno","0. muy bueno","1. bueno","1. bueno","4","2","4","2","4","2","4","2","4","2","","","","","","","","",""
"2023/02/20 2:08:26 p. m. GMT-5","Estadística","0. muy bueno","1. bueno","1. bueno","0. muy bueno","0. muy bueno","0. muy bueno","1. bueno","0. muy bueno","1. bueno","0. muy bueno","4","2","4","2","3","1","4","3","5","4","","","","","","","","",""
"2023/02/20 3:13:17 p. m. GMT-5","Ciencia o Ingeniería de Datos","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","1. bueno","5","1","5","5","5","1","5","1","5","3","","","","","","","","",""
"2023/02/20 3:25:19 p. m. GMT-5","Estadística","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","1. bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","1. bueno","5","1","5","2","5","1","5","1","5","2","","","","","","","","",""
"2023/02/20 4:19:15 p. m. GMT-5","DevOps","1. bueno","1. bueno","0. muy bueno","1. bueno","0. muy bueno","1. bueno","2. regular","0. muy bueno","N/A","1. bueno","4","2","4","3","5","1","3","1","4","3","","","","","","","","",""
"2023/02/20 4:26:33 p. m. GMT-5","Estadística","1. bueno","1. bueno","1. bueno","0. muy bueno","0. muy bueno","1. bueno","1. bueno","1. bueno","0. muy bueno","2. regular","4","3","4","2","3","1","4","4","4","3","","","","","","","","",""
"2023/02/20 4:30:26 p. m. GMT-5","Desarrollo Web","0. muy bueno","1. bueno","0. muy bueno","1. bueno","1. bueno","1. bueno","0. muy bueno","1. bueno","1. bueno","0. muy bueno","5","2","4","1","5","1","4","1","5","1","","","","","","","","",""
"2023/02/20 6:50:48 p. m. GMT-5","Desarrollo de Software","0. muy bueno","1. bueno","0. muy bueno","0. muy bueno","0. muy bueno","1. bueno","0. muy bueno","1. bueno","0. muy bueno","0. muy bueno","4","4","5","1","5","5","5","1","5","2","","","","","","","","",""
"2023/02/20 9:52:35 p. m. GMT-5","Ciencia o Ingeniería de Datos","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","5","5","5","5","4","4","4","4","4","4","","","","","","","","",""
"2023/02/20 10:37:31 p. m. GMT-5","Marketing","0. muy bueno","1. bueno","1. bueno","0. muy bueno","1. bueno","0. muy bueno","1. bueno","0. muy bueno","1. bueno","1. bueno","4","5","5","2","5","4","1","1","5","1","","","","","","","","",""
"2023/02/20 11:10:54 p. m. GMT-5","Mecanica","0. muy bueno","0. muy bueno","2. regular","0. muy bueno","2. regular","0. muy bueno","2. regular","0. muy bueno","1. bueno","0. muy bueno","5","2","5","4","5","3","4","2","5","2","","","","","","","","",""
"2023/02/21 2:11:05 a. m. GMT-5","Desarrollo de Software","0. muy bueno","1. bueno","0. muy bueno","0. muy bueno","2. regular","0. muy bueno","1. bueno","1. bueno","2. regular","0. muy bueno","5","1","5","3","5","1","5","1","5","2","","","","","","","","",""
"2023/02/21 7:41:08 a. m. GMT-5","Desarrollo de Software","1. bueno","1. bueno","1. bueno","1. bueno","1. bueno","1. bueno","1. bueno","1. bueno","1. bueno","1. bueno","4","4","4","4","4","4","4","3","5","2","","","","","","","","",""
"2023/02/21 9:07:34 a. m. GMT-5","Ciencia o Ingeniería de Datos","0. muy bueno","1. bueno","1. bueno","0. muy bueno","1. bueno","0. muy bueno","0. muy bueno","1. bueno","1. bueno","0. muy bueno","5","1","4","1","4","1","5","1","5","1","","","","","","","","",""
"2023/02/21 10:16:44 a. m. GMT-5","Desarrollo Web","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","5","2","5","2","4","1","5","2","5","2","","","","","","","","",""
"2023/02/21 10:56:30 a. m. GMT-5","Educación","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","4","3","3","4","3","5","5","5","4","3","","","","","","","","",""
"2023/02/21 11:06:10 a. m. GMT-5","Desarrollo de Software","0. muy bueno","1. bueno","2. regular","1. bueno","0. muy bueno","0. muy bueno","1. bueno","1. bueno","0. muy bueno","0. muy bueno","4","2","5","2","4","1","5","1","4","2","","","","","","","","",""
"2023/02/21 12:02:31 p. m. GMT-5","Educación","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","N/A","N/A","2. regular","1. bueno","1. bueno","0. muy bueno","5","1","4","1","5","1","4","1","5","1","","","","","","","","",""
"2023/02/21 5:08:31 p. m. GMT-5","Ciencias de la Computación ","0. muy bueno","0. muy bueno","N/A","0. muy bueno","N/A","1. bueno","2. regular","0. muy bueno","N/A","2. regular","5","4","4","4","5","1","3","4","4","3","","","","","","","","",""
"2023/02/21 7:48:21 p. m. GMT-5","Ciencia o Ingeniería de Datos","0. muy bueno","0. muy bueno","1. bueno","0. muy bueno","0. muy bueno","0. muy bueno","1. bueno","0. muy bueno","0. muy bueno","0. muy bueno","5","2","5","3","5","1","3","1","5","3","","","","","","","","",""
"2023/02/23 6:35:17 a. m. GMT-5","Educación","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","0. muy bueno","5","2","5","4","5","2","4","4","4","4","","","","","","","","",""
