"canton","provincia","id_fact_oc_rs","id_razon_social","id_fecha","volumen_porcentaje_asistencia","dia","volumen_ganancias","fecha","razon_social","estado","tipo_razon_social","fecha_resolucion","volumen_cap_cer","volumen_horas","total_cursos","mes","anio","prediction(volumen_ganancias)"
"quito","pichincha",11.0,1147.0,6.0,0.0,31.0,133722.36444444442,"31-12-2021","instituto superior tecnológico libertad","calificado","operador de capacitación","19-10-2021",523.0,15136.0,12.0,12.0,2021.0,133722.36444444442
"quito","pichincha",11.0,1147.0,6.0,0.0,1.0,133722.36444444442,"01-02-2019","instituto superior tecnológico libertad","calificado","operador de capacitación","19-10-2021",523.0,15136.0,12.0,2.0,2019.0,133722.36444444442
"cayambe","pichincha",14.0,1163.0,6.0,0.0,31.0,108376.8,"31-12-2021","instituto superior tecnológico nelsón torres","calificado","operador de capacitación","15-12-2021",242.0,9680.0,6.0,12.0,2021.0,108376.8
"cayambe","pichincha",14.0,1163.0,6.0,0.0,1.0,108376.8,"01-02-2019","instituto superior tecnológico nelsón torres","calificado","operador de capacitación","15-12-2021",242.0,9680.0,6.0,2.0,2019.0,108376.8
"guayaquil","guayas",15.0,12.0,6.0,0.0,31.0,145410.5,"31-12-2021","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","calificado","operador de capacitación","6/10/2021",493.0,19670.0,3.0,12.0,2021.0,145410.5
"guayaquil","guayas",15.0,12.0,6.0,0.0,1.0,145410.5,"01-02-2019","academia sudamericana de formacion en seguridad integral asfis cia.ltda.","calificado","operador de capacitación","6/10/2021",493.0,19670.0,3.0,2.0,2019.0,145410.5
"guayaquil","guayas",18.0,1208.0,6.0,0.268445456764012,31.0,9217.5,"31-12-2021","instituto tecnologico superior almirante illingworth","calificado","operador de capacitación","7/10/2021",33.0,990.0,2.0,12.0,2021.0,9217.5
"guayaquil","guayas",18.0,1208.0,6.0,0.268445456764012,1.0,9217.5,"01-02-2019","instituto tecnologico superior almirante illingworth","calificado","operador de capacitación","7/10/2021",33.0,990.0,2.0,2.0,2019.0,9217.5
"guayaquil","guayas",16.0,1208.0,3.0,0.8704140567802815,31.0,30952.2,"31-12-2018","instituto tecnologico superior almirante illingworth","calificado","operador de capacitación","7/10/2021",107.0,3210.0,4.0,12.0,2018.0,30952.2
"guayaquil","guayas",16.0,1208.0,3.0,0.8704140567802815,1.0,30952.2,"01-01-2022","instituto tecnologico superior almirante illingworth","calificado","operador de capacitación","7/10/2021",107.0,3210.0,4.0,1.0,2022.0,30952.2
"guayaquil","guayas",17.0,1208.0,4.0,1.1632636459773855,31.0,42772.5,"31-12-2019","instituto tecnologico superior almirante illingworth","calificado","operador de capacitación","7/10/2021",143.0,4290.0,6.0,12.0,2019.0,42772.5
"guayaquil","guayas",17.0,1208.0,4.0,1.1632636459773855,1.0,42772.5,"01-02-2017","instituto tecnologico superior almirante illingworth","calificado","operador de capacitación","7/10/2021",143.0,4290.0,6.0,2.0,2017.0,42772.5
"cuenca","azuay",22.0,121.0,6.0,0.0,31.0,10635.48,"31-12-2021","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",216.0,6252.0,9.0,12.0,2021.0,10635.48
"cuenca","azuay",22.0,121.0,6.0,0.0,1.0,10635.48,"01-02-2019","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",216.0,6252.0,9.0,2.0,2019.0,10635.48
"cuenca","azuay",20.0,121.0,3.0,0.0,31.0,8422.02,"31-12-2018","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",153.0,4934.0,5.0,12.0,2018.0,8422.02
"cuenca","azuay",20.0,121.0,3.0,0.0,1.0,8422.02,"01-01-2022","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",153.0,4934.0,5.0,1.0,2022.0,8422.02
"cuenca","azuay",21.0,121.0,4.0,0.0,31.0,6714.900000000001,"31-12-2019","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",125.0,3934.0,5.0,12.0,2019.0,6714.900000000001
"cuenca","azuay",21.0,121.0,4.0,0.0,1.0,6714.900000000001,"01-02-2017","arias salazar gabriel esteban","calificado","operador de capacitación","15-11-2021",125.0,3934.0,5.0,2.0,2017.0,6714.900000000001
"quito","pichincha",26.0,1242.0,6.0,0.0,31.0,1678.952380952381,"31-12-2021","jacome davalos juan manuel","calificado","operador de capacitación","25-11-2021",6.0,92.0,4.0,12.0,2021.0,1678.952380952381
"quito","pichincha",26.0,1242.0,6.0,0.0,1.0,1678.952380952381,"01-02-2019","jacome davalos juan manuel","calificado","operador de capacitación","25-11-2021",6.0,92.0,4.0,2.0,2019.0,1678.952380952381
"quito","pichincha",27.0,1243.0,6.0,0.0,31.0,5830.740317460314,"31-12-2021","jacome sandoya vinicio alejandro","calificado","operador de capacitación","30-12-2021",106.0,848.0,2.0,12.0,2021.0,5830.740317460314
"quito","pichincha",27.0,1243.0,6.0,0.0,1.0,5830.740317460314,"01-02-2019","jacome sandoya vinicio alejandro","calificado","operador de capacitación","30-12-2021",106.0,848.0,2.0,2.0,2019.0,5830.740317460314
"guayaquil","guayas",32.0,1280.0,6.0,0.0,31.0,87602.4,"31-12-2021","junta provincial de la cruz roja del guayas","calificado","operador de capacitación","28-12-2021",360.0,6480.0,3.0,12.0,2021.0,87602.4
"guayaquil","guayas",32.0,1280.0,6.0,0.0,1.0,87602.4,"01-02-2019","junta provincial de la cruz roja del guayas","calificado","operador de capacitación","28-12-2021",360.0,6480.0,3.0,2.0,2019.0,87602.4
"quito","pichincha",35.0,1286.0,6.0,23.929835854522047,31.0,484469.6952380952,"31-12-2021","klavempresarial compañia anonima","calificado","operador de capacitación","2/9/2021",1487.0,29436.0,23.0,12.0,2021.0,484469.6952380952
"quito","pichincha",35.0,1286.0,6.0,23.929835854522047,1.0,484469.6952380952,"01-02-2019","klavempresarial compañia anonima","calificado","operador de capacitación","2/9/2021",1487.0,29436.0,23.0,2.0,2019.0,484469.6952380952
"quito","pichincha",33.0,1286.0,3.0,2.6392018023817188,31.0,53619.36000000001,"31-12-2018","klavempresarial compañia anonima","calificado","operador de capacitación","2/9/2021",164.0,6336.0,4.0,12.0,2018.0,53619.36000000001
"quito","pichincha",33.0,1286.0,3.0,2.6392018023817188,1.0,53619.36000000001,"01-01-2022","klavempresarial compañia anonima","calificado","operador de capacitación","2/9/2021",164.0,6336.0,4.0,1.0,2022.0,53619.36000000001
"quito","pichincha",34.0,1286.0,4.0,5.2301255230125525,31.0,118099.9892063492,"31-12-2019","klavempresarial compañia anonima","calificado","operador de capacitación","2/9/2021",325.0,9994.0,7.0,12.0,2019.0,118099.9892063492
"quito","pichincha",34.0,1286.0,4.0,5.2301255230125525,1.0,118099.9892063492,"01-02-2017","klavempresarial compañia anonima","calificado","operador de capacitación","2/9/2021",325.0,9994.0,7.0,2.0,2017.0,118099.9892063492
"rumiñahui","pichincha",38.0,129.0,6.0,0.0,31.0,328366.56,"31-12-2021","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",438.0,13566.0,8.0,12.0,2021.0,328366.56
"rumiñahui","pichincha",38.0,129.0,6.0,0.0,1.0,328366.56,"01-02-2019","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",438.0,13566.0,8.0,2.0,2019.0,328366.56
"rumiñahui","pichincha",36.0,129.0,3.0,0.0,31.0,99664.8,"31-12-2018","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",131.0,5240.0,1.0,12.0,2018.0,99664.8
"rumiñahui","pichincha",36.0,129.0,3.0,0.0,1.0,99664.8,"01-01-2022","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",131.0,5240.0,1.0,1.0,2022.0,99664.8
"rumiñahui","pichincha",37.0,129.0,4.0,0.0,31.0,2374.8,"31-12-2019","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",4.0,40.0,1.0,12.0,2019.0,2374.8
"rumiñahui","pichincha",37.0,129.0,4.0,0.0,1.0,2374.8,"01-02-2017","ascencap cia.ltda","calificado","operador de capacitación","25-08-2021",4.0,40.0,1.0,2.0,2017.0,2374.8
"quito","pichincha",40.0,1296.0,6.0,0.0,31.0,880.1117460317455,"31-12-2021","lara cornejo nathaly alexandra","calificado","operador de capacitación","13-09-2021",16.0,128.0,1.0,12.0,2021.0,880.1117460317455
"quito","pichincha",40.0,1296.0,6.0,0.0,1.0,880.1117460317455,"01-02-2019","lara cornejo nathaly alexandra","calificado","operador de capacitación","13-09-2021",16.0,128.0,1.0,2.0,2019.0,880.1117460317455
"quito","pichincha",39.0,1296.0,4.0,0.0,31.0,2420.3073015873,"31-12-2019","lara cornejo nathaly alexandra","calificado","operador de capacitación","13-09-2021",44.0,352.0,1.0,12.0,2019.0,2420.3073015873
"quito","pichincha",39.0,1296.0,4.0,0.0,1.0,2420.3073015873,"01-02-2017","lara cornejo nathaly alexandra","calificado","operador de capacitación","13-09-2021",44.0,352.0,1.0,2.0,2017.0,2420.3073015873
"ambato","tungurahua",42.0,1323.0,6.0,0.0,31.0,37397.92,"31-12-2021","leon leon gerardo","calificado","operador de capacitación","12/10/2021",144.0,10028.0,4.0,12.0,2021.0,37397.92
"ambato","tungurahua",42.0,1323.0,6.0,0.0,1.0,37397.92,"01-02-2019","leon leon gerardo","calificado","operador de capacitación","12/10/2021",144.0,10028.0,4.0,2.0,2019.0,37397.92
"quito","pichincha",43.0,1330.0,6.0,0.0,31.0,51922.49523809522,"31-12-2021","liderazgo capacitacion y consultoria davsoc compañia limitada","calificado","operador de capacitación","16-04-2021",216.0,5608.0,10.0,12.0,2021.0,51922.49523809522
"quito","pichincha",43.0,1330.0,6.0,0.0,1.0,51922.49523809522,"01-02-2019","liderazgo capacitacion y consultoria davsoc compañia limitada","calificado","operador de capacitación","16-04-2021",216.0,5608.0,10.0,2.0,2019.0,51922.49523809522
"loja","loja",47.0,1372.0,6.0,0.0,31.0,20000.0,"31-12-2021","luzuriaga leon leonardo miguel","calificado","operador de capacitación","14-12-2021",80.0,480.0,3.0,12.0,2021.0,20000.0
"loja","loja",47.0,1372.0,6.0,0.0,1.0,20000.0,"01-02-2019","luzuriaga leon leonardo miguel","calificado","operador de capacitación","14-12-2021",80.0,480.0,3.0,2.0,2019.0,20000.0
"quito","pichincha",51.0,1375.0,6.0,0.0,31.0,45793.31428571426,"31-12-2021","macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",111.0,6660.0,1.0,12.0,2021.0,45793.31428571426
"quito","pichincha",51.0,1375.0,6.0,0.0,1.0,45793.31428571426,"01-02-2019","macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",111.0,6660.0,1.0,2.0,2019.0,45793.31428571426
"quito","pichincha",48.0,1375.0,3.0,0.0,31.0,28466.11428571427,"31-12-2018","macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",69.0,4140.0,1.0,12.0,2018.0,28466.11428571427
"quito","pichincha",48.0,1375.0,3.0,0.0,1.0,28466.11428571427,"01-01-2022","macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",69.0,4140.0,1.0,1.0,2022.0,28466.11428571427
"quito","pichincha",52.0,1375.0,7.0,0.0,31.0,825.1047619047614,"31-12-2022","macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",2.0,120.0,1.0,12.0,2022.0,896.6948571428568
"quito","pichincha",52.0,1375.0,7.0,0.0,1.0,825.1047619047614,"01-02-2020","macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",2.0,120.0,1.0,2.0,2020.0,896.6948571428568
"quito","pichincha",49.0,1375.0,4.0,0.0,31.0,1650.2095238095228,"31-12-2019","macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",4.0,240.0,1.0,12.0,2019.0,2045.103809523809
"quito","pichincha",49.0,1375.0,4.0,0.0,1.0,1650.2095238095228,"01-02-2017","macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",4.0,240.0,1.0,2.0,2017.0,2045.103809523809
"quito","pichincha",50.0,1375.0,5.0,0.0,31.0,412.5523809523807,"31-12-2020","macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",1.0,60.0,1.0,12.0,2020.0,462.92591269841273
"quito","pichincha",50.0,1375.0,5.0,0.0,1.0,412.5523809523807,"01-02-2018","macias robles edmundo rafael","calificado","operador de capacitación","15-12-2021",1.0,60.0,1.0,2.0,2018.0,462.92591269841273
"quito","pichincha",54.0,1399.0,6.0,0.0,31.0,49831.26349206348,"31-12-2021","marmol uquillas jenny alexandra","calificado","operador de capacitación","27-09-2021",79.0,8840.0,6.0,12.0,2021.0,49831.26349206348
"quito","pichincha",54.0,1399.0,6.0,0.0,1.0,49831.26349206348,"01-02-2019","marmol uquillas jenny alexandra","calificado","operador de capacitación","27-09-2021",79.0,8840.0,6.0,2.0,2019.0,49831.26349206348
"quito","pichincha",56.0,1412.0,6.0,0.0,31.0,696552.72,"31-12-2021","mateus francisco javier","calificado","operador de capacitación","22-05-2021",2645.0,37890.0,14.0,12.0,2021.0,696552.72
"quito","pichincha",56.0,1412.0,6.0,0.0,1.0,696552.72,"01-02-2019","mateus francisco javier","calificado","operador de capacitación","22-05-2021",2645.0,37890.0,14.0,2.0,2019.0,696552.72
"quito","pichincha",57.0,1412.0,7.0,0.0,31.0,528.72,"31-12-2022","mateus francisco javier","calificado","operador de capacitación","22-05-2021",1.0,12.0,1.0,12.0,2022.0,462.92591269841273
"quito","pichincha",57.0,1412.0,7.0,0.0,1.0,528.72,"01-02-2020","mateus francisco javier","calificado","operador de capacitación","22-05-2021",1.0,12.0,1.0,2.0,2020.0,462.92591269841273
"quito","pichincha",55.0,1412.0,4.0,0.0,31.0,104621.4,"31-12-2019","mateus francisco javier","calificado","operador de capacitación","22-05-2021",433.0,5886.0,8.0,12.0,2019.0,104621.4
"quito","pichincha",55.0,1412.0,4.0,0.0,1.0,104621.4,"01-02-2017","mateus francisco javier","calificado","operador de capacitación","22-05-2021",433.0,5886.0,8.0,2.0,2017.0,104621.4
"milagro","guayas",60.0,1427.0,6.0,0.0,31.0,106077.6,"31-12-2021","mena argudo freddy roberto","calificado","operador de capacitación","29-09-2021",430.0,71280.0,10.0,12.0,2021.0,106077.6
"milagro","guayas",60.0,1427.0,6.0,0.0,1.0,106077.6,"01-02-2019","mena argudo freddy roberto","calificado","operador de capacitación","29-09-2021",430.0,71280.0,10.0,2.0,2019.0,106077.6
"milagro","guayas",59.0,1427.0,4.0,0.0,31.0,18021.6,"31-12-2019","mena argudo freddy roberto","calificado","operador de capacitación","29-09-2021",88.0,16800.0,4.0,12.0,2019.0,18021.6
"milagro","guayas",59.0,1427.0,4.0,0.0,1.0,18021.6,"01-02-2017","mena argudo freddy roberto","calificado","operador de capacitación","29-09-2021",88.0,16800.0,4.0,2.0,2017.0,18021.6
"quito","pichincha",66.0,147.0,6.0,0.0,31.0,70712.5,"31-12-2021","asociacion fe y alegria ecuador","calificado","operador de capacitación","27-09-2021",38.0,5300.0,3.0,12.0,2021.0,70712.5
"quito","pichincha",66.0,147.0,6.0,0.0,1.0,70712.5,"01-02-2019","asociacion fe y alegria ecuador","calificado","operador de capacitación","27-09-2021",38.0,5300.0,3.0,2.0,2019.0,70712.5
"quito","pichincha",65.0,147.0,4.0,0.0,31.0,2415.0000000000005,"31-12-2019","asociacion fe y alegria ecuador","calificado","operador de capacitación","27-09-2021",10.0,1500.0,1.0,12.0,2019.0,14224.010000000002
"quito","pichincha",65.0,147.0,4.0,0.0,1.0,2415.0000000000005,"01-02-2017","asociacion fe y alegria ecuador","calificado","operador de capacitación","27-09-2021",10.0,1500.0,1.0,2.0,2017.0,14224.010000000002
"quito","pichincha",69.0,15.0,6.0,0.0,31.0,11345.190476190468,"31-12-2021","acceso vertical work & rescue training compañia limitada","calificado","operador de capacitación","30-03-2021",32.0,1650.0,2.0,12.0,2021.0,8539.834285714282
"quito","pichincha",69.0,15.0,6.0,0.0,1.0,11345.190476190468,"01-02-2019","acceso vertical work & rescue training compañia limitada","calificado","operador de capacitación","30-03-2021",32.0,1650.0,2.0,2.0,2019.0,8539.834285714282
"quito","pichincha",68.0,15.0,3.0,0.0,31.0,1237.6571428571422,"31-12-2018","acceso vertical work & rescue training compañia limitada","calificado","operador de capacitación","30-03-2021",6.0,180.0,1.0,12.0,2018.0,1443.9333333333325
"quito","pichincha",68.0,15.0,3.0,0.0,1.0,1237.6571428571422,"01-01-2022","acceso vertical work & rescue training compañia limitada","calificado","operador de capacitación","30-03-2021",6.0,180.0,1.0,1.0,2022.0,1443.9333333333325
"guayaquil","guayas",72.0,1508.0,6.0,0.0,31.0,295753.24,"31-12-2021","moran zambrano jose fernando","calificado","operador de capacitación","26-02-2021",1208.0,35656.0,18.0,12.0,2021.0,295753.24
"guayaquil","guayas",72.0,1508.0,6.0,0.0,1.0,295753.24,"01-02-2019","moran zambrano jose fernando","calificado","operador de capacitación","26-02-2021",1208.0,35656.0,18.0,2.0,2019.0,295753.24
"guayaquil","guayas",70.0,1508.0,3.0,0.0,31.0,34456.32,"31-12-2018","moran zambrano jose fernando","calificado","operador de capacitación","26-02-2021",72.0,2304.0,2.0,12.0,2018.0,34456.32
"guayaquil","guayas",70.0,1508.0,3.0,0.0,1.0,34456.32,"01-01-2022","moran zambrano jose fernando","calificado","operador de capacitación","26-02-2021",72.0,2304.0,2.0,1.0,2022.0,34456.32
"guayaquil","guayas",71.0,1508.0,4.0,0.0,31.0,222506.94,"31-12-2019","moran zambrano jose fernando","calificado","operador de capacitación","26-02-2021",528.0,16212.0,14.0,12.0,2019.0,222506.94
"guayaquil","guayas",71.0,1508.0,4.0,0.0,1.0,222506.94,"01-02-2017","moran zambrano jose fernando","calificado","operador de capacitación","26-02-2021",528.0,16212.0,14.0,2.0,2017.0,222506.94
"quito","pichincha",73.0,1519.0,6.0,0.0,31.0,1980.2514285714276,"31-12-2021","morejon arce ana belen","calificado","operador de capacitación","16-08-2021",3.0,288.0,1.0,12.0,2021.0,2045.103809523809
"quito","pichincha",73.0,1519.0,6.0,0.0,1.0,1980.2514285714276,"01-02-2019","morejon arce ana belen","calificado","operador de capacitación","16-08-2021",3.0,288.0,1.0,2.0,2019.0,2045.103809523809
"portoviejo","manabi",78.0,1579.0,6.0,0.0,31.0,1426.8000000000002,"31-12-2021","novamanaba s.a.s.","calificado","operador de capacitación","24-05-2021",6.0,60.0,1.0,12.0,2021.0,1426.8000000000002
"portoviejo","manabi",78.0,1579.0,6.0,0.0,1.0,1426.8000000000002,"01-02-2019","novamanaba s.a.s.","calificado","operador de capacitación","24-05-2021",6.0,60.0,1.0,2.0,2019.0,1426.8000000000002
"guayaquil","guayas",80.0,1580.0,6.0,4.099065420560748,31.0,647540.9542857142,"31-12-2021","novillo mendoza max andres","calificado","operador de capacitación","14-10-2021",2193.0,61548.0,63.0,12.0,2021.0,647540.9542857142
"guayaquil","guayas",80.0,1580.0,6.0,4.099065420560748,1.0,647540.9542857142,"01-02-2019","novillo mendoza max andres","calificado","operador de capacitación","14-10-2021",2193.0,61548.0,63.0,2.0,2019.0,647540.9542857142
"guayaquil","guayas",79.0,1580.0,4.0,0.811214953271028,31.0,183601.54285714283,"31-12-2019","novillo mendoza max andres","calificado","operador de capacitación","14-10-2021",434.0,17140.0,10.0,12.0,2019.0,183601.54285714283
"guayaquil","guayas",79.0,1580.0,4.0,0.811214953271028,1.0,183601.54285714283,"01-02-2017","novillo mendoza max andres","calificado","operador de capacitación","14-10-2021",434.0,17140.0,10.0,2.0,2017.0,183601.54285714283
"quito","pichincha",82.0,1582.0,6.0,0.0,31.0,30972.666666666664,"31-12-2021","novoa guanuchi carlos alberto","calificado","operador de capacitación","11/2/2021",81.0,3720.0,9.0,12.0,2021.0,30972.666666666664
"quito","pichincha",82.0,1582.0,6.0,0.0,1.0,30972.666666666664,"01-02-2019","novoa guanuchi carlos alberto","calificado","operador de capacitación","11/2/2021",81.0,3720.0,9.0,2.0,2019.0,30972.666666666664
"quito","pichincha",81.0,1582.0,4.0,0.0,31.0,58722.43809523808,"31-12-2019","novoa guanuchi carlos alberto","calificado","operador de capacitación","11/2/2021",209.0,9320.0,9.0,12.0,2019.0,58722.43809523808
"quito","pichincha",81.0,1582.0,4.0,0.0,1.0,58722.43809523808,"01-02-2017","novoa guanuchi carlos alberto","calificado","operador de capacitación","11/2/2021",209.0,9320.0,9.0,2.0,2017.0,58722.43809523808
"riobamba","chimborazo",89.0,1607.0,6.0,0.0,31.0,1522.08,"31-12-2021","organizacion hse ecuador ehsq c l","calificado","operador de capacitación","14-04-2022",2.0,36.0,2.0,12.0,2021.0,1522.08
"riobamba","chimborazo",89.0,1607.0,6.0,0.0,1.0,1522.08,"01-02-2019","organizacion hse ecuador ehsq c l","calificado","operador de capacitación","14-04-2022",2.0,36.0,2.0,2.0,2019.0,1522.08
"riobamba","chimborazo",86.0,1607.0,3.0,0.0,31.0,949665.52,"31-12-2018","organizacion hse ecuador ehsq c l","calificado","operador de capacitación","14-04-2022",1828.0,24892.0,40.0,12.0,2018.0,949665.52
"riobamba","chimborazo",86.0,1607.0,3.0,0.0,1.0,949665.52,"01-01-2022","organizacion hse ecuador ehsq c l","calificado","operador de capacitación","14-04-2022",1828.0,24892.0,40.0,1.0,2022.0,949665.52
"riobamba","chimborazo",90.0,1607.0,7.0,0.0,31.0,6544548.5200000005,"31-12-2022","organizacion hse ecuador ehsq c l","calificado","operador de capacitación","14-04-2022",11144.0,228920.0,96.0,12.0,2022.0,6544548.5200000005
"riobamba","chimborazo",90.0,1607.0,7.0,0.0,1.0,6544548.5200000005,"01-02-2020","organizacion hse ecuador ehsq c l","calificado","operador de capacitación","14-04-2022",11144.0,228920.0,96.0,2.0,2020.0,6544548.5200000005
"riobamba","chimborazo",87.0,1607.0,4.0,0.0,31.0,1291323.6,"31-12-2019","organizacion hse ecuador ehsq c l","calificado","operador de capacitación","14-04-2022",2054.0,34836.0,44.0,12.0,2019.0,1291323.6
"riobamba","chimborazo",87.0,1607.0,4.0,0.0,1.0,1291323.6,"01-02-2017","organizacion hse ecuador ehsq c l","calificado","operador de capacitación","14-04-2022",2054.0,34836.0,44.0,2.0,2017.0,1291323.6
"riobamba","chimborazo",88.0,1607.0,5.0,0.0,31.0,1522.08,"31-12-2020","organizacion hse ecuador ehsq c l","calificado","operador de capacitación","14-04-2022",2.0,36.0,2.0,12.0,2020.0,1522.08
"riobamba","chimborazo",88.0,1607.0,5.0,0.0,1.0,1522.08,"01-02-2018","organizacion hse ecuador ehsq c l","calificado","operador de capacitación","14-04-2022",2.0,36.0,2.0,2.0,2018.0,1522.08
"manta","manabi",92.0,1613.0,6.0,0.0,31.0,2479.2,"31-12-2021","ortega toala nelson eduardo","calificado","operador de capacitación","24-08-2021",14.0,1320.0,2.0,12.0,2021.0,2479.2
"manta","manabi",92.0,1613.0,6.0,0.0,1.0,2479.2,"01-02-2019","ortega toala nelson eduardo","calificado","operador de capacitación","24-08-2021",14.0,1320.0,2.0,2.0,2019.0,2479.2
"ibarra","imbabura",96.0,1627.0,6.0,0.0,31.0,4952548.2,"31-12-2021","pablo oswaldo davila castro","calificado","operador de capacitación","6/10/2021",216.0,66860.0,3.0,12.0,2021.0,4952548.2
"ibarra","imbabura",96.0,1627.0,6.0,0.0,1.0,4952548.2,"01-02-2019","pablo oswaldo davila castro","calificado","operador de capacitación","6/10/2021",216.0,66860.0,3.0,2.0,2019.0,4952548.2
"quito","pichincha",99.0,1665.0,6.0,0.0,31.0,260664.34603174584,"31-12-2021","paucarina valles ana cristina","calificado","operador de capacitación","9/12/2021",223.0,37910.0,2.0,12.0,2021.0,260664.34603174584
"quito","pichincha",99.0,1665.0,6.0,0.0,1.0,260664.34603174584,"01-02-2019","paucarina valles ana cristina","calificado","operador de capacitación","9/12/2021",223.0,37910.0,2.0,2.0,2019.0,260664.34603174584
"quito","pichincha",98.0,1665.0,4.0,0.0,31.0,90005.17777777772,"31-12-2019","paucarina valles ana cristina","calificado","operador de capacitación","9/12/2021",77.0,13090.0,2.0,12.0,2019.0,90005.17777777772
"quito","pichincha",98.0,1665.0,4.0,0.0,1.0,90005.17777777772,"01-02-2017","paucarina valles ana cristina","calificado","operador de capacitación","9/12/2021",77.0,13090.0,2.0,2.0,2017.0,90005.17777777772
"quito","pichincha",100.0,1693.0,6.0,0.0,31.0,81141.76,"31-12-2021","pichincha humana","calificado","operador de capacitación","23-05-2021",347.0,27568.0,3.0,12.0,2021.0,81141.76
"quito","pichincha",100.0,1693.0,6.0,0.0,1.0,81141.76,"01-02-2019","pichincha humana","calificado","operador de capacitación","23-05-2021",347.0,27568.0,3.0,2.0,2019.0,81141.76
"quito","pichincha",103.0,180.0,6.0,0.0,31.0,1340512.522222222,"31-12-2021","baculima nuñez maria antonieta","calificado","operador de capacitación","20-10-2021",127.0,50030.0,5.0,12.0,2021.0,1340512.522222222
"quito","pichincha",103.0,180.0,6.0,0.0,1.0,1340512.522222222,"01-02-2019","baculima nuñez maria antonieta","calificado","operador de capacitación","20-10-2021",127.0,50030.0,5.0,2.0,2019.0,1340512.522222222
"guayaquil","guayas",105.0,1840.0,6.0,0.0,31.0,18600.0,"31-12-2021","romero soriano juan lorenzo xavier","calificado","operador de capacitación","15-11-2021",124.0,4960.0,2.0,12.0,2021.0,18600.0
"guayaquil","guayas",105.0,1840.0,6.0,0.0,1.0,18600.0,"01-02-2019","romero soriano juan lorenzo xavier","calificado","operador de capacitación","15-11-2021",124.0,4960.0,2.0,2.0,2019.0,18600.0
