perfil,competenecia_laboral,familia,sector,tipo,estado
operaciones de sala de refrigeración,"abastecer de frío a los procesos productivos y sistemas de almacenaje refrigerado y congelado, de plantas agroindustriales. cumpliendo los procedimientos de calidad, seguridad, salud y medioambiente.",transformación de alimentos (incluye agroindustria),almacenamiento y actividades de apoyo al transporte,oc,habilitado
procesamiento de planta de aves,"realizar actividades del procesamiento de aves hasta el despacho de productos, de acuerdo a los procedimientos establecidos.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
supervisión de procesos en la industria de productos derivados de la pesca y acuicultura,"supervisar los procesos derivados de la pesca y la acuicultura de acuerdo a procedimientos establecidos por la organización, tomando en cuenta la normativa vigente.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
operaciones especializadas en el procesamiento de café y sucedáneos,"realizar las operaciones y control de las máquinas y equipos para el procesamiento de café y sucedáneos, de acuerdo a las técnicas establecidas en la normativa vigente.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
tratamiento de aguas residuales en la elaboración de bebidas,realizar el manejo de sistemas de control y equipos en planta de tratamiento de aguas residuales de acuerdo a procesos biológicos establecidos cumpliendo la normativa local vigente.,producción industrial de bebidas y tabacos,elaboración de bebidas,oc,habilitado
operaciones de máquina para la elaboración de productos a base de cereales,"operar máquinas y equipos de fabricación de alimentos a base de cereal, cumpliendo con las normas de medio ambiente, seguridad alimentaria y salud en el trabajo.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
operaciones en la elaboración de balanceado,"realizar las operaciones para la elaboración de balanceados desde la recepción de la materia prima hasta el almacenamiento de productos terminados, bajo normas de calidad, higiene y sanidad.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
técnicas en conservación y procesamiento de frutas y vegetales,"realizar la ejecución y control de la conservación y procesamiento de frutas y vegetales, cumpliendo con las exigencias de calidad en base a las normas de seguridad e higiene establecidas.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
repostería,"realizar la presentación de productos de repostería a partir de preparaciones básicas, cumpliendo buenas prácticas de manufactura.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
actvidades de promoción comunitaria de reducción del riesgos de desastres,"promover acciones para la organización y fortalecimiento comunitario en reducción de riesgo de desastres de acuerdo con la normativa vigentes, guías y procedimientos establecidos.",actividades comunitarias,administración pública y defensa; planes de seguridad social de afiliación obligatoria.,oc,habilitado
operaciones especializadas en procesamiento de productos cárnicos,"realizar las operaciones de valoración de la carne, despiece, preparación y elaboración de productos y reparados cárnicos, cumpliendo con normas de higiene, salud y seguridad en el trabajo.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
operaciones especializadas en procesamiento de aguardiente de caña,"realizar la ejecución y control del proceso de molienda, fermentación y destilación del jugo de caña (guarapo), bajo los estándares de calidad y normas ambientales.",producción industrial de bebidas y tabacos,elaboración de bebidas,oc,habilitado
industrias derivadas de la uva y del vino,"gestionar una unidad o seccion en la industria de los destilados, mostos concentrados, vinagres y otros productos derivados de la uva y del vino, realizando la programacion, preparacion y supervision de los recursos disponibles, asi como los trabajos necesarios para alcanzar los objetivos y supervisando la aplicacion del sistema de analisis de peligros y puntos criticos de control, buenas practicas de manufactura y sistemas de trazabilidad.",producción industrial de bebidas y tabacos,elaboración de bebidas,oc,habilitado
operaciones en confección y mantenimiento de artes y aparejos de pesca,"confeccionar y montar las artes y los aparejos de pesca, así como efectuar su reparación y mantenimiento, siguiendo las indicaciones de los planos y/o los procedimientos tradicionales.","pesca, acuacultura y maricultura",fabricación de productos textiles,oc,habilitado
operaciones de transformación de polímeros termoplásticos,"realizar las operaciones de transformación de polímeros termoplásticos a partir de mezclas preparadas según fórmulas establecidas, responsabilizándose de la puesta a punto de instalaciones, máquinas y utillaje de fabricación, del mantenimiento de primer nivel, así como, de la calidad de los materiales y productos, manteniendo en todo momento las condiciones de prevención de riesgos laborales y medioambientales.","productos industriales, farmacéuticos y químicos",fabricación de substancias y productos químicos,oc,habilitado
supervisión en validación y estabilidad de medicamentos,"realizar estudios de validación de métodos y procedimientos farmacéuticos conforme a buenas prácticas de manufactura (bpm), guías ich (international conference on harmonisation), regulaciones nacionales y políticas internas de la organización.","productos industriales, farmacéuticos y químicos","fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",oc,habilitado
supervisión en calidad de producción de plásticos,"analizar las características físicas y químicas de materias primas, suministros, productos en proceso y productos terminados de plástico para verificar que cumplen con las especificaciones técnicas y de los clientes en base a las normas y los procedimientos establecidos.","productos industriales, farmacéuticos y químicos",fabricación de productos de caucho y plástico,oc,habilitado
producción y replica de alfarería y cerámica,"realizar operaciones de producción y replica de alfarería y cerámica, manejando y manteniendo en uso las instalaciones y equipos del taller, consiguiendo bajos costes de producción con la calidad requerida, en condiciones de seguridad y salud.","productos industriales, farmacéuticos y químicos",fabricación de otros productos minerales no metálicos,oc,habilitado
soldadura de mantenimiento,"realizar actividades de recuperación y mantenimientode partes y piezas mecánicas con soldadura derecubrimiento; cumpliendo con las expectativas decalidad del sector productivo y aplicando las medidas de seguridad, higiene y protección ambiental.",metalmecánica,"fabricación de productos elaborados de metal, excepto maquinaria y equipo",oc,habilitado
soldadura en proceso saw (soldadura por arco sumergido),"realizar trabajos de unión de elementos metálicos con soldadura por arco sumergido en aceros de baja y media aleación, utilizando sistemas de soldadura semiautomática y automática; cumpliendo con las especificaciones técnicas y la nor mativa de calidad requeridas de acuerdo a las medidas de protección ambiental.",metalmecánica,"fabricación de productos elaborados de metal, excepto maquinaria y equipo",oc,habilitado
matriceria,"realizar la construcción de elementos mecánicos compl ejos, ajustes de precisión y la verificación de la funcionalidad de piezas, moldes y matrices utilizando herramientas manuales y maquinas herramientas convencionales y especializadas.",metalmecánica,"fabricación de productos elaborados de metal, excepto maquinaria y equipo",oc,habilitado
asistencia a la supervisión de actividades de construcción,"asistir a la supervisión de edificaciones y obras civiles cumpliendo las normas de seguridad y salud en el trabajo, medio ambiente y especificaciones técnicas del proyecto de la obra.",construcción,actividades especializadas de la construcción,oc,habilitado
"mecanizado por abrasión, electroerosión y procedimientos especiales","mecanizar por abrasión, electroerosión y procedimientos especiales afines, controlando los productos obtenidos y responsabilizándose del mantenimiento de primer nivel de las máquinas y equipos, con criterios de calidad, seguridad y respeto al medio ambiente.",metalmecánica,"fabricación de productos elaborados de metal, excepto maquinaria y equipo",oc,habilitado
diseño de moldes y modelos,"diseñar moldes de fundición, forja o estampación y modelos para fundición, con criterios de calidad, seguridad y respeto al medio ambiente.",metalmecánica,"fabricación de productos elaborados de metal, excepto maquinaria y equipo",oc,habilitado
"producción en mecanizado, conformado y montaje mecánico","determinar los procesos operacionales de mecanizado (arranque de viruta, conformado y mecanizados especiales) y montaje de equipos mecánicos, así como realizar la programación de sistemas automáticos de fabricación, organizando y supervisando la producción, a partir de la documentación técnica del proceso, con criterios de calidad, seguridad y respeto al medio ambiente.",metalmecánica,"fabricación de productos elaborados de metal, excepto maquinaria y equipo",oc,habilitado
pintura automotriz,"ejecuta el proceso de pintura automotriz, conforme a los procesos estandarizados y establecidos para asegurar la calidad, cumpliendo normas de seguridad y salud en el trabajo y medio ambiente.","vehículos, automotores, carrocerías y sus partes",comercio y reparación de vehículos automotores y motocicletas,oc,habilitado
elaboración de helados de paila,"elaborar helados de paila, de acuerdo a normas de seguridad, salud ocupacional y ambiental.",artesanías,elaboración de productos alimenticios,oc,habilitado
instalación de muebles,"planificar la instalación, componer y fijar el mobiliario realizando las instalaciones complementarias y comprobar el funcionamiento, realizando las operaciones de ajuste y acabado requeridas, en condiciones de salud laboral y aplicando los procedimientos de calidad establecidos.",actividades tipo servicios,fabricación de muebles,oc,habilitado
mecatrónica industrial,"realizar operaciones de programación, instalación y mantenimiento de procesos industriales automáticos y subprocesos robóticos, bajo supervisión, siguiendo los procedimientos técnicos establecidos y estructuras de seguridad requeridas.",metalmecánica,reparación e instalación de maquinaria y equipo,oc,habilitado
climatización,"realizar las operaciones de montaje, mantenimiento y reparación de instalaciones de frio, climatización, calefacción, agua y gases combustibles en edificio, instalaciones productivas y vehículos, con la calidad requerida, cumpliendo las reglamentaciones y en condiciones de seguridad.","electricidad, gas y agua","suministro de electricidad, gas, vapor y aire acondicionado",oc,habilitado
instalaciones eléctricas industriales,"garantizar el funcionamiento instalaciones eléctricas industriales, equipos y accesorios de acuerdo a normas técnicas y especificaciones, seguridad y salud en el trabajo, y medio ambiente; operando herramientas y equipos de diagnóstico, montaje y reparación eléctrica.",actividades tipo servicios,"suministro de electricidad, gas, vapor y aire acondicionado",oc,habilitado
implementación de aulas virtuales de aprendizaje,implementar aulas en entorno virtual de aprendizaje de acuerdo a los procedimientos tecno-pedagógicos establecidos en una institución.,actividades de enseñanza,enseñanza,oc,habilitado
instalaciones eléctricas,"realizar instalaciones eléctricas en edificios, locales comerciales y viviendas, cumpliendo con normas de higiene, salud y seguridad en el trabajo",actividades tipo servicios,actividades especializadas de la construcción,oc,habilitado
gestión en electricidad industrial,"gestionar el montaje y el mantenimiento de redes eléctricas de baja tensión y alumbrado exterior a partir de un proyecto o memoria técnica de diseño, de acuerdo con las normas establecidas y la calidad prevista, garantizando la seguridad integral y las condiciones óptimas de funcionamiento y conservación medioambiental.",actividades tipo servicios,"suministro de electricidad, gas, vapor y aire acondicionado",oc,habilitado
operaciones especializadas en tratamiento de aguas,supervisar el proceso de tratamiento de aguas residuales mediante el control de maquinaria tomando en cuenta la legislación ambiental y normativa de salud y seguridad en el trabajo.,producción industrial de bebidas y tabacos,"captación, tratamiento y distribución de agua",oc,habilitado
industria textil,"realizar operaciones básicas de reparación, manejo y transporte de materiales, así como, alimentar y sistirán los procesos de hilatura, tejeduría y telas no tejidas, aplicando las técnicas y procedimientos requeridos en cada caso, bajo la supervisión de un responsable, utilizando criterios de calidad y actuando en condiciones de seguridad y respeto al medio ambiente, según planes establecidos.","productos textiles, cuero y calzado",fabricación de productos textiles,oc,habilitado
bordado artesanal de prendas de vestir,"realizar bordados en prendas de vestir, utilería decorativa y otros, bajo las especificaciones requeridas, utilizando los equipos y máquinas apropiadas para garantizar la calidad del producto.","productos textiles, cuero y calzado",fabricación de prendas de vestir,oc,habilitado
proyectos de carpintería y mueble,"realizar la definicion y desarrollo productos de carpintería y mueble y controlar la realización de prototipos de carpintería y mueble, en condiciones de salud laboral y aplicando los procedimientos de calidad establecidos.",productos industriales farmacéuticos y químicos,fabricación de muebles,oc,habilitado
manejo y aprovechamiento de residuos sólidos y líquidos,"gestionar el manejo integral de residuos generados en la actividad productiva y de servicios, desde su generación hasta su disposición final, aplicando las normas de seguridad y salud en el trabajo y medio ambiente.",actividades tipo servicios,actividades de descontaminación y otros servicios de gestión de desechos,oc,habilitado
coordinación técnica y logística para el levantamiento de daños y necesidades por eventos peligrosos,supervisar los aspectos técnicos y logísticos para conducir el trabajo de evaluación de la zona afectada por un evento peligroso de acuerdo con normativa vigente y la metodología nacional e internacional establecida.,actividades comunitarias,administración pública y defensa; planes de seguridad social de afiliación obligatoria.,oc,habilitado
operaciones en arreglos y adaptaciones de prendas y artículos textiles,"realizar arreglos y adaptaciones en prendas de vestir en textil y piel, asi como en ropa de hogar, aplicando las tecnicas y procesos especificos, logrando que el artículo adquiera el acabado requerido en la atención al cliente, con calidad y cumpliendo las condiciones de seguridad y ambientales.","productos textiles, cuero y calzado",fabricación de productos textiles,oc,habilitado
biomecánica aplicada al diseño de calzado,"asegurar el cumplimiento de los parámetros biomecánicos (anatómicos) del calzado de acuerdo a las especificaciones técnicas de diseño y modelos destinados para mantener, mejorar y garantizar el confort, calidad y requerimientos del cliente en todos los aspectos ergonómicos que se presentan en el calzado.","productos textiles, cuero y calzado",fabricación de cueros y productos conexos,oc,habilitado
operaciones en procesos de ribera y curticion,"realizar los trabajos de ribera y curtición de las pieles, aplicando las técnicas y procedimientos necesarios para conseguir la producción con la calidad requerida en los plazos previstos, y en las condiciones de seguridad, salud y medioambiente establecidas.","productos textiles, cuero y calzado",fabricación de cueros y productos conexos,oc,habilitado
operaciones especializadas en montado y acabado de artículos de marroquinería,"realizar el montado y acabado de artículos de marroquinería en textil y/o piel, aplicando las técnicas y procedimientos necesarios para conseguir la cantidad y la calidad requerida, en las condiciones de seguridad, respeto al medio ambiente y plazos establecidos.","productos textiles, cuero y calzado",fabricación de cueros y productos conexos,oc,habilitado
modelaje de calzado y marroquinería,elaborar moldes de corte de calzado en base a diseños definidos mediante la aplicación de técnicas de montaje y producción.,"productos textiles, cuero y calzado",fabricación de cueros y productos conexos,oc,habilitado
operaciones especializadas en elaboración de derivados de cereales y dulces,"elaborar productos derivados de cereales y dulces mediante la operación de maquinaria y equipos de producción, llevando a cabo el autocontrol de calidad de acuerdo con las referencias fijadas.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
operaciones especializadas en envasado y embalaje de aceites de semillas y grasas,"realizar operaciones para el envasado y embalaje de aceites y grasas comestibles de semillas de acuerdo a normas de calidad, higiene y seguridad en el trabajo e inocuidad alimentaria.",transformación de alimentos (incluye agroindustria),actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas,oc,habilitado
procesamiento de planta de cerdos,"realizar las actividades del procesamiento de cerdos hasta la obtención de canales para el despresado, empacado, almacenamiento y despacho, en base a normas establecidas.",producción pecuaria,elaboración de productos alimenticios,oc,habilitado
trabajo acuícola de campo,"realizar la siembra, transferencia, alimentación, cuidado, seguimiento y cosecha para la producción de especies acuáticas, verificando el cumplimiento de las especificaciones técnicas establecidas de acuerdo a las buenas prácticas de manufactura, normas de calidad, normas de seguridad y salud en el trabajo y normas de ambiente.","pesca, acuacultura y maricultura",pesca y acuicultura,oc,habilitado
supervisión de calidad de alimentos,"gestionar y asegurar el proceso de elaboración de un producto alimenticio, determinando las conformidades y no conformidades con las normas y legislaciones nacionales o internacionales aplicables para garantizar la calidad e inocuidad del producto.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
supervisión de producciones gastronómicas,"supervisar procesos de pre-producción, producción, montaje y despacho de alimentos de acuerdo con protocolos establecidos y la normativa vigente",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
operaciones de molino de arroz,"realizar la molienda de granos de arroz mediante la preparación, operación equipos de producción, llevando a cabo el control del proceso de acuerdo a la normativa vigente.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
"atención a niños, adolescentes y jóvenes con necesidades educativas especiales","atender a niños, adolescentes y jóvenes con necesidades educativas especiales de acuerdo a lo establecido en la normativa vigente",actividades tipo servicios,actividades de asistencia social sin alojamiento,oc,habilitado
gestión de la producción en procesos de pre-impresión,"planificar la fabricación de productos gráficos y organizar los procesos de preimpresion en el marco del plan de producción general de la empresa, gestionando los materiales implicados, optimizando y supervisando los procesos productivos y participando en el plan de calidad, así como en el plan de prevención de riesgos laborales y de protección ambiental establecidos.","productos industriales, farmacéuticos y químicos",impresión y reproducción de grabaciones,oc,habilitado
producción de contenidos para medios comunitarios de radio y televisión,"realizar productos comunicacionales radiofónicos y/o televisivos sobre la base de las necesidades comunitarias, aplicando los formatos establecidos por los medios de comunicación y conforme los lineamientos de la ley orgánica de comunicación.",actividades comunitarias,"actividades de producción de películas cinematográficas, vídeos y programas de televisión, grabación de sonido y edición de música",oc,habilitado
asistencia en gestión ambiental,"colabora en la ejecución, evaluación, monitoreo de las actividades en base a los plan de manejo ambiental establecido, mediante la recopilación de información y generación de reportes de cumplimiento de las actividades programadas de acuerdo a los parámetros ambientales y requerimientos del proyecto.",actividades tipo servicios,actividades de oficinas principales; actividades de consultoría de gestión,oc,habilitado
asistencia administrativa,"distribuir, reproducir y transmitir la información y documentación requeridas en las tareas administrativas y de gestión, internas y externas, así como realizar trámites elementales de verificación de datos y documentos a requerimiento de técnicos de nivel superior con eficacia, de acuerdo con instrucciones o procedimientos establecidos.",actividades tipo servicios,actividades de oficinas principales; actividades de consultoría de gestión,oc,habilitado
gestión en biotecnología,"organizar y realizar ensayos biotecnológicos de base biológica, bioquímica, inmunológica y/o genética.",actividades tipo servicios,actividades de oficinas principales; actividades de consultoría de gestión,oc,habilitado
fotografía de medios multimedia,"realizar la cobertura periodística a través de registros fotográficos y/o video  de ser el caso- de hechos y/o asignaciones tomando en consideración las técnicas establecidas (composición, contenido, iluminación) y normas de seguridad y salud en el trabajo.",actividades tipo servicios,"otras actividades profesionales, científicas y técnicas",oc,habilitado
asistencia de primeros auxilios veterinarios,"aplicar los conocimientos técnicos de primeros auxilios veterinarios en especies animales menores y mayores; realizar tratamientos primarios de las enfermedades más comunes, asistir a controlar riesgos emergentes que comprometen la supervivencia de las especies animales.",actividades de salud,actividades veterinarias,oc,habilitado
técnicas en seguridad penitenciaria,"vigilar y proteger a las personas y sus bienes, evitando la comisión de delitos e infracciones, en un entorno definido",actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
mantenimiento de viviendas y edificios,"realizar el mantenimiento de viviendas y edificios, efectuando reparaciones basicas con trabajos de albañileria, gasfiteria, carpinteria y electricidad aplicando especificaciones tecnicas y normas de seguridad, salud ocupacional e higiene y ambientales vigentes.",actividades tipo servicios,actividades de servicios a edificios y paisajismo,oc,habilitado
producción de biocombustibles,"operar y controlar equipos y máquinas utilizadas para la producción de biocombustible de acuerdo a los procesos, procedimientos, normas de calidad, seguridad y salud en el trabajo.","productos industriales, farmacéuticos y químicos",otras industrias manufactureras,oc,habilitado
instalaciones de gas,"instalar artefactos, ventilaciones y cañerías para la provisión de gas en edificios uni y multifamiliares, locales comerciales y unidades de actividades varias, aplicando normas de higiene, salud y seguridad en el trabajo.","electricidad, gas y agua",actividades especializadas de la construcción,oc,habilitado
mantenimiento de vehículos automotores,"realizar el diagnostico de averias y mantenimiento de motores y de los sistemas de direccion, suspension, frenos, transmision, y sistemas electricos y electronicos del vehiculo, teniendo en cuenta las normas de seguridad.","vehículos, automotores, carrocerías y sus partes",comercio y reparación de vehículos automotores y motocicletas,oc,habilitado
elaboración de jabones de glicerina y cosmética natural,"producirjabonesdeglicerinaycosméticanaturalcumpliendoestándaresde calidad, normas de seguridad y salud ocupacional","productos industriales, farmacéuticos y químicos",fabricación de substancias y productos químicos,oc,habilitado
actividades de ejecución para la asistencia humanitaria,"ejecutar el tipo de asistencia humanitaria (alojamiento temporal, bienes de asistencia humanitaria y protección de derechos) requerido conforme a las necesidades de la población afectada y damnificada ante emergencias, desastres y catástrofes considerando la normativa legal vigente y procedimientos establecidos.",actividades comunitarias,administración pública y defensa; planes de seguridad social de afiliación obligatoria.,oc,habilitado
gestión en impresión offset,"unidad de competencia 3 determinar y ajustar los elementos de proceso de impresión offset realizar la impresión por el procedimiento offset, reparando y ajustando los elementos del proceso de impresión y las materias primas necesarias, según la productividad y calidad establecidas e interviniendo en el proceso gráfico, cumpliendo la normativa aplicable de prevención de riesgos laborales y medioambientales","productos industriales, farmacéuticos y químicos",impresión y reproducción de grabaciones,oc,habilitado
conductor profesional de bus - nte inen 2 463: 2008,"el conductor de transporte turístico terrestre se ocupa, principalmente, de trasladar a los turistas en vehículos tipo autobús, furgoneta y automóvil, en ambientes urbanos, carreteras rurales, para excursiones, paseo local, traslados y desplazamientos especiales.","transporte, almacenamiento y logística",transporte por vía terrestre y por tuberías,oc,habilitado
gestión en planificación del transporte terrestre,"supervisar todas las labores concernientes a la recepción,almacenaje, custodia de la existencia física, despacho y embarque del producto terminado","transporte, almacenamiento y logística",transporte por vía terrestre y por tuberías,oc,habilitado
supervisión de buque y actividades pesqueras,"realizar el registro e informes de seguimiento de la actividad pesquera, información sobre el nivel de cumplimiento y ejecución de las medidas de conservación vigentes en el área de trabajo, controlando la posición del buque, la utilización de las artes de pesca y las capturas realizadas en el área de referencia.","pesca, acuacultura y maricultura",transporte por vía acuática,oc,habilitado
estibaje,"preparar y movilizar mercadería y bienes muebles en las condiciones que permitan precautelar su integridad y evitar riesgos de acuerdo con las normas de seguridad y salud en el trabajo, medio ambiente y procedimientos establecidos.","transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
asistencia en movimientos de mercadería,"realizar los procesos de movilización y control de la mercadería y bienes en las áreas de bodegas y despachos precautelando la integridad, cantidad, estado y llegada a tiempo; de acuerdo a procedimientos internos y normas de seguridad y salud en el trabajo establecidos.","transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
logística en almacenamiento y distribución,"prestar los servicios de planificación , ejecución y control de los procesos logísticos empresariales de almacenamiento y distribución, según las normas de calidad, seguridad e higiene.","transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
gestión en logística multimodal,"apoyar actividades logísticas en centros de distribución, bodegas, empresas de menor tamaño u otras para dar continuidad operacional a la cadena de distribución","transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
operaciones especializadas en conservas de frutas en almíbar,"procesar frutas para la elaboración de conservas garantizando la calidad e inocuidad mediante el cumplimiento de las normas vigentes, buenas prácticas de manufactura, seguridad y salud en el trabajo, y medio ambiente.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
operaciones especializadas de piso de televisión,"coordinar la operación de equipos y herramientas en sus niveles de competencia, para el desarrollo y continuidad de la producción del medio de comunicación de manera eficiente.",actividades comunitarias,"actividades de producción de películas cinematográficas, vídeos y programas de televisión, grabación de sonido y edición de música",oc,habilitado
capitán de embarcación turística nte inen 2 467 2008,"el capitán de embarcación turística se ocupa, principalmente, de planificar y coordinar las actividades de navegación; supervisar el equipo y conducir la embarcación en ruta turística.","transporte, almacenamiento y logística",transporte por vía acuática,oc,habilitado
gestión contable de fondos y tributación,coordinar los procesos de gestión de fondos y tributación de la institución considerando la normativa legal vigente.,actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
gestión de contratación pública,coordinar la ejecución del proceso de contratación pública considerando la normativa legal vigente.,actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
gestión de soporte a usuarios,"coordinar los procesos de soporte técnico de incidencias y requerimientos reportados, acorde a los diferentes niveles de servicio.",actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
gestión de programación presupuestaria institucional,gestionar la programación presupuestaria acorde a la planificación institucional y a la normativa legal vigente.,actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
jardinería,"realizar trabajos de instalación, mantenimiento y mejora de jardines y áreas verdes tomando en cuenta la normativa de seguridad y la legislación medioambiental vigente.",actividades tipo servicios,actividades de servicios a edificios y paisajismo,oc,habilitado
operaciones de línea de envasado,"realizar el envasado de productos de conservas mediante la preparación y operación equipos de producción, llevando a cabo el control del proceso de acuerdo a la normativa vigente.",transformación de alimentos (incluye agroindustria),actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas,oc,habilitado
promoción comunitaria para el buen vivir,"promover y gestionar procesos de desarrollo integral, partiendo de las necesidades y valorando las potencialidades locales, articulando las demandas comunitarias con los actores internos y externos, ejecutando acciones orientadas a la consecución del buen vivir.",actividades comunitarias,"actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas",oc,habilitado
ebanistería-tallado y escultura,"realizar y mantener obras de artesanía en piedra natural, de carácter tradicional o contemporáneo, según la obra a ejecutar y técnicas establecidas.","productos industriales, farmacéuticos y químicos","actividades creativas, artísticas y de entretenimiento",oc,habilitado
