id_fact_ci_cp,id_razon_social,id_curso_perfil,id_fecha,num_cap,prediction_num_cap,total_horas,prediction_total_horas,total_ganancias,prediction_total_ganancias
49.0,189.0,10256.0,6.0,70.0,70.0,1120.0,1198.420785422309,9800.0,9890.4
50.0,189.0,10257.0,6.0,356.0,356.0,14240.0,14246.075676258526,15948.8,15948.8
51.0,190.0,9986.0,6.0,97.0,97.0,776.0,870.7222098138768,5335.677460317457,5335.677460317457
52.0,197.0,9331.0,6.0,59.0,59.0,2360.0,2343.92693304444,16227.060317460307,16227.060317460307
53.0,197.0,9330.0,6.0,17.0,17.0,680.0,685.2410819957618,4675.593650793648,4675.593650793648
54.0,217.0,8980.0,6.0,4.0,4.0,32.0,42.63386102473624,220.0279365079364,220.0279365079364
55.0,233.0,8976.0,6.0,4.0,4.0,160.0,167.70870044628418,1100.139682539682,1100.139682539682
56.0,239.0,10121.0,6.0,88.0,88.0,704.0,814.9519401144821,14826.24,14826.24
57.0,240.0,10295.0,6.0,61.0,61.0,2440.0,2399.1710006313983,4587.199999999999,4587.199999999999
58.0,241.0,9723.0,6.0,274.0,274.0,10960.0,10796.590986743442,47456.8,47456.8
59.0,251.0,10089.0,6.0,57.0,57.0,1368.0,1349.792982096656,5075.28,5075.28
60.0,252.0,9576.0,6.0,6.0,6.0,240.0,231.43615478078164,1080.0,1080.0
61.0,260.0,9720.0,6.0,1.0,1.0,40.0,46.735976694023975,173.2,173.2
62.0,261.0,10174.0,6.0,5.0,5.0,160.0,163.75554443417377,52.8,52.8
63.0,264.0,9037.0,6.0,1.0,1.0,32.0,37.3160042863924,56.0,56.0
64.0,273.0,9546.0,6.0,13.0,13.0,208.0,228.11706449358053,2190.24,2190.24
65.0,273.0,9547.0,6.0,8.0,8.0,320.0,320.2521440292362,601.5999999999999,601.5999999999999
66.0,286.0,8927.0,6.0,218.0,218.0,6976.0,6974.503747160419,13114.88,13114.88
67.0,286.0,8926.0,6.0,56.0,56.0,2240.0,2254.707401523239,11737.600000000002,11737.600000000002
68.0,287.0,10216.0,6.0,12.0,12.0,480.0,457.6829558926288,3300.4190476190456,3300.4190476190456
69.0,287.0,10217.0,6.0,15.0,15.0,600.0,604.7278947251502,4125.523809523807,4125.523809523807
70.0,288.0,8879.0,6.0,5.0,5.0,200.0,199.71264760742224,558.0,558.0
71.0,295.0,10431.0,6.0,12.0,12.0,96.0,109.89067442981786,2021.76,2021.76
72.0,295.0,10432.0,6.0,37.0,37.0,888.0,903.2530942585904,6233.759999999999,6233.759999999999
73.0,296.0,10348.0,6.0,9.0,9.0,360.0,358.8195736835364,3243.6,3243.6
74.0,296.0,10349.0,6.0,46.0,46.0,1840.0,1833.949459219224,16578.399999999998,16578.399999999998
75.0,297.0,9424.0,6.0,38.0,38.0,1520.0,1519.5150269063774,10451.326984126978,10451.326984126978
76.0,301.0,9988.0,6.0,151.0,151.0,6040.0,6052.833780996374,41530.27301587299,41530.27301587299
77.0,302.0,8261.0,6.0,34.0,34.0,1360.0,1357.4659619646732,2325.6000000000004,2325.6000000000004
78.0,302.0,8262.0,6.0,78.0,78.0,3120.0,3119.86008853732,4680.0,4680.0
79.0,317.0,10909.0,6.0,40.0,40.0,320.0,319.9668758687217,6739.2,6739.2
80.0,317.0,10908.0,6.0,40.0,40.0,960.0,937.8158795785744,3561.5999999999995,3561.5999999999995
81.0,317.0,10237.0,6.0,9.0,9.0,144.0,141.75193406908102,1516.32,1516.32
82.0,317.0,10238.0,6.0,11.0,11.0,440.0,439.7623954618935,1852.4,1852.4
83.0,317.0,10239.0,6.0,138.0,138.0,5520.0,5502.24048260121,6182.400000000001,6182.400000000001
84.0,319.0,9737.0,6.0,70.0,70.0,1680.0,1656.4081688400945,7828.8,7828.8
85.0,319.0,9736.0,6.0,264.0,264.0,8448.0,8420.014270151838,29483.52,29483.52
86.0,322.0,10426.0,6.0,5.0,5.0,200.0,201.27697962323464,1375.1746031746025,1375.1746031746025
87.0,329.0,9630.0,6.0,188.0,188.0,3008.0,3085.1481669571835,20682.62603174602,20682.62603174602
88.0,329.0,9633.0,6.0,19.0,19.0,456.0,457.87016477702446,629.28,629.28
89.0,329.0,9631.0,6.0,45.0,45.0,1080.0,1079.5300026488144,4006.8,4006.8
90.0,351.0,9584.0,6.0,41.0,41.0,328.0,331.5185921293337,2255.286349206348,2255.286349206348
91.0,351.0,9582.0,6.0,31.0,31.0,248.0,259.53661573944873,1705.2165079365068,1705.2165079365068
92.0,351.0,9583.0,6.0,27.0,27.0,432.0,402.7003279429514,1347.84,1347.84
93.0,351.0,9580.0,6.0,31.0,31.0,744.0,815.8185381394464,2447.76,2447.76
94.0,351.0,9581.0,6.0,21.0,21.0,168.0,182.02242440996952,1155.146666666666,1155.146666666666
95.0,351.0,9586.0,6.0,17.0,17.0,680.0,682.0765237415794,2380.0,2380.0
96.0,355.0,10281.0,6.0,46.0,46.0,1840.0,1831.4834759401745,5372.8,5372.8
97.0,362.0,9192.0,6.0,6.0,6.0,96.0,96.17678333340471,660.48,660.48
98.0,362.0,9193.0,6.0,219.0,219.0,1752.0,1634.6130555969316,32850.0,32850.0
99.0,364.0,9391.0,6.0,3.0,3.0,120.0,121.87522100458182,210.0,210.0
100.0,370.0,9745.0,6.0,20.0,20.0,480.0,453.8672428381283,1780.7999999999995,1780.7999999999995
101.0,373.0,9141.0,6.0,8.0,8.0,320.0,321.66905802289284,1440.0,1440.0
102.0,375.0,9308.0,6.0,40.0,40.0,1600.0,1591.901260809845,4800.0,4800.0
103.0,375.0,9307.0,6.0,24.0,24.0,960.0,963.3431167806152,1440.0,1440.0
104.0,375.0,9306.0,6.0,46.0,46.0,1840.0,1824.926301861054,9200.0,9200.0
105.0,376.0,10436.0,6.0,1.0,1.0,24.0,27.64124240247793,360.48,360.48
106.0,376.0,10435.0,6.0,1.0,1.0,40.0,45.17164467821158,60.0,60.0
107.0,376.0,10437.0,6.0,1.0,1.0,40.0,45.17164467821158,60.0,60.0
108.0,376.0,9316.0,6.0,18.0,18.0,576.0,579.8416313704688,6491.52,6491.52
109.0,376.0,9317.0,6.0,20.0,20.0,800.0,784.9602403099302,1400.0,1400.0
110.0,376.0,9315.0,6.0,21.0,21.0,840.0,843.5025643760923,1470.0,1470.0
111.0,381.0,9904.0,6.0,343.0,343.0,13720.0,13806.84825786563,35946.4,35946.4
112.0,381.0,9903.0,6.0,345.0,345.0,13800.0,13815.84050210087,25944.0,25944.0
113.0,381.0,9902.0,6.0,330.0,330.0,13200.0,13143.50999204336,24816.0,24816.0
114.0,381.0,9039.0,6.0,28.0,28.0,448.0,450.32187182722873,1397.76,1397.76
115.0,382.0,8234.0,6.0,24.0,24.0,384.0,373.3597365122873,2640.3352380952365,2640.3352380952365
116.0,382.0,8235.0,6.0,4.0,4.0,160.0,163.67252969542778,1100.139682539682,1100.139682539682
117.0,385.0,9014.0,6.0,1.0,1.0,24.0,27.96703101216144,165.02095238095228,165.02095238095228
118.0,394.0,10214.0,6.0,1.0,1.0,8.0,6.992068896873661,111.76,111.76
119.0,413.0,9793.0,6.0,34.0,34.0,816.0,823.966320092662,3027.36,3027.36
120.0,413.0,9794.0,6.0,5.0,5.0,80.0,79.63424970476217,842.4,842.4
121.0,458.0,8570.0,6.0,5.0,5.0,200.0,201.27697962323464,1600.0,1600.0
122.0,458.0,8569.0,6.0,2.0,2.0,48.0,54.11206085501499,128.16,128.16
123.0,463.0,9125.0,6.0,33.0,33.0,528.0,460.36931793378926,1647.36,1647.36
124.0,463.0,9126.0,6.0,12.0,12.0,288.0,298.9457480608139,1068.48,1068.48
125.0,466.0,9269.0,6.0,36.0,36.0,1440.0,1417.9765940698449,6350.400000000001,6350.400000000001
126.0,469.0,9836.0,6.0,2.0,2.0,80.0,80.59627055922783,360.0,360.0
127.0,469.0,9837.0,6.0,2.0,2.0,80.0,80.77430128852166,419.2000000000001,419.2000000000001
128.0,473.0,9257.0,6.0,203.0,203.0,4872.0,5091.92549902188,73177.44,73177.44
129.0,475.0,8225.0,6.0,1.0,1.0,40.0,46.58855867186821,362.4,362.4
130.0,486.0,9759.0,6.0,73.0,73.0,2920.0,2936.9412558179934,23360.0,23360.0
131.0,487.0,10106.0,6.0,74.0,74.0,1184.0,1208.2420385953624,8276.16,8276.16
132.0,488.0,8915.0,6.0,77.0,77.0,3080.0,2888.3379969595585,13860.0,13860.0
133.0,488.0,8914.0,6.0,70.0,70.0,1680.0,1417.8912056534205,11205.6,11205.6
134.0,489.0,8960.0,6.0,10.0,10.0,80.0,83.09157533465213,550.0698412698409,550.0698412698409
135.0,493.0,9994.0,6.0,16.0,16.0,640.0,649.4699427614573,2880.0,2880.0
136.0,494.0,8257.0,6.0,1.0,1.0,24.0,27.96703101216144,165.02095238095228,165.02095238095228
137.0,496.0,9282.0,6.0,1.0,1.0,40.0,45.31906270036734,140.0,140.0
138.0,496.0,9281.0,6.0,1.0,1.0,40.0,45.31906270036734,44.8,44.8
139.0,496.0,9280.0,6.0,2.0,2.0,32.0,28.90295055030174,10.56,10.56
140.0,498.0,9716.0,6.0,127.0,127.0,5080.0,5386.3813659920015,69850.0,69850.0
141.0,498.0,10915.0,6.0,185.0,185.0,7400.0,7556.625135916158,12950.0,12950.0
142.0,503.0,10181.0,6.0,10.0,10.0,400.0,402.0784393156532,700.0,700.0
143.0,505.0,10101.0,6.0,3.0,3.0,48.0,51.26800783245153,505.44,505.50000000000006
144.0,515.0,8984.0,6.0,7.0,7.0,280.0,280.6077939848069,1467.2000000000005,1467.2000000000005
145.0,523.0,9458.0,6.0,12.0,12.0,480.0,478.07787414441145,537.6,537.6
146.0,523.0,9289.0,6.0,45.0,45.0,1800.0,1797.3999476003114,2700.0,2700.0
147.0,523.0,9457.0,6.0,16.0,16.0,640.0,643.2405440265898,716.8000000000001,716.8000000000001
148.0,523.0,9456.0,6.0,4.0,4.0,96.0,85.0538616877634,356.16,356.16
149.0,526.0,9297.0,6.0,301.0,301.0,12040.0,12874.67209939646,50688.4,50688.4
150.0,526.0,9299.0,6.0,6.0,6.0,192.0,186.96676446019,670.08,670.08
151.0,526.0,10389.0,6.0,205.0,205.0,8200.0,8243.45252345024,22878.0,22878.0
152.0,526.0,9298.0,6.0,360.0,360.0,14400.0,14076.535371955357,40176.0,40176.0
153.0,527.0,9232.0,6.0,11.0,11.0,440.0,481.0322360646565,6050.0,6050.0
154.0,527.0,9230.0,6.0,6.0,6.0,240.0,229.06844310263432,2162.4,2162.4
155.0,527.0,9231.0,6.0,47.0,47.0,752.0,761.3693250593383,16942.56,16942.56
156.0,544.0,8882.0,6.0,18.0,18.0,144.0,149.26180497823543,360.0,360.0
157.0,544.0,8883.0,6.0,26.0,26.0,1040.0,1033.429575335456,7150.907936507932,7150.907936507932
158.0,547.0,9112.0,6.0,3.0,3.0,120.0,121.63037134356593,825.1047619047614,825.1047619047614
159.0,577.0,9762.0,6.0,3.0,3.0,96.0,98.20545632658786,180.48,180.48
160.0,577.0,9763.0,6.0,9.0,9.0,216.0,218.04281951008625,792.72,792.72
161.0,578.0,10108.0,6.0,170.0,170.0,5440.0,5276.947251267604,61308.8,61308.8
162.0,583.0,8928.0,6.0,10.0,10.0,160.0,139.47985860226936,44.8,44.8
163.0,586.0,9685.0,6.0,64.0,64.0,2560.0,2568.608452802396,4812.799999999999,4812.799999999999
164.0,588.0,10816.0,6.0,1.0,1.0,32.0,37.91676260052509,138.56,138.56
165.0,588.0,9359.0,6.0,14.0,14.0,448.0,452.8369033884842,1939.84,1939.84
166.0,590.0,9080.0,6.0,13.0,13.0,312.0,321.1582664427001,4421.04,4421.04
167.0,599.0,8402.0,6.0,29.0,29.0,464.0,478.57440097151584,3190.4050793650777,3190.4050793650777
168.0,599.0,8404.0,6.0,79.0,79.0,3160.0,3160.38450029759,21727.758730158715,21727.758730158715
169.0,599.0,8403.0,6.0,26.0,26.0,416.0,402.7003279429514,2860.363174603173,2860.363174603173
170.0,607.0,9081.0,6.0,45.0,45.0,1800.0,1807.4735800790247,2700.0,2700.0
171.0,609.0,9476.0,6.0,28.0,28.0,1120.0,1121.464152118063,1960.0,1960.0
172.0,612.0,8229.0,6.0,1.0,1.0,16.0,23.83918118743486,64.0,64.0
173.0,612.0,8228.0,6.0,5.0,5.0,200.0,202.07638846138752,300.0,300.0
174.0,625.0,10067.0,6.0,1.0,1.0,8.0,9.22431064663715,20.0,22.506666666666664
175.0,628.0,9868.0,6.0,16.0,16.0,128.0,134.2184611958105,880.1117460317455,880.1117460317455
176.0,635.0,9478.0,6.0,77.0,77.0,3080.0,3098.251440293959,13860.0,13860.0
177.0,635.0,9479.0,6.0,7.0,7.0,280.0,278.19419312464333,313.6,313.6
178.0,637.0,10368.0,6.0,16.0,16.0,256.0,272.70116014300174,1760.223492063491,1760.223492063491
179.0,641.0,9208.0,6.0,24.0,24.0,960.0,970.9170784766206,4320.0,4320.0
180.0,642.0,9032.0,6.0,19.0,19.0,304.0,308.79391242085285,948.48,948.48
181.0,643.0,9965.0,6.0,5.0,5.0,200.0,199.860065629578,700.0,700.0
182.0,645.0,9541.0,6.0,32.0,32.0,1280.0,1276.5636385994617,1433.6,1433.6
183.0,651.0,9551.0,6.0,17.0,17.0,272.0,279.55596496431417,6128.16,6128.16
184.0,652.0,9652.0,6.0,4.0,4.0,128.0,137.47626896469183,674.56,674.56
185.0,656.0,9401.0,6.0,180.0,180.0,1440.0,1407.009673501237,10800.0,10800.0
186.0,656.0,9400.0,6.0,31.0,31.0,1240.0,1269.2337353740472,17050.0,17050.0
187.0,661.0,9604.0,6.0,20.0,20.0,640.0,630.1659012109626,7212.799999999999,7212.799999999999
188.0,705.0,9152.0,6.0,4.0,4.0,64.0,62.099565821572014,673.92,673.92
189.0,705.0,9153.0,6.0,34.0,34.0,1360.0,1359.2347761037413,6120.0,6120.0
190.0,716.0,10006.0,6.0,10.0,10.0,400.0,402.225857337809,400.0,400.0
191.0,716.0,10005.0,6.0,572.0,572.0,13728.0,11961.148066051175,4530.24,4530.24
192.0,746.0,9597.0,6.0,7.0,7.0,280.0,280.75521200696267,1212.4,1212.4
193.0,746.0,9024.0,6.0,37.0,37.0,1184.0,1159.093590463384,5126.72,5126.72
194.0,746.0,9598.0,6.0,52.0,52.0,1248.0,1238.2933080148537,5403.84,5403.84
195.0,748.0,10201.0,6.0,89.0,89.0,3560.0,3548.2065678936083,13350.0,13350.0
196.0,752.0,8998.0,6.0,18.0,18.0,576.0,580.7146971773941,1082.88,1082.88
197.0,752.0,10538.0,6.0,8.0,8.0,320.0,320.2521440292362,560.0,560.0
198.0,752.0,8999.0,6.0,519.0,519.0,20760.0,23630.00858546036,166080.0,166080.0
199.0,752.0,10537.0,6.0,11.0,11.0,440.0,439.81051890353,3520.0,3520.0
200.0,753.0,9226.0,6.0,18.0,18.0,288.0,284.3414774042208,2013.12,2013.12
201.0,759.0,9701.0,6.0,62.0,62.0,1984.0,1990.848696465476,3729.92,3729.92
202.0,759.0,9700.0,6.0,23.0,23.0,552.0,547.1723145198662,2025.84,2025.84
203.0,769.0,9940.0,6.0,5.0,5.0,120.0,123.1032321554262,657.6,657.6
204.0,775.0,11069.0,6.0,7.0,7.0,224.0,221.8324802023012,969.92,969.92
205.0,776.0,9418.0,6.0,7.0,7.0,224.0,221.5066915926177,2524.48,2524.48
206.0,779.0,10040.0,6.0,92.0,92.0,3680.0,3651.313082436903,11040.0,11040.0
207.0,794.0,9026.0,6.0,130.0,130.0,5200.0,5249.63966604682,35754.53968253966,35754.53968253966
208.0,804.0,9758.0,6.0,102.0,102.0,4080.0,4078.103289480193,6976.8,6976.8
209.0,881.0,9540.0,6.0,14.0,14.0,336.0,339.7871479567725,1246.56,1246.56
210.0,883.0,10848.0,6.0,8.0,8.0,320.0,320.2521440292362,1347.2,1347.2
211.0,883.0,9432.0,6.0,60.0,60.0,960.0,977.3040969770988,6710.400000000001,6710.400000000001
212.0,884.0,9810.0,6.0,2.0,2.0,80.0,79.50480531702078,89.60000000000001,89.60000000000001
213.0,885.0,8255.0,6.0,14.0,14.0,336.0,336.51759415386505,2310.293333333332,2310.293333333332
214.0,885.0,8256.0,6.0,1.0,1.0,16.0,21.02210004149265,110.0139682539682,110.0139682539682
215.0,891.0,10034.0,6.0,1.0,1.0,16.0,21.62285835562534,26.72,22.506666666666664
216.0,902.0,11071.0,6.0,402.0,402.0,6432.0,6536.304479632399,2122.56,2122.56
217.0,902.0,10222.0,6.0,348.0,348.0,13920.0,14126.309454168995,13920.0,13920.0
218.0,902.0,10159.0,6.0,177.0,177.0,4248.0,4148.276372897311,1401.84,1401.84
219.0,902.0,10160.0,6.0,50.0,50.0,800.0,802.8407858860332,264.0,264.0
220.0,906.0,9877.0,6.0,17.0,17.0,408.0,404.1161794093091,2864.16,2864.16
221.0,910.0,8925.0,6.0,4.0,4.0,160.0,162.8338458145622,673.6,673.6
222.0,925.0,10390.0,6.0,38.0,38.0,608.0,595.4963194680054,200.64,200.64
223.0,929.0,8221.0,6.0,3.0,3.0,96.0,97.87966771690436,628.8,628.8
224.0,930.0,9154.0,6.0,8.0,8.0,320.0,320.2521440292362,601.5999999999999,601.5999999999999
225.0,930.0,9155.0,6.0,4.0,4.0,96.0,84.1273147639472,673.92,673.92
226.0,937.0,9924.0,6.0,412.0,412.0,6592.0,7229.94527421879,45325.75492063489,45325.75492063489
227.0,942.0,10311.0,6.0,205.0,205.0,8200.0,7178.5132746769705,112750.0,112750.0
228.0,942.0,10312.0,6.0,205.0,205.0,8200.0,7178.5132746769705,112750.0,112750.0
229.0,942.0,10309.0,6.0,1.0,1.0,40.0,44.042816264427074,360.4,360.4
230.0,942.0,10310.0,6.0,1.0,1.0,40.0,44.042816264427074,360.4,360.4
231.0,945.0,10535.0,6.0,11.0,11.0,440.0,440.6944976562986,3025.384126984125,3025.384126984125
232.0,945.0,8967.0,6.0,481.0,481.0,19240.0,17293.387133128814,132291.79682539674,132291.79682539674
233.0,945.0,8966.0,6.0,40.0,40.0,640.0,626.7043965560038,4400.558730158728,4400.558730158728
234.0,946.0,10758.0,6.0,2.0,2.0,80.0,79.35738729486502,223.2,223.2
235.0,946.0,9143.0,6.0,5.0,5.0,80.0,79.63424970476217,842.4,842.4
236.0,946.0,9142.0,6.0,1.0,1.0,40.0,45.17164467821158,75.19999999999999,75.19999999999999
237.0,952.0,8867.0,6.0,2.0,2.0,16.0,19.8734324750144,336.96,336.96
238.0,961.0,9601.0,6.0,1.0,1.0,40.0,45.31906270036734,44.8,44.8
239.0,961.0,9600.0,6.0,17.0,17.0,680.0,682.6238009388212,1020.0,1020.0
240.0,961.0,9599.0,6.0,3.0,3.0,120.0,122.02263902673758,180.0,180.0
241.0,965.0,8947.0,6.0,66.0,66.0,2640.0,2615.657164136752,4620.0,4620.0
242.0,965.0,10240.0,6.0,282.0,282.0,11280.0,11305.758198685817,77559.84761904758,77559.84761904758
243.0,965.0,10241.0,6.0,7.0,7.0,280.0,280.6077939848069,1925.2444444444432,1925.2444444444432
244.0,970.0,10215.0,6.0,84.0,84.0,3360.0,3307.4698853891928,5040.0,5040.0
245.0,971.0,9450.0,6.0,7.0,7.0,112.0,116.55305291978902,1179.36,1179.36
246.0,971.0,10863.0,6.0,24.0,24.0,960.0,963.3431167806152,4041.6,4041.6
247.0,971.0,9449.0,6.0,27.0,27.0,432.0,411.26349820463247,4548.96,4548.96
248.0,971.0,10862.0,6.0,16.0,16.0,640.0,644.1101808230046,2880.0,2880.0
249.0,971.0,9451.0,6.0,79.0,79.0,1264.0,1237.3027485710222,13309.92,13309.92
250.0,972.0,8815.0,6.0,98.0,98.0,3920.0,3914.919174740896,16503.2,16503.2
251.0,974.0,9367.0,6.0,12.0,12.0,288.0,295.323026317044,2021.76,2021.76
252.0,974.0,9368.0,6.0,12.0,12.0,480.0,477.9304561222557,1339.1999999999998,1339.1999999999998
253.0,974.0,9366.0,6.0,12.0,12.0,480.0,477.9304561222557,1339.1999999999998,1339.1999999999998
254.0,977.0,9328.0,6.0,27.0,27.0,216.0,222.85260308800525,540.0,540.0
255.0,979.0,9842.0,6.0,19.0,19.0,304.0,306.9598739341486,2090.265396825396,2090.265396825396
256.0,980.0,10017.0,6.0,19.0,19.0,608.0,617.2655903723676,3204.16,3204.16
257.0,980.0,10016.0,6.0,68.0,68.0,1088.0,1125.300333726092,11456.64,11456.64
258.0,982.0,10186.0,6.0,305.0,305.0,4880.0,4841.541435840412,33554.2603174603,33554.2603174603
259.0,982.0,10187.0,6.0,96.0,96.0,3840.0,3827.835935081228,26403.352380952365,26403.352380952365
260.0,985.0,9043.0,6.0,1.0,1.0,16.0,21.02210004149265,110.0139682539682,110.0139682539682
261.0,986.0,9772.0,6.0,1.0,1.0,40.0,45.17164467821158,70.0,70.0
262.0,986.0,9771.0,6.0,1.0,1.0,40.0,45.17164467821158,70.0,70.0
263.0,1001.0,9555.0,6.0,161.0,161.0,5152.0,5119.685053023382,1700.16,1700.16
264.0,1001.0,9556.0,6.0,100.0,100.0,1600.0,1606.114219072147,28992.0,28992.0
265.0,1001.0,9554.0,6.0,2.0,2.0,32.0,37.87857373325414,579.84,579.84
266.0,1006.0,8894.0,6.0,1.0,1.0,32.0,37.91676260052509,32.0,36.52
267.0,1009.0,9020.0,6.0,4.0,4.0,160.0,162.1081976796154,673.6,673.6
268.0,1011.0,9218.0,6.0,1.0,1.0,40.0,45.17164467821158,20.8,22.506666666666664
269.0,1024.0,9845.0,6.0,5.0,5.0,160.0,162.82899751035757,843.1999999999999,843.1999999999999
270.0,1027.0,9293.0,6.0,23.0,23.0,920.0,912.2727729136708,1692.8000000000002,1692.8000000000002
271.0,1037.0,8941.0,6.0,11.0,11.0,440.0,442.379676518834,1980.0,1980.0
272.0,1043.0,9881.0,6.0,61.0,61.0,488.0,439.20443441240377,10277.28,10277.28
273.0,1238.0,9304.0,6.0,1.0,1.0,24.0,29.028537775262063,7.199999999999999,7.199999999999999
274.0,1238.0,9305.0,6.0,53.0,53.0,2120.0,2126.3632839041416,3180.0,3180.0
275.0,1239.0,9238.0,6.0,8.0,8.0,320.0,320.2521440292362,560.0,560.0
276.0,1240.0,10291.0,6.0,16.0,16.0,640.0,643.2405440265898,1120.0,1120.0
277.0,1246.0,10218.0,6.0,99.0,99.0,1584.0,1622.361304193607,38808.0,38808.0
278.0,1247.0,9314.0,6.0,106.0,106.0,4240.0,4228.945941570088,7420.0,7420.0
279.0,1250.0,9389.0,6.0,7.0,7.0,112.0,116.2833778363306,909.44,909.44
280.0,1250.0,9388.0,6.0,40.0,40.0,1600.0,1591.901260809845,2400.0,2400.0
281.0,1253.0,8948.0,6.0,1.0,1.0,40.0,46.58855867186821,320.0,320.0
282.0,1257.0,9655.0,6.0,15.0,15.0,240.0,232.72141409931965,1677.6,1677.6
