id_fact_ci_rs,id_razon_social,id_fecha,total_cursos,prediction_total_cursos,volumen_cap,prediction_volumen_cap,volumen_horas,prediction_volumen_horas,volumen_ganancias,prediction_volumen_ganancias
372.0,2129.0,7.0,2.0,1.998767938441666,5.0,5.0,192.0,192.0,340.16,647.2528394560213
375.0,2135.0,7.0,1.0,1.1466032449047598,7.0,7.0,280.0,154.0,420.0,1153.7269730667467
378.0,2140.0,7.0,1.0,1.42641651561869,183.0,183.0,4392.0,3044.0,20466.72,21558.180284405767
379.0,2141.0,7.0,1.0,1.1225891055278008,32.0,32.0,256.0,256.0,5391.36,4219.786498675763
380.0,2148.0,7.0,1.0,1.156030815493501,24.0,24.0,960.0,960.0,7680.0,4670.120912025392
383.0,2152.0,7.0,1.0,1.0103343138566525,1.0,1.0,8.0,8.0,55.006984126984094,287.62277353805257
387.0,2166.0,7.0,2.0,1.7462722734330565,12.0,12.0,288.0,288.0,1499.499682539682,1699.2695915202494
389.0,2171.0,7.0,1.0,1.0828915499246032,2.0,2.0,80.0,80.0,46.4,316.5726636747713
390.0,2175.0,7.0,6.0,5.987787924216697,1146.0,1146.0,21384.0,21384.0,180279.65714285703,164961.04812297103
394.0,2187.0,7.0,1.0,0.9701230150226148,1.0,1.0,40.0,40.0,70.0,40.17619062465383
403.0,2214.0,7.0,3.0,2.8754020192995777,19.0,19.0,760.0,760.0,1180.0,2364.3835014800425
407.0,222.0,7.0,6.0,5.871952481572386,543.0,543.0,18240.0,18240.0,80473.84000000001,79366.94802340743
411.0,2227.0,7.0,1.0,1.0182373751945089,2.0,2.0,80.0,80.0,120.0,69.12608076137258
412.0,2228.0,7.0,1.0,1.011648659582057,3.0,3.0,48.0,48.0,330.04190476190456,732.7960754136438
419.0,2241.0,7.0,1.0,1.0194875743968406,34.0,34.0,1360.0,1360.0,2380.0,3341.803669540852
421.0,2243.0,7.0,1.0,1.1386256844075215,14.0,14.0,112.0,112.0,770.0977777777773,1422.96071071428
424.0,2248.0,7.0,2.0,1.636445208614965,77.0,77.0,616.0,1189.3333333333333,12972.96,10900.219735870778
425.0,2250.0,7.0,1.0,0.9212139268151768,3.0,3.0,48.0,48.0,82.08,207.0570124487276
436.0,249.0,7.0,1.0,1.1365030645306216,17.0,17.0,680.0,680.0,9350.0,2989.793268690526
437.0,25.0,7.0,1.0,1.218101619199366,3.0,3.0,120.0,108.0,334.79999999999995,531.0456251005526
438.0,250.0,7.0,1.0,1.0621009379596908,26.0,26.0,832.0,832.0,5724.16,4783.332398841798
441.0,259.0,7.0,2.0,1.922766761485924,93.0,93.0,1904.0,1189.3333333333333,15668.64,12433.17705560726
459.0,305.0,7.0,2.0,1.760345119079353,13.0,13.0,256.0,256.0,2076.48,1648.546204934537
464.0,320.0,7.0,3.0,2.1028502428730245,3.0,3.0,72.0,72.0,395.0869841269841,511.8815481166239
467.0,34.0,7.0,2.0,1.967010863469092,165.0,165.0,4520.0,4520.0,21201.422222222216,20172.07437619072
471.0,358.0,7.0,7.0,6.754030586663227,247.0,247.0,2808.0,2808.0,33810.24,38896.72592975077
472.0,360.0,7.0,2.0,2.1321115080122364,30.0,35.5,608.0,608.0,5743.36,4867.445117900788
473.0,361.0,7.0,2.0,1.7704854270836914,12.0,12.0,272.0,272.0,1342.0800000000002,1527.704084883153
476.0,366.0,7.0,1.0,1.1703101646548713,25.0,25.0,1000.0,1000.0,1120.0,3119.0245164136286
484.0,387.0,7.0,1.0,1.0733325842979649,53.0,53.0,848.0,848.0,5830.740317460314,6191.380222747743
489.0,456.0,7.0,1.0,1.5145907809041783,11.0,11.0,440.0,440.0,770.0,1377.249022016942
491.0,459.0,7.0,1.0,1.046805370492144,3.0,2.5,48.0,48.0,330.04190476190456,446.99630869430257
499.0,481.0,7.0,2.0,1.9929052388224373,661.0,661.0,7008.0,7008.0,2312.6400000000003,5509.001296966046
500.0,485.0,7.0,1.0,1.0597617766602307,108.0,108.0,1728.0,1728.0,11881.508571428563,11706.038433621346
505.0,490.0,7.0,1.0,1.2400407705449434,14.0,14.0,560.0,520.0,3850.4888888888863,1920.7080979446764
523.0,581.0,7.0,1.0,0.9098697009744464,27.0,27.0,1080.0,1080.0,1890.0,3771.725670586049
525.0,585.0,7.0,2.0,1.6268700080567906,27.0,27.0,664.0,786.6666666666666,4548.879999999999,4010.741509209096
530.0,6.0,7.0,1.0,1.1062548614163243,107.0,107.0,1712.0,1712.0,14072.64,14127.753951917111
531.0,60.0,7.0,2.0,1.690461961511097,50.0,50.0,1600.0,1600.0,3008.0,6098.714930305898
540.0,63.0,7.0,1.0,1.06202833029463,2.0,2.5,80.0,74.66666666666667,419.2000000000001,316.5726636747713
549.0,65.0,7.0,2.0,1.6313154081931098,22.0,22.0,736.0,786.6666666666666,5637.76,3383.66643739742
554.0,659.0,7.0,1.0,1.0631690221439167,16.0,16.0,384.0,384.0,960.0,1037.5652226309176
558.0,70.0,7.0,1.0,1.106543852986284,5.0,5.0,160.0,160.0,1100.139682539682,647.2528394560213
560.0,706.0,7.0,1.0,1.032547145653531,1.0,1.0,40.0,40.0,200.0,287.62277353805257
561.0,710.0,7.0,1.0,1.0301958205622903,25.0,25.0,1000.0,1000.0,1120.0,1258.946006427228
575.0,780.0,7.0,1.0,1.1141529734036122,32.0,32.0,1280.0,1280.0,5388.8,5081.302056084096
579.0,810.0,7.0,1.0,1.4521637664933915,3.0,3.0,72.0,72.0,267.12,511.8815481166239
580.0,811.0,7.0,2.0,1.6759671552740438,46.0,46.0,1408.0,1408.0,6472.960000000001,5935.080530593812
581.0,812.0,7.0,2.0,1.9406653665123268,3.0,3.0,104.0,104.0,715.0907936507932,512.2142025927897
582.0,823.0,7.0,1.0,1.0784923310807026,20.0,14.0,320.0,320.0,2560.0,2490.203139255464
586.0,877.0,7.0,1.0,1.121311224570014,8.0,14.0,320.0,352.0,2560.0,1450.8313590983744
596.0,922.0,7.0,1.0,1.0835430781480464,403.0,403.0,16120.0,16120.0,16120.0,24640.96456441161
598.0,926.0,7.0,1.0,0.9991234665599004,16.0,16.0,256.0,256.0,640.0,986.5501459936496
601.0,934.0,7.0,2.0,1.9159078629877293,107.0,107.0,4040.0,4040.0,12509.999999999998,16266.221588979184
603.0,941.0,7.0,1.0,1.0505563675273843,3.0,3.0,120.0,108.0,540.0,531.0456251005526
619.0,98.0,7.0,1.0,1.009247630585811,1.0,1.0,40.0,40.0,275.03492063492047,437.2197690705652
624.0,989.0,7.0,2.0,1.5020892818524554,9.0,9.5,336.0,352.0,427.68000000000006,1450.8313590983744
626.0,995.0,7.0,5.0,4.907366183219871,376.0,376.0,10472.0,10472.0,42352.32,39909.07510633645
1.0,1001.0,6.0,3.0,2.83473601467174,263.0,263.0,6784.0,6784.0,31272.0,33762.67569744092
4.0,1006.0,6.0,1.0,1.027137929772358,1.0,1.0,32.0,32.0,32.0,309.06028003495885
5.0,1009.0,6.0,1.0,1.03998494010964,4.0,4.0,160.0,160.0,673.6,568.7960857252474
6.0,1011.0,6.0,1.0,1.0141018641538504,1.0,1.0,40.0,40.0,20.8,325.3732341627474
9.0,1024.0,6.0,1.0,1.3194150882031646,5.0,5.0,160.0,160.0,843.1999999999999,685.0033000807161
11.0,1027.0,6.0,1.0,0.9149896735020556,23.0,23.0,920.0,920.0,1692.8000000000002,3055.321149120748
14.0,1037.0,6.0,1.0,1.1476742046492985,11.0,11.0,440.0,440.0,1980.0,1414.9994826416369
15.0,1043.0,6.0,1.0,1.1306454674072266,61.0,61.0,488.0,1037.3333333333333,10277.28,7827.944863567769
16.0,108.0,6.0,2.0,2.688666758231626,41.0,41.0,1640.0,1640.0,8805.523809523807,6041.33117861551
17.0,111.0,6.0,1.0,1.027137929772358,1.0,1.0,16.0,16.0,4.48,309.06028003495885
18.0,117.0,6.0,1.0,1.086439805886108,9.0,9.0,144.0,126.66666666666669,623.52,997.82474536699
19.0,120.0,6.0,1.0,1.1414521195351663,2.0,2.333333333333333,80.0,80.0,41.6,354.32312429946614
20.0,1238.0,6.0,2.0,1.9836773961564869,54.0,54.0,2144.0,2144.0,3187.2,2977.143726954877
21.0,1239.0,6.0,1.0,1.0965089373298509,8.0,8.0,320.0,320.0,560.0,1652.744292924821
22.0,1240.0,6.0,1.0,1.1641218181307305,16.0,16.0,640.0,640.0,1120.0,2606.2861148814554
23.0,1246.0,6.0,1.0,1.1169440197472578,99.0,99.0,1584.0,1584.0,38808.0,23607.06159693998
24.0,1247.0,6.0,1.0,1.149986818533285,106.0,106.0,4240.0,4240.0,7420.0,13795.263584683358
25.0,125.0,6.0,3.0,2.862302934403466,160.0,160.0,6400.0,6400.0,6923.200000000001,12706.027793134272
26.0,1250.0,6.0,2.0,1.9731733569956087,47.0,47.0,1712.0,1712.0,3309.44,4710.816351364076
28.0,1253.0,6.0,1.0,0.9984710437902105,1.0,1.0,40.0,40.0,320.0,376.2689926127787
29.0,1257.0,6.0,3.0,3.4350765698209,465.0,465.0,5280.0,5280.0,51984.0,54398.280939175456
31.0,1263.0,6.0,2.0,1.3517938814133923,24.0,24.0,408.0,292.0,2683.92,3107.002506504476
33.0,1266.0,6.0,3.0,2.4519258914647035,86.0,86.0,3440.0,2933.333333333333,10403.6,10797.329252491414
34.0,1267.0,6.0,1.0,1.1117844924687923,2.0,2.0,32.0,32.0,85.44,321.8084489802713
35.0,1268.0,6.0,1.0,1.0643494000057454,69.0,69.0,1656.0,1656.0,24873.120000000003,21280.17303223413
36.0,1269.0,6.0,1.0,1.4048714571785932,79.0,79.0,1264.0,1408.0,13309.92,9501.425607929648
37.0,127.0,6.0,1.0,1.153629310627799,2.0,2.0,80.0,80.0,89.60000000000001,338.0101701716776
38.0,1270.0,6.0,1.0,1.0257025110645157,34.0,34.0,544.0,544.0,3740.4749206349184,3760.818732688844
39.0,1272.0,6.0,1.0,0.9966456558672472,1.0,1.0,40.0,40.0,70.0,376.2689926127787
41.0,1275.0,6.0,2.0,1.7320006639006134,11.0,11.0,440.0,440.0,794.4000000000001,972.1507357458468
43.0,128.0,6.0,1.0,1.023260722950432,1.0,1.0,40.0,34.666666666666664,168.4,325.3732341627474
44.0,1281.0,6.0,1.0,0.9994314410891784,4.0,4.0,160.0,160.0,240.0,667.5622474650736
45.0,1282.0,6.0,1.0,1.0328454905779618,1.0,1.0,16.0,16.0,140.0,309.06028003495885
46.0,1294.0,6.0,1.0,1.015370148923899,13.0,13.0,520.0,520.0,582.4000000000001,1009.46741665405
47.0,1298.0,6.0,1.0,1.3770813441849223,124.0,124.0,4960.0,4960.0,22320.0,29577.172123084485
49.0,1301.0,6.0,1.0,1.192929944813819,1019.0,1019.0,32608.0,32608.0,224343.04,189822.35902079812
50.0,1313.0,6.0,1.0,1.023260722950432,1.0,1.0,32.0,32.0,168.64,325.3732341627474
51.0,1315.0,6.0,1.0,1.033630200129188,24.0,24.0,960.0,597.3333333333334,4041.6,3770.844175587117
52.0,1316.0,6.0,1.0,1.424019515975011,3.0,3.0,96.0,104.0,335.04,500.9484905104037
53.0,1333.0,6.0,1.0,1.086623494479205,2.0,2.0,32.0,37.333333333333336,99.84,338.1214031080599
55.0,1337.0,6.0,2.0,2.152043133994745,100.0,100.0,3448.0,3448.0,20004.56,15779.201871941506
57.0,1339.0,6.0,2.0,2.0209269875581195,37.0,37.0,856.0,856.0,13336.88,5000.902969608724
58.0,1343.0,6.0,1.0,1.1500379157791722,13.0,13.0,520.0,520.0,1450.8,1958.4585585693712
59.0,1345.0,6.0,2.0,1.8753527981157057,8.0,8.0,256.0,209.1428571428572,802.56,1155.606785188138
60.0,1348.0,6.0,2.0,1.511617288017511,9.0,9.0,88.0,126.66666666666669,700.0,980.0535661677714
61.0,1349.0,6.0,2.0,1.745497717797185,13.0,13.0,368.0,368.0,4240.195555555554,8578.869911997288
62.0,1350.0,6.0,1.0,1.0648744640297774,5.0,5.0,200.0,200.0,350.0,783.7694618205423
63.0,1353.0,6.0,2.0,2.52586675426253,161.0,161.0,6440.0,4688.0,18804.8,24281.5841222058
65.0,1358.0,6.0,4.0,4.159761312931529,883.0,853.0,23008.0,23008.0,97234.56,97949.77775058028
66.0,1359.0,6.0,1.0,1.0612386893940091,45.0,45.0,1800.0,1800.0,2700.0,5223.788751850545
68.0,1362.0,6.0,2.0,2.013511864827229,49.0,53.0,784.0,784.0,11179.04,7239.030847976624
70.0,1364.0,6.0,1.0,1.114700690303358,41.0,41.0,656.0,656.0,4510.572698412696,3309.794214854657
72.0,1367.0,6.0,1.0,1.1218114292846404,10.0,10.0,400.0,293.3333333333333,1684.0,1223.201920996129
74.0,1370.0,6.0,1.0,1.0753253793468285,1.0,1.0,40.0,40.0,173.2,309.06028003495885
75.0,1371.0,6.0,2.0,1.99792537046094,43.0,43.0,1432.0,1432.0,1303.36,6041.33117861551
77.0,1379.0,6.0,3.0,2.712803446424437,42.0,42.0,1680.0,1680.0,9377.2,8747.942915866792
78.0,1380.0,6.0,1.0,0.926045877907178,260.0,260.0,10400.0,10400.0,46800.0,46435.15221013007
80.0,1385.0,6.0,1.0,0.9577845050139112,4.0,4.0,160.0,160.0,1100.139682539682,680.5969812969561
81.0,1386.0,6.0,2.0,1.8931022157252992,38.0,38.0,1520.0,1520.0,1702.4,2935.2549511293764
82.0,1390.0,6.0,2.0,1.9346055427090287,59.0,59.0,1024.0,1024.0,3795.819682539682,7327.734505901753
84.0,1393.0,6.0,2.0,1.811779970461863,15.0,15.0,584.0,584.0,900.3199999999999,2050.403430173814
85.0,1395.0,6.0,3.0,3.08774120316864,257.0,257.0,4576.0,4576.0,46710.08,39415.205428237736
86.0,1397.0,6.0,1.0,1.445764651913556,12.0,12.0,384.0,384.0,1340.16,1597.1790328125353
87.0,1398.0,6.0,1.0,1.1575672847052156,6.0,4.5,96.0,96.0,533.76,692.5143474439974
88.0,1401.0,6.0,2.0,1.6959657186766672,15.0,15.0,600.0,600.0,1050.0,2213.5962526301737
89.0,1402.0,6.0,1.0,0.9919117296690056,1.0,1.0,16.0,16.0,129.92,424.1393959025736
90.0,1406.0,6.0,7.0,6.939146859373956,212.0,212.0,4128.0,4128.0,27623.324444444428,26497.371211542457
91.0,1408.0,6.0,2.0,1.9505852714487228,6.0,6.0,80.0,164.0,1279.68,676.2013933162089
92.0,1413.0,6.0,3.0,2.1346267581961693,17.0,16.5,480.0,480.0,2078.4,2601.9971191386576
94.0,1416.0,6.0,2.0,1.9122917751767328,54.0,54.0,2160.0,2160.0,18522.58412698413,12268.728525112092
95.0,1420.0,6.0,1.0,1.0402600140318792,2.0,2.0,32.0,32.0,220.0279365079364,389.34981603425695
96.0,1430.0,6.0,2.0,2.088283061834296,94.0,94.0,1880.0,1880.0,7099.536507936505,5651.454926143109
98.0,1438.0,6.0,2.0,2.1000785636265173,110.0,110.0,1088.0,1088.0,7480.949841269838,9226.96925313276
99.0,1439.0,6.0,2.0,2.1870093283741663,270.0,270.0,3088.0,3088.0,15620.0,23078.60931837064
100.0,1441.0,6.0,3.0,2.6318049457172275,36.0,36.0,888.0,888.0,2288.497777777777,4872.5599215130205
101.0,1453.0,6.0,1.0,1.029767009024432,26.0,26.0,208.0,597.3333333333334,4380.48,3145.3403064112063
102.0,1455.0,6.0,2.0,1.889832370545697,15.0,15.0,384.0,384.0,2190.2095238095226,2186.82036430639
103.0,1457.0,6.0,3.0,2.7865577943507343,58.0,58.0,2320.0,2320.0,16226.990476190464,13673.355096767364
104.0,1464.0,6.0,1.0,1.0008697382295175,22.0,22.0,880.0,880.0,3960.0,2480.009312401234
105.0,1465.0,6.0,1.0,1.016798188970348,21.0,21.0,840.0,840.0,1470.0,2781.50855726999
106.0,1468.0,6.0,2.0,2.145513853049557,36.0,36.0,1104.0,1104.0,7074.598095238091,5200.912962863862
107.0,1469.0,6.0,1.0,0.9780849059629656,16.0,16.0,640.0,640.0,4400.558730158728,2606.2861148814554
108.0,1470.0,6.0,1.0,1.023860266980115,2.0,2.0,32.0,21.33333333333333,336.96,338.1214031080599
109.0,1472.0,6.0,1.0,1.1819849681000745,9.0,9.0,72.0,126.66666666666669,540.0,980.0535661677714
110.0,1474.0,6.0,2.0,2.290167266119602,94.0,94.0,1072.0,1072.0,2128.0,2762.79679168266
111.0,1475.0,6.0,2.0,1.795286038830887,81.0,81.0,1544.0,1544.0,10340.48,12601.873467693746
112.0,1476.0,6.0,1.0,1.3116930188102525,13.0,13.0,312.0,312.0,1026.48,1753.8918013672228
114.0,1479.0,6.0,1.0,1.2766885222685924,26.0,26.0,624.0,597.3333333333334,4380.48,3979.909803638875
115.0,1481.0,6.0,3.0,2.833146752842345,90.0,90.0,3120.0,3120.0,20250.844444444432,20707.173385570462
116.0,1482.0,6.0,1.0,0.9755031567701518,1.0,1.0,40.0,40.0,275.03492063492047,325.3732341627474
122.0,1496.0,6.0,1.0,1.150390043587755,1.0,1.0,16.0,16.0,360.48,325.3732341627474
123.0,1502.0,6.0,3.0,2.892814984593293,373.0,373.0,14576.0,14576.0,199589.92,185991.87266287085
124.0,1505.0,6.0,1.0,1.2233210218678106,17.0,17.0,544.0,520.0,1898.56,2520.721650610387
125.0,1506.0,6.0,1.0,1.008625715969607,5.0,5.0,200.0,200.0,1048.0,685.0033000807161
128.0,1514.0,6.0,1.0,1.0725783447655668,28.0,28.0,1120.0,1120.0,1960.0,1825.863432972401
129.0,1515.0,6.0,3.0,2.627181787213409,30.0,30.0,688.0,688.0,10808.4,5653.270288417756
131.0,1521.0,6.0,1.0,1.0078321609639498,5.0,4.5,120.0,160.0,445.19999999999993,685.0033000807161
132.0,1523.0,6.0,1.0,1.1663998534918174,16.0,16.0,256.0,256.0,1410.56,1830.1363567213407
133.0,1525.0,6.0,2.0,2.086671284402178,39.0,39.0,1248.0,1229.3333333333333,4355.52,5347.187195072591
134.0,1526.0,6.0,1.0,1.1697825800897372,15.0,15.0,600.0,600.0,1050.0,1382.7543408374186
135.0,1527.0,6.0,5.0,4.123875137820939,95.0,95.0,1600.0,1600.0,1668.48,9683.247419531166
136.0,1532.0,6.0,1.0,1.323557975635118,21.0,21.0,840.0,648.0,3536.4,2960.419858227193
137.0,1539.0,6.0,1.0,1.6111236047968087,8.0,8.0,256.0,256.0,2560.0,1568.1213600139015
138.0,1541.0,6.0,1.0,1.2117167123819637,94.0,94.0,1504.0,1504.0,10341.31301587301,13978.225397537171
139.0,1544.0,6.0,1.0,0.955596692243922,4.0,4.0,32.0,32.0,673.92,484.7467693189974
140.0,1545.0,6.0,4.0,3.994932122091974,234.0,234.0,9328.0,9328.0,10910.56,18451.24735702452
143.0,1549.0,6.0,3.0,2.9563677563846578,174.0,174.0,6960.0,6960.0,38210.8,30802.61974450451
145.0,1550.0,6.0,3.0,2.0728815272618486,16.0,16.5,536.0,536.0,3332.48,2407.928210447252
146.0,1551.0,6.0,1.0,1.0759626684834769,2.0,2.0,80.0,80.0,640.0,338.0101701716776
147.0,1552.0,6.0,1.0,1.2381590983991155,47.0,47.0,1880.0,1880.0,2105.6000000000004,8391.256040523469
148.0,1558.0,6.0,1.0,1.0021478916118904,4.0,4.5,160.0,160.0,446.4,568.7960857252474
149.0,156.0,6.0,2.0,1.756217269160039,19.0,19.0,760.0,760.0,3280.8,2967.6726658443804
150.0,1568.0,6.0,2.0,1.5198517460507683,10.0,10.0,80.0,293.3333333333333,1117.6,996.36652029556
152.0,1571.0,6.0,1.0,1.0906985401074745,55.0,55.0,2200.0,2200.0,3300.0,9639.585153053224
153.0,1572.0,6.0,1.0,1.0759626684834769,2.0,2.0,80.0,80.0,640.0,338.0101701716776
154.0,1576.0,6.0,1.0,1.0979053088437705,74.0,74.0,2960.0,2960.0,20352.584126984115,15467.034426639497
