,Perfil,Competenecia Laboral,Familia,Sector,Descargar Perfil,Descargar Esquema
10,MAQUILLAJE,"APLICAR TÉCNICAS DE MAQUILLAJE DE ACUERDO AL REQUERIMIENTO DEL CLIENTE, FACTORES EXTERNOS Y PROTOCOLOS ESTABLECIDOS",ACTIVIDADES COMUNITARIAS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,,
11,PREPARACIÓN GASTRONÓMICAS DE PASTELERÍA,"ELABORAR PRODUCTOS PASTELEROS DE ACUERDO A NORMAS DE SEGURIDAD Y SALUD OCUPACIONAL, BUENAS PRÁCTICAS DE MANUFACTURA Y REQUERIMIENTOS ESTABLECIDOS",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,,
12,OPERACIONES CON MAQUINARIA PESADA EN CONSTRUCCIÓN,"REALIZAR LA EXCAVACIÓN, MOVIMIENTO, CARGA, APLANADO O ALLANADO DE: TIERRA, PIEDRAS, GRAVA O CUALQUIER OTRO MATERIAL, UTILIZANDO LA MAQUINARIA PESADA DE CONSTRUCCIÓN, DE ACUERDO A LAS ESPECIFICACIONES TÉCNICAS DEL FABRICANTE, NORMATIVA DE SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTALES.",CONSTRUCCIÓN,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN,,
13,"ATENCIÓN A NIÑOS, ADOLESCENTES Y JÓVENES CON NECESIDADES EDUCATIVAS ESPECIALES","ATENDER A NIÑOS, ADOLESCENTES Y JÓVENES CON NECESIDADES EDUCATIVAS ESPECIALES DE ACUERDO A LO ESTABLECIDO EN LA NORMATIVA VIGENTE",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO,,
14,SUPERVISIÓN DE LIMPIEZA DE HABITACIONES Y ÁREAS DE CIRCULACIÓN,SUPERVISAR LA LIMPIEZA Y ARREGLO DE HABITACIONES Y ÁREAS DECIRCULACIÓN DEL ESTABLECIMIENTO DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA VIGENTE,TURISMO Y ALIMENTACIÓN,ACTIVIDADES DE ALOJAMIENTO,,
15,LOCUCIÓN Y PRESENTACIÓN DE RADIO Y TELEVISIÓN,CONDUCIR ESPACIOS DE PROGRAMACIÓN Y PRESENTAR CONTENIDOS A TRAVÉS DE FORMATOS DE RADIO Y/O TELEVISIÓN TOMANDO EN CONSIDERACIÓN LOS PROCEDIMIENTOS ESTABLECIDOS Y LA NORMATIVA VIGENTE.,ACTIVIDADES COMUNITARIAS,ACTIVIDADES DE PROGRAMACIÓN Y TRANSMISIÓN,,
16,INSTALACIONES ELÉCTRICAS,"REALIZAR INSTALACIONES ELÉCTRICAS EN EDIFICIOS, LOCALES COMERCIALES Y VIVIENDAS, CUMPLIENDO CON NORMAS DE HIGIENE, SALUD Y SEGURIDAD EN EL TRABAJO",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN,,
17,ESTIBAJE,"PREPARAR Y MOVILIZAR MERCADERÍA Y BIENES MUEBLES EN LAS CONDICIONES QUE PERMITAN PRECAUTELAR SU INTEGRIDAD Y EVITAR RIESGOS DE ACUERDO CON LAS NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO, MEDIO AMBIENTE Y PROCEDIMIENTOS ESTABLECIDOS.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,,
18,OPERACIONES AUXILIARES DE MOLIENDA,"REALIZAR LOS PROCESOS AUXILIARES DE MOLIENDA EN LABORES MINERAS, DE ACUERDO A NORMAS Y PROCEDIMIENTOS ESTABLECIDOS.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,,
19,OFIMÁTICA: ASISTENCIA ADMINISTRATIVA CON MANEJO DE OFIMÁTICA,"EJECUTAR ACTIVIDADES OPERATIVAS DE APOYO DE GESTIÓN ADMINISTRATIVA INTERNAS Y EXTERNAS MEDIANTE EL USO DE LAS HERRAMIENTAS DE OFIMÁTICA), TOMANDO EN CONSIDERACIÓN LOS PROCEDIMIENTOS Y POLÍTICAS INTERNAS VIGENTES.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA Y OTRAS ACTIVIDADES DE APOYO A LAS EMPRESAS,,
20,OPERACIONES AUXILIARES EN CONTROL Y VIGILANCIA FITO SANITARIA,EJECUTAR ACTIVIDADES DE VIGILANCIA Y CONTROL FITOSANITARIO DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS CUMPLIENDO LA NORMATIVA LEGAL VIGENTE.,PRODUCCIÓN PECUARIA,FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS,,
21,PREPARACIÓN DE BEBIDAS ALCOHÓLICAS Y NO ALCOHÓLICAS,"EJECUTAR PROCESOS DE ELABORACIÓN Y MONTAJE DE BEBIDAS ALCOHÓLICOS Y NO ALCOHÓLICOS DE ACUERDO CON LAS NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO, MANIPULACIÓN DE ALIMENTOS Y PROTOCOLO ESTABLECIDO.",TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA,,
22,OPERACIONES EN MONTAJE DE CUBIERTA EN ESTRUCTURA METÁLICA,"REALIZAR OPERACIONES DE MONTAJE DE CUBIERTA (ZINC, PLANCHA DE FIBROCEMENTO, ETC.) EN ESTRUCTURA METÁLICA, DE ACUERDO A REQUERIMIENTOS, ESPECIFICACIONES TÉCNICAS DEL FABRICANTE Y NORMATIVA DE SEGURIDAD Y SALUD EN EL TRABAJO.",CONSTRUCCIÓN,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN,,
23,ACTIVIDADES TERAPÉUTICAS FLORALES,REALIZAR ACTIVIDADES TERAPÉUTICAS ALTERNATIVAS FLORALES DE ACUERDO A REQUERIMIENTOS DEL USUARIO SIGUIENDO PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,,
24,"ARTESANÍAS EN TAGUA, MADERA, HUESO Y CONCHA DE COCO","PRODUCIR MINIATURAS EN TAGUA, MADERA, HUESO Y CONCHA DE COCO, MEDIANTE TÉCNICAS ANCESTRALES, MANTENIENDO NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL. GESTIONAR UN TALLER Y COMERCIALIZAR LOS PRODUCTOS.",ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS,,
25,TRADUCCIÓN E INTERPRETACIÓN DE IDIOMAS,"REALIZAR LA TRADUCCIÓN DE UN MENSAJE ESCRITO O VERBAL DE UN IDIOMA ORIGEN A UN IDIOMA DESTINO DE ACUERDO A PROCESOS, NORMAS Y/O TÉCNICAS.",ACTIVIDADES TIPO SERVICIOS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",,
26,INSTALACIÓN DE PANELES ESTRUCTURALES,"INSTALAR PANELES ESTRUCTURALES DE: ALUMINIO, HIERRO, POLIESTIRENO, ENTRE OTROS, CUMPLIENDO EL DISEÑO, ESPECIFICACIONES DE PLANOS, NORMATIVA TÉCNICA VIGENTES, NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO, MEDIO AMBIENTE Y LAS NORMAS DEL FABRICANTE.",CONSTRUCCIÓN,CONSTRUCCIÓN DE EDIFICIOS,,
27,MECATRÓNICA INDUSTRIAL,"REALIZAR OPERACIONES DE PROGRAMACIÓN, INSTALACIÓN Y MANTENIMIENTO DE PROCESOS INDUSTRIALES AUTOMÁTICOS Y SUBPROCESOS ROBÓTICOS, BAJO SUPERVISIÓN, SIGUIENDO LOS PROCEDIMIENTOS TÉCNICOS ESTABLECIDOS Y ESTRUCTURAS DE SEGURIDAD REQUERIDAS.",METALMECÁNICA,REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,,
28,ELABORACIÓN DE SOMBRERO DE PAJA TOQUILLA,CONFECCIONAR SOMBREROS DE PAJA TOQUILLA DE ACUERDO CON LA TÉCNICA DE CADA REGIÓN Y EL REQUERIMIENTO DEL CLIENTE.,ARTESANÍAS,FABRICACIÓN DE PRENDAS DE VESTIR,,
29,INSPECCIÓN DE AFILIACIÓN A LA SEGURIDAD SOCIAL,"VERIFICAR EL CUMPLIMIENTO DE OBLIGACIONES DE AFILIACIÓN A LA SEGURIDAD SOCIAL, DENTRO DEL MARCO TÉCNICO Y JURÍDICO, DE ACUERDO A LOS REQUERIMIENTOS INTERNOS Y EXTERNOS DEL PROCESO DE INSPECCIÓN DE LA ENTIDAD REGULADORA CUMPLIENDO LA NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,,
30,OPERACIONES DE MANUFACTURA DE FRUTOS SECOS,"REALIZAR LA ELABORACION DE FRUTOS SECOS TOSTADOS, EN LAS CONDICIONES ESTABLECIDAS EN LOS MANUALES DE PROCEDIMIENTO Y CALIDAD, DE ACUERDO A LA NORMATIVA TECNICO - SANITARIA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,,
31,"OPERACIONES DE SISTEMAS DE CAPTACIÓN, CONDUCCIÓN, TRATAMIENTO Y ALMACENAMIENTO DE AGUA POTABLE","PONER EN SERVICIO Y OPERACIÓN LOS SISTEMAS DE CAPTACIÓN, CONDUCCIÓN, POTABILIZACIÓN Y ALMACENAMIENTO DE AGUA POTABLE, ATENDIENDO A EXIGENCIAS DE CALIDAD, CONTROL, GESTIÓN, SEGURIDAD INDUSTRIAL Y SALUD OCUPACIONAL.","ELECTRICIDAD, GAS Y AGUA","CAPTACIÓN, TRATAMIENTO Y DISTRIBUCIÓN DE AGUA",,
32,PRODUCCIÓN AGROECOLÓGICA,"PRODUCIR ALIMENTOS AGROECOLÓGICOS   EN  SISTEMAS  AUTÓNOMOS  TOMANDO EN CONSIDERACIÓN LA CONSERVACIÓN  DEL MEDIO AMBIENTE, LA FAMILIA, AGROFORESTERIA, MANEJO ECOLÓGICO DEL SUELO, CULTIVOS, CRIANZAS, HUMEDAD, SISTEMAS PARTICIPATIVOS DE GARANTÍA Y COMERCIALIZACIÓN,    Y DIMENSIONES DEL ENFOQUE AGROECOLÓGICO ESTABLECIDAS.",AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",,
33,PROGRAMACIÓN DE CONTENIDOS PARA MEDIOS DE COMUNICACIÓN,PROGRAMAR PRODUCTOS COMUNICACIONALES RADIOFÓNICOS Y O TELEVISIVOS SOBRE LA BASE DE NECESIDADES DEL MEDIO COMUNITARIO CUMPLIENDO LOS PRECEPTOS DE LA LEY ORGÁNICA DE COMUNICACIÓN Y LOS PROCEDIMIENTOS DEL MEDIO DE COMUNICACIÓN.,ACTIVIDADES COMUNITARIAS,ACTIVIDADES DE PROGRAMACIÓN Y TRANSMISIÓN,,
34,COSMETOLOGÍA,PRESTAR SERVICIOS COSMETOLÓGICOS FACIALES Y CORPORALES MANTENIENDO LAS CARACTERÍSTICAS Y EL EQUILIBRIO DEL PH DE LA PIEL SIN INTERVENIR EN EL CAMPO MÉDICO.,ACTIVIDADES COMUNITARIAS,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,,
35,ADMINISTRACIÓN DE BASES DE DATOS,"ADMINISTRAR UN SISTEMA DE BASES DE DATOS, INTERPRETANDO SU DISEÑO Y ESTRUCTURA, Y REALIZANDO LA ADAPTACIÓN DEL MODELO A LOS REQUERIMIENTOS DEL SISTEMA GESTOR DE BASES DE DATOS (SGBD), ASÍ COMO LA CONFIGURACIÓN Y ADMINISTRACIÓN DEL MISMO A NIVEL FÍSICO Y LÓGICO, A FIN DE ASEGURAR LA INTEGRIDAD, DISPONIBILIDAD Y CONFIDENCIALIDAD DE LA INFORMACIÓN ALMACENADA.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),"PROGRAMACIÓN INFORMÁTICA, CONSULTORÍA DE INFORMÁTICA Y ACTIVIDADES CONEXAS",,
36,TANATOPRAXIA,"REALIZAR LA HIGIENIZACIÓN, CONSERVACIÓN, EMBALSAMAMIENTO, RESTAURACIÓN, RECONSTRUCCIÓN Y CUIDADO ESTÉTICO DEL CADÁVER DE ACUERDO A MÉTODOS Y TÉCNICAS ESTABLECIDAS CUMPLIENDO LA NORMATIVA DE MANEJO DE CADÁVERES VIGENTE.",ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,,
37,OPERACIONES DE POLINIZACIÓN ASISTIDA,REALIZAR LA POLINIZACIÓN ASISTIDA EN PLANTAS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA LEGAL VIGENTE.,AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",,
38,ATENCIÓN EN EL HOGAR Y LA COMUNIDAD DE PERSONAS CON DISCAPACIDAD,DESARROLLAR CAPACIDADES EN LAS FAMILIAS PROCURANDO EL DESARROLLO DE LAS HABILIDADES DE LA PERSONA CON DISCAPACIDAD Y SU INCLUSIÓN EN LA COMUNIDAD DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES DE ENSEÑANZA,ENSEÑANZA,,
39,ACTIVIDADES DE DOCENCIA EN LA METODOLOGÍA APRENDIZAJE BASADO EN PROYECTOS ABP,FACILITAR LA IMPLEMENTACIÓN DE METODOLOGÍAS DE APRENDIZAJE A TRAVÉS DE LA COMPRENSIÓN DE SU IMPACTO EN LA FORMACIÓN INTEGRAL DE ESTUDIANTES Y EN LA MEJORA DE LA RELACIÓN DOCENTE  ESTUDIANTE DE ACUERDO A OBJETIVOS ESTABLECIDOS.,ACTIVIDADES DE ENSEÑANZA,ENSEÑANZA,,
40,REALIZACIÓN DE MASAJES TERAPÉUTICOS,"RECONOCER Y ALIVIAR LOS SIGNOS, SÍNTOMAS, Y PATOLOGÍAS IDENTIFICADAS MEDIANTE LA APLICACIÓN DE TÉCNICAS DE MASAJE TERAPÉUTICO BASADO EN PROTOCOLOS ESTABLECIDOS; TOMANDO EN CONSIDERACIÓN LAS NORMAS DE HIGIENE, SEGURIDAD Y SALUD EN EL TRABAJO.",ACTIVIDADES COMUNITARIAS,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,,
41,PREVENCIÓN DE RIESGOS LABORALES,EJECUTAR ACTIVIDADES LABORALES EN CONDICIONES DE TRABAJO SEGURO ACORDE A NORMATIVAS LEGALES Y TÉCNICAS VIGENTES.,ACTIVIDADES TIPO SERVICIOS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS N.C.P.",,
42,VIGILANCIA Y MONITOREO CON CANES ADIESTRADOS,EJECUTAR LA INSPECCIÓN Y CUARENTENA EN PUERTOS Y AEROPUERTOS; Y VIGILANCIA PARA LA DETECCIÓN DE ESPECIES INTRODUCIDAS MEDIANTE CANES ADIESTRADOS CUMPLIENDO LA NORMATIVA VIGENTE.,ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,,
43,PRODUCCIÓN DE CONTENIDOS PARA MEDIOS COMUNITARIOS DE RADIO Y TELEVISIÓN,"REALIZAR PRODUCTOS COMUNICACIONALES RADIOFÓNICOS Y/O TELEVISIVOS SOBRE LA BASE DE LAS NECESIDADES COMUNITARIAS, APLICANDO LOS FORMATOS ESTABLECIDOS POR LOS MEDIOS DE COMUNICACIÓN Y CONFORME LOS LINEAMIENTOS DE LA LEY ORGÁNICA DE COMUNICACIÓN.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DE PRODUCCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VÍDEOS Y PROGRAMAS DE TELEVISIÓN, GRABACIÓN DE SONIDO Y EDICIÓN DE MÚSICA",,
44,INSTALACIONES HIDROSANITARIAS,"REALIZAR LAS INSTALACIONES HIDROSANITARIAS, MANTENIMIENTO Y REPARACIÓN DE APARATOS HIDROSANITARIOS, CUMPLIENDO EL REQUERIMIENTO DEL CONTRATANTE, LAS NORMAS TÉCNICAS DE LA CONSTRUCCIÓN, DE SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE VIGENTES.",CONSTRUCCIÓN,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN,,
45,SUPERVISIÓN DE DESPACHO DE EMERGENCIAS,"SUPERVISAR LA ATENCIÓN DE EMERGENCIAS REPORTADAS A TRAVÉS DE LA PLATAFORMA TECNOLÓGICA CON EL APOYO DE LAS INSTITUCIONES ARTICULADAS, MEDIANTE PROCEDIMIENTOS INSTITUCIONALES ESTABLECIDOS Y NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,,
46,GESTIÓN BIBLIOTECARIA,"ATENDER AL USUARIO DE UNA BIBLIOTECA REALIZANDO TAREAS DE INFORMACIÓN Y FORMACIÓN, PRÉSTAMO Y MANTENIMIENTO Y CONSERVACIÓN DE LOS FONDOS DE LA COLECCIÓN Y DESARROLLANDO ACTIVIDADES DE EXTENSIÓN CULTURAL Y BIBLIOTECARIA, TENIENDO EN CUENTA CRITERIOS DE CALIDAD.",ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES",,
47,PATRONAJE DE CALZADO,ELABORAR MOLDES PARA EL CORTE DEL CALZADO EN BASE A DISEÑOS DEFINIDOS MEDIANTE LA APLICACIÓN DE LAS TÉCNICAS DE PATRONALES Y PRODUCCIÓN.,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,,
48,OPERACIONES EN ILUMINACIÓN ESCÉNICA,DISEÑAR PROYECTOS DE ILUMINACIÓN Y REALIZAR MONTAJE Y DESMONTAJE ILUMINOTÉCNICO PARA OBRAS ARTISTICAS Y ESPECTÁCULOS DE ACUERDO A PROCESOS ESTABLECIDOS CUMPLIENDO NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO.,ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",,
49,OPERACIONES DE DESPOSTE DE ANIMALES,"REALIZAR LAS OPERACIONES DE VALORACIÓN, SACRIFICIO Y FAENADO DE DISTINTAS ESPECIES ANIMALES, DESPIEZAR CANALES Y OBTENER PIEZAS Y DESPOJOS COMESTIBLES. CLASIFICAR Y ALMACENAR EL PRODUCTO FINAL, MANEJANDO LA MAQUINARIA Y EQUIPOS CORRESPONDIENTES, CUIDANDO DE LA LIMPIEZA DE LAS INSTALACIONES Y LOS INSTRUMENTOS DE ACUERDO A LA NORMATIVA TÉCNICO-SANITARIA.",PRODUCCIÓN PECUARIA,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,,
50,GUIANZA TURÍSTICA,"REALIZAR LA ACTIVIDAD DE GUIANZA DENTRO DE UN TERRITORIO DETERMINADO A UNA O MÁS PERSONAS QUE REALIZAN ACTIVIDADES TURÍSTICAS, RECREATIVAS O ACADÉMICAS, DE ACUERDO A LAS NECESIDADES DE LOS TURISTAS, DE LA AGENCIA DE SERVICIOS TURÍSTICOS Y/O INSTITUCIONES PÚBLICAS O PRIVADAS, Y A LA NORMATIVA LEGAL VIGENTE",TURISMO Y ALIMENTACIÓN,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS",,
51,ACTIVIDADES DE LIMPIEZA Y ARREGLO DE ÁREAS DE ALOJAMIENTO,"EFECTUAR EL PROCESO DE LIMPIEZA Y ARREGLO DE HABITACIONES Y SU ENTORNO ADYACENTE EN ESTABLECIMIENTOS DE ALOJAMIENTO, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMAS DE HIGIENE, SALUD Y SEGURIDAD EN EL TRABAJO",TURISMO Y ALIMENTACIÓN,ACTIVIDADES DE ALOJAMIENTO,,
52,OPERACIONES EN CAPTURA Y PROCESAMIENTO DE DATOS DE VUELO E IMÁGENES DIGITALES,REALIZAR LA CAPTURA Y PROCESAMIENTO DE DATOS DE VUELO E IMÁGENES DIGITALES OBTENIDOS A TRAVÉS DE SENSORES AEROTRANSPORTADOS Y TERRESTRES DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ARQUITECTURA E INGENIERÍA; ENSAYOS Y ANÁLISIS TÉCNICOS,,
53,ASISTENCIA EN ACTIVIDADES OPERATIVAS DE COMERCIO EXTERIOR,ASISTIR EN LAS OPERACIONES DE COMERCIO EXTERIOR DE PRODUCTOS Y SERVICIOS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS EN LA NORMATIVA NACIONAL E INTERNACIONAL VIGENTE,COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS",,
54,ESTIBAJE PORTUARIO,"REALIZAR ACTIVIDADES DE MANIPULACIÓN DE MERCANCÍAS DURANTE LAS OPERACIONES DE CARGA, ESTIBA, REESTIBA, TRINCA, DESTRINCA Y PORTEO DE MERCANCÍAS TRANSPORTADAS EN LOS BUQUES, DE ACUERDO A LAS INSTRUCCIONES RECIBIDAS Y A LAS NORMAS DE SEGURIDAD PORTUARIA.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,,
