id_curso,curso,area,especialidad,modalidad,carga_horaria,costo
89,control eléctrico industrial,electricidad y electrónica,electricidad industrial,desconocida,40,
93,formación de formadores,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,desconocida,40,
94,manejo de excel básico,tecnologías de la información y comunicación,programas de escritorio,desconocida,40,266.8
95,docentes innovadores,educación y capacitación,medios y materiales didácticos,desconocida,32,
100,"educación vial para una adecuada conducción a la defensiva de vehículos destinados al servicio: público, comercial, por cuenta propia y particular",transporte y logística,transporte de carga y de pasajeros,desconocida,40,
101,gestión de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
102,"primeros auxilios, reanimación cardio pulmonar, desfibrilador externo automático",servicios socioculturales y a la comunidad,salud y medicina,desconocida,40,
103,operación segura de montacargas,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
104,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
105,sistema de gestión de seguridad y salud laboral,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
106,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
107,gestión de riesgos y elaboración de una matriz ald/cft,finanzas comercio y ventas,riesgo financiero,desconocida,24,
108,"señales de alerta y tipologías de lavado de activos, financiamiento del terrorismo y otros delitos",finanzas comercio y ventas,riesgo financiero,desconocida,24,
109,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
110,normas de prevención de lavado de activos y la debida diligencia,administración y legislación,legislación,desconocida,8,
111,elaboración del manual y matriz de riesgo para la prevención de lavado de activos,administración y legislación,legislación,desconocida,16,
112,auditoría de cumplimiento sobre las normas de prevención de lavado de activos,administración y legislación,legislación,desconocida,16,
113,sistema de gestión anti soborno basado en la norma iso 37001:2016,administración y legislación,legislación,desconocida,40,
114,instalación de cámaras de videovigilancia cctv y minicámaras,electricidad y electrónica,electricidad domiciliaria,desconocida,40,
132,operación segura de montacargas,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
133,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
134,trabajos en espacios confinados,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
145,"prevención de riesgos, seguridad industrial y salud ocupacional en los sectores industrial y construcción",procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
146,prevención en el transporte y almacenamiento de productos químicos peligrosos.,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
154,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
183,aspectos generales del cajero comercial y bancario,finanzas comercio y ventas,presupuestos y flujo de caja,desconocida,16,
184,operación de caja comercial,finanzas comercio y ventas,presupuestos y flujo de caja,desconocida,24,
185,operación de caja bancaria,finanzas comercio y ventas,presupuestos y flujo de caja,desconocida,32,
209,curso online de digitopresion,servicios socioculturales y a la comunidad,salud y medicina,desconocida,40,
210,cuidados terapéuticos del adulto mayor,servicios socioculturales y a la comunidad,salud y medicina,desconocida,40,
213,higiene y manipulacion de alimentos,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,desconocida,8,
214,análisis financiero,finanzas comercio y ventas,riesgo financiero,desconocida,40,
215,análisis financiero aplicado al emprendimiento,administración y legislación,administración general,desconocida,24,
216,control interno contable,administración y legislación,administración contable y de costos,desconocida,16,
219,gestión integral en el comercio internacional,transporte y logística,logística integral,desconocida,40,
220,"asistencia en contabilidad, tributacion, y nomina modulo 1 contabilidad basica",administración y legislación,administración contable y de costos,desconocida,40,
221,fisicoculturismo y acondicionamiento físico comunitario,servicios socioculturales y a la comunidad,gestión cultural,desconocida,40,
222,"word, excel y power point básico",tecnologías de la información y comunicación,programas de escritorio,desconocida,24,232.07999999999998
223,obligaciones tributarias y beneficios laborales,administración y legislación,administración contable y de costos,desconocida,24,
224,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
225,brigadas de primeros auxilios,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,24,
228,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
229,prevención en trabajo de alturas,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
230,"seguridad, salud ocupacional y riesgos de trabajo en la construcción",procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,24,
231,reglamento de seguridad y salud - organismos paritarios,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
232,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
233,manejo de la plataforma suia,forestal ecología y medio ambiente,gestión e impacto ambiental,desconocida,16,
234,sistema de gestión de seguridad y salud laboral,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
235,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
244,terapias alternativas con biomagnetismo y campos magnéticos,servicios socioculturales y a la comunidad,salud y medicina,desconocida,40,
245,terapia alternativa con hipnosis y técnicas de relajación,servicios socioculturales y a la comunidad,salud y medicina,desconocida,40,
262,fundamentos de la seguridad y salud en el trabajo,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
263,brigadas contra incendios,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
264,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
265,gestión de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
266,fundamentos de la seguridad y salud en el trabajo,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
296,actualización curricular,educación y capacitación,diseño educativo y curricular,desconocida,40,
299,arcgis aplicado a la arquitectura y planificación urbana,construcción e infraestructura,arquitectura y urbanismo,desconocida,32,
303,gestión de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
304,"prevención de riesgos, seguridad industrial y salud ocupacional en los sectores industrial y construcción",procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
315,actualización curricular,educación y capacitación,diseño educativo y curricular,desconocida,40,
316,técnica vocal aplicada al canto,educación y capacitación,capacitación,desconocida,40,
317,introducción a la cocina fría (garde manger),alimentación gastronomía y turismo,cocina nacional e internacional,desconocida,40,
318,técnicas básicas de cocina,alimentación gastronomía y turismo,cocina nacional e internacional,desconocida,40,
321,mapeo con drones,educación y capacitación,capacitación,desconocida,24,
322,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
323,sistema de gestión de seguridad y salud laboral,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
324,fundamentos de la seguridad y salud en el trabajo,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
325,brigadas contra incendios,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
326,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
327,"prevención de riesgos, seguridad industrial y salud ocupacional en los sectores industrial y construcción",procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
328,reglamento de seguridad y salud - organismos paritarios,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
329,operación de caja bancaria,finanzas comercio y ventas,presupuestos y flujo de caja,desconocida,32,
330,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
338,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
339,gestión de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
340,auditoria interna en bpm (buenas practicas de manufactura) y haccp (análisis de peligros y puntos críticos de control) en plantas procesadoras de alimentos.,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,desconocida,40,
341,formacion auditor interno sistemas integrados de gestión iso 9001/14001/45001,administración y legislación,administración general,desconocida,32,
346,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
349,curso básico de la competencia lingüística del inglés nivel b2,educación y capacitación,idiomas,desconocida,24,
350,manejo de la plataforma suia,forestal ecología y medio ambiente,gestión e impacto ambiental,desconocida,16,
351,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
352,sistema de gestión de seguridad y salud laboral,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
353,sistema de gestión de seguridad y salud laboral,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
359,coaching para gerentes de ventas y marketing,finanzas comercio y ventas,marketing y ventas,desconocida,40,
360,modelos de negocio en comercio electrónico,finanzas comercio y ventas,negocios y comercio electrónico,desconocida,40,
361,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
362,gestion docente,educación y capacitación,capacitación,desconocida,40,
363,aprendizaje acelerado para formadores,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,desconocida,40,
364,programación neurolinguistica aplicada en la educación pedagogica,educación y capacitación,metodología y técnica de aprendizaje,desconocida,40,
365,inteligencia emocional,educación y capacitación,capacitación,desconocida,16,
366,prevención de riesgo eléctrico,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
367,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
368,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
369,fundamentos de la seguridad y salud en el trabajo,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
392,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
393,sistema de gestión de seguridad y salud laboral,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
394,plan de emergencia y auto protección,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
395,prevención en el transporte y almacenamiento de productos químicos peligrosos.,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
396,prevención de riesgo eléctrico,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
399,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
400,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
401,fundamentos de la seguridad y salud en el trabajo,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
402,brigadas contra incendios,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
403,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
404,control y vigilancia en la gestión interna de los residuos y desechos generados en los establecimientos de salud,forestal ecología y medio ambiente,gestión e impacto ambiental,desconocida,16,
405,formacion auditor interno sistemas integrados de gestión iso 9001/14001/45001,administración y legislación,administración general,desconocida,32,
406,"prevención de riesgos, seguridad industrial y salud ocupacional en los sectores industrial y construcción",procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
407,fundamentos de la seguridad y salud en el trabajo,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
408,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
409,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
420,acoso laboral / mobbing laboral,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
423,acoso laboral / mobbing laboral,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
424,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
462,auditoría ambiental de cumplimiento,forestal ecología y medio ambiente,gestión e impacto ambiental,desconocida,16,
463,"asistencia en contabilidad, tributacion, y nomina modulo 1 contabilidad basica",administración y legislación,administración contable y de costos,desconocida,40,
464,contabilidad comercial,administración y legislación,administración contable y de costos,desconocida,32,
465,gestión pedagógica,educación y capacitación,diseño educativo y curricular,desconocida,32,
466,pedagogía y didáctica,educación y capacitación,diseño educativo y curricular,desconocida,32,
467,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
468,prevención de riesgo eléctrico,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
469,"seguridad, salud ocupacional y riesgos de trabajo en la construcción",procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,24,
470,reflexología,servicios socioculturales y a la comunidad,salud y medicina,desconocida,32,
471,drenaje linfático manual,servicios socioculturales y a la comunidad,salud y medicina,desconocida,32,
472,masaje terapéutico,servicios socioculturales y a la comunidad,salud y medicina,desconocida,24,
476,gestión de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
477,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
478,higiene y manipulacion de alimentos,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,desconocida,8,
479,higiene y manipulación de alimentos,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,desconocida,24,
480,curso básico de comunicación en inglés nivel a1,educación y capacitación,idiomas,desconocida,32,
481,curso básico de la competencia lingüística del inglés nivel b2,educación y capacitación,idiomas,desconocida,24,
484,administración tributaria del gad municipal,administración y legislación,legislación,desconocida,24,
490,tributacion,administración y legislación,administración contable y de costos,desconocida,24,
491,administración de la nómina de empleados,administración y legislación,gestión del talento humano,desconocida,16,
500,taller de identificación de necesidades educativas especiales,educación y capacitación,capacitación,desconocida,8,
504,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
505,trabajos en espacios confinados,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
506,prevención en trabajo de alturas,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
507,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
508,reglamento de seguridad y salud - organismos paritarios,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
509,sistema de gestión de seguridad y salud laboral,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
510,estrategias de trascendencia para pymes familiares,administración y legislación,gestión del talento humano,desconocida,40,
511,administración de la nómina de empleados,administración y legislación,gestión del talento humano,desconocida,16,
512,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
519,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
520,gestión por procesos,administración y legislación,gestión de la calidad,desconocida,40,
521,operación de caja bancaria,finanzas comercio y ventas,presupuestos y flujo de caja,desconocida,32,
522,declaraciones tributarias,administración y legislación,administración contable y de costos,desconocida,32,
523,análisis financiero,finanzas comercio y ventas,riesgo financiero,desconocida,40,
524,auditoría de cumplimiento sobre las normas de prevención de lavado de activos,administración y legislación,legislación,desconocida,16,
537,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
538,"asistencia en contabilidad, tributacion, y nomina modulo 1 contabilidad basica",administración y legislación,administración contable y de costos,desconocida,40,
539,manejo de excel básico,tecnologías de la información y comunicación,programas de escritorio,desconocida,40,266.8
562,pedagogía y didáctica,educación y capacitación,diseño educativo y curricular,desconocida,32,
565,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
566,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
567,brigadas contra incendios,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
568,fundamentos de la seguridad y salud en el trabajo,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
569,avalúo de bienes inmuebles urbanos,educación y capacitación,capacitación,desconocida,40,
570,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
571,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
572,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
573,fundamentos de comunicación política,administración y legislación,administración general,desconocida,8,
574,gestión de proyectos de desarrollo con enfoque de marco lógico,administración y legislación,administración general,desconocida,32,
575,mapeo con drones,educación y capacitación,capacitación,desconocida,24,
576,sistemas de información geográfica: arcgis nivel básico-intermedio,tecnologías de la información y comunicación,programas de escritorio,desconocida,24,354.0
577,administración del subsistema de evaluación de desempeño,administración y legislación,gestión del talento humano,desconocida,16,
584,contabilidad básica,administración y legislación,administración contable y de costos,desconocida,40,
585,técnicas de atención y servicio al cliente,finanzas comercio y ventas,marketing y ventas,desconocida,24,
588,docentes innovadores,educación y capacitación,medios y materiales didácticos,desconocida,32,
593,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
594,"fundamento y operación de plantas de tratamiento de agua potable, municipal e industrial",forestal ecología y medio ambiente,contaminación ambiental,desconocida,40,
595,legislación ambiental y auditorías ambientales en la industria,forestal ecología y medio ambiente,gestión e impacto ambiental,desconocida,40,
602,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
603,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
604,manejo y operacion de una hoja de calculo,tecnologías de la información y comunicación,programas de escritorio,desconocida,40,160.0
605,estadistica basica con aplicacion de excel,administración y legislación,administración contable y de costos,desconocida,16,
606,gestión de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
607,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
608,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
609,prevención en trabajo de alturas,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
610,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
616,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
617,buenas practicas de manufactura de alimentos procesados (bpm),alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,desconocida,40,
618,auditoria interna en bpm (buenas practicas de manufactura) y haccp (análisis de peligros y puntos críticos de control) en plantas procesadoras de alimentos.,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,desconocida,40,
623,protocolo de bioseguridad y planificación del retorno a labores,educación y capacitación,capacitación,desconocida,40,
624,normas de prevención de lavado de activos y la debida diligencia,administración y legislación,legislación,desconocida,8,
625,elaboración del manual y matriz de riesgo para la prevención de lavado de activos,administración y legislación,legislación,desconocida,16,
647,curso básico de comunicación en inglés nivel a1,educación y capacitación,idiomas,desconocida,32,
652,reglamento de seguridad y salud - organismos paritarios,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
653,"auditorías ambientales a sistemas de gestión medio ambiental (sgm) iso 14001 2015, auditorías de cumplimiento y cierre según formato mae suia",forestal ecología y medio ambiente,contaminación ambiental,desconocida,40,
654,google para la educación y trabajo colaborativo,educación y capacitación,capacitación,desconocida,40,
657,manejo de la plataforma suia,forestal ecología y medio ambiente,gestión e impacto ambiental,desconocida,16,
662,gestión de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
663,brigadas de emergencias,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,8,
666,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
667,seguridad de la información,tecnologías de la información y comunicación,control de calidad,desconocida,32,106.56
668,programa de educación financiera - pef,finanzas comercio y ventas,riesgo financiero,desconocida,40,
669,evaluacion pedagogica ci setec,educación y capacitación,diseño educativo y curricular,desconocida,8,
670,sistema de gestión de seguridad y salud laboral,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
671,tributacion,administración y legislación,administración contable y de costos,desconocida,24,
672,anexos y devoluciones tributarias,administración y legislación,administración contable y de costos,desconocida,8,
673,"asistencia en contabilidad, tributacion, y nomina modulo 3 tributacion",administración y legislación,administración contable y de costos,desconocida,40,
674,prevención de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
675,prevención en trabajo de alturas,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,40,
678,elaboración del manual y matriz de riesgo para la prevención de lavado de activos,administración y legislación,legislación,desconocida,16,
679,normas de prevención de lavado de activos y la debida diligencia,administración y legislación,legislación,desconocida,8,
680,ethical hacking básico,tecnologías de la información y comunicación,análisis de sistemas,desconocida,40,266.8
681,excel para la gestión comercial,tecnologías de la información y comunicación,programas de escritorio,desconocida,40,124.80000000000001
691,auditoría forense y prevención del fraude,administración y legislación,legislación,desconocida,24,
692,formacion auditor interno sistemas integrados de gestión iso 9001/14001/45001,administración y legislación,administración general,desconocida,32,
693,técnicas de atención y servicio al cliente,finanzas comercio y ventas,marketing y ventas,desconocida,24,
694,asistencia óptica,artes y artesanía,artesanía,desconocida,40,
697,gestión de riesgos laborales,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,16,
698,legislación ambiental y auditorías ambientales en la industria,forestal ecología y medio ambiente,gestión e impacto ambiental,desconocida,40,
699,manejo de la plataforma suia,forestal ecología y medio ambiente,gestión e impacto ambiental,desconocida,16,
700,herramientas de marketing digital,finanzas comercio y ventas,marketing y ventas,desconocida,40,
701,instalaciones eléctricas residenciales,electricidad y electrónica,electricidad domiciliaria,desconocida,32,
702,estadística descriptiva aplicada a la investigación científica,educación y capacitación,capacitación,desconocida,40,
703,arcgis aplicado a la gestión ambiental,transporte y logística,sistemas de información geográfica y rutas,desconocida,40,
704,programa de educación financiera - pef,finanzas comercio y ventas,riesgo financiero,desconocida,40,
705,"manejo de portal de compras públicas, preparación de ofertas con módulo mfc y cálculo del vae (para proveedores)",administración y legislación,administración general,desconocida,24,
710,formación de formadores,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,desconocida,40,
711,pedagogía y didáctica,educación y capacitación,diseño educativo y curricular,desconocida,32,
712,equipos de protección personal,procesos industriales,seguridad prevención de riesgos e higiene industrial,desconocida,24,
