id_curso,area,especialidad,curso,modalidad,carga_horaria,costo
57,servicios socioculturales y a la comunidad,salud y medicina,"primeros auxilios, reanimación cardio pulmonar, desfibrilador externo automático",desconocida,40.0,
58,electricidad y electrónica,electricidad industrial,control eléctrico industrial,desconocida,40.0,
59,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de formadores,desconocida,40.0,
60,tecnologías de la información y comunicación,programas de escritorio,manejo de excel básico,desconocida,40.0,420.0
61,educación y capacitación,medios y materiales didácticos,docentes innovadores,desconocida,32.0,
62,transporte y logística,transporte de carga y de pasajeros,"educación vial para una adecuada conducción a la defensiva de vehículos destinados al servicio: público, comercial, por cuenta propia y particular",desconocida,40.0,
63,procesos industriales,seguridad prevención de riesgos e higiene industrial,gestión de riesgos laborales,desconocida,16.0,
64,servicios socioculturales y a la comunidad,salud y medicina,"primeros auxilios, reanimación cardio pulmonar, desfibrilador externo automático",desconocida,40.0,
65,procesos industriales,seguridad prevención de riesgos e higiene industrial,operación segura de montacargas,desconocida,16.0,
66,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
67,procesos industriales,seguridad prevención de riesgos e higiene industrial,sistema de gestión de seguridad y salud laboral,desconocida,16.0,
68,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
69,finanzas comercio y ventas,riesgo financiero,gestión de riesgos y elaboración de una matriz ald/cft,desconocida,24.0,
70,finanzas comercio y ventas,riesgo financiero,"señales de alerta y tipologías de lavado de activos, financiamiento del terrorismo y otros delitos",desconocida,24.0,
71,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
72,administración y legislación,legislación,normas de prevención de lavado de activos y la debida diligencia,desconocida,8.0,
73,administración y legislación,legislación,elaboración del manual y matriz de riesgo para la prevención de lavado de activos,desconocida,16.0,
74,administración y legislación,legislación,auditoría de cumplimiento sobre las normas de prevención de lavado de activos,desconocida,16.0,
75,administración y legislación,legislación,sistema de gestión anti soborno basado en la norma iso 37001:2016,desconocida,40.0,
76,electricidad y electrónica,electricidad domiciliaria,instalación de cámaras de videovigilancia cctv y minicámaras,desconocida,40.0,
77,procesos industriales,seguridad prevención de riesgos e higiene industrial,operación segura de montacargas,desconocida,16.0,
78,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
79,procesos industriales,seguridad prevención de riesgos e higiene industrial,trabajos en espacios confinados,desconocida,16.0,
80,procesos industriales,seguridad prevención de riesgos e higiene industrial,"prevención de riesgos, seguridad industrial y salud ocupacional en los sectores industrial y construcción",desconocida,40.0,
81,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el transporte y almacenamiento de productos químicos peligrosos.,desconocida,8.0,
82,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
83,finanzas comercio y ventas,presupuestos y flujo de caja,aspectos generales del cajero comercial y bancario,desconocida,16.0,
84,finanzas comercio y ventas,presupuestos y flujo de caja,operación de caja comercial,desconocida,24.0,
85,finanzas comercio y ventas,presupuestos y flujo de caja,operación de caja bancaria,desconocida,32.0,
86,servicios socioculturales y a la comunidad,salud y medicina,curso online de digitopresion,desconocida,40.0,
87,servicios socioculturales y a la comunidad,salud y medicina,cuidados terapéuticos del adulto mayor,desconocida,40.0,
88,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,higiene y manipulacion de alimentos,desconocida,8.0,
89,finanzas comercio y ventas,riesgo financiero,análisis financiero,desconocida,40.0,
90,administración y legislación,administración general,análisis financiero aplicado al emprendimiento,desconocida,24.0,
91,administración y legislación,administración contable y de costos,control interno contable,desconocida,16.0,
92,transporte y logística,logística integral,gestión integral en el comercio internacional,desconocida,40.0,
93,administración y legislación,administración contable y de costos,"asistencia en contabilidad, tributacion, y nomina modulo 1 contabilidad basica",desconocida,40.0,
94,servicios socioculturales y a la comunidad,gestión cultural,fisicoculturismo y acondicionamiento físico comunitario,desconocida,40.0,
95,tecnologías de la información y comunicación,programas de escritorio,"word, excel y power point básico",desconocida,24.0,252.0
96,administración y legislación,administración contable y de costos,obligaciones tributarias y beneficios laborales,desconocida,24.0,
97,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
98,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de primeros auxilios,desconocida,24.0,
99,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
100,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en trabajo de alturas,desconocida,40.0,
101,procesos industriales,seguridad prevención de riesgos e higiene industrial,"seguridad, salud ocupacional y riesgos de trabajo en la construcción",desconocida,24.0,
102,procesos industriales,seguridad prevención de riesgos e higiene industrial,reglamento de seguridad y salud - organismos paritarios,desconocida,40.0,
103,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
104,forestal ecología y medio ambiente,gestión e impacto ambiental,manejo de la plataforma suia,desconocida,16.0,
105,procesos industriales,seguridad prevención de riesgos e higiene industrial,sistema de gestión de seguridad y salud laboral,desconocida,16.0,
106,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
107,servicios socioculturales y a la comunidad,salud y medicina,terapias alternativas con biomagnetismo y campos magnéticos,desconocida,40.0,
108,servicios socioculturales y a la comunidad,salud y medicina,terapia alternativa con hipnosis y técnicas de relajación,desconocida,40.0,
109,procesos industriales,seguridad prevención de riesgos e higiene industrial,fundamentos de la seguridad y salud en el trabajo,desconocida,16.0,
110,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas contra incendios,desconocida,8.0,
111,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
112,procesos industriales,seguridad prevención de riesgos e higiene industrial,gestión de riesgos laborales,desconocida,16.0,
113,procesos industriales,seguridad prevención de riesgos e higiene industrial,fundamentos de la seguridad y salud en el trabajo,desconocida,16.0,
114,educación y capacitación,diseño educativo y curricular,actualización curricular,desconocida,40.0,
115,construcción e infraestructura,arquitectura y urbanismo,arcgis aplicado a la arquitectura y planificación urbana,desconocida,32.0,
116,procesos industriales,seguridad prevención de riesgos e higiene industrial,gestión de riesgos laborales,desconocida,16.0,
117,procesos industriales,seguridad prevención de riesgos e higiene industrial,"prevención de riesgos, seguridad industrial y salud ocupacional en los sectores industrial y construcción",desconocida,40.0,
118,educación y capacitación,diseño educativo y curricular,actualización curricular,desconocida,40.0,
119,educación y capacitación,capacitación,técnica vocal aplicada al canto,desconocida,40.0,
120,alimentación gastronomía y turismo,cocina nacional e internacional,introducción a la cocina fría (garde manger),desconocida,40.0,
121,alimentación gastronomía y turismo,cocina nacional e internacional,técnicas básicas de cocina,desconocida,40.0,
122,educación y capacitación,capacitación,mapeo con drones,desconocida,24.0,
123,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
124,procesos industriales,seguridad prevención de riesgos e higiene industrial,sistema de gestión de seguridad y salud laboral,desconocida,16.0,
125,procesos industriales,seguridad prevención de riesgos e higiene industrial,fundamentos de la seguridad y salud en el trabajo,desconocida,16.0,
126,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas contra incendios,desconocida,8.0,
127,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
128,procesos industriales,seguridad prevención de riesgos e higiene industrial,"prevención de riesgos, seguridad industrial y salud ocupacional en los sectores industrial y construcción",desconocida,40.0,
129,procesos industriales,seguridad prevención de riesgos e higiene industrial,reglamento de seguridad y salud - organismos paritarios,desconocida,40.0,
130,finanzas comercio y ventas,presupuestos y flujo de caja,operación de caja bancaria,desconocida,32.0,
131,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
132,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
133,procesos industriales,seguridad prevención de riesgos e higiene industrial,gestión de riesgos laborales,desconocida,16.0,
134,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,auditoria interna en bpm (buenas practicas de manufactura) y haccp (análisis de peligros y puntos críticos de control) en plantas procesadoras de alimentos.,desconocida,40.0,
135,administración y legislación,administración general,formacion auditor interno sistemas integrados de gestión iso 9001/14001/45001,desconocida,32.0,
136,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
137,educación y capacitación,idiomas,curso básico de la competencia lingüística del inglés nivel b2,desconocida,24.0,
138,forestal ecología y medio ambiente,gestión e impacto ambiental,manejo de la plataforma suia,desconocida,16.0,
139,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
140,procesos industriales,seguridad prevención de riesgos e higiene industrial,sistema de gestión de seguridad y salud laboral,desconocida,16.0,
141,procesos industriales,seguridad prevención de riesgos e higiene industrial,sistema de gestión de seguridad y salud laboral,desconocida,16.0,
142,finanzas comercio y ventas,marketing y ventas,coaching para gerentes de ventas y marketing,desconocida,40.0,
143,finanzas comercio y ventas,negocios y comercio electrónico,modelos de negocio en comercio electrónico,desconocida,40.0,
144,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
145,educación y capacitación,capacitación,gestion docente,desconocida,40.0,
146,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,aprendizaje acelerado para formadores,desconocida,40.0,
147,educación y capacitación,metodología y técnica de aprendizaje,programación neurolinguistica aplicada en la educación pedagogica,desconocida,40.0,
148,educación y capacitación,capacitación,inteligencia emocional,desconocida,16.0,
149,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgo eléctrico,desconocida,40.0,
150,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
151,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
152,procesos industriales,seguridad prevención de riesgos e higiene industrial,fundamentos de la seguridad y salud en el trabajo,desconocida,16.0,
153,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
154,procesos industriales,seguridad prevención de riesgos e higiene industrial,sistema de gestión de seguridad y salud laboral,desconocida,16.0,
155,procesos industriales,seguridad prevención de riesgos e higiene industrial,plan de emergencia y auto protección,desconocida,8.0,
156,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el transporte y almacenamiento de productos químicos peligrosos.,desconocida,8.0,
157,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgo eléctrico,desconocida,40.0,
158,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
159,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
160,procesos industriales,seguridad prevención de riesgos e higiene industrial,fundamentos de la seguridad y salud en el trabajo,desconocida,16.0,
161,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas contra incendios,desconocida,8.0,
162,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
163,forestal ecología y medio ambiente,gestión e impacto ambiental,control y vigilancia en la gestión interna de los residuos y desechos generados en los establecimientos de salud,desconocida,16.0,
164,administración y legislación,administración general,formacion auditor interno sistemas integrados de gestión iso 9001/14001/45001,desconocida,32.0,
165,procesos industriales,seguridad prevención de riesgos e higiene industrial,"prevención de riesgos, seguridad industrial y salud ocupacional en los sectores industrial y construcción",desconocida,40.0,
166,procesos industriales,seguridad prevención de riesgos e higiene industrial,fundamentos de la seguridad y salud en el trabajo,desconocida,16.0,
167,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
168,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
169,procesos industriales,seguridad prevención de riesgos e higiene industrial,acoso laboral / mobbing laboral,desconocida,40.0,
170,procesos industriales,seguridad prevención de riesgos e higiene industrial,acoso laboral / mobbing laboral,desconocida,40.0,
171,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
172,forestal ecología y medio ambiente,gestión e impacto ambiental,auditoría ambiental de cumplimiento,desconocida,16.0,
173,administración y legislación,administración contable y de costos,"asistencia en contabilidad, tributacion, y nomina modulo 1 contabilidad basica",desconocida,40.0,
174,administración y legislación,administración contable y de costos,contabilidad comercial,desconocida,32.0,
175,educación y capacitación,diseño educativo y curricular,gestión pedagógica,desconocida,32.0,
176,educación y capacitación,diseño educativo y curricular,pedagogía y didáctica,desconocida,32.0,
177,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
178,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgo eléctrico,desconocida,40.0,
179,procesos industriales,seguridad prevención de riesgos e higiene industrial,"seguridad, salud ocupacional y riesgos de trabajo en la construcción",desconocida,24.0,
180,servicios socioculturales y a la comunidad,salud y medicina,reflexología,desconocida,32.0,
181,servicios socioculturales y a la comunidad,salud y medicina,drenaje linfático manual,desconocida,32.0,
182,servicios socioculturales y a la comunidad,salud y medicina,masaje terapéutico,desconocida,24.0,
183,procesos industriales,seguridad prevención de riesgos e higiene industrial,gestión de riesgos laborales,desconocida,16.0,
184,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
185,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,higiene y manipulacion de alimentos,desconocida,8.0,
186,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,higiene y manipulación de alimentos,desconocida,24.0,
187,educación y capacitación,idiomas,curso básico de comunicación en inglés nivel a1,desconocida,32.0,
188,educación y capacitación,idiomas,curso básico de la competencia lingüística del inglés nivel b2,desconocida,24.0,
189,administración y legislación,legislación,administración tributaria del gad municipal,desconocida,24.0,
190,administración y legislación,administración contable y de costos,tributacion,desconocida,24.0,
191,administración y legislación,gestión del talento humano,administración de la nómina de empleados,desconocida,16.0,
192,educación y capacitación,capacitación,taller de identificación de necesidades educativas especiales,desconocida,8.0,
193,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
194,procesos industriales,seguridad prevención de riesgos e higiene industrial,trabajos en espacios confinados,desconocida,16.0,
195,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en trabajo de alturas,desconocida,40.0,
196,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
197,procesos industriales,seguridad prevención de riesgos e higiene industrial,reglamento de seguridad y salud - organismos paritarios,desconocida,40.0,
198,procesos industriales,seguridad prevención de riesgos e higiene industrial,sistema de gestión de seguridad y salud laboral,desconocida,16.0,
199,administración y legislación,gestión del talento humano,estrategias de trascendencia para pymes familiares,desconocida,40.0,
200,administración y legislación,gestión del talento humano,administración de la nómina de empleados,desconocida,16.0,
201,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
202,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
203,administración y legislación,gestión de la calidad,gestión por procesos,desconocida,40.0,
204,finanzas comercio y ventas,presupuestos y flujo de caja,operación de caja bancaria,desconocida,32.0,
205,administración y legislación,administración contable y de costos,declaraciones tributarias,desconocida,32.0,
206,finanzas comercio y ventas,riesgo financiero,análisis financiero,desconocida,40.0,
207,administración y legislación,legislación,auditoría de cumplimiento sobre las normas de prevención de lavado de activos,desconocida,16.0,
208,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
209,administración y legislación,administración contable y de costos,"asistencia en contabilidad, tributacion, y nomina modulo 1 contabilidad basica",desconocida,40.0,
210,tecnologías de la información y comunicación,programas de escritorio,manejo de excel básico,desconocida,40.0,420.0
211,educación y capacitación,diseño educativo y curricular,pedagogía y didáctica,desconocida,32.0,
212,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
213,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
214,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas contra incendios,desconocida,8.0,
215,procesos industriales,seguridad prevención de riesgos e higiene industrial,fundamentos de la seguridad y salud en el trabajo,desconocida,16.0,
216,educación y capacitación,capacitación,avalúo de bienes inmuebles urbanos,desconocida,40.0,
217,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
218,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
219,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
220,administración y legislación,administración general,fundamentos de comunicación política,desconocida,8.0,
221,administración y legislación,administración general,gestión de proyectos de desarrollo con enfoque de marco lógico,desconocida,32.0,
222,educación y capacitación,capacitación,mapeo con drones,desconocida,24.0,
223,tecnologías de la información y comunicación,programas de escritorio,sistemas de información geográfica: arcgis nivel básico-intermedio,desconocida,24.0,252.0
224,administración y legislación,gestión del talento humano,administración del subsistema de evaluación de desempeño,desconocida,16.0,
225,administración y legislación,administración contable y de costos,contabilidad básica,desconocida,40.0,
226,finanzas comercio y ventas,marketing y ventas,técnicas de atención y servicio al cliente,desconocida,24.0,
227,educación y capacitación,medios y materiales didácticos,docentes innovadores,desconocida,32.0,
228,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
229,forestal ecología y medio ambiente,contaminación ambiental,"fundamento y operación de plantas de tratamiento de agua potable, municipal e industrial",desconocida,40.0,
230,forestal ecología y medio ambiente,gestión e impacto ambiental,legislación ambiental y auditorías ambientales en la industria,desconocida,40.0,
231,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
232,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
233,tecnologías de la información y comunicación,programas de escritorio,manejo y operacion de una hoja de calculo,desconocida,40.0,90.0
234,administración y legislación,administración contable y de costos,estadistica basica con aplicacion de excel,desconocida,16.0,
235,procesos industriales,seguridad prevención de riesgos e higiene industrial,gestión de riesgos laborales,desconocida,16.0,
236,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
237,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
238,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en trabajo de alturas,desconocida,40.0,
239,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
240,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
241,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,buenas practicas de manufactura de alimentos procesados (bpm),desconocida,40.0,
242,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,auditoria interna en bpm (buenas practicas de manufactura) y haccp (análisis de peligros y puntos críticos de control) en plantas procesadoras de alimentos.,desconocida,40.0,
243,educación y capacitación,capacitación,protocolo de bioseguridad y planificación del retorno a labores,desconocida,40.0,
244,administración y legislación,legislación,normas de prevención de lavado de activos y la debida diligencia,desconocida,8.0,
245,administración y legislación,legislación,elaboración del manual y matriz de riesgo para la prevención de lavado de activos,desconocida,16.0,
246,educación y capacitación,idiomas,curso básico de comunicación en inglés nivel a1,desconocida,32.0,
247,procesos industriales,seguridad prevención de riesgos e higiene industrial,reglamento de seguridad y salud - organismos paritarios,desconocida,40.0,
248,forestal ecología y medio ambiente,contaminación ambiental,"auditorías ambientales a sistemas de gestión medio ambiental (sgm) iso 14001 2015, auditorías de cumplimiento y cierre según formato mae suia",desconocida,40.0,
249,educación y capacitación,capacitación,google para la educación y trabajo colaborativo,desconocida,40.0,
250,forestal ecología y medio ambiente,gestión e impacto ambiental,manejo de la plataforma suia,desconocida,16.0,
251,procesos industriales,seguridad prevención de riesgos e higiene industrial,gestión de riesgos laborales,desconocida,16.0,
252,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencias,desconocida,8.0,
253,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
254,tecnologías de la información y comunicación,control de calidad,seguridad de la información,desconocida,32.0,118.72
255,finanzas comercio y ventas,riesgo financiero,programa de educación financiera - pef,desconocida,40.0,
256,educación y capacitación,diseño educativo y curricular,evaluacion pedagogica ci setec,desconocida,8.0,
257,procesos industriales,seguridad prevención de riesgos e higiene industrial,sistema de gestión de seguridad y salud laboral,desconocida,16.0,
258,administración y legislación,administración contable y de costos,tributacion,desconocida,24.0,
259,administración y legislación,administración contable y de costos,anexos y devoluciones tributarias,desconocida,8.0,
260,administración y legislación,administración contable y de costos,"asistencia en contabilidad, tributacion, y nomina modulo 3 tributacion",desconocida,40.0,
261,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,desconocida,16.0,
262,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en trabajo de alturas,desconocida,40.0,
263,administración y legislación,legislación,elaboración del manual y matriz de riesgo para la prevención de lavado de activos,desconocida,16.0,
264,administración y legislación,legislación,normas de prevención de lavado de activos y la debida diligencia,desconocida,8.0,
265,tecnologías de la información y comunicación,análisis de sistemas,ethical hacking básico,desconocida,40.0,266.8
266,tecnologías de la información y comunicación,programas de escritorio,excel para la gestión comercial,desconocida,40.0,243.6
267,administración y legislación,legislación,auditoría forense y prevención del fraude,desconocida,24.0,
268,administración y legislación,administración general,formacion auditor interno sistemas integrados de gestión iso 9001/14001/45001,desconocida,32.0,
269,finanzas comercio y ventas,marketing y ventas,técnicas de atención y servicio al cliente,desconocida,24.0,
270,artes y artesanía,artesanía,asistencia óptica,desconocida,40.0,
271,procesos industriales,seguridad prevención de riesgos e higiene industrial,gestión de riesgos laborales,desconocida,16.0,
