Perfil,Competenecia Laboral,Familia,Sector
SOLDADURA EN PROCESO OXIACETILÉNICO (OAW) Y CORTE CON OXÍGENO Y GAS COMBUSTIBLE (OFC),"REALIZAR TRABAJOS DE UNIÓN DE ELEMENTOS EN ESTRUCTURAS METÁLICAS LIGERAS UTILIZANDO EL PROCESO DE SOLDADURA OXIACETILÉNICA (OAW) Y CORTE CON OXÍGENO Y GAS COMBUSTIBLE (OFC); CUMPLIENDO CON LAS EXPECTATIVAS DE CALIDAD DEL SECTOR PRODUCTIVO Y APLICANDO LAS MEDIDAS DE SEGURIDAD, HIGIENE Y PROTECCIÓN AMBIENTAL.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
SUPERVISIÓN DE PSICULTURA,"GESTIONAR, SUPERVISAR, PLANIFICAR Y COORDINAR EL TRABAJO DEL PERSONAL A SU CARGO, ANALIZANDO Y EVALUANDO LOS DATOS PRODUCTIVOS, PARA EL DESARROLLO Y LA MEJORA CONTINUA DE PROCEDIMIENTOS. CUMPLIENDO Y HACIENDO CUMPLIR PROCEDIMIENTOS DE SEGURIDAD, LAS NORMAS Y/O LEYES ESTABLECIDAS.","PESCA, ACUACULTURA Y MARICULTURA",PESCA Y ACUICULTURA
MAQUILLAJE,"APLICAR TÉCNICAS DE MAQUILLAJE DE ACUERDO AL REQUERIMIENTO DEL CLIENTE, FACTORES EXTERNOS Y PROTOCOLOS ESTABLECIDOS",ACTIVIDADES COMUNITARIAS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES
GESTIÓN EN OPERACIONES PETROLERAS,"REALIZAR LA OPERACION, MEDICION Y MONITOREO DE LOS EQUIPOS PARA LA PRODUCCION Y REFINACION DE PETROLEO, CONTROLANDO Y MONITOREANDO LOS PROCESOS DE BOMBEO Y TRANSFERENCIA DE CRUDO Y DERIVADOS, REALIZANDO PRUEBAS DE LABORATORIO PARA EL CONTROL DE CALIDAD DEL CRUDO Y DERIVADOS Y, CONTROL Y MEDICION DE PRUEBAS EN PUNTOS DE FISCALIZACION Y CAMBIO DE CUSTODIA DE HIDROCARBUROS, RESPETANDO CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL AMBIENTE Y AL DISEÑO.","MINAS, CANTERAS Y YACIMIENTOS",EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL
OPERACIONES DE SALA DE REFRIGERACIÓN,"ABASTECER DE FRÍO A LOS PROCESOS PRODUCTIVOS Y SISTEMAS DE ALMACENAJE REFRIGERADO Y CONGELADO, DE PLANTAS AGROINDUSTRIALES. CUMPLIENDO LOS PROCEDIMIENTOS DE CALIDAD, SEGURIDAD, SALUD Y MEDIOAMBIENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
PROCESAMIENTO DE PLANTA DE AVES,"REALIZAR ACTIVIDADES DEL PROCESAMIENTO DE AVES HASTA EL DESPACHO DE PRODUCTOS, DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
SUPERVISIÓN DE PROCESOS EN LA INDUSTRIA DE PRODUCTOS DERIVADOS DE LA PESCA Y ACUICULTURA,"SUPERVISAR LOS PROCESOS DERIVADOS DE LA PESCA Y LA ACUICULTURA DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS POR LA ORGANIZACIÓN, TOMANDO EN CUENTA LA NORMATIVA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
OPERACIONES ESPECIALIZADAS EN EL PROCESAMIENTO DE CAFÉ Y SUCEDÁNEOS,"REALIZAR LAS OPERACIONES Y CONTROL DE LAS MÁQUINAS Y EQUIPOS PARA EL PROCESAMIENTO DE CAFÉ Y SUCEDÁNEOS, DE ACUERDO A LAS TÉCNICAS ESTABLECIDAS EN LA NORMATIVA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
TRATAMIENTO DE AGUAS RESIDUALES EN LA ELABORACIÓN DE BEBIDAS,REALIZAR EL MANEJO DE SISTEMAS DE CONTROL Y EQUIPOS EN PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE ACUERDO A PROCESOS BIOLÓGICOS ESTABLECIDOS CUMPLIENDO LA NORMATIVA LOCAL VIGENTE.,PRODUCCIÓN INDUSTRIAL DE BEBIDAS Y TABACOS,ELABORACIÓN DE BEBIDAS
OPERACIONES DE MÁQUINA PARA LA ELABORACIÓN DE PRODUCTOS A BASE DE CEREALES,"OPERAR MÁQUINAS Y EQUIPOS DE FABRICACIÓN DE ALIMENTOS A BASE DE CEREAL, CUMPLIENDO CON LAS NORMAS DE MEDIO AMBIENTE, SEGURIDAD ALIMENTARIA Y SALUD EN EL TRABAJO.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
OPERACIONES EN LA ELABORACIÓN DE BALANCEADO,"REALIZAR LAS OPERACIONES PARA LA ELABORACIÓN DE BALANCEADOS DESDE LA RECEPCIÓN DE LA MATERIA PRIMA HASTA EL ALMACENAMIENTO DE PRODUCTOS TERMINADOS, BAJO NORMAS DE CALIDAD, HIGIENE Y SANIDAD.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
TÉCNICAS EN CONSERVACIÓN Y PROCESAMIENTO DE FRUTAS Y VEGETALES,"REALIZAR LA EJECUCIÓN Y CONTROL DE LA CONSERVACIÓN Y PROCESAMIENTO DE FRUTAS Y VEGETALES, CUMPLIENDO CON LAS EXIGENCIAS DE CALIDAD EN BASE A LAS NORMAS DE SEGURIDAD E HIGIENE ESTABLECIDAS.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
REPOSTERÍA,"REALIZAR LA PRESENTACIÓN DE PRODUCTOS DE REPOSTERÍA A PARTIR DE PREPARACIONES BÁSICAS, CUMPLIENDO BUENAS PRÁCTICAS DE MANUFACTURA.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
ACTVIDADES DE PROMOCIÓN COMUNITARIA DE REDUCCIÓN DEL RIESGOS DE DESASTRES,"PROMOVER ACCIONES PARA LA ORGANIZACIÓN Y FORTALECIMIENTO COMUNITARIO EN REDUCCIÓN DE RIESGO DE DESASTRES DE ACUERDO CON LA NORMATIVA VIGENTES, GUÍAS Y PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES COMUNITARIAS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.
OPERACIONES ESPECIALIZADAS EN PROCESAMIENTO DE PRODUCTOS CÁRNICOS,"REALIZAR LAS OPERACIONES DE VALORACIÓN DE LA CARNE, DESPIECE, PREPARACIÓN Y ELABORACIÓN DE PRODUCTOS Y REPARADOS CÁRNICOS, CUMPLIENDO CON NORMAS DE HIGIENE, SALUD Y SEGURIDAD EN EL TRABAJO.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
OPERACIONES ESPECIALIZADAS EN PROCESAMIENTO DE AGUARDIENTE DE CAÑA,"REALIZAR LA EJECUCIÓN Y CONTROL DEL PROCESO DE MOLIENDA, FERMENTACIÓN Y DESTILACIÓN DEL JUGO DE CAÑA (GUARAPO), BAJO LOS ESTÁNDARES DE CALIDAD Y NORMAS AMBIENTALES.",PRODUCCIÓN INDUSTRIAL DE BEBIDAS Y TABACOS,ELABORACIÓN DE BEBIDAS
INDUSTRIAS DERIVADAS DE LA UVA Y DEL VINO,"GESTIONAR UNA UNIDAD O SECCION EN LA INDUSTRIA DE LOS DESTILADOS, MOSTOS CONCENTRADOS, VINAGRES Y OTROS PRODUCTOS DERIVADOS DE LA UVA Y DEL VINO, REALIZANDO LA PROGRAMACION, PREPARACION Y SUPERVISION DE LOS RECURSOS DISPONIBLES, ASI COMO LOS TRABAJOS NECESARIOS PARA ALCANZAR LOS OBJETIVOS Y SUPERVISANDO LA APLICACION DEL SISTEMA DE ANALISIS DE PELIGROS Y PUNTOS CRITICOS DE CONTROL, BUENAS PRACTICAS DE MANUFACTURA Y SISTEMAS DE TRAZABILIDAD.",PRODUCCIÓN INDUSTRIAL DE BEBIDAS Y TABACOS,ELABORACIÓN DE BEBIDAS
OPERACIONES EN CONFECCIÓN Y MANTENIMIENTO DE ARTES Y APAREJOS DE PESCA,"CONFECCIONAR Y MONTAR LAS ARTES Y LOS APAREJOS DE PESCA, ASÍ COMO EFECTUAR SU REPARACIÓN Y MANTENIMIENTO, SIGUIENDO LAS INDICACIONES DE LOS PLANOS Y/O LOS PROCEDIMIENTOS TRADICIONALES.","PESCA, ACUACULTURA Y MARICULTURA",FABRICACIÓN DE PRODUCTOS TEXTILES
OPERACIONES DE TRANSFORMACIÓN DE POLÍMEROS TERMOPLÁSTICOS,"REALIZAR LAS OPERACIONES DE TRANSFORMACIÓN DE POLÍMEROS TERMOPLÁSTICOS A PARTIR DE MEZCLAS PREPARADAS SEGÚN FÓRMULAS ESTABLECIDAS, RESPONSABILIZÁNDOSE DE LA PUESTA A PUNTO DE INSTALACIONES, MÁQUINAS Y UTILLAJE DE FABRICACIÓN, DEL MANTENIMIENTO DE PRIMER NIVEL, ASÍ COMO, DE LA CALIDAD DE LOS MATERIALES Y PRODUCTOS, MANTENIENDO EN TODO MOMENTO LAS CONDICIONES DE PREVENCIÓN DE RIESGOS LABORALES Y MEDIOAMBIENTALES.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS
SUPERVISIÓN EN VALIDACIÓN Y ESTABILIDAD DE MEDICAMENTOS,"REALIZAR ESTUDIOS DE VALIDACIÓN DE MÉTODOS Y PROCEDIMIENTOS FARMACÉUTICOS CONFORME A BUENAS PRÁCTICAS DE MANUFACTURA (BPM), GUÍAS ICH (INTERNATIONAL CONFERENCE ON HARMONISATION), REGULACIONES NACIONALES Y POLÍTICAS INTERNAS DE LA ORGANIZACIÓN.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS","FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACÉUTICO"
SUPERVISIÓN EN CALIDAD DE PRODUCCIÓN DE PLÁSTICOS,"ANALIZAR LAS CARACTERÍSTICAS FÍSICAS Y QUÍMICAS DE MATERIAS PRIMAS, SUMINISTROS, PRODUCTOS EN PROCESO Y PRODUCTOS TERMINADOS DE PLÁSTICO PARA VERIFICAR QUE CUMPLEN CON LAS ESPECIFICACIONES TÉCNICAS Y DE LOS CLIENTES EN BASE A LAS NORMAS Y LOS PROCEDIMIENTOS ESTABLECIDOS.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO
PRODUCCIÓN Y REPLICA DE ALFARERÍA Y CERÁMICA,"REALIZAR OPERACIONES DE PRODUCCIÓN Y REPLICA DE ALFARERÍA Y CERÁMICA, MANEJANDO Y MANTENIENDO EN USO LAS INSTALACIONES Y EQUIPOS DEL TALLER, CONSIGUIENDO BAJOS COSTES DE PRODUCCIÓN CON LA CALIDAD REQUERIDA, EN CONDICIONES DE SEGURIDAD Y SALUD.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS
SOLDADURA DE MANTENIMIENTO,"REALIZAR ACTIVIDADES DE RECUPERACIÓN Y MANTENIMIENTODE PARTES Y PIEZAS MECÁNICAS CON SOLDADURA DERECUBRIMIENTO; CUMPLIENDO CON LAS EXPECTATIVAS DECALIDAD DEL SECTOR PRODUCTIVO Y APLICANDO LAS MEDIDAS DE SEGURIDAD, HIGIENE Y PROTECCIÓN AMBIENTAL.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
SOLDADURA EN PROCESO SAW (SOLDADURA POR ARCO SUMERGIDO),"REALIZAR TRABAJOS DE UNIÓN DE ELEMENTOS METÁLICOS CON SOLDADURA POR ARCO SUMERGIDO EN ACEROS DE BAJA Y MEDIA ALEACIÓN, UTILIZANDO SISTEMAS DE SOLDADURA SEMIAUTOMÁTICA Y AUTOMÁTICA; CUMPLIENDO CON LAS ESPECIFICACIONES TÉCNICAS Y LA NOR MATIVA DE CALIDAD REQUERIDAS DE ACUERDO A LAS MEDIDAS DE PROTECCIÓN AMBIENTAL.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
MATRICERIA,"REALIZAR LA CONSTRUCCIÓN DE ELEMENTOS MECÁNICOS COMPL EJOS, AJUSTES DE PRECISIÓN Y LA VERIFICACIÓN DE LA FUNCIONALIDAD DE PIEZAS, MOLDES Y MATRICES UTILIZANDO HERRAMIENTAS MANUALES Y MAQUINAS HERRAMIENTAS CONVENCIONALES Y ESPECIALIZADAS.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
ASISTENCIA A LA SUPERVISIÓN DE ACTIVIDADES DE CONSTRUCCIÓN,"ASISTIR A LA SUPERVISIÓN DE EDIFICACIONES Y OBRAS CIVILES CUMPLIENDO LAS NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO, MEDIO AMBIENTE Y ESPECIFICACIONES TÉCNICAS DEL PROYECTO DE LA OBRA.",CONSTRUCCIÓN,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN
"MECANIZADO POR ABRASIÓN, ELECTROEROSIÓN Y PROCEDIMIENTOS ESPECIALES","MECANIZAR POR ABRASIÓN, ELECTROEROSIÓN Y PROCEDIMIENTOS ESPECIALES AFINES, CONTROLANDO LOS PRODUCTOS OBTENIDOS Y RESPONSABILIZÁNDOSE DEL MANTENIMIENTO DE PRIMER NIVEL DE LAS MÁQUINAS Y EQUIPOS, CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
DISEÑO DE MOLDES Y MODELOS,"DISEÑAR MOLDES DE FUNDICIÓN, FORJA O ESTAMPACIÓN Y MODELOS PARA FUNDICIÓN, CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
"PRODUCCIÓN EN MECANIZADO, CONFORMADO Y MONTAJE MECÁNICO","DETERMINAR LOS PROCESOS OPERACIONALES DE MECANIZADO (ARRANQUE DE VIRUTA, CONFORMADO Y MECANIZADOS ESPECIALES) Y MONTAJE DE EQUIPOS MECÁNICOS, ASÍ COMO REALIZAR LA PROGRAMACIÓN DE SISTEMAS AUTOMÁTICOS DE FABRICACIÓN, ORGANIZANDO Y SUPERVISANDO LA PRODUCCIÓN, A PARTIR DE LA DOCUMENTACIÓN TÉCNICA DEL PROCESO, CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
PINTURA AUTOMOTRIZ,"EJECUTA EL PROCESO DE PINTURA AUTOMOTRIZ, CONFORME A LOS PROCESOS ESTANDARIZADOS Y ESTABLECIDOS PARA ASEGURAR LA CALIDAD, CUMPLIENDO NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
ELABORACIÓN DE HELADOS DE PAILA,"ELABORAR HELADOS DE PAILA, DE ACUERDO A NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.",ARTESANÍAS,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
INSTALACIÓN DE MUEBLES,"PLANIFICAR LA INSTALACIÓN, COMPONER Y FIJAR EL MOBILIARIO REALIZANDO LAS INSTALACIONES COMPLEMENTARIAS Y COMPROBAR EL FUNCIONAMIENTO, REALIZANDO LAS OPERACIONES DE AJUSTE Y ACABADO REQUERIDAS, EN CONDICIONES DE SALUD LABORAL Y APLICANDO LOS PROCEDIMIENTOS DE CALIDAD ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,FABRICACIÓN DE MUEBLES
MECATRÓNICA INDUSTRIAL,"REALIZAR OPERACIONES DE PROGRAMACIÓN, INSTALACIÓN Y MANTENIMIENTO DE PROCESOS INDUSTRIALES AUTOMÁTICOS Y SUBPROCESOS ROBÓTICOS, BAJO SUPERVISIÓN, SIGUIENDO LOS PROCEDIMIENTOS TÉCNICOS ESTABLECIDOS Y ESTRUCTURAS DE SEGURIDAD REQUERIDAS.",METALMECÁNICA,REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO
CLIMATIZACIÓN,"REALIZAR LAS OPERACIONES DE MONTAJE, MANTENIMIENTO Y REPARACIÓN DE INSTALACIONES DE FRIO, CLIMATIZACIÓN, CALEFACCIÓN, AGUA Y GASES COMBUSTIBLES EN EDIFICIO, INSTALACIONES PRODUCTIVAS Y VEHÍCULOS, CON LA CALIDAD REQUERIDA, CUMPLIENDO LAS REGLAMENTACIONES Y EN CONDICIONES DE SEGURIDAD.","ELECTRICIDAD, GAS Y AGUA","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
INSTALACIONES ELÉCTRICAS INDUSTRIALES,"GARANTIZAR EL FUNCIONAMIENTO INSTALACIONES ELÉCTRICAS INDUSTRIALES, EQUIPOS Y ACCESORIOS DE ACUERDO A NORMAS TÉCNICAS Y ESPECIFICACIONES, SEGURIDAD Y SALUD EN EL TRABAJO, Y MEDIO AMBIENTE; OPERANDO HERRAMIENTAS Y EQUIPOS DE DIAGNÓSTICO, MONTAJE Y REPARACIÓN ELÉCTRICA.",ACTIVIDADES TIPO SERVICIOS,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
IMPLEMENTACIÓN DE AULAS VIRTUALES DE APRENDIZAJE,IMPLEMENTAR AULAS EN ENTORNO VIRTUAL DE APRENDIZAJE DE ACUERDO A LOS PROCEDIMIENTOS TECNO-PEDAGÓGICOS ESTABLECIDOS EN UNA INSTITUCIÓN.,ACTIVIDADES DE ENSEÑANZA,ENSEÑANZA
INSTALACIONES ELÉCTRICAS,"REALIZAR INSTALACIONES ELÉCTRICAS EN EDIFICIOS, LOCALES COMERCIALES Y VIVIENDAS, CUMPLIENDO CON NORMAS DE HIGIENE, SALUD Y SEGURIDAD EN EL TRABAJO",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN
GESTIÓN EN ELECTRICIDAD INDUSTRIAL,"GESTIONAR EL MONTAJE Y EL MANTENIMIENTO DE REDES ELÉCTRICAS DE BAJA TENSIÓN Y ALUMBRADO EXTERIOR A PARTIR DE UN PROYECTO O MEMORIA TÉCNICA DE DISEÑO, DE ACUERDO CON LAS NORMAS ESTABLECIDAS Y LA CALIDAD PREVISTA, GARANTIZANDO LA SEGURIDAD INTEGRAL Y LAS CONDICIONES ÓPTIMAS DE FUNCIONAMIENTO Y CONSERVACIÓN MEDIOAMBIENTAL.",ACTIVIDADES TIPO SERVICIOS,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
OPERACIONES ESPECIALIZADAS EN TRATAMIENTO DE AGUAS,SUPERVISAR EL PROCESO DE TRATAMIENTO DE AGUAS RESIDUALES MEDIANTE EL CONTROL DE MAQUINARIA TOMANDO EN CUENTA LA LEGISLACIÓN AMBIENTAL Y NORMATIVA DE SALUD Y SEGURIDAD EN EL TRABAJO.,PRODUCCIÓN INDUSTRIAL DE BEBIDAS Y TABACOS,"CAPTACIÓN, TRATAMIENTO Y DISTRIBUCIÓN DE AGUA"
INDUSTRIA TEXTIL,"REALIZAR OPERACIONES BÁSICAS DE REPARACIÓN, MANEJO Y TRANSPORTE DE MATERIALES, ASÍ COMO, ALIMENTAR Y SISTIRÁN LOS PROCESOS DE HILATURA, TEJEDURÍA Y TELAS NO TEJIDAS, APLICANDO LAS TÉCNICAS Y PROCEDIMIENTOS REQUERIDOS EN CADA CASO, BAJO LA SUPERVISIÓN DE UN RESPONSABLE, UTILIZANDO CRITERIOS DE CALIDAD Y ACTUANDO EN CONDICIONES DE SEGURIDAD Y RESPETO AL MEDIO AMBIENTE, SEGÚN PLANES ESTABLECIDOS.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES
BORDADO ARTESANAL DE PRENDAS DE VESTIR,"REALIZAR BORDADOS EN PRENDAS DE VESTIR, UTILERÍA DECORATIVA Y OTROS, BAJO LAS ESPECIFICACIONES REQUERIDAS, UTILIZANDO LOS EQUIPOS Y MÁQUINAS APROPIADAS PARA GARANTIZAR LA CALIDAD DEL PRODUCTO.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRENDAS DE VESTIR
