id_fact_oc_cp,id_razon_social,id_curso_perfil,id_fecha,tipo,area_familia,especialidad_sector,curso_perfil,modalidad,carga_horaria,costo,fecha,dia,mes,anio,razon_social,estado,tipo_razon_social,fecha_resolucion,canton,provincia
1969,84,4106,2143,curso,artes y artesanía,cosmetología,depilación mecánica,presencial,30,528.6,28-02-2023,28,2,2023,anaya centro de formacion style & beauty care,calificado,operador de capacitación,23-05-2021,quito,pichincha
17,100,2589,6,curso,alimentación gastronomía y turismo,cocina nacional e internacional,alta cocina y de vanguardia,presencial,125,2972.5,31-12-2021,31,12,2021,ankukuna,calificado,operador de capacitación,13-12-2021,pastaza,pastaza
18,100,2588,6,curso,alimentación gastronomía y turismo,cocina nacional e internacional,cocina profesional,presencial,200,22.0,31-12-2021,31,12,2021,ankukuna,calificado,operador de capacitación,13-12-2021,pastaza,pastaza
19,100,2590,6,curso,alimentación gastronomía y turismo,panadería y pastelería,reposteria profesional,presencial,130,3091.4,31-12-2021,31,12,2021,ankukuna,calificado,operador de capacitación,13-12-2021,pastaza,pastaza
814,100,2589,3,curso,alimentación gastronomía y turismo,cocina nacional e internacional,alta cocina y de vanguardia,presencial,125,2972.5,31-12-2018,31,12,2018,ankukuna,calificado,operador de capacitación,13-12-2021,pastaza,pastaza
815,100,2588,3,curso,alimentación gastronomía y turismo,cocina nacional e internacional,cocina profesional,presencial,200,22.0,31-12-2018,31,12,2018,ankukuna,calificado,operador de capacitación,13-12-2021,pastaza,pastaza
20,121,4871,6,curso,electricidad y electrónica,electrónica industrial,control eléctrico industrial,presencial,25,42.75,31-12-2021,31,12,2021,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
21,121,4869,6,curso,electricidad y electrónica,electrónica industrial,controladores siemens,presencial,30,51.3,31-12-2021,31,12,2021,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
22,121,4875,6,curso,electricidad y electrónica,electricidad industrial,instalaciones eléctricas residenciales,presencial,36,61.56,31-12-2021,31,12,2021,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
23,121,4880,6,curso,electricidad y electrónica,redes eléctricas,instalaciones eléctricas residenciales,presencial,40,68.4,31-12-2021,31,12,2021,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
24,121,4874,6,curso,electricidad y electrónica,electrotecnia y luminotecnia,instalación y configuración de sistemas de video vigilancia - cctv,presencial,18,30.78,31-12-2021,31,12,2021,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
25,121,4883,6,curso,electricidad y electrónica,electrotecnia y luminotecnia,instalación y configuración de sistemas de video vigilancia - cctv,online,18,30.06,31-12-2021,31,12,2021,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
26,121,4870,6,curso,electricidad y electrónica,electrónica industrial,micro plc logo! siemens,presencial,30,51.3,31-12-2021,31,12,2021,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
27,121,4877,6,curso,electricidad y electrónica,electricidad industrial,micro plc logo! siemens,presencial,40,68.4,31-12-2021,31,12,2021,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
28,121,4882,6,curso,electricidad y electrónica,electrónica industrial,micro plc logo! siemens,online,30,44.1,31-12-2021,31,12,2021,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
2124,121,4869,2142,curso,electricidad y electrónica,electrónica industrial,controladores siemens,presencial,30,51.3,31-01-2023,31,1,2023,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
816,121,4869,3,curso,electricidad y electrónica,electrónica industrial,controladores siemens,presencial,30,51.3,31-12-2018,31,12,2018,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
817,121,4875,3,curso,electricidad y electrónica,electricidad industrial,instalaciones eléctricas residenciales,presencial,36,61.56,31-12-2018,31,12,2018,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
818,121,4880,3,curso,electricidad y electrónica,redes eléctricas,instalaciones eléctricas residenciales,presencial,40,68.4,31-12-2018,31,12,2018,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
819,121,4874,3,curso,electricidad y electrónica,electrotecnia y luminotecnia,instalación y configuración de sistemas de video vigilancia - cctv,presencial,18,30.78,31-12-2018,31,12,2018,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
820,121,4883,3,curso,electricidad y electrónica,electrotecnia y luminotecnia,instalación y configuración de sistemas de video vigilancia - cctv,online,18,30.06,31-12-2018,31,12,2018,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
2186,121,4869,2143,curso,electricidad y electrónica,electrónica industrial,controladores siemens,presencial,30,51.3,28-02-2023,28,2,2023,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
2083,121,4880,2143,curso,electricidad y electrónica,redes eléctricas,instalaciones eléctricas residenciales,presencial,40,68.4,28-02-2023,28,2,2023,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
2148,121,4883,2143,curso,electricidad y electrónica,electrotecnia y luminotecnia,instalación y configuración de sistemas de video vigilancia - cctv,online,18,30.06,28-02-2023,28,2,2023,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
947,121,4869,4,curso,electricidad y electrónica,electrónica industrial,controladores siemens,presencial,30,51.3,31-12-2019,31,12,2019,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
948,121,4875,4,curso,electricidad y electrónica,electricidad industrial,instalaciones eléctricas residenciales,presencial,36,61.56,31-12-2019,31,12,2019,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
949,121,4880,4,curso,electricidad y electrónica,redes eléctricas,instalaciones eléctricas residenciales,presencial,40,68.4,31-12-2019,31,12,2019,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
950,121,4874,4,curso,electricidad y electrónica,electrotecnia y luminotecnia,instalación y configuración de sistemas de video vigilancia - cctv,presencial,18,30.78,31-12-2019,31,12,2019,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
951,121,4883,4,curso,electricidad y electrónica,electrotecnia y luminotecnia,instalación y configuración de sistemas de video vigilancia - cctv,online,18,30.06,31-12-2019,31,12,2019,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
29,129,1745,6,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencia,presencial,16,760.96,31-12-2021,31,12,2021,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
30,129,1756,6,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de primeros auxilios,presencial,16,760.96,31-12-2021,31,12,2021,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
31,129,1761,6,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de formadores,presencial,40,150.0,31-12-2021,31,12,2021,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
32,129,1744,6,curso,alimentación gastronomía y turismo,turismo,presentación y conducta profesional,presencial,10,475.6,31-12-2021,31,12,2021,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
33,129,1747,6,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el manejo de desechos hospitalarios,presencial,40,760.8,31-12-2021,31,12,2021,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
34,129,1759,6,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en trabajos en alturas,presencial,12,761.04,31-12-2021,31,12,2021,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
35,129,1749,6,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención y manejo de desechos,presencial,16,760.96,31-12-2021,31,12,2021,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
36,129,1740,6,curso,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,"seguridad, prevención de riesgos e higiene de limpieza general",presencial,40,760.8,31-12-2021,31,12,2021,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
1984,129,1744,2142,curso,alimentación gastronomía y turismo,turismo,presentación y conducta profesional,presencial,10,475.6,31-01-2023,31,1,2023,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
2001,129,1740,2142,curso,alimentación gastronomía y turismo,elaboración tecnología y producción de alimentos,"seguridad, prevención de riesgos e higiene de limpieza general",presencial,40,760.8,31-01-2023,31,1,2023,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
821,129,1747,3,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el manejo de desechos hospitalarios,presencial,40,760.8,31-12-2018,31,12,2018,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
2070,129,1756,2143,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de primeros auxilios,presencial,16,760.96,28-02-2023,28,2,2023,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
2079,129,1759,2143,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en trabajos en alturas,presencial,12,761.04,28-02-2023,28,2,2023,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
952,129,1735,4,curso,administración y legislación,gestión del talento humano,liderazgo transformador,presencial,10,593.6999999999999,31-12-2019,31,12,2019,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
37,147,2088,6,curso,procesos industriales,textil,confección básica,presencial,50,529.0,31-12-2021,31,12,2021,asociacion fe y alegria ecuador,calificado,operador de capacitación,27-09-2021,quito,pichincha
38,147,2074,6,curso,procesos industriales,textil,corte y confección,presencial,150,2478.0,31-12-2021,31,12,2021,asociacion fe y alegria ecuador,calificado,operador de capacitación,27-09-2021,quito,pichincha
39,147,2075,6,curso,mecánica industrial y minería,soldadura,soldadura electrica,presencial,150,241.50000000000003,31-12-2021,31,12,2021,asociacion fe y alegria ecuador,calificado,operador de capacitación,27-09-2021,quito,pichincha
953,147,2075,4,curso,mecánica industrial y minería,soldadura,soldadura electrica,presencial,150,241.50000000000003,31-12-2019,31,12,2019,asociacion fe y alegria ecuador,calificado,operador de capacitación,27-09-2021,quito,pichincha
40,180,2555,6,curso,alimentación gastronomía y turismo,turismo,diseño de eventos sociales,presencial,600,39654.0,31-12-2021,31,12,2021,baculima nuñez maria antonieta,calificado,operador de capacitación,20-10-2021,quito,pichincha
41,180,2556,6,curso,alimentación gastronomía y turismo,turismo,diseño de eventos sociales,virtual,600,3132.0,31-12-2021,31,12,2021,baculima nuñez maria antonieta,calificado,operador de capacitación,20-10-2021,quito,pichincha
42,180,2577,6,curso,educación y capacitación,capacitación,diseño de jardines,presencial,500,3437.9365079365057,31-12-2021,31,12,2021,baculima nuñez maria antonieta,calificado,operador de capacitación,20-10-2021,quito,pichincha
43,180,2578,6,curso,educación y capacitación,capacitación,diseño de jardines,virtual,500,3437.9365079365057,31-12-2021,31,12,2021,baculima nuñez maria antonieta,calificado,operador de capacitación,20-10-2021,quito,pichincha
44,180,2533,6,curso,forestal ecología y medio ambiente,plantación conservación y explotación de especies forestales,mantenimiento jardines i,virtual,30,84.3,31-12-2021,31,12,2021,baculima nuñez maria antonieta,calificado,operador de capacitación,20-10-2021,quito,pichincha
2114,180,2556,2142,curso,alimentación gastronomía y turismo,turismo,diseño de eventos sociales,virtual,600,3132.0,31-01-2023,31,1,2023,baculima nuñez maria antonieta,calificado,operador de capacitación,20-10-2021,quito,pichincha
1961,180,2578,2142,curso,educación y capacitación,capacitación,diseño de jardines,virtual,500,3437.9365079365057,31-01-2023,31,1,2023,baculima nuñez maria antonieta,calificado,operador de capacitación,20-10-2021,quito,pichincha
45,186,31,6,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,plan de emergencias y autoprotección,presencial,40,75.19999999999999,31-12-2021,31,12,2021,baldeon quishpe paul enrique,calificado,operador de capacitación,16-05-2021,santo domingo,santo domingo de los tsachilas
46,186,30,6,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,40,200.0,31-12-2021,31,12,2021,baldeon quishpe paul enrique,calificado,operador de capacitación,16-05-2021,santo domingo,santo domingo de los tsachilas
1941,186,30,2143,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,40,200.0,28-02-2023,28,2,2023,baldeon quishpe paul enrique,calificado,operador de capacitación,16-05-2021,santo domingo,santo domingo de los tsachilas
47,194,5233,6,curso,educación y capacitación,capacitación,"confort del enfermo, enfocado a su cuidado físico y emocional",presencial,268,1842.733968253967,31-12-2021,31,12,2021,barahona reyes mercedes lucia,calificado,operador de capacitación,14-12-2021,quito,pichincha
48,194,5229,6,curso,educación y capacitación,capacitación,desarrollo y estimulación del niño de 1 a 18 meses,presencial,267,1835.8580952380944,31-12-2021,31,12,2021,barahona reyes mercedes lucia,calificado,operador de capacitación,14-12-2021,quito,pichincha
49,194,5232,6,curso,educación y capacitación,capacitación,mecánica corporal y su aplicación en el manejo y cuidado del enfermo,presencial,266,1828.982222222221,31-12-2021,31,12,2021,barahona reyes mercedes lucia,calificado,operador de capacitación,14-12-2021,quito,pichincha
823,194,5230,3,curso,educación y capacitación,capacitación,formas de auxiliar a niños que sufren accidentes caseros,presencial,267,1835.8580952380944,31-12-2018,31,12,2018,barahona reyes mercedes lucia,calificado,operador de capacitación,14-12-2021,quito,pichincha
2099,194,5233,2143,curso,educación y capacitación,capacitación,"confort del enfermo, enfocado a su cuidado físico y emocional",presencial,268,1842.733968253967,28-02-2023,28,2,2023,barahona reyes mercedes lucia,calificado,operador de capacitación,14-12-2021,quito,pichincha
50,196,5110,6,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencia,presencial,22,401.06,31-12-2021,31,12,2021,barrazueta & asociados consultora para el cambio organizacional cia. ltda.,calificado,operador de capacitación,25-11-2021,quito,pichincha
824,196,5107,3,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas contra incendios,presencial,8,528.72,31-12-2018,31,12,2018,barrazueta & asociados consultora para el cambio organizacional cia. ltda.,calificado,operador de capacitación,25-11-2021,quito,pichincha
825,196,5109,3,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de comunicación,presencial,8,528.72,31-12-2018,31,12,2018,barrazueta & asociados consultora para el cambio organizacional cia. ltda.,calificado,operador de capacitación,25-11-2021,quito,pichincha
826,196,5111,3,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de evacuación y rescate,presencial,8,528.72,31-12-2018,31,12,2018,barrazueta & asociados consultora para el cambio organizacional cia. ltda.,calificado,operador de capacitación,25-11-2021,quito,pichincha
827,196,5108,3,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de primeros auxilios,presencial,8,528.72,31-12-2018,31,12,2018,barrazueta & asociados consultora para el cambio organizacional cia. ltda.,calificado,operador de capacitación,25-11-2021,quito,pichincha
51,212,4958,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,aparejamiento de maniobras de izaje,presencial,16,528.8,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
52,212,4959,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,aparejamiento de maniobras de izaje,online,16,29.44,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
53,212,4955,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de camión petrolero macho,presencial,8,528.72,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
54,212,4965,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de camión petrolero macho,online,8,14.72,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
55,212,4947,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de cargadora frontal,presencial,8,528.72,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
56,212,4948,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de cargadora frontal,online,8,14.72,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
57,212,4943,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de excavadora,presencial,8,528.72,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
58,212,4962,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de excavadora,online,8,14.72,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
59,212,4949,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de grúa,presencial,16,528.8,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
60,212,4950,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de grúa,online,16,29.44,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
61,212,4945,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de grúa de boom articulado,presencial,16,528.8,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
62,212,4946,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de grúa de boom articulado,online,16,29.44,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
63,212,4942,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de montacargas,presencial,8,528.72,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
64,212,4944,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de montacargas,online,8,14.72,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
65,212,4951,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de plataforma elevadora de personal (manlift),presencial,8,528.72,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
66,212,4952,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de plataforma elevadora de personal (manlift),online,8,96.64,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
67,212,4960,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de retroexcavadora,presencial,8,528.72,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
68,212,4961,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de retroexcavadora,online,8,14.72,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
69,212,4953,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de telehandler,presencial,8,528.72,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
70,212,4963,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de telehandler,online,8,14.72,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
71,212,4954,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de winche,presencial,8,528.72,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
72,212,4964,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de winche,semipresencial,8,168.48,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
73,212,4956,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,supervisión de maniobras de izaje,presencial,16,528.8,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
74,212,4957,6,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,supervisión de maniobras de izaje,online,16,29.44,31-12-2021,31,12,2021,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
2167,212,4958,2142,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,aparejamiento de maniobras de izaje,presencial,16,528.8,31-01-2023,31,1,2023,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
2075,212,4950,2142,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de grúa,online,16,29.44,31-01-2023,31,1,2023,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
2188,212,4945,2142,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de grúa de boom articulado,presencial,16,528.8,31-01-2023,31,1,2023,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
2142,212,4946,2142,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,operación de grúa de boom articulado,online,16,29.44,31-01-2023,31,1,2023,bcibureau certificacion & inspeccion de equipos s.a.,calificado,operador de capacitación,25-11-2021,quito,pichincha
