id_fact_oec_rs,id_razon_social,id_fecha,fecha,dia,mes,anio,razon_social,estado,tipo_razon_social,fecha_resolucion,canton,provincia
1703,1192,1659,24-06-2019,24,6,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1704,1192,1675,24-09-2018,24,9,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1707,1192,1786,26-04-2018,26,4,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1706,1192,1768,26-01-2018,26,1,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1709,1192,1852,27-03-2018,27,3,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1681,1192,937,14-03-2018,14,3,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1708,1192,1845,27-02-2018,27,2,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1665,1192,507,08-02-2018,8,2,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1686,1192,1053,15-12-2016,15,12,2016,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1674,1192,725,11-03-2020,11,3,2020,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1667,1192,533,08-07-2019,8,7,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1652,1192,13,01-02-2018,1,2,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1658,1192,237,04-04-2019,4,4,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1659,1192,323,05-06-2019,5,6,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1661,1192,377,06-03-2019,6,3,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1662,1192,405,06-08-2018,6,8,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1664,1192,457,07-05-2022,7,5,2022,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1668,1192,549,08-09-2021,8,9,2021,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1670,1192,599,09-06-2017,9,6,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1673,1192,694,10-10-2018,10,10,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1676,1192,745,11-07-2017,11,7,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1677,1192,813,12-06-2017,12,6,2017,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1690,1192,1201,18-01-2019,18,1,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1691,1192,1217,18-04-2018,18,4,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1693,1192,1298,19-06-2019,19,6,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1697,1192,1428,21-03-2018,21,3,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1699,1192,1444,21-06-2018,21,6,2018,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1700,1192,1611,23-09-2021,23,9,2021,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1701,1192,1624,23-12-2016,23,12,2016,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1710,1192,1853,27-03-2019,27,3,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
1711,1192,1907,27-12-2019,27,12,2019,instituto superior tecnológico vicente leon,habilitado,organismo evaluador de la conformidad,24-05-2021,latacunga,cotopaxi
3308,1494,26,01-04-2021,1,4,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3365,1494,935,14-02-2022,14,2,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3400,1494,1454,21-07-2022,21,7,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3411,1494,1622,23-11-2020,23,11,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3445,1494,2037,29-11-2019,29,11,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3427,1494,1793,26-05-2021,26,5,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3316,1494,160,03-03-2021,3,3,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3373,1494,1057,15-12-2020,15,12,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3380,1494,1140,17-02-2021,17,2,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3381,1494,1141,17-02-2022,17,2,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3392,1494,1306,19-07-2021,19,7,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3401,1494,1484,21-12-2020,21,12,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3407,1494,1576,23-03-2021,23,3,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3408,1494,1580,23-04-2021,23,4,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3417,1494,1673,24-08-2021,24,8,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3423,1494,1746,25-09-2019,25,9,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3424,1494,1758,25-11-2019,25,11,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3428,1494,1812,26-08-2020,26,8,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3443,1494,1995,29-04-2021,29,4,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3333,1494,392,06-05-2022,6,5,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3310,1494,37,01-07-2019,1,7,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3348,1494,649,10-02-2020,10,2,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3378,1494,1127,16-12-2020,16,12,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3385,1494,1210,18-02-2021,18,2,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3353,1494,706,10-12-2018,10,12,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3322,1494,287,04-12-2018,4,12,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3328,1494,358,05-12-2018,5,12,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3371,1494,1024,15-07-2019,15,7,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3377,1494,1108,16-09-2019,16,9,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3391,1494,1304,19-07-2019,19,7,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3395,1494,1331,19-11-2019,19,11,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3397,1494,1349,20-02-2019,20,2,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3435,1494,1900,27-11-2018,27,11,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3444,1494,2030,29-10-2018,29,10,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3432,1494,1869,27-06-2019,27,6,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3358,1494,756,11-08-2020,11,8,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3393,1494,1319,19-09-2018,19,9,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3442,1494,1994,29-04-2019,29,4,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3412,1494,1647,24-03-2022,24,3,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3431,1494,1861,27-04-2022,27,4,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3319,1494,205,03-11-2018,3,11,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3313,1494,83,02-02-2021,2,2,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3384,1494,1208,18-02-2019,18,2,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3414,1494,1659,24-06-2019,24,6,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3422,1494,1745,25-09-2018,25,9,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3410,1494,1614,23-10-2018,23,10,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3446,1494,2132,31-08-2018,31,8,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3434,1494,1895,27-10-2020,27,10,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3418,1494,1695,24-12-2020,24,12,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3334,1494,424,06-11-2020,6,11,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3370,1494,1015,15-05-2022,15,5,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3398,1494,1407,20-11-2021,20,11,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3366,1494,944,14-04-2021,14,4,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3369,1494,1009,15-04-2021,15,4,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3409,1494,1601,23-08-2018,23,8,2018,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3386,1494,1234,18-07-2019,18,7,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3403,1494,1519,22-06-2021,22,6,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3436,1494,1907,27-12-2019,27,12,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3317,1494,174,03-06-2019,3,6,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3324,1494,318,05-05-2019,5,5,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3327,1494,352,05-11-2019,5,11,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3357,1494,736,11-05-2019,11,5,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3338,1494,468,07-07-2021,7,7,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3402,1494,1498,22-02-2022,22,2,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3321,1494,267,04-09-2020,4,9,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3367,1494,987,14-12-2020,14,12,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3368,1494,1005,15-03-2021,15,3,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3441,1494,1992,29-03-2022,29,3,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3337,1494,455,07-05-2019,7,5,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3375,1494,1085,16-05-2019,16,5,2019,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3419,1494,1715,25-03-2022,25,3,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3332,1494,386,06-04-2022,6,4,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3339,1494,487,07-10-2021,7,10,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3352,1494,702,10-11-2020,10,11,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3356,1494,727,11-03-2022,11,3,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3372,1494,1025,15-07-2020,15,7,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3379,1494,1134,17-01-2022,17,1,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3399,1494,1432,21-03-2022,21,3,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3405,1494,1564,23-01-2021,23,1,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3421,1494,1737,25-07-2022,25,7,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3346,1494,630,09-11-2020,9,11,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3350,1494,673,10-06-2022,10,6,2022,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3383,1494,1190,17-11-2020,17,11,2020,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
3341,1494,510,08-02-2021,8,2,2021,mora ledesma walter filiberto / occertimm,habilitado,organismo evaluador de la conformidad,30-09-2021,santo domingo,santo domingo de los tsachilas
