id_fact_oec_rs,id_razon_social,id_fecha,volumen_cer,volumen_horas,volumen_ganancias,volumen_porcentaje_asistencia,total_perfiles
73,1050,215,4.0,24.0,1000.0,0.0,2
74,1050,226,29.0,174.0,7250.0,0.0,2
75,1050,232,1.0,6.0,250.0,0.0,1
76,1050,239,1.0,6.0,250.0,0.0,1
77,1050,244,6.0,36.0,1500.0,0.0,3
78,1050,261,2.0,12.0,500.0,0.0,2
79,1050,262,1.0,6.0,250.0,0.0,1
80,1050,296,1.0,6.0,250.0,0.0,1
81,1050,300,16.0,96.0,4000.0,0.0,3
82,1050,312,25.0,150.0,6250.0,0.0,4
83,1050,330,3.0,18.0,750.0,0.0,2
84,1050,331,2.0,12.0,500.0,0.0,1
85,1050,334,19.0,114.0,4750.0,0.0,3
86,1050,336,2.0,12.0,500.0,0.0,2
87,1050,408,2.0,12.0,500.0,0.0,2
88,1050,414,1.0,6.0,250.0,0.0,1
89,1050,431,1.0,6.0,250.0,0.0,1
90,1050,435,1.0,6.0,250.0,0.0,1
91,1050,448,1.0,6.0,250.0,0.0,1
92,1050,452,3.0,18.0,750.0,0.0,2
93,1050,469,3.0,18.0,750.0,0.0,2
94,1050,516,3.0,18.0,750.0,0.0,2
95,1050,519,6.0,36.0,1500.0,0.0,3
96,1050,530,1.0,6.0,250.0,0.0,1
97,1050,535,1.0,6.0,250.0,0.0,1
98,1050,605,1.0,6.0,250.0,0.0,1
99,1050,625,1.0,6.0,250.0,0.0,1
100,1050,666,1.0,6.0,250.0,0.0,1
101,1050,670,11.0,66.0,2750.0,0.0,3
102,1050,672,1.0,6.0,250.0,0.0,1
103,1050,679,2.0,12.0,500.0,0.0,2
104,1050,680,2.0,12.0,500.0,0.0,2
105,1050,691,2.0,12.0,500.0,0.0,2
106,1050,703,2.0,12.0,500.0,0.0,2
107,1050,709,1.0,6.0,250.0,0.0,1
108,1050,726,2.0,12.0,500.0,0.0,1
109,1050,740,2.0,12.0,500.0,0.0,1
110,1050,742,21.0,126.0,5250.0,0.0,1
111,1050,762,1.0,6.0,250.0,0.0,1
112,1050,782,3.0,18.0,750.0,0.0,2
113,1050,800,1.0,6.0,250.0,0.0,1
114,1050,811,1.0,6.0,250.0,0.0,1
115,1050,816,1.0,6.0,250.0,0.0,1
116,1050,823,3.0,18.0,750.0,0.0,2
117,1050,824,1.0,6.0,250.0,0.0,1
118,1050,828,3.0,18.0,750.0,0.0,3
119,1050,848,2.0,12.0,500.0,0.0,2
120,1050,871,7.0,42.0,1750.0,0.0,3
121,1050,874,2.0,12.0,500.0,0.0,1
122,1050,878,2.0,12.0,500.0,0.0,2
123,1050,895,1.0,6.0,250.0,0.0,1
124,1050,905,25.0,150.0,6250.0,0.0,4
125,1050,916,1.0,6.0,250.0,0.0,1
126,1050,932,15.0,90.0,3750.0,0.0,3
127,1050,952,1.0,6.0,250.0,0.0,1
128,1050,954,1.0,6.0,250.0,0.0,1
129,1050,964,1.0,6.0,250.0,0.0,1
130,1050,979,1.0,6.0,250.0,0.0,1
131,1050,980,1.0,6.0,250.0,0.0,1
132,1050,1003,1.0,6.0,250.0,0.0,1
133,1050,1020,1.0,6.0,250.0,0.0,1
134,1050,1057,4.0,24.0,1000.0,0.0,3
135,1050,1075,4.0,24.0,1000.0,0.0,4
136,1050,1114,20.0,120.0,5000.0,0.0,3
137,1050,1122,2.0,12.0,500.0,0.0,2
138,1050,1128,1.0,6.0,250.0,0.0,1
139,1050,1139,24.0,144.0,6000.0,0.0,2
140,1050,1140,2.0,12.0,500.0,0.0,1
141,1050,1141,3.0,18.0,750.0,0.0,2
142,1050,1147,2.0,12.0,500.0,0.0,2
143,1050,1203,1.0,6.0,250.0,0.0,1
144,1050,1211,3.0,18.0,750.0,0.0,2
145,1050,1214,1.0,6.0,250.0,0.0,1
146,1050,1215,1.0,6.0,250.0,0.0,1
147,1050,1275,1.0,6.0,250.0,0.0,1
148,1050,1278,1.0,6.0,250.0,0.0,1
149,1050,1285,1.0,6.0,250.0,0.0,1
150,1050,1290,1.0,6.0,250.0,0.0,1
151,1050,1295,1.0,6.0,250.0,0.0,1
152,1050,1306,1.0,6.0,250.0,0.0,1
153,1050,1307,1.0,6.0,250.0,0.0,1
154,1050,1314,11.0,66.0,2750.0,0.0,4
155,1050,1333,2.0,12.0,500.0,0.0,1
156,1050,1362,2.0,12.0,500.0,0.0,1
157,1050,1381,1.0,6.0,250.0,0.0,1
158,1050,1395,1.0,6.0,250.0,0.0,1
159,1050,1400,1.0,6.0,250.0,0.0,1
160,1050,1414,2.0,12.0,500.0,0.0,1
161,1050,1436,1.0,6.0,250.0,0.0,1
162,1050,1441,2.0,12.0,500.0,0.0,1
163,1050,1453,4.0,24.0,1000.0,0.0,3
164,1050,1467,4.0,24.0,1000.0,0.0,4
165,1050,1484,5.0,30.0,1250.0,0.0,5
166,1050,1485,2.0,12.0,500.0,0.0,1
167,1050,1497,2.0,12.0,500.0,0.0,2
168,1050,1552,2.0,12.0,500.0,0.0,2
169,1050,1571,1.0,6.0,250.0,0.0,1
170,1050,1576,1.0,6.0,250.0,0.0,1
171,1050,1580,2.0,12.0,500.0,0.0,1
172,1050,1592,1.0,6.0,250.0,0.0,1
173,1050,1604,8.0,48.0,2000.0,0.0,3
174,1050,1610,1.0,6.0,250.0,0.0,1
175,1050,1626,5.0,30.0,1250.0,0.0,2
176,1050,1632,8.0,48.0,2000.0,0.0,1
177,1050,1646,2.0,12.0,500.0,0.0,2
178,1050,1660,1.0,6.0,250.0,0.0,1
179,1050,1673,8.0,48.0,2000.0,0.0,2
180,1050,1689,2.0,12.0,500.0,0.0,1
181,1050,1690,1.0,6.0,250.0,0.0,1
182,1050,1702,1.0,6.0,250.0,0.0,1
183,1050,1709,2.0,12.0,500.0,0.0,2
184,1050,1714,1.0,6.0,250.0,0.0,1
185,1050,1724,2.0,12.0,500.0,0.0,2
186,1050,1746,1.0,6.0,250.0,0.0,1
187,1050,1754,2.0,12.0,500.0,0.0,1
188,1050,1758,1.0,6.0,250.0,0.0,1
189,1050,1760,1.0,6.0,250.0,0.0,1
190,1050,1777,1.0,6.0,250.0,0.0,1
191,1050,1783,1.0,6.0,250.0,0.0,1
192,1050,1787,13.0,78.0,3250.0,0.0,5
193,1050,1789,4.0,24.0,1000.0,0.0,4
194,1050,1797,1.0,6.0,250.0,0.0,1
195,1050,1807,2.0,12.0,500.0,0.0,1
196,1050,1812,1.0,6.0,250.0,0.0,1
197,1050,1828,13.0,78.0,3250.0,0.0,1
198,1050,1830,1.0,6.0,250.0,0.0,1
199,1050,1834,5.0,30.0,1250.0,0.0,1
200,1050,1864,2.0,12.0,500.0,0.0,2
201,1050,1883,2.0,12.0,500.0,0.0,2
202,1050,1890,1.0,6.0,250.0,0.0,1
203,1050,1926,3.0,18.0,750.0,0.0,2
204,1050,1930,1.0,6.0,250.0,0.0,1
205,1050,1931,6.0,36.0,1500.0,0.0,1
206,1050,1947,1.0,6.0,250.0,0.0,1
207,1050,1954,1.0,6.0,250.0,0.0,1
208,1050,1955,6.0,36.0,1500.0,0.0,4
209,1050,1961,6.0,36.0,1500.0,0.0,1
210,1050,1979,1.0,6.0,250.0,0.0,1
211,1050,1995,1.0,6.0,250.0,0.0,1
212,1050,2027,1.0,6.0,250.0,0.0,1
213,1050,2032,2.0,12.0,500.0,0.0,1
214,1050,2071,2.0,12.0,500.0,0.0,2
215,1050,2076,2.0,12.0,500.0,0.0,2
216,1050,2077,1.0,6.0,250.0,0.0,1
217,1050,2083,1.0,6.0,250.0,0.0,1
218,1050,2093,1.0,6.0,250.0,0.0,1
219,1050,2094,8.0,48.0,2000.0,0.0,2
220,1050,2095,1.0,6.0,250.0,0.0,1
221,1050,2117,2.0,12.0,500.0,0.0,2
222,1050,2122,14.0,84.0,3500.0,0.0,3
223,1050,2127,15.0,90.0,3750.0,0.0,2
224,1062,392,4.0,24.0,1000.0,0.0,2
225,1062,531,4.0,24.0,1000.0,0.0,2
226,1062,691,2.0,12.0,500.0,0.0,2
227,1062,1006,2.0,12.0,500.0,0.0,2
228,1062,1328,2.0,12.0,500.0,0.0,2
229,1062,1657,6.0,36.0,1500.0,0.0,2
230,1062,2112,2.0,12.0,500.0,0.0,2
231,1062,2122,2.0,12.0,500.0,0.0,2
232,1068,37,4.0,24.0,1000.0,0.0,1
233,1068,53,2.0,12.0,500.0,0.0,2
234,1068,94,4.0,24.0,1000.0,0.0,2
235,1068,121,3.0,18.0,750.0,0.0,1
236,1068,180,3.0,18.0,750.0,0.0,1
237,1068,193,7.0,42.0,1750.0,0.0,1
238,1068,328,1.0,6.0,250.0,0.0,1
239,1068,472,2.0,12.0,500.0,0.0,1
240,1068,636,2.0,12.0,500.0,0.0,2
241,1068,676,1.0,6.0,250.0,0.0,1
242,1068,688,6.0,36.0,1500.0,0.0,1
243,1068,905,1.0,6.0,250.0,0.0,1
244,1068,1159,8.0,48.0,2000.0,0.0,2
245,1068,1474,1.0,6.0,250.0,0.0,1
246,1068,1939,2.0,12.0,500.0,0.0,2
247,1068,2094,1.0,6.0,250.0,0.0,1
248,1068,2131,1.0,6.0,250.0,0.0,1
249,1071,12,4.0,24.0,1000.0,0.0,1
250,1071,21,1.0,6.0,250.0,0.0,1
251,1071,79,4.0,24.0,1000.0,0.0,1
252,1071,149,1.0,6.0,250.0,0.0,1
253,1071,185,2.0,12.0,500.0,0.0,1
254,1071,258,6.0,36.0,1500.0,0.0,1
255,1071,410,3.0,18.0,750.0,0.0,1
256,1071,416,2.0,12.0,500.0,0.0,1
257,1071,616,8.0,48.0,2000.0,0.0,1
258,1071,703,7.0,42.0,1750.0,0.0,1
259,1071,753,9.0,54.0,2250.0,0.0,1
260,1071,863,7.0,42.0,1750.0,0.0,1
261,1071,903,1.0,6.0,250.0,0.0,1
262,1071,921,3.0,18.0,750.0,0.0,2
263,1071,930,7.0,42.0,1750.0,0.0,1
264,1071,1036,1.0,6.0,250.0,0.0,1
265,1071,1040,1.0,6.0,250.0,0.0,1
266,1071,1054,4.0,24.0,1000.0,0.0,2
267,1071,1106,9.0,54.0,2250.0,0.0,1
268,1071,1110,8.0,48.0,2000.0,0.0,1
269,1071,1391,2.0,12.0,500.0,0.0,1
270,1071,1409,8.0,48.0,2000.0,0.0,1
271,1071,1554,9.0,54.0,2250.0,0.0,1
272,1071,1607,6.0,36.0,1500.0,0.0,1
273,1071,1629,4.0,24.0,1000.0,0.0,1
274,1071,1698,4.0,24.0,1000.0,0.0,1
275,1071,1705,5.0,30.0,1250.0,0.0,1
276,1071,1767,3.0,18.0,750.0,0.0,1
277,1071,1821,3.0,18.0,750.0,0.0,1
278,1071,1957,3.0,18.0,750.0,0.0,2
279,1071,1967,3.0,18.0,750.0,0.0,1
280,1071,1975,5.0,30.0,1250.0,0.0,1
281,1071,2035,5.0,30.0,1250.0,0.0,1
282,1071,2046,1.0,6.0,250.0,0.0,1
283,1071,2097,4.0,24.0,1000.0,0.0,2
284,1071,2107,3.0,18.0,750.0,0.0,1
285,1074,12,1.0,6.0,250.0,0.0,1
286,1074,79,1.0,6.0,250.0,0.0,1
287,1074,210,2.0,12.0,500.0,0.0,1
288,1074,368,1.0,6.0,250.0,0.0,1
289,1074,489,1.0,6.0,250.0,0.0,1
290,1074,496,1.0,6.0,250.0,0.0,1
291,1074,771,1.0,6.0,250.0,0.0,1
292,1074,989,1.0,6.0,250.0,0.0,1
293,1074,1046,3.0,18.0,750.0,0.0,1
294,1074,1257,2.0,12.0,500.0,0.0,1
295,1074,1263,2.0,12.0,500.0,0.0,1
296,1074,1480,9.0,54.0,2250.0,0.0,1
297,1074,1554,4.0,24.0,1000.0,0.0,1
298,1074,1618,2.0,12.0,500.0,0.0,2
299,1074,1755,7.0,42.0,1750.0,0.0,1
300,1074,1767,23.0,138.0,5750.0,0.0,2
301,1074,1838,15.0,90.0,3750.0,0.0,2
302,1074,2046,22.0,132.0,5500.0,0.0,2
303,1074,2107,1.0,6.0,250.0,0.0,1
304,1075,564,1.0,6.0,250.0,0.0,1
305,1075,633,7.0,42.0,1750.0,0.0,2
306,1075,936,2.0,12.0,500.0,0.0,1
307,1075,947,1.0,6.0,250.0,0.0,1
308,1075,1186,1.0,6.0,250.0,0.0,1
309,1075,1335,5.0,30.0,1250.0,0.0,1
310,1075,1629,20.0,120.0,5000.0,0.0,2
311,1075,1685,8.0,48.0,2000.0,0.0,1
312,1075,1773,1.0,6.0,250.0,0.0,1
313,1075,2046,3.0,18.0,750.0,0.0,1
314,1077,39,2.0,12.0,500.0,0.0,2
315,1077,123,18.0,108.0,4500.0,0.0,6
316,1077,142,2.0,12.0,500.0,0.0,2
317,1077,189,22.0,132.0,5500.0,0.0,6
318,1077,324,4.0,24.0,1000.0,0.0,2
319,1077,354,4.0,24.0,1000.0,0.0,4
320,1077,408,20.0,120.0,5000.0,0.0,4
321,1077,474,12.0,72.0,3000.0,0.0,2
322,1077,649,12.0,72.0,3000.0,0.0,2
323,1077,686,32.0,192.0,8000.0,0.0,6
324,1077,719,6.0,36.0,1500.0,0.0,2
325,1077,741,4.0,24.0,1000.0,0.0,4
326,1077,888,4.0,24.0,1000.0,0.0,2
327,1077,900,4.0,24.0,1000.0,0.0,4
328,1077,1057,14.0,84.0,3500.0,0.0,4
329,1077,1127,16.0,96.0,4000.0,0.0,4
330,1077,1196,52.0,312.0,13000.0,0.0,4
331,1077,1210,32.0,192.0,8000.0,0.0,2
332,1077,1267,20.0,120.0,5000.0,0.0,4
333,1077,1413,4.0,24.0,1000.0,0.0,2
334,1077,1414,42.0,252.0,10500.0,0.0,8
335,1077,1551,2.0,12.0,500.0,0.0,2
336,1077,1628,2.0,12.0,500.0,0.0,2
337,1077,1696,2.0,12.0,500.0,0.0,2
338,1077,1829,2.0,12.0,500.0,0.0,2
339,1077,1883,2.0,12.0,500.0,0.0,2
340,1077,1987,14.0,84.0,3500.0,0.0,2
341,1077,2033,14.0,84.0,3500.0,0.0,2
342,1077,2066,50.0,300.0,12500.0,0.0,2
343,1077,2083,4.0,24.0,1000.0,0.0,2
344,1077,2122,32.0,192.0,8000.0,0.0,6
345,1087,49,4.0,24.0,1000.0,0.0,1
346,1087,98,1.0,6.0,250.0,0.0,1
347,1087,310,3.0,18.0,750.0,0.0,2
348,1087,345,2.0,12.0,500.0,0.0,1
349,1087,449,7.0,42.0,1750.0,0.0,4
350,1087,472,1.0,6.0,250.0,0.0,1
351,1087,659,3.0,18.0,750.0,0.0,1
352,1087,706,1.0,6.0,250.0,0.0,1
353,1087,759,1.0,6.0,250.0,0.0,1
354,1087,779,2.0,12.0,500.0,0.0,1
355,1087,903,2.0,12.0,500.0,0.0,1
356,1087,1101,6.0,36.0,1500.0,0.0,1
357,1087,1171,1.0,6.0,250.0,0.0,1
358,1087,1172,12.0,72.0,3000.0,0.0,1
359,1087,1241,5.0,30.0,1250.0,0.0,1
360,1087,1312,1.0,6.0,250.0,0.0,1
361,1087,1373,7.0,42.0,1750.0,0.0,3
362,1087,1410,2.0,12.0,500.0,0.0,1
363,1087,1522,1.0,6.0,250.0,0.0,1
364,1087,1927,1.0,6.0,250.0,0.0,1
365,1087,2091,1.0,6.0,250.0,0.0,1
366,1087,2114,1.0,6.0,250.0,0.0,1
367,1088,37,19.0,114.0,4750.0,0.0,2
368,1088,58,17.0,102.0,4250.0,0.0,2
369,1088,64,3.0,18.0,750.0,0.0,1
370,1088,121,1.0,6.0,250.0,0.0,1
371,1088,180,3.0,18.0,750.0,0.0,1
372,1088,193,1.0,6.0,250.0,0.0,1
373,1088,212,12.0,72.0,3000.0,0.0,1
374,1088,266,56.0,336.0,14000.0,0.0,1
375,1088,287,32.0,192.0,8000.0,0.0,1
376,1088,334,2.0,12.0,500.0,0.0,1
377,1088,341,23.0,138.0,5750.0,0.0,1
378,1088,358,25.0,150.0,6250.0,0.0,1
379,1088,412,5.0,30.0,1250.0,0.0,1
380,1088,433,38.0,228.0,9500.0,0.0,1
381,1088,472,2.0,12.0,500.0,0.0,1
382,1088,519,5.0,30.0,1250.0,0.0,1
383,1088,540,71.0,426.0,17750.0,0.0,1
384,1088,547,1.0,6.0,250.0,0.0,1
385,1088,623,7.0,42.0,1750.0,0.0,1
386,1088,677,11.0,66.0,2750.0,0.0,1
387,1088,695,1.0,6.0,250.0,0.0,1
388,1088,740,3.0,18.0,750.0,0.0,1
389,1088,761,6.0,36.0,1500.0,0.0,1
390,1088,767,2.0,12.0,500.0,0.0,1
391,1088,815,2.0,12.0,500.0,0.0,1
392,1088,826,19.0,114.0,4750.0,0.0,1
393,1088,833,19.0,114.0,4750.0,0.0,1
394,1088,917,31.0,186.0,7750.0,0.0,1
395,1088,926,85.0,510.0,21250.0,0.0,1
396,1088,952,46.0,276.0,11500.0,0.0,1
397,1088,974,24.0,144.0,6000.0,0.0,1
398,1088,985,9.0,54.0,2250.0,0.0,1
399,1088,991,36.0,216.0,9000.0,0.0,1
400,1088,1008,1.0,6.0,250.0,0.0,1
401,1088,1024,4.0,24.0,1000.0,0.0,1
402,1088,1031,2.0,12.0,500.0,0.0,1
403,1088,1049,1.0,6.0,250.0,0.0,1
404,1088,1061,1.0,6.0,250.0,0.0,1
405,1088,1078,1.0,6.0,250.0,0.0,1
406,1088,1101,20.0,120.0,5000.0,0.0,1
407,1088,1108,1.0,6.0,250.0,0.0,1
408,1088,1114,11.0,66.0,2750.0,0.0,1
409,1088,1126,29.0,174.0,7250.0,0.0,1
410,1088,1131,1.0,6.0,250.0,0.0,1
411,1088,1165,13.0,78.0,3250.0,0.0,1
412,1088,1172,1.0,6.0,250.0,0.0,1
413,1088,1195,1.0,6.0,250.0,0.0,1
414,1088,1247,5.0,30.0,1250.0,0.0,1
415,1088,1265,29.0,174.0,7250.0,0.0,1
416,1088,1304,1.0,6.0,250.0,0.0,1
417,1088,1312,47.0,282.0,11750.0,0.0,1
418,1088,1320,18.0,108.0,4500.0,0.0,1
419,1088,1331,1.0,6.0,250.0,0.0,1
420,1088,1349,4.0,24.0,1000.0,0.0,1
421,1088,1386,29.0,174.0,7250.0,0.0,1
422,1088,1393,1.0,6.0,250.0,0.0,1
423,1088,1411,47.0,282.0,11750.0,0.0,1
424,1088,1412,1.0,6.0,250.0,0.0,1
425,1088,1417,15.0,90.0,3750.0,0.0,1
426,1088,1424,2.0,12.0,500.0,0.0,1
427,1088,1445,11.0,66.0,2750.0,0.0,1
428,1088,1459,12.0,72.0,3000.0,0.0,1
429,1088,1482,19.0,114.0,4750.0,0.0,1
430,1088,1524,20.0,120.0,5000.0,0.0,1
431,1088,1532,10.0,60.0,2500.0,0.0,1
432,1088,1556,21.0,126.0,5250.0,0.0,1
433,1088,1595,10.0,60.0,2500.0,0.0,1
434,1088,1609,4.0,24.0,1000.0,0.0,1
435,1088,1615,1.0,6.0,250.0,0.0,1
436,1088,1621,24.0,144.0,6000.0,0.0,1
437,1088,1664,1.0,6.0,250.0,0.0,1
438,1088,1700,12.0,72.0,3000.0,0.0,1
439,1088,1728,1.0,6.0,250.0,0.0,1
440,1088,1734,1.0,6.0,250.0,0.0,1
441,1088,1746,6.0,36.0,1500.0,0.0,1
442,1088,1752,14.0,84.0,3500.0,0.0,1
443,1088,1811,55.0,330.0,13750.0,0.0,1
444,1088,1817,2.0,12.0,500.0,0.0,1
445,1088,1834,2.0,12.0,500.0,0.0,1
446,1088,1881,3.0,18.0,750.0,0.0,1
447,1088,1900,20.0,120.0,5000.0,0.0,1
448,1088,1901,17.0,102.0,4250.0,0.0,1
449,1088,2011,6.0,36.0,1500.0,0.0,1
450,1088,2036,25.0,150.0,6250.0,0.0,1
451,1088,2037,34.0,204.0,8500.0,0.0,1
452,1088,2081,1.0,6.0,250.0,0.0,1
453,1088,2126,5.0,30.0,1250.0,0.0,1
454,1088,2133,1.0,6.0,250.0,0.0,1
455,1089,1031,1.0,6.0,250.0,0.0,1
456,1089,1119,1.0,6.0,250.0,0.0,1
457,1089,1131,1.0,6.0,250.0,0.0,1
458,1089,1958,1.0,6.0,250.0,0.0,1
459,1092,104,3.0,18.0,750.0,0.0,1
460,1092,521,1.0,6.0,250.0,0.0,1
461,1092,801,1.0,6.0,250.0,0.0,1
462,1092,806,2.0,12.0,500.0,0.0,1
463,1092,1328,19.0,114.0,4750.0,0.0,1
464,1092,1508,2.0,12.0,500.0,0.0,1
465,1092,1581,1.0,6.0,250.0,0.0,1
466,1092,1790,6.0,36.0,1500.0,0.0,1
467,1092,2135,4.0,24.0,1000.0,0.0,1
468,1094,86,3.0,18.0,750.0,0.0,1
469,1094,87,1.0,6.0,250.0,0.0,1
470,1094,137,5.0,30.0,1250.0,0.0,1
471,1094,149,7.0,42.0,1750.0,0.0,1
472,1094,152,1.0,6.0,250.0,0.0,1
473,1094,223,6.0,36.0,1500.0,0.0,1
474,1094,229,2.0,12.0,500.0,0.0,1
475,1094,235,1.0,6.0,250.0,0.0,1
476,1094,247,24.0,144.0,6000.0,0.0,4
477,1094,265,7.0,42.0,1750.0,0.0,3
478,1094,269,4.0,24.0,1000.0,0.0,1
479,1094,299,13.0,78.0,3250.0,0.0,1
480,1094,304,3.0,18.0,750.0,0.0,1
481,1094,321,1.0,6.0,250.0,0.0,1
482,1094,322,11.0,66.0,2750.0,0.0,2
483,1094,340,15.0,90.0,3750.0,0.0,3
484,1094,375,8.0,48.0,2000.0,0.0,1
485,1094,492,18.0,108.0,4500.0,0.0,1
486,1094,546,22.0,132.0,5500.0,0.0,1
487,1094,636,1.0,6.0,250.0,0.0,1
488,1094,641,6.0,36.0,1500.0,0.0,1
489,1094,670,5.0,30.0,1250.0,0.0,1
490,1094,803,1.0,6.0,250.0,0.0,1
491,1094,804,28.0,168.0,7000.0,0.0,1
492,1094,850,23.0,138.0,5750.0,0.0,1
493,1094,886,9.0,54.0,2250.0,0.0,1
494,1094,897,26.0,156.0,6500.0,0.0,1
495,1094,968,14.0,84.0,3500.0,0.0,2
496,1094,978,7.0,42.0,1750.0,0.0,1
497,1094,997,11.0,66.0,2750.0,0.0,1
498,1094,1024,12.0,72.0,3000.0,0.0,1
499,1094,1037,3.0,18.0,750.0,0.0,3
500,1094,1042,4.0,24.0,1000.0,0.0,1
501,1094,1049,9.0,54.0,2250.0,0.0,1
502,1094,1101,4.0,24.0,1000.0,0.0,1
503,1094,1124,2.0,12.0,500.0,0.0,1
504,1094,1143,4.0,24.0,1000.0,0.0,1
505,1094,1172,10.0,60.0,2500.0,0.0,1
506,1094,1263,14.0,84.0,3500.0,0.0,1
507,1094,1264,1.0,6.0,250.0,0.0,1
508,1094,1271,9.0,54.0,2250.0,0.0,1
509,1094,1323,2.0,12.0,500.0,0.0,1
510,1094,1409,4.0,24.0,1000.0,0.0,1
511,1094,1411,21.0,126.0,5250.0,0.0,1
512,1094,1438,9.0,54.0,2250.0,0.0,1
513,1094,1480,1.0,6.0,250.0,0.0,1
514,1094,1547,5.0,30.0,1250.0,0.0,1
515,1094,1549,2.0,12.0,500.0,0.0,1
516,1094,1572,5.0,30.0,1250.0,0.0,1
517,1094,1746,1.0,6.0,250.0,0.0,1
518,1094,1792,22.0,132.0,5500.0,0.0,1
519,1094,1810,32.0,192.0,8000.0,0.0,1
520,1094,1817,14.0,84.0,3500.0,0.0,1
521,1094,1932,18.0,108.0,4500.0,0.0,1
522,1094,1984,15.0,90.0,3750.0,0.0,1
523,1094,1999,7.0,42.0,1750.0,0.0,1
524,1094,2022,3.0,18.0,750.0,0.0,2
525,1094,2029,7.0,42.0,1750.0,0.0,1
526,1094,2030,40.0,240.0,10000.0,0.0,1
527,1094,2034,4.0,24.0,1000.0,0.0,1
528,1094,2040,9.0,54.0,2250.0,0.0,1
529,1094,2046,2.0,12.0,500.0,0.0,1
530,1094,2052,2.0,12.0,500.0,0.0,1
531,1094,2059,6.0,36.0,1500.0,0.0,1
532,1094,2107,4.0,24.0,1000.0,0.0,1
533,11,16,1.0,6.0,250.0,0.0,1
