id_perfil,familia,sector,perfil,modalidad,carga_horaria,costo
36,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
37,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
38,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
39,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
40,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
41,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",coordinador de eventos - nte inen 2 448: 2008,desconocida,6,250.0
42,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
43,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
44,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades para deportes de equipos,desconocida,6,250.0
45,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
46,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",coordinador de eventos - nte inen 2 448: 2008,desconocida,6,250.0
47,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
48,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",coordinador de eventos - nte inen 2 448: 2008,desconocida,6,250.0
49,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento","dibujo, pintura e ilustración artística",desconocida,6,250.0
50,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
51,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
52,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
53,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
54,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
55,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
56,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
57,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
58,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
59,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
60,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
61,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades para deportes de equipos,desconocida,6,250.0
62,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
63,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
64,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
65,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
66,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
67,actividades comunitarias,actividades de atención en instituciones,facilitación en la atención a personas con discapacidad,desconocida,6,250.0
68,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades de apoyo para la promoción en recreación y deportes,desconocida,6,250.0
69,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",coordinador de eventos - nte inen 2 448: 2008,desconocida,6,250.0
70,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
71,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades de apoyo para la promoción en recreación y deportes,desconocida,6,250.0
72,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
73,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
74,actividades comunitarias,"actividades de producción de películas cinematográficas, vídeos y programas de televisión, grabación de sonido y edición de música",trabajo operativo de piso para televisión,desconocida,6,250.0
75,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
76,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades para deportes de equipos,desconocida,6,250.0
77,actividades comunitarias,"actividades de producción de películas cinematográficas, vídeos y programas de televisión, grabación de sonido y edición de música",producción de contenidos para medios comunitarios de radio y televisión,desconocida,6,250.0
78,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
79,actividades comunitarias,"actividades de producción de películas cinematográficas, vídeos y programas de televisión, grabación de sonido y edición de música",operaciones de camarógrafo,desconocida,6,250.0
80,actividades comunitarias,"actividades de producción de películas cinematográficas, vídeos y programas de televisión, grabación de sonido y edición de música",producción de audiovisuales,desconocida,6,250.0
81,actividades comunitarias,actividades de programación y transmisión,programación de contenidos para medios de comunicación,desconocida,6,250.0
82,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
83,actividades comunitarias,actividades de programación y transmisión,locución y presentación de radio y televisión,desconocida,6,250.0
84,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades para deportes de equipos,desconocida,6,250.0
85,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
86,actividades comunitarias,"otras actividades profesionales, científicas y técnicas",interpretación de lengua de señas ecuatoriana,desconocida,6,250.0
87,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades de apoyo para la promoción en recreación y deportes,desconocida,6,250.0
88,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
89,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
90,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
91,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
92,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",coordinador de eventos - nte inen 2 448: 2008,desconocida,6,250.0
93,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",coordinador de eventos - nte inen 2 448: 2008,desconocida,6,250.0
94,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
95,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
96,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
97,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",organizador de eventos - nte inen 2 452: 2008,desconocida,6,250.0
98,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",organizador de eventos - nte inen 2 452: 2008,desconocida,6,250.0
99,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",organizador de eventos - nte inen 2 452: 2008,desconocida,6,250.0
100,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",organizador de eventos - nte inen 2 452: 2008,desconocida,6,250.0
101,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",coordinador de eventos - nte inen 2 448: 2008,desconocida,6,250.0
102,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades de apoyo para la promoción en recreación y deportes,desconocida,6,250.0
103,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento","dibujo, pintura e ilustración artística",desconocida,6,250.0
104,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
105,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
106,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
107,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
108,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
109,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
110,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
111,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
112,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
113,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
114,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
115,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",coordinador de eventos - nte inen 2 448: 2008,desconocida,6,250.0
116,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
117,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
118,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",organizador de eventos - nte inen 2 452: 2008,desconocida,6,250.0
119,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
120,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",organizador de eventos - nte inen 2 452: 2008,desconocida,6,250.0
121,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
122,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
123,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades para deportes de equipos,desconocida,6,250.0
124,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades de apoyo para la promoción en recreación y deportes,desconocida,6,250.0
125,actividades comunitarias,administración pública y defensa; planes de seguridad social de afiliación obligatoria,seguridad penitenciaria,desconocida,6,250.0
126,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
127,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
128,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
129,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
130,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
131,actividades comunitarias,administración pública y defensa; planes de seguridad social de afiliación obligatoria,apoyo en seguridad penitenciaria,desconocida,6,250.0
132,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",coordinador de eventos - nte inen 2 448: 2008,desconocida,6,250.0
133,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
134,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
135,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
136,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
137,actividades comunitarias,actividades de alojamiento,operaciones de protección de parques y reservas,desconocida,6,250.0
138,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
139,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades de apoyo para la promoción en recreación y deportes,desconocida,6,250.0
140,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
141,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
142,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",coordinador de eventos - nte inen 2 448: 2008,desconocida,6,250.0
143,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades de apoyo para la promoción en recreación y deportes,desconocida,6,250.0
144,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",coordinador de eventos - nte inen 2 448: 2008,desconocida,6,250.0
145,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
146,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
147,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
148,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
149,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
150,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
151,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",coordinador de eventos - nte inen 2 448: 2008,desconocida,6,250.0
152,actividades comunitarias,administración pública y defensa; planes de seguridad social de afiliación obligatoria,apoyo en seguridad penitenciaria,desconocida,6,250.0
153,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
154,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
155,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
156,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
157,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
158,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
159,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades de apoyo para la promoción en recreación y deportes,desconocida,6,250.0
160,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades para deportes de equipos,desconocida,6,250.0
161,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",coordinador de eventos - nte inen 2 448: 2008,desconocida,6,250.0
162,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
163,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
164,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
165,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",coordinador de eventos - nte inen 2 448: 2008,desconocida,6,250.0
166,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
167,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",organizador de eventos - nte inen 2 452: 2008,desconocida,6,250.0
168,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
169,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
170,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
171,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
172,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
173,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
174,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades de apoyo para la promoción en recreación y deportes,desconocida,6,250.0
175,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades de apoyo para la promoción en recreación y deportes,desconocida,6,250.0
176,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
177,actividades comunitarias,administración pública y defensa; planes de seguridad social de afiliación obligatoria,seguridad penitenciaria,desconocida,6,250.0
178,actividades comunitarias,actividades de alojamiento,operaciones de protección de parques y reservas,desconocida,6,250.0
179,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
180,actividades comunitarias,administración pública y defensa; planes de seguridad social de afiliación obligatoria,apoyo en seguridad penitenciaria,desconocida,6,250.0
181,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
182,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades de apoyo para la promoción en recreación y deportes,desconocida,6,250.0
183,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",organizador de eventos - nte inen 2 452: 2008,desconocida,6,250.0
184,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades de apoyo para la promoción en recreación y deportes,desconocida,6,250.0
185,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
186,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades para deportes de equipos,desconocida,6,250.0
187,actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",actividades de apoyo para la promoción en recreación y deportes,desconocida,6,250.0
188,actividades comunitarias,actividades de atención en instituciones,facilitación en la atención a personas con discapacidad,desconocida,6,250.0
189,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",coordinador de eventos - nte inen 2 448: 2008,desconocida,6,250.0
190,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",organizador de eventos - nte inen 2 452: 2008,desconocida,6,250.0
191,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
192,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
193,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
194,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
195,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
196,actividades comunitarias,otras actividades de servicios personales,cosmiatría,desconocida,6,250.0
197,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
198,actividades comunitarias,actividades de atención de la salud humana,cosmetología,desconocida,6,250.0
199,actividades comunitarias,otras actividades de servicios personales,maquillaje,desconocida,6,250.0
200,actividades comunitarias,actividades de atención de la salud humana,realización de masajes terapéuticos,desconocida,6,250.0
201,actividades de enseñanza,servicio de alimento y bebida,instructor de seguridad alimentaria - nte inen 2 460: 2008,desconocida,6,250.0
202,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
203,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
204,actividades de enseñanza,servicio de alimento y bebida,instructor de seguridad alimentaria - nte inen 2 460: 2008,desconocida,6,250.0
205,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
206,actividades de enseñanza,enseñanza,actividades de docencia en la metodología aprendizaje basado en proyectos abp,desconocida,6,250.0
207,actividades de enseñanza,enseñanza,atención en el hogar y la comunidad de personas con discapacidad,desconocida,6,250.0
208,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
209,actividades de enseñanza,enseñanza,actividades de docencia en la metodología aprendizaje basado en proyectos abp,desconocida,6,250.0
210,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
211,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
212,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
213,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
214,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
215,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
216,actividades de enseñanza,servicio de alimento y bebida,instructor de seguridad alimentaria - nte inen 2 460: 2008,desconocida,6,250.0
217,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
218,actividades de enseñanza,enseñanza,atención en el hogar y la comunidad de personas con discapacidad,desconocida,6,250.0
219,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
220,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
221,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
222,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
223,actividades de enseñanza,enseñanza,atención en el hogar y la comunidad de personas con discapacidad,desconocida,6,250.0
224,actividades de enseñanza,servicio de alimento y bebida,instructor de seguridad alimentaria - nte inen 2 460: 2008,desconocida,6,250.0
225,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
226,actividades de enseñanza,enseñanza,actividades de docencia en la metodología aprendizaje basado en proyectos abp,desconocida,6,250.0
227,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
228,actividades de enseñanza,enseñanza,educacion de centro infantil del buen vivir,desconocida,6,250.0
229,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
230,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
231,actividades de enseñanza,enseñanza,coordinacion de centro infantil del buen vivir (cibv),desconocida,6,250.0
232,actividades de enseñanza,enseñanza,educacion de centro infantil del buen vivir,desconocida,6,250.0
233,actividades de enseñanza,enseñanza,educación en la modalidad de atención creciendo con nuestros hijos (cnh),desconocida,6,250.0
234,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
235,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
236,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
237,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
238,actividades de enseñanza,servicio de alimento y bebida,instructor de seguridad alimentaria - nte inen 2 460: 2008,desconocida,6,250.0
239,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
240,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
241,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
242,actividades de enseñanza,enseñanza,coordinacion de centro infantil del buen vivir (cibv),desconocida,6,250.0
243,actividades de enseñanza,servicio de alimento y bebida,instructor de seguridad alimentaria - nte inen 2 460: 2008,desconocida,6,250.0
244,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
245,actividades de enseñanza,enseñanza,atención en el hogar y la comunidad de personas con discapacidad,desconocida,6,250.0
246,actividades de enseñanza,servicio de alimento y bebida,instructor de seguridad alimentaria - nte inen 2 460: 2008,desconocida,6,250.0
247,actividades de enseñanza,enseñanza,actividades de docencia en la metodología aprendizaje basado en proyectos abp,desconocida,6,250.0
248,actividades de enseñanza,enseñanza,coordinacion de centro infantil del buen vivir (cibv),desconocida,6,250.0
249,actividades de enseñanza,enseñanza,actividades de docencia en la metodología aprendizaje basado en proyectos abp,desconocida,6,250.0
250,actividades de enseñanza,enseñanza,actividades de docencia en la metodología aprendizaje basado en proyectos abp,desconocida,6,250.0
251,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
252,actividades de enseñanza,enseñanza,actividades de docencia en la metodología aprendizaje basado en proyectos abp,desconocida,6,250.0
253,actividades de enseñanza,enseñanza,actividades de docencia en la metodología aprendizaje basado en proyectos abp,desconocida,6,250.0
254,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
255,actividades de enseñanza,enseñanza,actividades de docencia en la metodología aprendizaje basado en proyectos abp,desconocida,6,250.0
256,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
257,actividades de enseñanza,servicio de alimento y bebida,instructor de seguridad alimentaria - nte inen 2 460: 2008,desconocida,6,250.0
258,actividades de enseñanza,enseñanza,actividades de docencia en la metodología aprendizaje basado en proyectos abp,desconocida,6,250.0
259,actividades de enseñanza,enseñanza,educación en la modalidad de atención creciendo con nuestros hijos (cnh),desconocida,6,250.0
260,actividades de enseñanza,enseñanza,educación en la modalidad de atención creciendo con nuestros hijos (cnh),desconocida,6,250.0
261,actividades de enseñanza,enseñanza,educacion de centro infantil del buen vivir,desconocida,6,250.0
262,actividades de enseñanza,enseñanza,educación en la modalidad de atención creciendo con nuestros hijos (cnh),desconocida,6,250.0
263,actividades de enseñanza,enseñanza,educacion de centro infantil del buen vivir,desconocida,6,250.0
264,actividades de enseñanza,enseñanza,educación en la modalidad de atención creciendo con nuestros hijos (cnh),desconocida,6,250.0
265,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
266,actividades de enseñanza,enseñanza,educacion de centro infantil del buen vivir,desconocida,6,250.0
267,actividades de enseñanza,enseñanza,educación en la modalidad de atención creciendo con nuestros hijos (cnh),desconocida,6,250.0
268,actividades de enseñanza,enseñanza,educacion de centro infantil del buen vivir,desconocida,6,250.0
269,actividades de enseñanza,enseñanza,educacion de centro infantil del buen vivir,desconocida,6,250.0
270,actividades de enseñanza,enseñanza,educación en la modalidad de atención creciendo con nuestros hijos (cnh),desconocida,6,250.0
271,actividades de enseñanza,enseñanza,educación en la modalidad de atención creciendo con nuestros hijos (cnh),desconocida,6,250.0
272,actividades de enseñanza,enseñanza,educacion de centro infantil del buen vivir,desconocida,6,250.0
273,actividades de enseñanza,enseñanza,educación en la modalidad de atención creciendo con nuestros hijos (cnh),desconocida,6,250.0
274,actividades de enseñanza,enseñanza,coordinacion de centro infantil del buen vivir (cibv),desconocida,6,250.0
275,actividades de enseñanza,enseñanza,educacion de centro infantil del buen vivir,desconocida,6,250.0
276,actividades de enseñanza,enseñanza,educación en la modalidad de atención creciendo con nuestros hijos (cnh),desconocida,6,250.0
277,actividades de enseñanza,enseñanza,educacion de centro infantil del buen vivir,desconocida,6,250.0
278,actividades de enseñanza,enseñanza,educación en la modalidad de atención creciendo con nuestros hijos (cnh),desconocida,6,250.0
279,actividades de enseñanza,enseñanza,educacion de centro infantil del buen vivir,desconocida,6,250.0
280,actividades de enseñanza,enseñanza,educacion de centro infantil del buen vivir,desconocida,6,250.0
281,actividades de enseñanza,enseñanza,actividades de docencia en la metodología aprendizaje basado en proyectos abp,desconocida,6,250.0
282,actividades de enseñanza,enseñanza,formación de formadores,desconocida,6,250.0
